year,pgisced97,sampreg,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No answer / don't know,West,No,0.98223,106,106,0.95696,1.00750
1985,Primary Level,West,Yes,0.13522,78,803,0.11156,0.15889
1985,Primary Level,West,No,0.86478,725,803,0.84111,0.88844
1985,Lower Secondary Level,West,Yes,0.04030,153,3009,0.03327,0.04733
1985,Lower Secondary Level,West,No,0.95970,2856,3009,0.95267,0.96673
1985,Upper Secondary Level,West,Yes,0.04545,256,5127,0.03975,0.05115
1985,Upper Secondary Level,West,No,0.95455,4871,5127,0.94885,0.96025
1985,Post-secondary Non-tertiary Level,West,No,0.92153,248,248,0.88800,0.95507
1985,First Stage of Tertiary Education,West,No,0.97028,593,593,0.95660,0.98396
1985,Second Stage of Tertiary Education,West,No,0.97273,730,730,0.96090,0.98455
1986,No answer / don't know,West,No,0.93349,105,105,0.88561,0.98138
1986,Pre-primary Level,West,No,0.99136,181,181,0.97784,1.00488
1986,Primary Level,West,Yes,0.09773,63,751,0.07648,0.11899
1986,Primary Level,West,No,0.90227,688,751,0.88101,0.92352
1986,Lower Secondary Level,West,Yes,0.04540,153,2852,0.03776,0.05304
1986,Lower Secondary Level,West,No,0.95460,2699,2852,0.94696,0.96224
1986,Upper Secondary Level,West,Yes,0.04060,234,4912,0.03508,0.04612
1986,Upper Secondary Level,West,No,0.95940,4678,4912,0.95388,0.96492
1986,Post-secondary Non-tertiary Level,West,No,0.95045,259,259,0.92397,0.97693
1986,First Stage of Tertiary Education,West,No,0.97378,555,555,0.96047,0.98708
1986,Second Stage of Tertiary Education,West,Yes,0.04040,31,741,0.02621,0.05458
1986,Second Stage of Tertiary Education,West,No,0.95960,710,741,0.94542,0.97379
1987,No answer / don't know,West,No,0.93509,113,113,0.88946,0.98072
1987,Pre-primary Level,West,No,0.99936,188,188,0.99575,1.00298
1987,Primary Level,West,Yes,0.12525,77,747,0.10150,0.14900
1987,Primary Level,West,No,0.87475,670,747,0.85100,0.89850
1987,Lower Secondary Level,West,Yes,0.04251,149,2808,0.03504,0.04997
1987,Lower Secondary Level,West,No,0.95749,2659,2808,0.95003,0.96496
1987,Upper Secondary Level,West,Yes,0.03579,206,4920,0.03060,0.04098
1987,Upper Secondary Level,West,No,0.96421,4714,4920,0.95902,0.96940
1987,Post-secondary Non-tertiary Level,West,No,0.92422,253,253,0.89154,0.95689
1987,First Stage of Tertiary Education,West,No,0.97456,543,543,0.96131,0.98782
1987,Second Stage of Tertiary Education,West,No,0.96204,714,714,0.94802,0.97607
1988,No answer / don't know,West,No,0.92331,126,126,0.87666,0.96996
1988,Pre-primary Level,West,No,0.99707,158,158,0.98861,1.00553
1988,Primary Level,West,Yes,0.13108,71,670,0.10551,0.15666
1988,Primary Level,West,No,0.86892,599,670,0.84334,0.89449
1988,Lower Secondary Level,West,Yes,0.04557,150,2678,0.03767,0.05347
1988,Lower Secondary Level,West,No,0.95443,2528,2678,0.94653,0.96233
1988,Upper Secondary Level,West,Yes,0.04509,220,4677,0.03914,0.05103
1988,Upper Secondary Level,West,No,0.95491,4457,4677,0.94897,0.96086
1988,Post-secondary Non-tertiary Level,West,No,0.97566,250,250,0.95652,0.99480
1988,First Stage of Tertiary Education,West,No,0.99241,531,531,0.98502,0.99980
1988,Second Stage of Tertiary Education,West,No,0.97341,674,674,0.96126,0.98557
1989,No answer / don't know,West,No,0.91966,111,111,0.86887,0.97046
1989,Primary Level,West,Yes,0.09717,37,498,0.07113,0.12321
1989,Primary Level,West,No,0.90283,461,498,0.87679,0.92887
1989,Lower Secondary Level,West,Yes,0.03689,112,2268,0.02914,0.04465
1989,Lower Secondary Level,West,No,0.96311,2156,2268,0.95535,0.97086
1989,Upper Secondary Level,West,Yes,0.03488,164,4342,0.02942,0.04034
1989,Upper Secondary Level,West,No,0.96512,4178,4342,0.95966,0.97058
1989,Post-secondary Non-tertiary Level,West,No,0.97123,247,247,0.95035,0.99212
1989,First Stage of Tertiary Education,West,No,0.97919,491,491,0.96655,0.99183
1989,Second Stage of Tertiary Education,West,No,0.98115,655,655,0.97073,0.99158
1990,No answer / don't know,West,No,0.93370,143,143,0.89277,0.97462
1990,Pre-primary Level,West,No,0.99083,154,154,0.97573,1.00593
