year,migback,pgisced97,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Primary Level,No,0.80886,69,69,0.71540,0.90232
1985,No migration background,Lower Secondary Level,Yes,0.03663,82,2063,0.02852,0.04474
1985,No migration background,Lower Secondary Level,No,0.94969,1981,2063,0.94025,0.95912
1985,No migration background,Upper Secondary Level,Yes,0.04420,188,4182,0.03797,0.05043
1985,No migration background,Upper Secondary Level,No,0.94578,3994,4182,0.93891,0.95264
1985,No migration background,Post-secondary Non-tertiary Level,No,0.90228,158,158,0.85583,0.94873
1985,No migration background,First Stage of Tertiary Education,No,0.96330,547,547,0.94753,0.97907
1985,No migration background,Second Stage of Tertiary Education,No,0.97303,624,624,0.96031,0.98575
1985,Direct migration background,Primary Level,Yes,0.09382,63,714,0.07241,0.11522
1985,Direct migration background,Primary Level,No,0.86884,651,714,0.84406,0.89362
1985,Direct migration background,Lower Secondary Level,Yes,0.06355,67,890,0.04751,0.07958
1985,Direct migration background,Lower Secondary Level,No,0.92474,823,890,0.90740,0.94208
1985,Direct migration background,Upper Secondary Level,Yes,0.05542,64,890,0.04038,0.07046
1985,Direct migration background,Upper Secondary Level,No,0.93452,826,890,0.91826,0.95078
1985,Direct migration background,Post-secondary Non-tertiary Level,No,0.88038,90,90,0.81295,0.94780
1985,Direct migration background,First Stage of Tertiary Education,No,0.89797,42,42,0.80532,0.99062
1985,Direct migration background,Second Stage of Tertiary Education,No,0.89002,102,102,0.82901,0.95104
1985,Indirect migration background,Lower Secondary Level,No,0.84805,52,52,0.74952,0.94657
1985,Indirect migration background,Upper Secondary Level,No,0.95500,51,51,0.89754,1.01246
1986,No migration background,Pre-primary Level,No,0.96210,141,141,0.93047,0.99373
1986,No migration background,Primary Level,No,0.83113,70,70,0.74273,0.91953
1986,No migration background,Lower Secondary Level,Yes,0.04244,84,1896,0.03336,0.05151
1986,No migration background,Lower Secondary Level,No,0.94079,1812,1896,0.93017,0.95142
1986,No migration background,Upper Secondary Level,Yes,0.03784,161,3999,0.03193,0.04376
1986,No migration background,Upper Secondary Level,No,0.94660,3838,3999,0.93963,0.95357
1986,No migration background,Post-secondary Non-tertiary Level,No,0.94625,164,164,0.91162,0.98087
1986,No migration background,First Stage of Tertiary Education,No,0.95593,503,503,0.93798,0.97389
1986,No migration background,Second Stage of Tertiary Education,No,0.95787,605,605,0.94185,0.97389
1986,Direct migration background,Primary Level,Yes,0.06280,51,662,0.04431,0.08130
1986,Direct migration background,Primary Level,No,0.90679,611,662,0.88463,0.92896
1986,Direct migration background,Lower Secondary Level,Yes,0.05872,67,899,0.04335,0.07410
1986,Direct migration background,Lower Secondary Level,No,0.91788,832,899,0.89992,0.93583
1986,Direct migration background,Upper Secondary Level,Yes,0.06443,69,855,0.04796,0.08089
1986,Direct migration background,Upper Secondary Level,No,0.92191,786,855,0.90392,0.93991
1986,Direct migration background,Post-secondary Non-tertiary Level,No,0.92437,94,94,0.87064,0.97811
1986,Direct migration background,First Stage of Tertiary Education,No,0.92459,46,46,0.84744,1.00174
1986,Direct migration background,Second Stage of Tertiary Education,No,0.86841,101,101,0.80215,0.93466
1986,Indirect migration background,Lower Secondary Level,No,0.88051,55,55,0.79400,0.96703
1986,Indirect migration background,Upper Secondary Level,No,0.85492,54,54,0.76011,0.94974
1987,No migration background,Pre-primary Level,No,0.99194,149,149,0.97753,1.00635
1987,No migration background,Primary Level,No,0.82019,60,60,0.72219,0.91818
1987,No migration background,Lower Secondary Level,Yes,0.03864,73,1811,0.02976,0.04752
1987,No migration background,Lower Secondary Level,No,0.94754,1738,1811,0.93726,0.95781
1987,No migration background,Upper Secondary Level,Yes,0.03503,149,3994,0.02932,0.04073
1987,No migration background,Upper Secondary Level,No,0.95430,3845,3994,0.94783,0.96078
1987,No migration background,Post-secondary Non-tertiary Level,No,0.90991,161,161,0.86554,0.95427
1987,No migration background,First Stage of Tertiary Education,No,0.96623,488,488,0.95018,0.98227
1987,No migration background,Second Stage of Tertiary Education,No,0.96218,617,617,0.94712,0.97725
1987,Direct migration background,Primary Level,Yes,0.10377,64,665,0.08057,0.12696
1987,Direct migration background,Primary Level,No,0.89202,601,665,0.86841,0.91562
1987,Direct migration background,Lower Secondary Level,Yes,0.06106,72,936,0.04571,0.07640
1987,Direct migration background,Lower Secondary Level,No,0.93807,864,936,0.92262,0.95352
1987,Direct migration background,Upper Secondary Level,Yes,0.03830,53,853,0.02541,0.05118
1987,Direct migration background,Upper Secondary Level,No,0.94584,800,853,0.93065,0.96104
1987,Direct migration background,Post-secondary Non-tertiary Level,No,0.87454,91,91,0.80611,0.94298
1987,Direct migration background,First Stage of Tertiary Education,No,0.90278,49,49,0.81896,0.98659
1987,Direct migration background,Second Stage of Tertiary Education,No,0.88434,93,93,0.81898,0.94969
1987,Indirect migration background,Lower Secondary Level,No,0.83176,57,57,0.73378,0.92974
1987,Indirect migration background,Upper Secondary Level,No,0.94291,69,69,0.88776,0.99806
1988,No migration background,Pre-primary Level,No,0.97507,123,123,0.94740,1.00274
1988,No migration background,Primary Level,No,0.80053,53,53,0.69192,0.90914
1988,No migration background,Lower Secondary Level,Yes,0.04336,75,1706,0.03369,0.05303
1988,No migration background,Lower Secondary Level,No,0.94728,1631,1706,0.93668,0.95789
1988,No migration background,Upper Secondary Level,Yes,0.04290,162,3786,0.03644,0.04935
1988,No migration background,Upper Secondary Level,No,0.94622,3624,3786,0.93903,0.95341
1988,No migration background,Post-secondary Non-tertiary Level,No,0.97529,167,167,0.95167,0.99890
1988,No migration background,First Stage of Tertiary Education,No,0.98871,473,473,0.97918,0.99824
1988,No migration background,Second Stage of Tertiary Education,No,0.96897,592,592,0.95499,0.98295
1988,Direct migration background,Primary Level,Yes,0.10582,60,596,0.08111,0.13054
1988,Direct migration background,Primary Level,No,0.86235,536,596,0.83466,0.89003
1988,Direct migration background,Lower Secondary Level,Yes,0.05313,71,893,0.03841,0.06785
1988,Direct migration background,Lower Secondary Level,No,0.93572,822,893,0.91963,0.95182
1988,Direct migration background,Upper Secondary Level,Yes,0.06656,55,808,0.04936,0.08376
1988,Direct migration background,Upper Secondary Level,No,0.90818,753,808,0.88826,0.92811
1988,Direct migration background,Post-secondary Non-tertiary Level,No,0.85697,80,80,0.77977,0.93418
1988,Direct migration background,First Stage of Tertiary Education,No,0.97097,51,51,0.92443,1.01751
1988,Direct migration background,Second Stage of Tertiary Education,No,0.91026,78,78,0.84643,0.97410
1988,Indirect migration background,Lower Secondary Level,No,0.84983,75,75,0.76844,0.93123
1988,Indirect migration background,Upper Secondary Level,No,0.90219,80,80,0.83668,0.96770
1989,No migration background,Pre-primary Level,No,0.94779,115,115,0.90696,0.98863
1989,No migration background,Primary Level,No,0.81663,54,54,0.71245,0.92081
1989,No migration background,Lower Secondary Level,Yes,0.03295,59,1517,0.02396,0.04193
1989,No migration background,Lower Secondary Level,No,0.91582,1458,1517,0.90185,0.92980
1989,No migration background,Upper Secondary Level,Yes,0.03167,122,3587,0.02594,0.03740
1989,No migration background,Upper Secondary Level,No,0.93467,3465,3587,0.92658,0.94275
1989,No migration background,Post-secondary Non-tertiary Level,No,0.95062,182,182,0.91906,0.98219
1989,No migration background,First Stage of Tertiary Education,No,0.95208,440,440,0.93210,0.97206
1989,No migration background,Second Stage of Tertiary Education,No,0.95869,579,579,0.94246,0.97491
1989,Direct migration background,Primary Level,No,0.71253,397,397,0.66795,0.75710
1989,Direct migration background,Lower Secondary Level,Yes,0.03799,47,674,0.02354,0.05243
1989,Direct migration background,Lower Secondary Level,No,0.81535,627,674,0.78604,0.84467
1989,Direct migration background,Upper Secondary Level,Yes,0.05633,40,687,0.03907,0.07358
1989,Direct migration background,Upper Secondary Level,No,0.84519,647,687,0.81812,0.87226
1989,Direct migration background,Post-secondary Non-tertiary Level,No,0.68924,61,61,0.57214,0.80635
1989,Direct migration background,First Stage of Tertiary Education,No,0.98027,47,47,0.94007,1.02046
1989,Direct migration background,Second Stage of Tertiary Education,No,0.85933,73,73,0.77902,0.93964
1989,Indirect migration background,Lower Secondary Level,No,0.64962,71,71,0.53785,0.76138
1989,Indirect migration background,Upper Secondary Level,No,0.88663,66,66,0.80956,0.96371
1990,No migration background,Pre-primary Level,No,0.84122,96,96,0.76772,0.91471
1990,No migration background,Primary Level,No,0.81077,58,58,0.70908,0.91246
1990,No migration background,Lower Secondary Level,Yes,0.02985,50,1452,0.02109,0.03860
1990,No migration background,Lower Secondary Level,No,0.80736,1402,1452,0.78707,0.82765
1990,No migration background,Upper Secondary Level,Yes,0.02064,99,3518,0.01594,0.02534
1990,No migration background,Upper Secondary Level,No,0.72878,3419,3518,0.71409,0.74348
1990,No migration background,Post-secondary Non-tertiary Level,No,0.82712,184,184,0.77234,0.88191
1990,No migration background,First Stage of Tertiary Education,No,0.77394,439,439,0.73477,0.81311
1990,No migration background,Second Stage of Tertiary Education,No,0.57817,569,569,0.53755,0.61878
1990,Direct migration background,Primary Level,Yes,0.05866,31,523,0.03850,0.07881
1990,Direct migration background,Primary Level,No,0.88182,492,523,0.85413,0.90951
1990,Direct migration background,Lower Secondary Level,Yes,0.04924,53,815,0.03437,0.06410
1990,Direct migration background,Lower Secondary Level,No,0.86955,762,815,0.84641,0.89268
1990,Direct migration background,Upper Secondary Level,Yes,0.04623,43,759,0.03128,0.06117
1990,Direct migration background,Upper Secondary Level,No,0.81952,716,759,0.79214,0.84690
1990,Direct migration background,Post-secondary Non-tertiary Level,No,0.74663,73,73,0.64617,0.84710
1990,Direct migration background,First Stage of Tertiary Education,No,0.74386,42,42,0.61025,0.87747
1990,Direct migration background,Second Stage of Tertiary Education,No,0.74175,86,86,0.64871,0.83480
1990,Indirect migration background,Pre-primary Level,No,0.99151,33,33,0.95973,1.02330
1990,Indirect migration background,Lower Secondary Level,No,0.91533,110,110,0.86307,0.96759
1990,Indirect migration background,Upper Secondary Level,No,0.92576,88,88,0.87067,0.98085
1991,No migration background,Pre-primary Level,No,0.95396,103,103,0.91329,0.99463
1991,No migration background,Primary Level,No,0.88631,92,92,0.82109,0.95153
1991,No migration background,Lower Secondary Level,Yes,0.03128,81,1832,0.02330,0.03925
1991,No migration background,Lower Secondary Level,No,0.94353,1751,1832,0.93296,0.95410
1991,No migration background,Upper Secondary Level,Yes,0.04686,361,5846,0.04144,0.05228
1991,No migration background,Upper Secondary Level,No,0.93694,5485,5846,0.93071,0.94317
1991,No migration background,Post-secondary Non-tertiary Level,No,0.96088,257,257,0.93713,0.98463
1991,No migration background,First Stage of Tertiary Education,No,0.97194,670,670,0.95942,0.98445
1991,No migration background,Second Stage of Tertiary Education,Yes,0.04350,83,1541,0.03331,0.05369
1991,No migration background,Second Stage of Tertiary Education,No,0.94965,1458,1541,0.93873,0.96057
1991,Direct migration background,Primary Level,No,0.91719,485,485,0.89264,0.94174
1991,Direct migration background,Lower Secondary Level,Yes,0.05898,60,821,0.04286,0.07511
1991,Direct migration background,Lower Secondary Level,No,0.91735,761,821,0.89851,0.93620
1991,Direct migration background,Upper Secondary Level,Yes,0.04939,59,850,0.03482,0.06397
1991,Direct migration background,Upper Secondary Level,No,0.93137,791,850,0.91436,0.94838
1991,Direct migration background,Post-secondary Non-tertiary Level,No,0.75867,83,83,0.66606,0.85129
1991,Direct migration background,First Stage of Tertiary Education,No,0.95666,55,55,0.90234,1.01097
1991,Direct migration background,Second Stage of Tertiary Education,No,0.87796,114,114,0.81761,0.93832
1991,Indirect migration background,Pre-primary Level,No,0.97517,33,33,0.92126,1.02908
1991,Indirect migration background,Lower Secondary Level,No,0.94373,129,129,0.90381,0.98365
1991,Indirect migration background,Upper Secondary Level,No,0.95566,109,109,0.91683,0.99448
1992,No migration background,Pre-primary Level,No,0.98353,122,122,0.96084,1.00621
1992,No migration background,Primary Level,No,0.89081,77,77,0.82070,0.96093
1992,No migration background,Lower Secondary Level,Yes,0.04294,97,1729,0.03338,0.05250
1992,No migration background,Lower Secondary Level,No,0.91604,1632,1729,0.90296,0.92912
1992,No migration background,Upper Secondary Level,Yes,0.06094,460,5621,0.05468,0.06719
1992,No migration background,Upper Secondary Level,No,0.91248,5161,5621,0.90509,0.91987
1992,No migration background,Post-secondary Non-tertiary Level,No,0.95964,261,261,0.93572,0.98356
1992,No migration background,First Stage of Tertiary Education,No,0.94931,661,661,0.93258,0.96605
1992,No migration background,Second Stage of Tertiary Education,Yes,0.05262,115,1509,0.04135,0.06389
1992,No migration background,Second Stage of Tertiary Education,No,0.94001,1394,1509,0.92802,0.95199
1992,Direct migration background,Primary Level,Yes,0.11508,59,504,0.08719,0.14297
1992,Direct migration background,Primary Level,No,0.86918,445,504,0.83971,0.89865
1992,Direct migration background,Lower Secondary Level,Yes,0.06240,56,805,0.04568,0.07912
1992,Direct migration background,Lower Secondary Level,No,0.90830,749,805,0.88836,0.92825
1992,Direct migration background,Upper Secondary Level,Yes,0.04693,45,830,0.03253,0.06132
1992,Direct migration background,Upper Secondary Level,No,0.92481,785,830,0.90686,0.94276
1992,Direct migration background,Post-secondary Non-tertiary Level,No,0.80656,84,84,0.72158,0.89154
1992,Direct migration background,First Stage of Tertiary Education,No,0.93242,57,57,0.86667,0.99816
1992,Direct migration background,Second Stage of Tertiary Education,No,0.88596,117,117,0.82811,0.94380
1992,Indirect migration background,Pre-primary Level,No,0.96587,48,48,0.91396,1.01778
1992,Indirect migration background,Lower Secondary Level,No,0.91006,157,157,0.86516,0.95495
1992,Indirect migration background,Upper Secondary Level,No,0.89114,109,109,0.83240,0.94988
1993,No migration background,Pre-primary Level,No,0.97304,123,123,0.94430,1.00178
1993,No migration background,Primary Level,No,0.91653,79,79,0.85515,0.97791
1993,No migration background,Lower Secondary Level,Yes,0.04367,100,1682,0.03390,0.05344
1993,No migration background,Lower Secondary Level,No,0.94207,1582,1682,0.93090,0.95324
1993,No migration background,Upper Secondary Level,Yes,0.06921,497,5643,0.06259,0.07583
1993,No migration background,Upper Secondary Level,No,0.92302,5146,5643,0.91606,0.92998
1993,No migration background,Post-secondary Non-tertiary Level,No,0.96318,264,264,0.94042,0.98594
1993,No migration background,First Stage of Tertiary Education,Yes,0.04966,40,669,0.03318,0.06613
1993,No migration background,First Stage of Tertiary Education,No,0.93184,629,669,0.91272,0.95095
1993,No migration background,Second Stage of Tertiary Education,Yes,0.06024,102,1490,0.04815,0.07232
1993,No migration background,Second Stage of Tertiary Education,No,0.93440,1388,1490,0.92183,0.94698
1993,Direct migration background,Primary Level,Yes,0.07020,39,476,0.04722,0.09318
1993,Direct migration background,Primary Level,No,0.86567,437,476,0.83501,0.89634
1993,Direct migration background,Lower Secondary Level,Yes,0.05719,62,759,0.04066,0.07372
1993,Direct migration background,Lower Secondary Level,No,0.91556,697,759,0.89577,0.93536
1993,Direct migration background,Upper Secondary Level,Yes,0.06701,60,815,0.04984,0.08419
1993,Direct migration background,Upper Secondary Level,No,0.91696,755,815,0.89800,0.93592
1993,Direct migration background,Post-secondary Non-tertiary Level,No,0.88208,82,82,0.81185,0.95232
1993,Direct migration background,First Stage of Tertiary Education,No,0.98067,54,54,0.94361,1.01774
1993,Direct migration background,Second Stage of Tertiary Education,No,0.89184,118,118,0.83557,0.94812
1993,Indirect migration background,Pre-primary Level,No,0.87243,41,41,0.76904,0.97581
1993,Indirect migration background,Lower Secondary Level,No,0.94923,183,183,0.91734,0.98113
1993,Indirect migration background,Upper Secondary Level,No,0.89972,131,131,0.84809,0.95136
1994,No migration background,Pre-primary Level,No,0.97905,164,164,0.95707,1.00104
1994,No migration background,Primary Level,No,0.84788,60,60,0.75624,0.93952
1994,No migration background,Lower Secondary Level,Yes,0.05281,107,1591,0.04182,0.06380
1994,No migration background,Lower Secondary Level,No,0.94038,1484,1591,0.92874,0.95202
1994,No migration background,Upper Secondary Level,Yes,0.07812,538,5559,0.07106,0.08518
1994,No migration background,Upper Secondary Level,No,0.91394,5021,5559,0.90657,0.92132
1994,No migration background,Post-secondary Non-tertiary Level,No,0.97408,278,278,0.95537,0.99279
1994,No migration background,First Stage of Tertiary Education,Yes,0.05540,50,676,0.03814,0.07265
1994,No migration background,First Stage of Tertiary Education,No,0.93331,626,676,0.91449,0.95213
1994,No migration background,Second Stage of Tertiary Education,Yes,0.05414,93,1512,0.04273,0.06555
1994,No migration background,Second Stage of Tertiary Education,No,0.93947,1419,1512,0.92745,0.95149
1994,Direct migration background,Primary Level,Yes,0.08494,52,461,0.05946,0.11042
1994,Direct migration background,Primary Level,No,0.89737,409,461,0.86964,0.92510
1994,Direct migration background,Lower Secondary Level,Yes,0.10323,79,702,0.08071,0.12576
1994,Direct migration background,Lower Secondary Level,No,0.88447,623,702,0.86081,0.90813
1994,Direct migration background,Upper Secondary Level,Yes,0.07682,76,809,0.05846,0.09518
1994,Direct migration background,Upper Secondary Level,No,0.91452,733,809,0.89524,0.93380
1994,Direct migration background,Post-secondary Non-tertiary Level,No,0.87359,75,75,0.79787,0.94930
1994,Direct migration background,First Stage of Tertiary Education,No,0.88593,53,53,0.79953,0.97234
1994,Direct migration background,Second Stage of Tertiary Education,No,0.88455,113,113,0.82536,0.94373
1994,Indirect migration background,Pre-primary Level,No,0.87561,55,55,0.78759,0.96364
1994,Indirect migration background,Lower Secondary Level,No,0.92983,164,164,0.89062,0.96905
1994,Indirect migration background,Upper Secondary Level,No,0.88131,137,137,0.82696,0.93567
1995,No migration background,Pre-primary Level,No,0.97970,187,187,0.95943,0.99997
1995,No migration background,Primary Level,No,0.89902,52,52,0.81633,0.98172
1995,No migration background,Lower Secondary Level,Yes,0.05187,111,1518,0.04071,0.06304
1995,No migration background,Lower Secondary Level,No,0.92684,1407,1518,0.91374,0.93995
1995,No migration background,Upper Secondary Level,Yes,0.07501,479,5503,0.06805,0.08197
1995,No migration background,Upper Secondary Level,No,0.91194,5024,5503,0.90445,0.91943
1995,No migration background,Post-secondary Non-tertiary Level,No,0.97631,294,294,0.95890,0.99373
1995,No migration background,First Stage of Tertiary Education,Yes,0.05284,35,681,0.03602,0.06965
1995,No migration background,First Stage of Tertiary Education,No,0.93585,646,681,0.91743,0.95426
1995,No migration background,Second Stage of Tertiary Education,Yes,0.04391,77,1541,0.03368,0.05415
1995,No migration background,Second Stage of Tertiary Education,No,0.95028,1464,1541,0.93942,0.96113
1995,Direct migration background,Pre-primary Level,No,0.88586,34,34,0.77737,0.99435
1995,Direct migration background,Primary Level,Yes,0.11713,55,450,0.08738,0.14687
1995,Direct migration background,Primary Level,No,0.87346,395,450,0.84271,0.90421
1995,Direct migration background,Lower Secondary Level,Yes,0.12192,82,765,0.09872,0.14513
1995,Direct migration background,Lower Secondary Level,No,0.85130,683,765,0.82607,0.87653
1995,Direct migration background,Upper Secondary Level,Yes,0.07940,97,980,0.06247,0.09634
1995,Direct migration background,Upper Secondary Level,No,0.91113,883,980,0.89330,0.92895
1995,Direct migration background,Post-secondary Non-tertiary Level,No,0.84966,132,132,0.78846,0.91087
1995,Direct migration background,First Stage of Tertiary Education,No,0.91740,51,51,0.84110,0.99370
1995,Direct migration background,Second Stage of Tertiary Education,No,0.84728,168,168,0.79272,0.90184
1995,Indirect migration background,Pre-primary Level,No,0.90578,49,49,0.82314,0.98843
1995,Indirect migration background,Lower Secondary Level,No,0.88431,146,146,0.83224,0.93637
1995,Indirect migration background,Upper Secondary Level,No,0.90702,162,162,0.86216,0.95188
1996,No migration background,Pre-primary Level,No,0.93874,193,193,0.90482,0.97266
1996,No migration background,Primary Level,No,0.88069,49,49,0.78898,0.97239
1996,No migration background,Lower Secondary Level,Yes,0.05392,94,1452,0.04229,0.06554
1996,No migration background,Lower Secondary Level,No,0.91691,1358,1452,0.90270,0.93111
