,Unnamed: 0,year,sampreg,sex,plb0021,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,West,male,Yes,0.05216,305,10867,0.04821,0.0559
1,1,1985,West,male,No,0.94784,5052,10867,0.93401,0.96145
2,2,1985,West,female,Yes,0.03573,246,10867,0.03266,0.03853
3,3,1985,West,female,No,0.96427,5264,10867,0.95046,0.97947
4,4,1986,West,male,Yes,0.04292,250,10389,0.03938,0.04679
5,5,1986,West,male,No,0.95708,4900,10389,0.94339,0.97268
6,6,1986,West,female,Yes,0.0416,264,10389,0.03819,0.04528
7,7,1986,West,female,No,0.9584,4975,10389,0.94232,0.97542
8,8,1987,West,male,Yes,0.04354,264,10354,0.03981,0.04794
9,9,1987,West,male,No,0.95646,4872,10354,0.94215,0.97287
10,10,1987,West,female,Yes,0.0365,236,10354,0.03268,0.03999
11,11,1987,West,female,No,0.9635,4982,10354,0.94784,0.9786
12,12,1988,West,male,Yes,0.04632,267,9815,0.04199,0.05071
13,13,1988,West,male,No,0.95368,4591,9815,0.93784,0.97032
14,14,1988,West,female,Yes,0.03855,225,9815,0.03445,0.04235
15,15,1988,West,female,No,0.96145,4732,9815,0.94741,0.97676
16,16,1989,West,male,Yes,0.03562,189,8808,0.03146,0.03914
17,17,1989,West,male,No,0.96438,4192,8808,0.94898,0.98216
18,18,1989,West,female,Yes,0.03249,170,8808,0.02917,0.03656
19,19,1989,West,female,No,0.96751,4257,8808,0.95086,0.98468
20,20,1990,West,male,Yes,0.03517,186,9112,0.03057,0.03964
21,21,1990,West,male,No,0.96483,4309,9112,0.94689,0.98367
22,22,1990,West,female,Yes,0.02929,156,9112,0.02593,0.03291
23,23,1990,West,female,No,0.97071,4461,9112,0.95257,0.98669
24,24,1991,West,male,Yes,0.03758,216,13356,0.03347,0.0418
25,25,1991,West,male,No,0.96242,4350,13356,0.94734,0.98011
26,26,1991,West,female,Yes,0.02361,136,13356,0.02056,0.02676
27,27,1991,West,female,No,0.97639,4548,13356,0.9584,0.99237
28,28,1991,East,male,Yes,0.08689,164,13356,0.0786,0.09512
29,29,1991,East,male,No,0.91311,1800,13356,0.89089,0.9378
30,30,1991,East,female,Yes,0.10402,241,13356,0.09855,0.11055
31,31,1991,East,female,No,0.89598,1901,13356,0.87473,0.92107
32,32,1992,West,male,Yes,0.03661,191,13027,0.03209,0.04123
33,33,1992,West,male,No,0.96339,4286,13027,0.94515,0.98112
34,34,1992,West,female,Yes,0.02994,171,13027,0.02647,0.03371
35,35,1992,West,female,No,0.97006,4467,13027,0.95281,0.99124
36,36,1992,East,male,Yes,0.12511,211,13027,0.11599,0.13509
37,37,1992,East,male,No,0.87489,1652,13027,0.8521,0.89683
38,38,1992,East,female,Yes,0.1636,358,13027,0.15631,0.17141
39,39,1992,East,female,No,0.8364,1691,13027,0.81267,0.85956
40,40,1993,West,male,Yes,0.04617,232,12916,0.04121,0.05122
41,41,1993,West,male,No,0.95383,4252,12916,0.93427,0.97311
42,42,1993,West,female,Yes,0.03404,198,12916,0.0299,0.03796
43,43,1993,West,female,No,0.96596,4443,12916,0.94832,0.98484
44,44,1993,East,male,Yes,0.13265,215,12916,0.12402,0.14287
45,45,1993,East,male,No,0.86735,1586,12916,0.84526,0.88853
46,46,1993,East,female,Yes,0.15962,338,12916,0.15079,0.16711
47,47,1993,East,female,No,0.84038,1652,12916,0.81867,0.86237
48,48,1994,West,male,Yes,0.05847,297,12768,0.05286,0.06348
49,49,1994,West,male,No,0.94153,4087,12768,0.92317,0.95975
50,50,1994,West,female,Yes,0.04265,247,12768,0.03848,0.04755
51,51,1994,West,female,No,0.95735,4397,12768,0.93565,0.97735
52,52,1994,East,male,Yes,0.13311,217,12768,0.12404,0.14416
53,53,1994,East,male,No,0.86689,1560,12768,0.84366,0.89169
54,54,1994,East,female,Yes,0.16542,338,12768,0.15654,0.17391
55,55,1994,East,female,No,0.83458,1625,12768,0.80744,0.85708
56,56,1995,West,male,Yes,0.06111,312,13123,0.05462,0.06717
57,57,1995,West,male,No,0.93889,4312,13123,0.91603,0.96345
58,58,1995,West,female,Yes,0.0513,296,13123,0.04663,0.05649
59,59,1995,West,female,No,0.9487,4566,13123,0.92731,0.96959
60,60,1995,East,male,Yes,0.10577,170,13123,0.09831,0.11736
