year,age_gr,migback,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,No migration background,Yes,0.06128,127,2192,0.05124,0.07132
1985,17-29 y.,No migration background,No,0.93872,2065,2192,0.92868,0.94876
1985,17-29 y.,Direct migration background,Yes,0.08451,83,798,0.06520,0.10382
1985,17-29 y.,Direct migration background,No,0.91549,715,798,0.89618,0.93480
1985,17-29 y.,Indirect migration background,No,0.95756,102,102,0.91824,0.99688
1985,30-45 y.,No migration background,Yes,0.05191,110,2260,0.04276,0.06106
1985,30-45 y.,No migration background,No,0.94809,2150,2260,0.93894,0.95724
1985,30-45 y.,Direct migration background,Yes,0.08152,72,1163,0.06578,0.09725
1985,30-45 y.,Direct migration background,No,0.91848,1091,1163,0.90275,0.93422
1985,46-65 y.,No migration background,Yes,0.03903,88,2402,0.03128,0.04678
1985,46-65 y.,No migration background,No,0.96097,2314,2402,0.95322,0.96872
1985,46-65 y.,Direct migration background,Yes,0.05811,63,834,0.04223,0.07400
1985,46-65 y.,Direct migration background,No,0.94189,771,834,0.92600,0.95777
1986,17-29 y.,No migration background,Yes,0.05618,112,2105,0.04634,0.06602
1986,17-29 y.,No migration background,No,0.94382,1993,2105,0.93398,0.95366
1986,17-29 y.,Direct migration background,Yes,0.08747,76,782,0.06766,0.10729
1986,17-29 y.,Direct migration background,No,0.91253,706,782,0.89271,0.93234
1986,17-29 y.,Indirect migration background,No,0.89818,114,114,0.84242,0.95394
1986,30-45 y.,No migration background,Yes,0.05029,100,2100,0.04094,0.05964
1986,30-45 y.,No migration background,No,0.94971,2000,2100,0.94036,0.95906
1986,30-45 y.,Direct migration background,Yes,0.08447,67,1082,0.06789,0.10105
1986,30-45 y.,Direct migration background,No,0.91553,1015,1082,0.89895,0.93211
1986,46-65 y.,No migration background,Yes,0.04017,88,2312,0.03216,0.04818
1986,46-65 y.,No migration background,No,0.95983,2224,2312,0.95182,0.96784
1986,46-65 y.,Direct migration background,Yes,0.05315,65,847,0.03803,0.06826
1986,46-65 y.,Direct migration background,No,0.94685,782,847,0.93174,0.96197
1987,17-29 y.,No migration background,Yes,0.05034,99,2047,0.04087,0.05982
1987,17-29 y.,No migration background,No,0.94966,1948,2047,0.94018,0.95913
1987,17-29 y.,Direct migration background,Yes,0.07889,69,792,0.06011,0.09768
1987,17-29 y.,Direct migration background,No,0.92111,723,792,0.90232,0.93989
1987,17-29 y.,Indirect migration background,No,0.89415,131,131,0.84126,0.94704
1987,30-45 y.,No migration background,Yes,0.03891,78,2086,0.03061,0.04721
1987,30-45 y.,No migration background,No,0.96109,2008,2086,0.95279,0.96939
1987,30-45 y.,Direct migration background,Yes,0.06340,56,1045,0.04861,0.07818
1987,30-45 y.,Direct migration background,No,0.93660,989,1045,0.92182,0.95139
1987,46-65 y.,No migration background,Yes,0.04658,99,2261,0.03789,0.05527
1987,46-65 y.,No migration background,No,0.95342,2162,2261,0.94473,0.96211
1987,46-65 y.,Direct migration background,Yes,0.07439,90,904,0.05728,0.09151
1987,46-65 y.,Direct migration background,No,0.92561,814,904,0.90849,0.94272
1988,17-29 y.,No migration background,Yes,0.05320,100,1897,0.04309,0.06330
1988,17-29 y.,No migration background,No,0.94680,1797,1897,0.93670,0.95691
1988,17-29 y.,Direct migration background,Yes,0.06426,65,750,0.04670,0.08183
1988,17-29 y.,Direct migration background,No,0.93574,685,750,0.91817,0.95330
1988,17-29 y.,Indirect migration background,No,0.91164,176,176,0.86959,0.95369
1988,30-45 y.,No migration background,Yes,0.04694,83,1980,0.03762,0.05626
1988,30-45 y.,No migration background,No,0.95306,1897,1980,0.94374,0.96238
1988,30-45 y.,Direct migration background,Yes,0.06503,45,908,0.04898,0.08108
1988,30-45 y.,Direct migration background,No,0.93497,863,908,0.91892,0.95102
1988,46-65 y.,No migration background,Yes,0.04491,89,2168,0.03619,0.05363
1988,46-65 y.,No migration background,No,0.95509,2079,2168,0.94637,0.96381
1988,46-65 y.,Direct migration background,Yes,0.09478,100,878,0.07539,0.11416
1988,46-65 y.,Direct migration background,No,0.90522,778,878,0.88584,0.92461
1988,66 and older,No migration background,No,0.99869,957,957,0.99639,1.00098
1989,17-29 y.,No migration background,Yes,0.03920,73,1803,0.03024,0.04817
1989,17-29 y.,No migration background,No,0.96080,1730,1803,0.95183,0.96976
