year,pgisced97,sex,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No answer / don't know,male,No,0.98199,46,46,0.94313,1.02085
1985,No answer / don't know,female,No,0.98245,60,60,0.94895,1.01596
1985,Primary Level,male,Yes,0.15818,41,339,0.11927,0.19708
1985,Primary Level,male,No,0.84182,298,339,0.80292,0.88073
1985,Primary Level,female,Yes,0.11491,37,464,0.08586,0.14396
1985,Primary Level,female,No,0.88509,427,464,0.85604,0.91414
1985,Lower Secondary Level,male,Yes,0.06780,69,1014,0.05231,0.08328
1985,Lower Secondary Level,male,No,0.93220,945,1014,0.91672,0.94769
1985,Lower Secondary Level,female,Yes,0.03053,84,1995,0.02298,0.03809
1985,Lower Secondary Level,female,No,0.96947,1911,1995,0.96191,0.97702
1985,Upper Secondary Level,male,Yes,0.05299,157,2814,0.04471,0.06127
1985,Upper Secondary Level,male,No,0.94701,2657,2814,0.93873,0.95529
1985,Upper Secondary Level,female,Yes,0.03686,99,2313,0.02918,0.04454
1985,Upper Secondary Level,female,No,0.96314,2214,2313,0.95546,0.97082
1985,Post-secondary Non-tertiary Level,male,No,0.92461,156,156,0.88305,0.96618
1985,Post-secondary Non-tertiary Level,female,No,0.91691,92,92,0.86020,0.97362
1985,First Stage of Tertiary Education,male,No,0.97555,347,347,0.95927,0.99182
1985,First Stage of Tertiary Education,female,No,0.96308,246,246,0.93947,0.98669
1985,Second Stage of Tertiary Education,male,No,0.97007,491,491,0.95498,0.98516
1985,Second Stage of Tertiary Education,female,No,0.97805,239,239,0.95944,0.99667
1986,No answer / don't know,male,No,0.95321,48,48,0.89283,1.01359
1986,No answer / don't know,female,No,0.91411,57,57,0.84072,0.98750
1986,Pre-primary Level,male,No,0.98909,112,112,0.96976,1.00841
1986,Pre-primary Level,female,No,0.99526,69,69,0.97893,1.01159
1986,Primary Level,male,Yes,0.10542,32,312,0.07129,0.13955
1986,Primary Level,male,No,0.89458,280,312,0.86045,0.92871
1986,Primary Level,female,Yes,0.09130,31,439,0.06432,0.11827
1986,Primary Level,female,No,0.90870,408,439,0.88173,0.93568
1986,Lower Secondary Level,male,Yes,0.06067,60,991,0.04580,0.07554
1986,Lower Secondary Level,male,No,0.93933,931,991,0.92446,0.95420
1986,Lower Secondary Level,female,Yes,0.03980,93,1861,0.03091,0.04868
1986,Lower Secondary Level,female,No,0.96020,1768,1861,0.95132,0.96909
1986,Upper Secondary Level,male,Yes,0.03979,121,2699,0.03241,0.04716
1986,Upper Secondary Level,male,No,0.96021,2578,2699,0.95284,0.96759
1986,Upper Secondary Level,female,Yes,0.04152,113,2213,0.03321,0.04983
1986,Upper Secondary Level,female,No,0.95848,2100,2213,0.95017,0.96679
1986,Post-secondary Non-tertiary Level,male,No,0.94243,152,152,0.90528,0.97958
1986,Post-secondary Non-tertiary Level,female,No,0.96151,107,107,0.92489,0.99813
1986,First Stage of Tertiary Education,male,No,0.97742,319,319,0.96109,0.99375
1986,First Stage of Tertiary Education,female,No,0.96906,236,236,0.94692,0.99120
1986,Second Stage of Tertiary Education,male,No,0.96256,480,480,0.94555,0.97956
1986,Second Stage of Tertiary Education,female,No,0.95361,230,230,0.92636,0.98085
1987,No answer / don't know,male,No,0.90277,56,56,0.82448,0.98107
1987,No answer / don't know,female,No,0.97665,57,57,0.93710,1.01620
1987,Pre-primary Level,male,No,0.99876,100,100,0.99182,1.00569
1987,Primary Level,male,Yes,0.14800,41,308,0.10827,0.18772
1987,Primary Level,male,No,0.85200,267,308,0.81228,0.89173
1987,Primary Level,female,Yes,0.10654,36,439,0.07765,0.13544
1987,Primary Level,female,No,0.89346,403,439,0.86456,0.92235
1987,Lower Secondary Level,male,Yes,0.07696,77,994,0.06038,0.09353
1987,Lower Secondary Level,male,No,0.92304,917,994,0.90647,0.93962
1987,Lower Secondary Level,female,Yes,0.03007,72,1814,0.02221,0.03793
1987,Lower Secondary Level,female,No,0.96993,1742,1814,0.96207,0.97779
1987,Upper Secondary Level,male,Yes,0.03455,105,2708,0.02767,0.04144
1987,Upper Secondary Level,male,No,0.96545,2603,2708,0.95856,0.97233
1987,Upper Secondary Level,female,Yes,0.03721,101,2212,0.02932,0.04510
1987,Upper Secondary Level,female,No,0.96279,2111,2212,0.95490,0.97068
1987,Post-secondary Non-tertiary Level,male,No,0.91729,144,144,0.87214,0.96243
1987,Post-secondary Non-tertiary Level,female,No,0.93284,109,109,0.88563,0.98004
1987,First Stage of Tertiary Education,male,No,0.97777,308,308,0.96128,0.99426
1987,First Stage of Tertiary Education,female,No,0.97035,235,235,0.94862,0.99208
1987,Second Stage of Tertiary Education,male,No,0.96705,477,477,0.95102,0.98309
1987,Second Stage of Tertiary Education,female,No,0.95253,237,237,0.92540,0.97966
1988,No answer / don't know,male,No,0.92403,65,65,0.85912,0.98894
1988,No answer / don't know,female,No,0.92219,61,61,0.85441,0.98997
1988,Pre-primary Level,male,No,0.99467,88,88,0.97938,1.00997
1988,Primary Level,male,No,0.85856,235,235,0.81391,0.90321
1988,Primary Level,female,Yes,0.12328,42,406,0.09126,0.15530
1988,Primary Level,female,No,0.87672,364,406,0.84470,0.90874
1988,Lower Secondary Level,male,Yes,0.07271,76,959,0.05627,0.08915
1988,Lower Secondary Level,male,No,0.92729,883,959,0.91085,0.94373
1988,Lower Secondary Level,female,Yes,0.03587,74,1719,0.02707,0.04466
1988,Lower Secondary Level,female,No,0.96413,1645,1719,0.95534,0.97293
1988,Upper Secondary Level,male,Yes,0.04619,125,2552,0.03804,0.05433
1988,Upper Secondary Level,male,No,0.95381,2427,2552,0.94567,0.96196
1988,Upper Secondary Level,female,Yes,0.04383,95,2125,0.03513,0.05254
1988,Upper Secondary Level,female,No,0.95617,2030,2125,0.94746,0.96487
1988,Post-secondary Non-tertiary Level,male,No,0.96406,136,136,0.93266,0.99546
1988,Post-secondary Non-tertiary Level,female,No,0.98842,114,114,0.96870,1.00815
1988,First Stage of Tertiary Education,male,No,0.99533,307,307,0.98769,1.00297
1988,First Stage of Tertiary Education,female,No,0.98852,224,224,0.97453,1.00250
1988,Second Stage of Tertiary Education,male,No,0.96768,450,450,0.95132,0.98404
1988,Second Stage of Tertiary Education,female,No,0.98475,224,224,0.96867,1.00083
1989,No answer / don't know,male,No,0.94563,56,56,0.88570,1.00555
1989,No answer / don't know,female,No,0.88914,55,55,0.80541,0.97288
1989,Primary Level,male,No,0.91299,189,189,0.87269,0.95328
1989,Primary Level,female,No,0.89473,272,272,0.85819,0.93127
1989,Lower Secondary Level,male,Yes,0.06239,57,783,0.04544,0.07934
1989,Lower Secondary Level,male,No,0.93761,726,783,0.92066,0.95456
1989,Lower Secondary Level,female,Yes,0.02772,55,1485,0.01937,0.03607
1989,Lower Secondary Level,female,No,0.97228,1430,1485,0.96393,0.98063
1989,Upper Secondary Level,male,Yes,0.03653,91,2377,0.02899,0.04407
1989,Upper Secondary Level,male,No,0.96347,2286,2377,0.95593,0.97101
1989,Upper Secondary Level,female,Yes,0.03298,73,1965,0.02508,0.04088
1989,Upper Secondary Level,female,No,0.96702,1892,1965,0.95912,0.97492
1989,Post-secondary Non-tertiary Level,male,No,0.96035,129,129,0.92654,0.99415
1989,Post-secondary Non-tertiary Level,female,No,0.98263,118,118,0.95896,1.00630
1989,First Stage of Tertiary Education,male,No,0.99475,282,282,0.98631,1.00320
1989,First Stage of Tertiary Education,female,No,0.95901,209,209,0.93206,0.98595
1989,Second Stage of Tertiary Education,male,No,0.98432,445,445,0.97277,0.99588
1989,Second Stage of Tertiary Education,female,No,0.97478,210,210,0.95353,0.99604
1990,No answer / don't know,male,No,0.92755,69,69,0.86593,0.98916
1990,No answer / don't know,female,No,0.94044,74,74,0.88614,0.99473
1990,Pre-primary Level,male,No,0.98694,86,86,0.96281,1.01108
1990,Pre-primary Level,female,No,0.99579,68,68,0.98029,1.01129
1990,Primary Level,male,No,0.91492,229,229,0.87871,0.95114
1990,Primary Level,female,No,0.92632,338,338,0.89842,0.95421
1990,Lower Secondary Level,male,Yes,0.07239,55,836,0.05481,0.08997
1990,Lower Secondary Level,male,No,0.92761,781,836,0.91003,0.94519
1990,Lower Secondary Level,female,Yes,0.02528,51,1544,0.01745,0.03311
1990,Lower Secondary Level,female,No,0.97472,1493,1544,0.96689,0.98255
1990,Upper Secondary Level,male,Yes,0.02873,79,2363,0.02199,0.03547
1990,Upper Secondary Level,male,No,0.97127,2284,2363,0.96453,0.97801
1990,Upper Secondary Level,female,Yes,0.03056,66,2005,0.02302,0.03809
1990,Upper Secondary Level,female,No,0.96944,1939,2005,0.96191,0.97698
1990,Post-secondary Non-tertiary Level,male,No,0.95135,145,145,0.91622,0.98649
1990,Post-secondary Non-tertiary Level,female,No,0.99245,119,119,0.97684,1.00807
1990,First Stage of Tertiary Education,male,No,0.98279,270,270,0.96724,0.99833
1990,First Stage of Tertiary Education,female,No,0.96134,217,217,0.93563,0.98705
1990,Second Stage of Tertiary Education,male,No,0.97810,445,445,0.96449,0.99171
1990,Second Stage of Tertiary Education,female,No,0.97618,213,213,0.95565,0.99671
1991,No answer / don't know,male,No,0.99516,82,82,0.98004,1.01028
1991,No answer / don't know,female,No,0.90561,89,89,0.84453,0.96670
1991,Pre-primary Level,male,No,0.99621,88,88,0.98329,1.00913
1991,Primary Level,male,No,0.91568,232,232,0.87985,0.95152
1991,Primary Level,female,No,0.94700,361,361,0.92385,0.97014
1991,Lower Secondary Level,male,Yes,0.06203,69,958,0.04675,0.07732
1991,Lower Secondary Level,male,No,0.93797,889,958,0.92268,0.95325
1991,Lower Secondary Level,female,Yes,0.02658,76,1828,0.01920,0.03395
1991,Lower Secondary Level,female,No,0.97342,1752,1828,0.96605,0.98080
1991,Upper Secondary Level,male,Yes,0.04906,215,3528,0.04193,0.05619
1991,Upper Secondary Level,male,No,0.95094,3313,3528,0.94381,0.95807
1991,Upper Secondary Level,female,Yes,0.04626,211,3283,0.03907,0.05344
1991,Upper Secondary Level,female,No,0.95374,3072,3283,0.94656,0.96093
1991,Post-secondary Non-tertiary Level,male,No,0.94106,199,199,0.90826,0.97387
1991,Post-secondary Non-tertiary Level,female,No,0.93758,150,150,0.89874,0.97643
1991,First Stage of Tertiary Education,male,No,0.97560,475,475,0.96170,0.98949
1991,First Stage of Tertiary Education,female,No,0.99232,255,255,0.98158,1.00306
1991,Second Stage of Tertiary Education,male,Yes,0.04359,47,919,0.03038,0.05680
1991,Second Stage of Tertiary Education,male,No,0.95641,872,919,0.94320,0.96962
1991,Second Stage of Tertiary Education,female,Yes,0.05710,47,749,0.04047,0.07373
1991,Second Stage of Tertiary Education,female,No,0.94290,702,749,0.92627,0.95953
1992,No answer / don't know,male,No,0.93853,82,82,0.88622,0.99084
1992,No answer / don't know,female,No,0.95092,95,95,0.90724,0.99459
1992,Pre-primary Level,male,No,0.99576,91,91,0.98234,1.00918
1992,Primary Level,male,No,0.89024,224,224,0.84921,0.93127
1992,Primary Level,female,Yes,0.10727,44,366,0.07552,0.13902
1992,Primary Level,female,No,0.89273,322,366,0.86098,0.92448
1992,Lower Secondary Level,male,Yes,0.07719,73,947,0.06018,0.09420
1992,Lower Secondary Level,male,No,0.92281,874,947,0.90580,0.93982
1992,Lower Secondary Level,female,Yes,0.03659,85,1749,0.02779,0.04539
1992,Lower Secondary Level,female,No,0.96341,1664,1749,0.95461,0.97221
1992,Upper Secondary Level,male,Yes,0.05561,212,3360,0.04786,0.06336
1992,Upper Secondary Level,male,No,0.94439,3148,3360,0.93664,0.95214
1992,Upper Secondary Level,female,Yes,0.06747,301,3208,0.05879,0.07616
1992,Upper Secondary Level,female,No,0.93253,2907,3208,0.92384,0.94121
1992,Post-secondary Non-tertiary Level,male,No,0.94333,202,202,0.91137,0.97530
1992,Post-secondary Non-tertiary Level,female,No,0.95897,155,155,0.92763,0.99030
1992,First Stage of Tertiary Education,male,No,0.97100,469,469,0.95580,0.98620
1992,First Stage of Tertiary Education,female,No,0.96085,256,256,0.93705,0.98466
1992,Second Stage of Tertiary Education,male,Yes,0.04312,53,901,0.02985,0.05639
1992,Second Stage of Tertiary Education,male,No,0.95688,848,901,0.94361,0.97015
1992,Second Stage of Tertiary Education,female,Yes,0.07514,74,740,0.05613,0.09414
1992,Second Stage of Tertiary Education,female,No,0.92486,666,740,0.90586,0.94387
1993,No answer / don't know,male,No,0.91682,81,81,0.85631,0.97734
1993,No answer / don't know,female,No,0.94695,93,93,0.90115,0.99275
1993,Pre-primary Level,female,No,0.98298,93,93,0.95655,1.00941
1993,Primary Level,male,No,0.88657,219,219,0.84447,0.92866
1993,Primary Level,female,No,0.94722,317,317,0.92257,0.97188
1993,Lower Secondary Level,male,Yes,0.06427,77,924,0.04845,0.08009
1993,Lower Secondary Level,male,No,0.93573,847,924,0.91991,0.95155
1993,Lower Secondary Level,female,Yes,0.03832,89,1704,0.02920,0.04744
1993,Lower Secondary Level,female,No,0.96168,1615,1704,0.95256,0.97080
1993,Upper Secondary Level,male,Yes,0.06490,235,3361,0.05657,0.07323
1993,Upper Secondary Level,male,No,0.93510,3126,3361,0.92677,0.94343
1993,Upper Secondary Level,female,Yes,0.07410,330,3236,0.06507,0.08313
1993,Upper Secondary Level,female,No,0.92590,2906,3236,0.91687,0.93493
1993,Post-secondary Non-tertiary Level,male,No,0.97491,206,206,0.95350,0.99632
1993,Post-secondary Non-tertiary Level,female,No,0.93809,150,150,0.89939,0.97678
1993,First Stage of Tertiary Education,male,No,0.93974,436,436,0.91738,0.96210
1993,First Stage of Tertiary Education,female,No,0.97200,255,255,0.95171,0.99229
1993,Second Stage of Tertiary Education,male,Yes,0.06383,63,906,0.04791,0.07976
1993,Second Stage of Tertiary Education,male,No,0.93617,843,906,0.92024,0.95209
1993,Second Stage of Tertiary Education,female,Yes,0.06741,53,719,0.04907,0.08576
1993,Second Stage of Tertiary Education,female,No,0.93259,666,719,0.91424,0.95093
1994,No answer / don't know,male,No,0.91541,88,88,0.85694,0.97388
1994,No answer / don't know,female,No,0.96244,110,110,0.92675,0.99814
1994,Pre-primary Level,male,No,0.97644,99,99,0.94641,1.00647
1994,Primary Level,male,Yes,0.14281,31,223,0.09679,0.18884
1994,Primary Level,male,No,0.85719,192,223,0.81116,0.90321
1994,Primary Level,female,Yes,0.08474,35,327,0.05450,0.11497
1994,Primary Level,female,No,0.91526,292,327,0.88503,0.94550
1994,Lower Secondary Level,male,Yes,0.09916,94,850,0.07905,0.11926
1994,Lower Secondary Level,male,No,0.90084,756,850,0.88074,0.92095
1994,Lower Secondary Level,female,Yes,0.04739,108,1623,0.03705,0.05773
1994,Lower Secondary Level,female,No,0.95261,1515,1623,0.94227,0.96295
1994,Upper Secondary Level,male,Yes,0.06989,257,3294,0.06118,0.07860
1994,Upper Secondary Level,male,No,0.93011,3037,3294,0.92140,0.93882
1994,Upper Secondary Level,female,Yes,0.08803,370,3224,0.07824,0.09781
1994,Upper Secondary Level,female,No,0.91197,2854,3224,0.90219,0.92176
1994,Post-secondary Non-tertiary Level,male,No,0.96321,202,202,0.93718,0.98923
1994,Post-secondary Non-tertiary Level,female,No,0.96461,165,165,0.93633,0.99289
1994,First Stage of Tertiary Education,male,Yes,0.08285,43,470,0.05790,0.10780
