year,migback,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Yes,0.04063,325,7898,0.03627,0.04498
1985,No migration background,No,0.95937,7573,7898,0.95502,0.96373
1985,Direct migration background,Yes,0.07004,218,2832,0.06064,0.07944
1985,Direct migration background,No,0.92996,2614,2832,0.92056,0.93936
1985,Indirect migration background,No,0.94468,129,129,0.90507,0.98428
1986,No migration background,Yes,0.03919,300,7480,0.03479,0.04359
1986,No migration background,No,0.96081,7180,7480,0.95641,0.96521
1986,Direct migration background,Yes,0.06850,208,2760,0.05907,0.07792
1986,Direct migration background,No,0.93150,2552,2760,0.92208,0.94093
1986,Indirect migration background,No,0.93819,143,143,0.89859,0.97780
1987,No migration background,Yes,0.03663,276,7386,0.03234,0.04091
1987,No migration background,No,0.96337,7110,7386,0.95909,0.96766
1987,Direct migration background,Yes,0.06599,215,2797,0.05679,0.07520
1987,Direct migration background,No,0.93401,2582,2797,0.92480,0.94321
1987,Indirect migration background,No,0.93595,162,162,0.89813,0.97377
1988,No migration background,Yes,0.03895,273,7003,0.03441,0.04348
1988,No migration background,No,0.96105,6730,7003,0.95652,0.96559
1988,Direct migration background,Yes,0.07027,210,2598,0.06044,0.08010
1988,Direct migration background,No,0.92973,2388,2598,0.91990,0.93956
1988,Indirect migration background,No,0.93486,205,205,0.90099,0.96872
1989,No migration background,Yes,0.03140,220,6579,0.02718,0.03561
1989,No migration background,No,0.96860,6359,6579,0.96439,0.97282
1989,Direct migration background,Yes,0.05620,129,2034,0.04619,0.06621
1989,Direct migration background,No,0.94380,1905,2034,0.93379,0.95381
1989,Indirect migration background,No,0.94775,185,185,0.91559,0.97990
1990,No migration background,Yes,0.02927,187,6420,0.02515,0.03339
1990,No migration background,No,0.97073,6233,6420,0.96661,0.97485
1990,Direct migration background,Yes,0.05555,148,2406,0.04639,0.06470
1990,Direct migration background,No,0.94445,2258,2406,0.93530,0.95361
1990,Indirect migration background,No,0.98280,279,279,0.96752,0.99808
1991,No migration background,Yes,0.04158,564,10469,0.03776,0.04541
1991,No migration background,No,0.95842,9905,10469,0.95459,0.96224
1991,Direct migration background,Yes,0.06316,178,2549,0.05371,0.07260
1991,Direct migration background,No,0.93684,2371,2549,0.92740,0.94629
1991,Indirect migration background,No,0.96748,323,323,0.94810,0.98685
1992,No migration background,Yes,0.05420,722,10128,0.04979,0.05861
