,Unnamed: 0,year,pgisced97,plb0021,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Pre-primary Level,No,1.0,187,10697,0.94406,1.04696
1,1,1985,Primary Level,Yes,0.13555,78,10697,0.10534,0.16866
2,2,1985,Primary Level,No,0.86445,725,10697,0.78439,0.93213
3,3,1985,Lower Secondary Level,Yes,0.04038,153,10697,0.03574,0.04497
4,4,1985,Lower Secondary Level,No,0.95962,2856,10697,0.93847,0.97811
5,5,1985,Upper Secondary Level,Yes,0.04545,256,10697,0.04244,0.04804
6,6,1985,Upper Secondary Level,No,0.95455,4870,10697,0.94326,0.96738
7,7,1985,Post-secondary Non-tertiary Level,No,1.0,248,10697,0.91012,1.0778
8,8,1985,First Stage of Tertiary Education,No,1.0,594,10697,0.97497,1.0334
9,9,1985,Second Stage of Tertiary Education,No,1.0,730,10697,0.97055,1.03267
10,10,1986,Pre-primary Level,No,1.0,181,10251,0.92697,1.08804
11,11,1986,Primary Level,Yes,0.0981,63,10251,0.06773,0.13808
12,12,1986,Primary Level,No,0.9019,688,10251,0.82526,0.98304
13,13,1986,Lower Secondary Level,Yes,0.04538,153,10251,0.03964,0.05071
14,14,1986,Lower Secondary Level,No,0.95462,2699,10251,0.92914,0.98188
15,15,1986,Upper Secondary Level,Yes,0.04061,234,10251,0.03741,0.04371
16,16,1986,Upper Secondary Level,No,0.95939,4677,10251,0.94662,0.97344
17,17,1986,Post-secondary Non-tertiary Level,No,1.0,259,10251,0.92623,1.07828
18,18,1986,First Stage of Tertiary Education,No,1.0,556,10251,0.97159,1.03546
19,19,1986,Second Stage of Tertiary Education,Yes,0.04039,31,10251,0.03419,0.0467
20,20,1986,Second Stage of Tertiary Education,No,0.95961,710,10251,0.9275,0.99059
21,21,1987,Pre-primary Level,No,1.0,188,10173,0.91443,1.07973
22,22,1987,Primary Level,Yes,0.1253,77,10173,0.09913,0.15801
23,23,1987,Primary Level,No,0.8747,670,10173,0.80505,0.95766
24,24,1987,Lower Secondary Level,Yes,0.04249,149,10173,0.03715,0.04807
25,25,1987,Lower Secondary Level,No,0.95751,2659,10173,0.93009,0.98352
26,26,1987,Upper Secondary Level,Yes,0.03578,206,10173,0.03305,0.03863
27,27,1987,Upper Secondary Level,No,0.96422,4713,10173,0.95125,0.97662
28,28,1987,Post-secondary Non-tertiary Level,No,1.0,253,10173,0.92589,1.09906
29,29,1987,First Stage of Tertiary Education,No,1.0,544,10173,0.97354,1.03612
30,30,1987,Second Stage of Tertiary Education,No,1.0,714,10173,0.96862,1.03528
31,31,1988,Pre-primary Level,No,1.0,158,9638,0.89845,1.08145
32,32,1988,Primary Level,Yes,0.13104,71,9638,0.09801,0.16362
33,33,1988,Primary Level,No,0.86896,599,9638,0.78136,0.94879
34,34,1988,Lower Secondary Level,Yes,0.04555,150,9638,0.03962,0.05136
35,35,1988,Lower Secondary Level,No,0.95445,2528,9638,0.92499,0.98332
36,36,1988,Upper Secondary Level,Yes,0.04508,220,9638,0.04192,0.04787
37,37,1988,Upper Secondary Level,No,0.95492,4456,9638,0.94014,0.97172
38,38,1988,Post-secondary Non-tertiary Level,No,1.0,250,9638,0.92218,1.08076
39,39,1988,First Stage of Tertiary Education,No,1.0,532,9638,0.96238,1.03215
40,40,1988,Second Stage of Tertiary Education,No,1.0,674,9638,0.96558,1.0288
41,41,1989,Pre-primary Level,No,1.0,150,8651,0.92084,1.07587
42,42,1989,Primary Level,Yes,0.0971,37,8651,0.06494,0.13546
43,43,1989,Primary Level,No,0.9029,461,8651,0.80063,0.99939
44,44,1989,Lower Secondary Level,Yes,0.03688,112,8651,0.03055,0.043
