year,pgisced97,regtyp,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No answer / don't know,Urban regions,No,0.97852,90,90,0.94840,1.00864
1985,Primary Level,Urban regions,Yes,0.11547,64,698,0.09175,0.13920
1985,Primary Level,Urban regions,No,0.88453,634,698,0.86080,0.90825
1985,Primary Level,Rural regions,No,0.79438,91,91,0.71088,0.87788
1985,Lower Secondary Level,Urban regions,Yes,0.03956,112,2272,0.03155,0.04758
1985,Lower Secondary Level,Urban regions,No,0.96044,2160,2272,0.95242,0.96845
1985,Lower Secondary Level,Rural regions,Yes,0.04214,41,737,0.02762,0.05665
1985,Lower Secondary Level,Rural regions,No,0.95786,696,737,0.94335,0.97238
1985,Upper Secondary Level,Urban regions,Yes,0.04086,188,4003,0.03473,0.04700
1985,Upper Secondary Level,Urban regions,No,0.95914,3815,4003,0.95300,0.96527
1985,Upper Secondary Level,Rural regions,Yes,0.06025,68,1124,0.04634,0.07417
1985,Upper Secondary Level,Rural regions,No,0.93975,1056,1124,0.92583,0.95366
1985,Post-secondary Non-tertiary Level,Urban regions,No,0.92780,210,210,0.89271,0.96289
1985,Post-secondary Non-tertiary Level,Rural regions,No,0.89101,38,38,0.79059,0.99142
1985,First Stage of Tertiary Education,Urban regions,No,0.96967,462,462,0.95402,0.98533
1985,First Stage of Tertiary Education,Rural regions,No,0.97228,131,131,0.94406,1.00050
1985,Second Stage of Tertiary Education,Urban regions,No,0.97010,610,610,0.95657,0.98363
1985,Second Stage of Tertiary Education,Rural regions,No,0.98482,120,120,0.96286,1.00679
1986,No answer / don't know,Urban regions,No,0.91721,87,87,0.85897,0.97545
1986,Pre-primary Level,Urban regions,No,0.98983,158,158,0.97413,1.00552
1986,Primary Level,Urban regions,Yes,0.07133,50,648,0.05150,0.09116
1986,Primary Level,Urban regions,No,0.92867,598,648,0.90884,0.94850
1986,Primary Level,Rural regions,No,0.81356,90,90,0.73264,0.89447
1986,Lower Secondary Level,Urban regions,Yes,0.04460,114,2163,0.03590,0.05330
1986,Lower Secondary Level,Urban regions,No,0.95540,2049,2163,0.94670,0.96410
1986,Lower Secondary Level,Rural regions,Yes,0.04744,39,689,0.03156,0.06333
1986,Lower Secondary Level,Rural regions,No,0.95256,650,689,0.93667,0.96844
1986,Upper Secondary Level,Urban regions,Yes,0.03654,173,3837,0.03060,0.04248
1986,Upper Secondary Level,Urban regions,No,0.96346,3664,3837,0.95752,0.96940
1986,Upper Secondary Level,Rural regions,Yes,0.05370,61,1075,0.04022,0.06718
1986,Upper Secondary Level,Rural regions,No,0.94630,1014,1075,0.93282,0.95978
1986,Post-secondary Non-tertiary Level,Urban regions,No,0.96989,218,218,0.94715,0.99263
1986,Post-secondary Non-tertiary Level,Rural regions,No,0.86926,41,41,0.76478,0.97373
1986,First Stage of Tertiary Education,Urban regions,No,0.97425,434,434,0.95934,0.98917
1986,First Stage of Tertiary Education,Rural regions,No,0.97216,121,121,0.94272,1.00159
1986,Second Stage of Tertiary Education,Urban regions,No,0.95269,589,589,0.93553,0.96985
1986,Second Stage of Tertiary Education,Rural regions,No,0.99136,121,121,0.97479,1.00792
1987,No answer / don't know,Urban regions,No,0.93660,99,99,0.88835,0.98485
1987,Pre-primary Level,Urban regions,No,0.99925,163,163,0.99505,1.00346
1987,Primary Level,Urban regions,Yes,0.10781,61,646,0.08387,0.13174
1987,Primary Level,Urban regions,No,0.89219,585,646,0.86826,0.91613
1987,Primary Level,Rural regions,No,0.80872,85,85,0.72461,0.89283
1987,Lower Secondary Level,Urban regions,Yes,0.03964,105,2146,0.03139,0.04790
1987,Lower Secondary Level,Urban regions,No,0.96036,2041,2146,0.95210,0.96861
1987,Lower Secondary Level,Rural regions,Yes,0.05010,44,662,0.03347,0.06673
1987,Lower Secondary Level,Rural regions,No,0.94990,618,662,0.93327,0.96653
1987,Upper Secondary Level,Urban regions,Yes,0.03440,158,3824,0.02863,0.04018
1987,Upper Secondary Level,Urban regions,No,0.96560,3666,3824,0.95982,0.97137
1987,Upper Secondary Level,Rural regions,Yes,0.04022,48,1096,0.02858,0.05186
1987,Upper Secondary Level,Rural regions,No,0.95978,1048,1096,0.94814,0.97142
1987,Post-secondary Non-tertiary Level,Urban regions,No,0.91715,214,214,0.88013,0.95417
1987,Post-secondary Non-tertiary Level,Rural regions,No,0.95779,39,39,0.89386,1.02172
1987,First Stage of Tertiary Education,Urban regions,No,0.97278,426,426,0.95731,0.98825
1987,First Stage of Tertiary Education,Rural regions,No,0.98090,117,117,0.95599,1.00581
1987,Second Stage of Tertiary Education,Urban regions,No,0.95626,592,592,0.93977,0.97275
1987,Second Stage of Tertiary Education,Rural regions,No,0.98837,122,122,0.96927,1.00747
1988,No answer / don't know,Urban regions,No,0.93517,112,112,0.88937,0.98098
1988,Primary Level,Urban regions,Yes,0.10437,56,577,0.07940,0.12934
1988,Primary Level,Urban regions,No,0.89563,521,577,0.87066,0.92060
1988,Primary Level,Rural regions,No,0.76814,78,78,0.67387,0.86240
1988,Lower Secondary Level,Urban regions,Yes,0.03935,107,2072,0.03098,0.04773
