year,bula_h,migback,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,No migration background,No,0.76947,290,290,0.72091,0.81803
1985,Schleswig-Holstein,Direct migration background,No,0.68143,35,35,0.52481,0.83804
1985,Hamburg,No migration background,No,0.88164,193,193,0.83595,0.92733
1985,Hamburg,Direct migration background,No,0.76402,62,62,0.65746,0.87058
1985,Lower Saxony,No migration background,Yes,0.04744,53,941,0.03385,0.06103
1985,Lower Saxony,No migration background,No,0.80501,888,941,0.77969,0.83034
1985,Lower Saxony,Direct migration background,No,0.79972,135,135,0.73195,0.86748
1985,Bremen,No migration background,No,0.84825,81,81,0.76963,0.92687
1985,North Rhine-Westphalia,No migration background,Yes,0.03921,98,2101,0.03091,0.04751
1985,North Rhine-Westphalia,No migration background,No,0.79963,2003,2101,0.78251,0.81675
1985,North Rhine-Westphalia,Direct migration background,Yes,0.05653,61,775,0.04026,0.07280
1985,North Rhine-Westphalia,Direct migration background,No,0.81780,714,775,0.79061,0.84500
1985,North Rhine-Westphalia,Indirect migration background,No,0.10324,39,39,0.00649,0.19998
1985,Hesse,No migration background,No,0.83412,671,671,0.80596,0.86229
1985,Hesse,Direct migration background,No,0.86510,374,374,0.83043,0.89977
1985,"Rhineland-Palatinate, Saarland",No migration background,No,0.83208,602,602,0.80220,0.86197
1985,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.87484,121,121,0.81564,0.93405
1985,Baden-Wuerttemberg,No migration background,No,0.81468,1194,1194,0.79263,0.83673
1985,Baden-Wuerttemberg,Direct migration background,Yes,0.04718,52,771,0.03221,0.06216
1985,Baden-Wuerttemberg,Direct migration background,No,0.86273,719,771,0.83842,0.88704
1985,Baden-Wuerttemberg,Indirect migration background,No,0.14725,32,32,0.02251,0.27200
1985,Bavaria,No migration background,Yes,0.03274,58,1466,0.02363,0.04185
1985,Bavaria,No migration background,No,0.80267,1408,1466,0.78229,0.82305
1985,Bavaria,Direct migration background,No,0.84638,355,355,0.80882,0.88394
1985,Berlin,No migration background,No,0.82482,243,243,0.77693,0.87272
1985,Berlin,Direct migration background,No,0.74718,81,81,0.65193,0.84242
1986,Schleswig-Holstein,No migration background,No,0.77167,261,261,0.72065,0.82269
1986,Schleswig-Holstein,Direct migration background,No,0.67354,33,33,0.51106,0.83601
1986,Hamburg,No migration background,No,0.91692,178,178,0.87626,0.95758
1986,Hamburg,Direct migration background,No,0.76894,59,59,0.66046,0.87742
1986,Lower Saxony,No migration background,Yes,0.04163,44,918,0.02870,0.05455
1986,Lower Saxony,No migration background,No,0.81077,874,918,0.78541,0.83612
1986,Lower Saxony,Direct migration background,No,0.83337,157,157,0.77489,0.89185
1986,Bremen,No migration background,No,0.90425,79,79,0.83895,0.96955
1986,North Rhine-Westphalia,No migration background,Yes,0.04104,104,2009,0.03236,0.04972
1986,North Rhine-Westphalia,No migration background,No,0.79067,1905,2009,0.77288,0.80847
1986,North Rhine-Westphalia,Direct migration background,Yes,0.06128,59,756,0.04417,0.07839
1986,North Rhine-Westphalia,Direct migration background,No,0.83358,697,756,0.80701,0.86014
1986,North Rhine-Westphalia,Indirect migration background,No,0.10545,40,40,0.00906,0.20185
1986,Hesse,No migration background,No,0.82631,630,630,0.79670,0.85591
1986,Hesse,Direct migration background,No,0.84428,342,342,0.80579,0.88276
1986,"Rhineland-Palatinate, Saarland",No migration background,No,0.81946,598,598,0.78860,0.85031
1986,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.85246,111,111,0.78619,0.91874
1986,Baden-Wuerttemberg,No migration background,No,0.80823,1134,1134,0.78531,0.83115
1986,Baden-Wuerttemberg,Direct migration background,Yes,0.03343,38,743,0.02050,0.04637
1986,Baden-Wuerttemberg,Direct migration background,No,0.87532,705,743,0.85155,0.89909
1986,Baden-Wuerttemberg,Indirect migration background,No,0.13976,40,40,0.03094,0.24859
1986,Bavaria,No migration background,Yes,0.03231,53,1337,0.02283,0.04179
1986,Bavaria,No migration background,No,0.79305,1284,1337,0.77132,0.81477
1986,Bavaria,Direct migration background,No,0.82740,340,340,0.78717,0.86763
1986,Berlin,No migration background,No,0.87270,237,237,0.83018,0.91523
1986,Berlin,Direct migration background,No,0.79779,89,89,0.71387,0.88171
1987,Schleswig-Holstein,No migration background,No,0.74755,253,253,0.69391,0.80119
1987,Schleswig-Holstein,Direct migration background,No,0.64366,34,34,0.48025,0.80706
1987,Hamburg,No migration background,No,0.90874,153,153,0.86295,0.95452
1987,Hamburg,Direct migration background,No,0.74837,56,56,0.63369,0.86306
1987,Lower Saxony,No migration background,Yes,0.03734,42,922,0.02509,0.04958
1987,Lower Saxony,No migration background,No,0.81393,880,922,0.78879,0.83906
1987,Lower Saxony,Direct migration background,No,0.86903,153,153,0.81539,0.92266
1987,Bremen,No migration background,No,0.86488,71,71,0.78479,0.94496
1987,North Rhine-Westphalia,No migration background,Yes,0.03674,89,1996,0.02849,0.04500
1987,North Rhine-Westphalia,No migration background,No,0.80088,1907,1996,0.78336,0.81840
1987,North Rhine-Westphalia,Direct migration background,Yes,0.04813,53,762,0.03292,0.06334
1987,North Rhine-Westphalia,Direct migration background,No,0.88184,709,762,0.85890,0.90477
1987,North Rhine-Westphalia,Indirect migration background,No,0.10493,45,45,0.01438,0.19548
1987,Hesse,No migration background,No,0.83666,625,625,0.80765,0.86567
1987,Hesse,Direct migration background,Yes,0.05541,31,392,0.03273,0.07808
1987,Hesse,Direct migration background,No,0.86356,361,392,0.82954,0.89758
1987,"Rhineland-Palatinate, Saarland",No migration background,No,0.82582,596,596,0.79534,0.85629
1987,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.82514,117,117,0.75602,0.89427
1987,Baden-Wuerttemberg,No migration background,No,0.80461,1122,1122,0.78140,0.82782
1987,Baden-Wuerttemberg,Direct migration background,Yes,0.04192,46,757,0.02764,0.05621
1987,Baden-Wuerttemberg,Direct migration background,No,0.89909,711,757,0.87762,0.92056
1987,Baden-Wuerttemberg,Indirect migration background,No,0.13356,44,44,0.03188,0.23524
1987,Bavaria,No migration background,Yes,0.02990,48,1314,0.02069,0.03911
1987,Bavaria,No migration background,No,0.80178,1266,1314,0.78022,0.82334
1987,Bavaria,Direct migration background,No,0.85123,330,330,0.81278,0.88968
1987,Bavaria,Indirect migration background,No,0.21928,34,34,0.07811,0.36045
1987,Berlin,No migration background,No,0.87643,237,237,0.83444,0.91841
1987,Berlin,Direct migration background,No,0.77429,95,95,0.68977,0.85880
1988,Schleswig-Holstein,No migration background,No,0.72473,249,249,0.66914,0.78032
1988,Schleswig-Holstein,Direct migration background,No,0.65109,36,36,0.49319,0.80900
1988,Hamburg,No migration background,No,0.92113,142,142,0.87664,0.96562
1988,Hamburg,Direct migration background,No,0.79434,42,42,0.67063,0.91806
1988,Lower Saxony,No migration background,Yes,0.05663,55,864,0.04121,0.07205
1988,Lower Saxony,No migration background,No,0.80138,809,864,0.77476,0.82800
1988,Lower Saxony,Direct migration background,No,0.83758,148,148,0.77795,0.89720
1988,Bremen,No migration background,No,0.82119,71,71,0.73142,0.91096
1988,North Rhine-Westphalia,No migration background,Yes,0.03754,80,1915,0.02902,0.04605
1988,North Rhine-Westphalia,No migration background,No,0.80139,1835,1915,0.78352,0.81927
1988,North Rhine-Westphalia,Direct migration background,Yes,0.06118,54,663,0.04292,0.07944
1988,North Rhine-Westphalia,Direct migration background,No,0.85158,609,663,0.82449,0.87866
1988,North Rhine-Westphalia,Indirect migration background,No,0.11294,56,56,0.02929,0.19659
1988,Hesse,No migration background,No,0.81700,574,574,0.78534,0.84866
1988,Hesse,Direct migration background,Yes,0.04534,33,371,0.02414,0.06654
1988,Hesse,Direct migration background,No,0.85897,338,371,0.82351,0.89444
1988,"Rhineland-Palatinate, Saarland",No migration background,No,0.82829,566,566,0.79719,0.85939
1988,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.80816,111,111,0.73458,0.88174
1988,Baden-Wuerttemberg,No migration background,No,0.82317,1076,1076,0.80036,0.84597
1988,Baden-Wuerttemberg,Direct migration background,Yes,0.04302,35,714,0.02813,0.05791
1988,Baden-Wuerttemberg,Direct migration background,No,0.88001,679,714,0.85616,0.90386
1988,Baden-Wuerttemberg,Indirect migration background,No,0.16064,54,54,0.06178,0.25949
1988,Bavaria,No migration background,Yes,0.02334,38,1230,0.01490,0.03178
1988,Bavaria,No migration background,No,0.80774,1192,1230,0.78570,0.82977
1988,Bavaria,Direct migration background,No,0.87736,329,329,0.84186,0.91286
1988,Bavaria,Indirect migration background,No,0.23429,41,41,0.10303,0.36555
1988,Berlin,No migration background,No,0.86077,216,216,0.81450,0.90705
1988,Berlin,Direct migration background,No,0.72836,81,81,0.63089,0.82583
1989,Schleswig-Holstein,No migration background,No,0.74368,244,244,0.68878,0.79857
1989,Hamburg,No migration background,No,0.91611,137,137,0.86952,0.96270
1989,Hamburg,Direct migration background,No,0.64562,31,31,0.47446,0.81679
1989,Lower Saxony,No migration background,Yes,0.03812,38,805,0.02488,0.05135
1989,Lower Saxony,No migration background,No,0.80865,767,805,0.78146,0.83585
1989,Lower Saxony,Direct migration background,No,0.76381,111,111,0.68444,0.84319
1989,Bremen,No migration background,No,0.70381,68,68,0.59448,0.81314
1989,North Rhine-Westphalia,No migration background,Yes,0.03261,71,1808,0.02442,0.04080
1989,North Rhine-Westphalia,No migration background,No,0.78903,1737,1808,0.77022,0.80785
1989,North Rhine-Westphalia,Direct migration background,Yes,0.04474,31,477,0.02616,0.06331
1989,North Rhine-Westphalia,Direct migration background,No,0.72136,446,477,0.68109,0.76164
1989,North Rhine-Westphalia,Indirect migration background,No,0.10669,43,43,0.01332,0.20006
1989,Hesse,No migration background,No,0.81519,576,576,0.78347,0.84692
1989,Hesse,Direct migration background,No,0.76356,254,254,0.71120,0.81592
1989,"Rhineland-Palatinate, Saarland",No migration background,No,0.80481,519,519,0.77068,0.83894
1989,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.69973,85,85,0.60171,0.79776
1989,Baden-Wuerttemberg,No migration background,No,0.80183,995,995,0.77705,0.82662
1989,Baden-Wuerttemberg,Direct migration background,No,0.88473,614,614,0.85945,0.91001
1989,Baden-Wuerttemberg,Indirect migration background,No,0.16336,51,51,0.06088,0.26583
1989,Bavaria,No migration background,No,0.77770,1110,1110,0.75323,0.80217
1989,Bavaria,Direct migration background,No,0.80885,263,263,0.76124,0.85646
1989,Bavaria,Indirect migration background,No,0.23616,43,43,0.10771,0.36461
1989,Berlin,No migration background,No,0.84424,206,206,0.79460,0.89388
1989,Berlin,Direct migration background,No,0.71719,70,70,0.61093,0.82346
1990,Schleswig-Holstein,No migration background,No,0.73303,224,224,0.67496,0.79109
1990,Hamburg,No migration background,No,0.78239,101,101,0.70152,0.86326
1990,Hamburg,Direct migration background,No,0.57158,32,32,0.39738,0.74578
1990,Lower Saxony,No migration background,Yes,0.04281,39,770,0.02850,0.05712
1990,Lower Saxony,No migration background,No,0.78123,731,770,0.75201,0.81045
1990,Lower Saxony,Direct migration background,No,0.81289,132,132,0.74611,0.87968
1990,Bremen,No migration background,No,0.81940,80,80,0.73457,0.90423
1990,North Rhine-Westphalia,No migration background,Yes,0.02642,56,1745,0.01889,0.03394
1990,North Rhine-Westphalia,No migration background,No,0.78154,1689,1745,0.76215,0.80093
1990,North Rhine-Westphalia,Direct migration background,Yes,0.04714,43,624,0.03049,0.06378
1990,North Rhine-Westphalia,Direct migration background,No,0.86422,581,624,0.83732,0.89112
1990,North Rhine-Westphalia,Indirect migration background,No,0.17128,75,75,0.08544,0.25713
1990,Hesse,No migration background,No,0.81802,573,573,0.78640,0.84964
1990,Hesse,Direct migration background,No,0.80731,311,311,0.76340,0.85121
1990,"Rhineland-Palatinate, Saarland",No migration background,No,0.80272,501,501,0.76784,0.83760
1990,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.85705,110,110,0.79134,0.92276
1990,Baden-Wuerttemberg,No migration background,No,0.81125,1008,1008,0.78708,0.83542
1990,Baden-Wuerttemberg,Direct migration background,No,0.91621,640,640,0.89472,0.93769
1990,Baden-Wuerttemberg,Indirect migration background,No,0.19845,71,71,0.10502,0.29188
1990,Bavaria,No migration background,No,0.81537,1138,1138,0.79282,0.83793
1990,Bavaria,Direct migration background,No,0.89596,333,333,0.86311,0.92880
1990,Bavaria,Indirect migration background,No,0.23417,51,51,0.11679,0.35155
1990,Berlin,No migration background,No,0.46547,188,188,0.39397,0.53696
1990,Berlin,Direct migration background,No,0.59452,78,78,0.48485,0.70418
1991,Schleswig-Holstein,No migration background,No,0.73330,244,244,0.67769,0.78890
1991,Hamburg,No migration background,No,0.88754,114,114,0.82928,0.94579
1991,Hamburg,Direct migration background,No,0.87127,32,32,0.75338,0.98916
1991,Lower Saxony,No migration background,No,0.81543,754,754,0.78772,0.84314
1991,Lower Saxony,Direct migration background,No,0.87775,133,133,0.82187,0.93364
1991,Bremen,No migration background,No,0.84509,76,76,0.76320,0.92698
