year,age_gr,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Yes,0.06309,216,3098,0.05452,0.07165
1985,17-29 y.,No,0.93691,2882,3098,0.92835,0.94548
1985,30-45 y.,Yes,0.05584,183,3439,0.04817,0.06352
1985,30-45 y.,No,0.94416,3256,3439,0.93648,0.95183
1985,46-65 y.,Yes,0.04123,152,3246,0.03439,0.04807
1985,46-65 y.,No,0.95877,3094,3246,0.95193,0.96561
1986,17-29 y.,Yes,0.05952,194,3007,0.05106,0.06797
1986,17-29 y.,No,0.94048,2813,3007,0.93203,0.94894
1986,30-45 y.,Yes,0.05497,167,3200,0.04707,0.06287
1986,30-45 y.,No,0.94503,3033,3200,0.93713,0.95293
1986,46-65 y.,Yes,0.04141,153,3169,0.03448,0.04835
1986,46-65 y.,No,0.95859,3016,3169,0.95165,0.96552
1987,17-29 y.,Yes,0.05379,176,2978,0.04568,0.06189
1987,17-29 y.,No,0.94621,2802,2978,0.93811,0.95432
1987,30-45 y.,Yes,0.04231,135,3149,0.03528,0.04934
1987,30-45 y.,No,0.95769,3014,3149,0.95066,0.96472
1987,46-65 y.,Yes,0.04964,189,3177,0.04209,0.05720
1987,46-65 y.,No,0.95036,2988,3177,0.94280,0.95791
1988,17-29 y.,Yes,0.05488,173,2831,0.04648,0.06327
1988,17-29 y.,No,0.94512,2658,2831,0.93673,0.95352
1988,30-45 y.,Yes,0.04922,129,2906,0.04136,0.05709
1988,30-45 y.,No,0.95078,2777,2906,0.94291,0.95864
1988,46-65 y.,Yes,0.05051,189,3057,0.04275,0.05828
1988,46-65 y.,No,0.94949,2868,3057,0.94172,0.95725
1988,66 and older,No,0.99875,1020,1020,0.99658,1.00092
1989,17-29 y.,Yes,0.04331,124,2531,0.03538,0.05124
1989,17-29 y.,No,0.95669,2407,2531,0.94876,0.96462
1989,30-45 y.,Yes,0.03012,82,2605,0.02356,0.03669
1989,30-45 y.,No,0.96988,2523,2605,0.96331,0.97644
1989,46-65 y.,Yes,0.04905,153,2724,0.04094,0.05716
1989,46-65 y.,No,0.95095,2571,2724,0.94284,0.95906
1990,17-29 y.,Yes,0.04148,116,2612,0.03384,0.04913
