year,regtyp,plj0047,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Urban regions,Very concerned,0.02691,769,1970,0.01977,0.03406
1992,Urban regions,Somewhat concerned,0.02542,861,1970,0.01847,0.03238
1992,Urban regions,Not concerned at all,0.01091,340,1970,0.00632,0.01550
1992,Rural regions,Very concerned,0.00627,89,267,-0.00321,0.01576
1992,Rural regions,Somewhat concerned,0.00646,103,267,-0.00317,0.01609
1992,Rural regions,Not concerned at all,0.00426,75,267,-0.00357,0.01209
1993,Urban regions,Very concerned,0.03320,893,1911,0.02517,0.04124
1993,Urban regions,Somewhat concerned,0.02715,800,1911,0.01986,0.03444
1993,Urban regions,Not concerned at all,0.00734,218,1911,0.00351,0.01116
1993,Rural regions,Very concerned,0.00981,135,273,-0.00190,0.02152
1993,Rural regions,Somewhat concerned,0.00643,103,273,-0.00307,0.01593
1993,Rural regions,Not concerned at all,0.00214,35,273,-0.00335,0.00763
1994,Urban regions,Very concerned,0.03561,875,1846,0.02716,0.04407
1994,Urban regions,Somewhat concerned,0.02967,776,1846,0.02193,0.03741
1994,Urban regions,Not concerned at all,0.00684,195,1846,0.00308,0.01060
1994,Rural regions,Very concerned,0.00714,84,257,-0.00318,0.01745
1994,Rural regions,Somewhat concerned,0.00871,125,257,-0.00267,0.02009
1994,Rural regions,Not concerned at all,0.00297,48,257,-0.00370,0.00964
1995,Urban regions,Very concerned,0.02409,705,1712,0.01683,0.03136
1995,Urban regions,Somewhat concerned,0.02276,795,1712,0.01569,0.02983
1995,Urban regions,Not concerned at all,0.00640,212,1712,0.00262,0.01017
1995,Rural regions,Very concerned,0.00524,84,236,-0.00399,0.01447
1995,Rural regions,Somewhat concerned,0.00612,102,236,-0.00385,0.01608
1995,Rural regions,Not concerned at all,0.00271,50,236,-0.00394,0.00936
1996,Urban regions,Very concerned,0.23006,2495,8404,0.22106,0.23906
1996,Urban regions,Somewhat concerned,0.43678,4516,8404,0.42617,0.44738
1996,Urban regions,Not concerned at all,0.14169,1393,8404,0.13423,0.14914
1996,Rural regions,Very concerned,0.26241,1349,4462,0.24950,0.27532
1996,Rural regions,Somewhat concerned,0.40420,2325,4462,0.38980,0.41860
1996,Rural regions,Not concerned at all,0.13444,788,4462,0.12443,0.14445
1997,Urban regions,Very concerned,0.24656,2577,8274,0.23727,0.25584
1997,Urban regions,Somewhat concerned,0.41648,4247,8274,0.40585,0.42710
1997,Urban regions,Not concerned at all,0.15118,1450,8274,0.14346,0.15890
1997,Rural regions,Very concerned,0.25255,1294,4424,0.23975,0.26536
1997,Rural regions,Somewhat concerned,0.40964,2298,4424,0.39515,0.42413
1997,Rural regions,Not concerned at all,0.14358,832,4424,0.13325,0.15392
1998,Urban regions,Very concerned,0.24712,2785,9098,0.23826,0.25599
1998,Urban regions,Somewhat concerned,0.40684,4586,9098,0.39674,0.41693
1998,Urban regions,Not concerned at all,0.15709,1727,9098,0.14961,0.16457
1998,Rural regions,Very concerned,0.25432,1460,4895,0.24212,0.26652
1998,Rural regions,Somewhat concerned,0.41015,2535,4895,0.39637,0.42393
1998,Rural regions,Not concerned at all,0.13466,900,4895,0.12510,0.14423
1999,Urban regions,Very concerned,0.24956,2700,8829,0.24054,0.25859
1999,Urban regions,Somewhat concerned,0.44447,4794,8829,0.43411,0.45484
1999,Urban regions,Not concerned at all,0.13188,1335,8829,0.12482,0.13894
1999,Rural regions,Very concerned,0.23962,1358,4781,0.22751,0.25172
1999,Rural regions,Somewhat concerned,0.45292,2716,4781,0.43881,0.46703
1999,Rural regions,Not concerned at all,0.12274,707,4781,0.11344,0.13204
2000,Urban regions,Very concerned,0.27148,5080,15524,0.26449,0.27848
2000,Urban regions,Somewhat concerned,0.39623,7673,15524,0.38854,0.40392
2000,Urban regions,Not concerned at all,0.15037,2771,15524,0.14474,0.15599
2000,Rural regions,Very concerned,0.23405,2417,8316,0.22495,0.24315
2000,Rural regions,Somewhat concerned,0.43970,4521,8316,0.42903,0.45037
2000,Rural regions,Not concerned at all,0.14202,1378,8316,0.13451,0.14952
2001,Urban regions,Very concerned,0.29045,5131,14130,0.28297,0.29794
2001,Urban regions,Somewhat concerned,0.38895,6733,14130,0.38091,0.39699
2001,Urban regions,Not concerned at all,0.13656,2266,14130,0.13090,0.14222
2001,Rural regions,Very concerned,0.28472,2678,7544,0.27453,0.29490
2001,Rural regions,Somewhat concerned,0.40876,3760,7544,0.39767,0.41986
2001,Rural regions,Not concerned at all,0.12658,1106,7544,0.11908,0.13408
2002,Urban regions,Very concerned,0.23018,4248,15144,0.22348,0.23688
2002,Urban regions,Somewhat concerned,0.43853,8166,15144,0.43063,0.44644
2002,Urban regions,Not concerned at all,0.15394,2730,15144,0.14819,0.15969
2002,Rural regions,Very concerned,0.22850,2158,7704,0.21913,0.23788
2002,Rural regions,Somewhat concerned,0.46045,4335,7704,0.44932,0.47158
