year,pgisced97,plj0047,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Primary Level,Very concerned,0.24527,193,512,0.20796,0.28257
1992,Primary Level,Somewhat concerned,0.23223,207,512,0.19562,0.26884
1992,Primary Level,Not concerned at all,0.12525,112,512,0.09655,0.15395
1992,Lower Secondary Level,Very concerned,0.04246,324,814,0.02860,0.05632
1992,Lower Secondary Level,Somewhat concerned,0.04138,351,814,0.02769,0.05508
1992,Lower Secondary Level,Not concerned at all,0.01667,139,814,0.00787,0.02547
1992,Upper Secondary Level,Very concerned,0.01295,238,644,0.00421,0.02169
1992,Upper Secondary Level,Somewhat concerned,0.01192,279,644,0.00353,0.02030
1992,Upper Secondary Level,Not concerned at all,0.00625,127,644,0.00016,0.01234
1992,Post-secondary Non-tertiary Level,Very concerned,0.03803,35,75,-0.00555,0.08160
1992,Post-secondary Non-tertiary Level,Somewhat concerned,0.04111,40,75,-0.00413,0.08635
1993,Primary Level,Very concerned,0.31031,238,500,0.26972,0.35090
1993,Primary Level,Somewhat concerned,0.23108,199,500,0.19410,0.26807
1993,Primary Level,Not concerned at all,0.06546,63,500,0.04376,0.08716
1993,Lower Secondary Level,Very concerned,0.05565,382,789,0.03964,0.07166
1993,Lower Secondary Level,Somewhat concerned,0.03973,315,789,0.02609,0.05336
1993,Lower Secondary Level,Not concerned at all,0.01212,92,789,0.00448,0.01976
1993,Upper Secondary Level,Very concerned,0.01574,281,638,0.00607,0.02541
1993,Upper Secondary Level,Somewhat concerned,0.01454,278,638,0.00524,0.02383
1993,Upper Secondary Level,Not concerned at all,0.00430,79,638,-0.00078,0.00938
1993,Post-secondary Non-tertiary Level,Very concerned,0.04526,41,79,-0.00087,0.09139
1993,Post-secondary Non-tertiary Level,Somewhat concerned,0.05176,38,79,0.00259,0.10092
1994,Primary Level,Very concerned,0.30147,210,468,0.25985,0.34310
1994,Primary Level,Somewhat concerned,0.29413,206,468,0.25280,0.33546
1994,Primary Level,Not concerned at all,0.04898,52,468,0.02940,0.06855
1994,Lower Secondary Level,Very concerned,0.05785,346,717,0.04075,0.07495
1994,Lower Secondary Level,Somewhat concerned,0.03998,279,717,0.02563,0.05434
1994,Lower Secondary Level,Not concerned at all,0.01353,92,717,0.00507,0.02199
1994,Upper Secondary Level,Very concerned,0.01690,263,623,0.00677,0.02703
1994,Upper Secondary Level,Somewhat concerned,0.01614,286,623,0.00624,0.02605
1994,Upper Secondary Level,Not concerned at all,0.00422,74,623,-0.00087,0.00931
1994,Post-secondary Non-tertiary Level,Very concerned,0.04109,38,71,-0.00541,0.08759
1994,Post-secondary Non-tertiary Level,Somewhat concerned,0.05048,33,71,-0.00081,0.10177
1995,Primary Level,Very concerned,0.24150,175,420,0.20052,0.28248
1995,Primary Level,Somewhat concerned,0.23087,189,420,0.19052,0.27122
1995,Primary Level,Not concerned at all,0.06689,56,420,0.04297,0.09082
1995,Lower Secondary Level,Very concerned,0.03914,270,642,0.02413,0.05416
1995,Lower Secondary Level,Somewhat concerned,0.03301,287,642,0.01918,0.04684
1995,Lower Secondary Level,Not concerned at all,0.00963,85,642,0.00207,0.01719
1995,Upper Secondary Level,Very concerned,0.01094,217,591,0.00255,0.01933
1995,Upper Secondary Level,Somewhat concerned,0.01375,291,591,0.00435,0.02315
1995,Upper Secondary Level,Not concerned at all,0.00410,83,591,-0.00106,0.00926
1996,Pre-primary Level,Very concerned,0.28877,84,286,0.23615,0.34139
