year,age_gr,plj0047,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,17-29 y.,Very concerned,0.04191,368,840,0.02835,0.05547
1992,17-29 y.,Somewhat concerned,0.03474,340,840,0.02235,0.04714
1992,17-29 y.,Not concerned at all,0.01334,132,840,0.00558,0.02110
1992,30-45 y.,Very concerned,0.02655,232,633,0.01402,0.03909
1992,30-45 y.,Somewhat concerned,0.02576,282,633,0.01341,0.03811
1992,30-45 y.,Not concerned at all,0.01048,119,633,0.00254,0.01842
1992,46-65 y.,Very concerned,0.02400,251,733,0.01291,0.03509
1992,46-65 y.,Somewhat concerned,0.02572,326,733,0.01425,0.03719
1992,46-65 y.,Not concerned at all,0.01431,156,733,0.00571,0.02291
1993,17-29 y.,Very concerned,0.05816,427,832,0.04225,0.07407
1993,17-29 y.,Somewhat concerned,0.03879,323,832,0.02566,0.05192
1993,17-29 y.,Not concerned at all,0.00883,82,832,0.00247,0.01519
1993,30-45 y.,Very concerned,0.02950,271,588,0.01581,0.04319
1993,30-45 y.,Somewhat concerned,0.02485,255,588,0.01226,0.03745
1993,30-45 y.,Not concerned at all,0.00613,62,588,-0.00018,0.01245
1993,46-65 y.,Very concerned,0.03160,320,725,0.01886,0.04435
1993,46-65 y.,Somewhat concerned,0.02849,302,725,0.01637,0.04060
1993,46-65 y.,Not concerned at all,0.00991,103,725,0.00269,0.01712
1994,17-29 y.,Very concerned,0.05865,388,783,0.04218,0.07512
1994,17-29 y.,Somewhat concerned,0.04727,324,783,0.03240,0.06214
1994,17-29 y.,Not concerned at all,0.00849,71,783,0.00206,0.01493
1994,30-45 y.,Very concerned,0.03188,260,566,0.01739,0.04636
1994,30-45 y.,Somewhat concerned,0.02524,249,566,0.01231,0.03818
1994,30-45 y.,Not concerned at all,0.00613,57,566,-0.00031,0.01257
1994,46-65 y.,Very concerned,0.03387,296,708,0.02054,0.04721
1994,46-65 y.,Somewhat concerned,0.03235,306,708,0.01931,0.04539
1994,46-65 y.,Not concerned at all,0.00991,106,708,0.00261,0.01721
1995,17-29 y.,Very concerned,0.04061,303,691,0.02588,0.05533
