year,sex,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Full Time,0.50394,3990,5956,0.49124,0.51664
1984,male,Part Time,0.08891,646,5956,0.08168,0.09614
1984,male,Not Working,0.21988,1320,5956,0.20936,0.23040
1984,female,Full Time,0.18744,1640,6215,0.17774,0.19715
1984,female,Part Time,0.15845,1241,6215,0.14937,0.16753
1984,female,Not Working,0.49328,3334,6215,0.48085,0.50571
1985,male,Full Time,0.49679,3511,5414,0.48347,0.51011
1985,male,Part Time,0.09907,670,5414,0.09111,0.10703
1985,male,Not Working,0.23145,1233,5414,0.22021,0.24268
1985,female,Full Time,0.18774,1439,5612,0.17752,0.19795
1985,female,Part Time,0.16944,1188,5612,0.15962,0.17925
1985,female,Not Working,0.49178,2985,5612,0.47870,0.50486
1986,male,Full Time,0.50441,3428,5232,0.49086,0.51796
1986,male,Part Time,0.09673,626,5232,0.08872,0.10474
1986,male,Not Working,0.22756,1178,5232,0.21620,0.23892
1986,female,Full Time,0.19329,1408,5353,0.18271,0.20387
1986,female,Part Time,0.17252,1196,5353,0.16239,0.18264
1986,female,Not Working,0.47976,2749,5353,0.46638,0.49315
1987,male,Full Time,0.51300,3449,5175,0.49938,0.52662
1987,male,Part Time,0.09285,596,5175,0.08494,0.10076
1987,male,Not Working,0.21792,1130,5175,0.20667,0.22917
1987,female,Full Time,0.20124,1422,5280,0.19042,0.21205
1987,female,Part Time,0.18037,1213,5280,0.17000,0.19074
1987,female,Not Working,0.46421,2645,5280,0.45076,0.47766
1988,male,Full Time,0.51183,3254,4932,0.49787,0.52578
1988,male,Part Time,0.09154,599,4932,0.08349,0.09959
1988,male,Not Working,0.22207,1079,4932,0.21047,0.23367
1988,female,Full Time,0.19477,1326,5040,0.18383,0.20570
1988,female,Part Time,0.19606,1246,5040,0.18510,0.20702
1988,female,Not Working,0.45375,2468,5040,0.44000,0.46750
1989,male,Full Time,0.51632,3177,4762,0.50213,0.53052
1989,male,Part Time,0.08542,526,4762,0.07748,0.09336
1989,male,Not Working,0.22456,1059,4762,0.21271,0.23641
1989,female,Full Time,0.20673,1362,4902,0.19539,0.21807
1989,female,Part Time,0.18773,1182,4902,0.17679,0.19866
1989,female,Not Working,0.45212,2358,4902,0.43819,0.46606
1990,male,Full Time,0.41343,3102,4663,0.39929,0.42757
1990,male,Part Time,0.07008,508,4663,0.06275,0.07740
1990,male,Not Working,0.17077,1053,4663,0.15997,0.18158
1990,female,Full Time,0.16476,1322,4800,0.15426,0.17525
1990,female,Part Time,0.15748,1218,4800,0.14718,0.16779
1990,female,Not Working,0.34517,2260,4800,0.33172,0.35862
1991,male,Full Time,0.40185,3069,4633,0.38774,0.41597
1991,male,Part Time,0.07312,530,4633,0.06562,0.08062
1991,male,Not Working,0.16921,1034,4633,0.15842,0.18001
1991,female,Full Time,0.16721,1347,4776,0.15662,0.17779
1991,female,Part Time,0.15694,1222,4776,0.14663,0.16726
1991,female,Not Working,0.33927,2207,4776,0.32584,0.35270
1992,male,Full Time,0.51052,4326,6463,0.49833,0.52270
1992,male,Part Time,0.09427,772,6463,0.08714,0.10139
1992,male,Not Working,0.20872,1365,6463,0.19881,0.21863
1992,female,Full Time,0.23040,2253,6854,0.22043,0.24037
1992,female,Part Time,0.19557,1730,6854,0.18618,0.20496
1992,female,Not Working,0.40794,2871,6854,0.39631,0.41958
1993,male,Full Time,0.49889,4139,6365,0.48660,0.51117
1993,male,Part Time,0.09375,766,6365,0.08659,0.10091
1993,male,Not Working,0.22194,1460,6365,0.21173,0.23215
1993,female,Full Time,0.22114,2110,6738,0.21123,0.23105
1993,female,Part Time,0.19609,1684,6738,0.18660,0.20557
1993,female,Not Working,0.41462,2944,6738,0.40286,0.42638
1994,male,Full Time,0.48416,3958,6215,0.47173,0.49658
1994,male,Part Time,0.09214,728,6215,0.08494,0.09933
1994,male,Not Working,0.23462,1529,6215,0.22409,0.24516
1994,female,Full Time,0.21323,2008,6659,0.20339,0.22306
1994,female,Part Time,0.19306,1634,6659,0.18358,0.20254
1994,female,Not Working,0.42695,3017,6659,0.41506,0.43883
1995,male,Full Time,0.45861,3927,6410,0.44641,0.47081
1995,male,Part Time,0.10836,855,6410,0.10075,0.11596
1995,male,Not Working,0.24314,1628,6410,0.23264,0.25364
1995,female,Full Time,0.20199,1967,6876,0.19250,0.21148
1995,female,Part Time,0.19440,1746,6876,0.18505,0.20376
1995,female,Not Working,0.43607,3163,6876,0.42435,0.44779
1996,male,Full Time,0.45868,3829,6293,0.44637,0.47099
1996,male,Part Time,0.11058,886,6293,0.10283,0.11833
1996,male,Not Working,0.24154,1578,6293,0.23097,0.25212
1996,female,Full Time,0.20118,1904,6755,0.19162,0.21074
1996,female,Part Time,0.20004,1804,6755,0.19050,0.20958
1996,female,Not Working,0.43305,3047,6755,0.42123,0.44487
1997,male,Full Time,0.45121,3698,6209,0.43883,0.46358
1997,male,Part Time,0.11315,874,6209,0.10527,0.12103
1997,male,Not Working,0.24870,1637,6209,0.23795,0.25946
1997,female,Full Time,0.20223,1886,6621,0.19255,0.21190
1997,female,Part Time,0.19270,1669,6621,0.18320,0.20220
1997,female,Not Working,0.44000,3066,6621,0.42804,0.45195
1998,male,Full Time,0.44565,3962,6889,0.43391,0.45739
1998,male,Part Time,0.11081,1006,6889,0.10339,0.11822
1998,male,Not Working,0.26076,1921,6889,0.25039,0.27113
1998,female,Full Time,0.19591,2022,7351,0.18684,0.20499
1998,female,Part Time,0.19623,1865,7351,0.18715,0.20531
1998,female,Not Working,0.44272,3464,7351,0.43136,0.45407
1999,male,Full Time,0.45321,3884,6609,0.44121,0.46522
1999,male,Part Time,0.12021,990,6609,0.11237,0.12806
1999,male,Not Working,0.24689,1735,6609,0.23650,0.25729
1999,female,Full Time,0.19924,1950,7065,0.18993,0.20856
1999,female,Part Time,0.21383,1941,7065,0.20427,0.22339
1999,female,Not Working,0.42222,3174,7065,0.41071,0.43374
2000,male,Full Time,0.46427,6766,11586,0.45519,0.47335
2000,male,Part Time,0.10890,1550,11586,0.10323,0.11457
2000,male,Not Working,0.24526,3270,11586,0.23743,0.25310
2000,female,Full Time,0.20475,3306,12526,0.19768,0.21182
2000,female,Part Time,0.21854,3492,12526,0.21130,0.22578
2000,female,Not Working,0.41353,5728,12526,0.40490,0.42215
2001,male,Full Time,0.45963,6072,10525,0.45011,0.46915
2001,male,Part Time,0.11287,1424,10525,0.10682,0.11892
2001,male,Not Working,0.24850,3029,10525,0.24024,0.25675
2001,female,Full Time,0.20604,2988,11396,0.19862,0.21347
2001,female,Part Time,0.23099,3371,11396,0.22325,0.23873
