year,age_gr,bula_h,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Schleswig-Holstein,Full Time,0.43437,42,73,0.31988,0.54887
1984,17-29 y.,Schleswig-Holstein,Not Working,0.31549,31,73,0.20815,0.42283
1984,17-29 y.,Hamburg,Full Time,0.42881,32,32,0.25459,0.60303
1984,17-29 y.,Lower Saxony,Full Time,0.38499,127,336,0.33288,0.43710
1984,17-29 y.,Lower Saxony,Part Time,0.16887,58,336,0.12876,0.20899
1984,17-29 y.,Lower Saxony,Not Working,0.44613,151,336,0.39290,0.49936
1984,17-29 y.,North Rhine-Westphalia,Full Time,0.41200,397,971,0.38102,0.44297
1984,17-29 y.,North Rhine-Westphalia,Part Time,0.20822,189,971,0.18267,0.23377
1984,17-29 y.,North Rhine-Westphalia,Not Working,0.37978,385,971,0.34924,0.41033
1984,17-29 y.,Hesse,Full Time,0.42884,167,378,0.37888,0.47879
1984,17-29 y.,Hesse,Part Time,0.24383,78,378,0.20049,0.28718
1984,17-29 y.,Hesse,Not Working,0.32733,133,378,0.27997,0.37470
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Full Time,0.52313,126,246,0.46059,0.58568
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Part Time,0.19120,46,246,0.14195,0.24044
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Not Working,0.28567,74,246,0.22911,0.34224
1984,17-29 y.,Baden-Wuerttemberg,Full Time,0.50772,332,653,0.46934,0.54609
1984,17-29 y.,Baden-Wuerttemberg,Part Time,0.17841,111,653,0.14902,0.20780
1984,17-29 y.,Baden-Wuerttemberg,Not Working,0.31387,210,653,0.27825,0.34949
1984,17-29 y.,Bavaria,Full Time,0.51442,287,570,0.47336,0.55549
1984,17-29 y.,Bavaria,Part Time,0.22307,121,570,0.18886,0.25728
1984,17-29 y.,Bavaria,Not Working,0.26251,162,570,0.22635,0.29866
1984,17-29 y.,Berlin,Full Time,0.55398,50,50,0.41479,0.69316
1984,30-45 y.,Schleswig-Holstein,Full Time,0.61758,85,124,0.53169,0.70347
1984,30-45 y.,Schleswig-Holstein,Not Working,0.26218,39,124,0.18446,0.33991
1984,30-45 y.,Hamburg,Full Time,0.62681,76,76,0.51735,0.73627
1984,30-45 y.,Lower Saxony,Full Time,0.54568,215,390,0.49620,0.59516
1984,30-45 y.,Lower Saxony,Part Time,0.23614,83,390,0.19393,0.27834
1984,30-45 y.,Lower Saxony,Not Working,0.21818,92,390,0.17714,0.25922
1984,30-45 y.,North Rhine-Westphalia,Full Time,0.54123,594,1092,0.51166,0.57080
1984,30-45 y.,North Rhine-Westphalia,Part Time,0.18483,192,1092,0.16179,0.20786
1984,30-45 y.,North Rhine-Westphalia,Not Working,0.27395,306,1092,0.24748,0.30041
1984,30-45 y.,Hesse,Full Time,0.61114,227,369,0.56133,0.66095
1984,30-45 y.,Hesse,Part Time,0.18739,55,369,0.14752,0.22726
1984,30-45 y.,Hesse,Not Working,0.20147,87,369,0.16049,0.24245
1984,30-45 y.,"Rhineland-Palatinate, Saarland",Full Time,0.58102,122,179,0.50854,0.65350
1984,30-45 y.,"Rhineland-Palatinate, Saarland",Not Working,0.28491,57,179,0.21860,0.35122
1984,30-45 y.,Baden-Wuerttemberg,Full Time,0.59344,458,741,0.55805,0.62884
1984,30-45 y.,Baden-Wuerttemberg,Part Time,0.18825,127,741,0.16009,0.21642
1984,30-45 y.,Baden-Wuerttemberg,Not Working,0.21830,156,741,0.18854,0.24807
1984,30-45 y.,Bavaria,Full Time,0.57298,393,674,0.53561,0.61035
1984,30-45 y.,Bavaria,Part Time,0.21270,140,674,0.18178,0.24362
1984,30-45 y.,Bavaria,Not Working,0.21432,141,674,0.18331,0.24532
1984,30-45 y.,Berlin,Full Time,0.62233,86,86,0.51927,0.72540
1984,46-65 y.,Schleswig-Holstein,Full Time,0.44924,44,84,0.34222,0.55625
1984,46-65 y.,Schleswig-Holstein,Not Working,0.36445,40,84,0.26091,0.46799
1984,46-65 y.,Hamburg,Full Time,0.49021,38,38,0.32913,0.65129
1984,46-65 y.,Lower Saxony,Full Time,0.41169,155,356,0.36049,0.46288
1984,46-65 y.,Lower Saxony,Part Time,0.16220,56,356,0.12386,0.20055
1984,46-65 y.,Lower Saxony,Not Working,0.42611,145,356,0.37466,0.47755
1984,46-65 y.,North Rhine-Westphalia,Full Time,0.43945,449,911,0.40721,0.47170
1984,46-65 y.,North Rhine-Westphalia,Part Time,0.11431,96,911,0.09363,0.13498
1984,46-65 y.,North Rhine-Westphalia,Not Working,0.44624,366,911,0.41394,0.47854
1984,46-65 y.,Hesse,Full Time,0.43450,196,398,0.38574,0.48326
1984,46-65 y.,Hesse,Part Time,0.16453,60,398,0.12806,0.20100
1984,46-65 y.,Hesse,Not Working,0.40097,142,398,0.35276,0.44918
1984,46-65 y.,"Rhineland-Palatinate, Saarland",Full Time,0.40062,124,285,0.34363,0.45761
1984,46-65 y.,"Rhineland-Palatinate, Saarland",Part Time,0.12789,36,285,0.08905,0.16673
1984,46-65 y.,"Rhineland-Palatinate, Saarland",Not Working,0.47149,125,285,0.41343,0.52955
1984,46-65 y.,Baden-Wuerttemberg,Full Time,0.51459,358,647,0.47605,0.55313
1984,46-65 y.,Baden-Wuerttemberg,Part Time,0.15115,91,647,0.12352,0.17877
1984,46-65 y.,Baden-Wuerttemberg,Not Working,0.33426,198,647,0.29789,0.37064
1984,46-65 y.,Bavaria,Full Time,0.47572,317,614,0.43618,0.51525
1984,46-65 y.,Bavaria,Part Time,0.15866,88,614,0.12973,0.18758
1984,46-65 y.,Bavaria,Not Working,0.36562,209,614,0.32750,0.40375
1984,46-65 y.,Berlin,Full Time,0.56375,73,109,0.47022,0.65729
1984,46-65 y.,Berlin,Not Working,0.32709,36,109,0.23860,0.41557
