year,age_gr,pgisced97,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Pre-primary Level,Not Working,0.94292,178,178,0.90874,0.97710
1984,17-29 y.,Primary Level,Full Time,0.33580,72,178,0.26623,0.40538
1984,17-29 y.,Primary Level,Not Working,0.50993,106,178,0.43628,0.58357
1984,17-29 y.,Lower Secondary Level,Full Time,0.37361,405,1046,0.34428,0.40294
1984,17-29 y.,Lower Secondary Level,Part Time,0.23188,224,1046,0.20629,0.25747
1984,17-29 y.,Lower Secondary Level,Not Working,0.39451,417,1046,0.36488,0.42415
1984,17-29 y.,Upper Secondary Level,Full Time,0.55878,903,1603,0.53447,0.58310
1984,17-29 y.,Upper Secondary Level,Part Time,0.19625,302,1603,0.17680,0.21569
1984,17-29 y.,Upper Secondary Level,Not Working,0.24497,398,1603,0.22391,0.26603
1984,17-29 y.,Post-secondary Non-tertiary Level,Full Time,0.48100,60,98,0.38156,0.58043
1984,17-29 y.,Post-secondary Non-tertiary Level,Not Working,0.29837,38,98,0.20731,0.38942
1984,17-29 y.,First Stage of Tertiary Education,Full Time,0.59018,71,105,0.49566,0.68470
1984,17-29 y.,First Stage of Tertiary Education,Part Time,0.25271,34,105,0.16919,0.33623
1984,17-29 y.,Second Stage of Tertiary Education,Full Time,0.39424,52,128,0.30925,0.47923
1984,17-29 y.,Second Stage of Tertiary Education,Part Time,0.34712,40,128,0.26432,0.42991
1984,17-29 y.,Second Stage of Tertiary Education,Not Working,0.25865,36,128,0.18249,0.33480
1984,30-45 y.,Primary Level,Full Time,0.44441,211,399,0.39560,0.49323
1984,30-45 y.,Primary Level,Part Time,0.17372,50,399,0.13650,0.21095
1984,30-45 y.,Primary Level,Not Working,0.38186,138,399,0.33413,0.42959
1984,30-45 y.,Lower Secondary Level,Full Time,0.35013,371,804,0.31714,0.38313
1984,30-45 y.,Lower Secondary Level,Part Time,0.23214,157,804,0.20294,0.26134
1984,30-45 y.,Lower Secondary Level,Not Working,0.41773,276,804,0.38361,0.45184
1984,30-45 y.,Upper Secondary Level,Full Time,0.59825,1174,1949,0.57648,0.62003
1984,30-45 y.,Upper Secondary Level,Part Time,0.18283,355,1949,0.16567,0.20000
1984,30-45 y.,Upper Secondary Level,Not Working,0.21891,420,1949,0.20055,0.23728
1984,30-45 y.,Post-secondary Non-tertiary Level,Full Time,0.72860,72,72,0.62517,0.83204
1984,30-45 y.,First Stage of Tertiary Education,Full Time,0.66984,168,249,0.61131,0.72837
1984,30-45 y.,First Stage of Tertiary Education,Part Time,0.16287,40,249,0.11691,0.20882
1984,30-45 y.,First Stage of Tertiary Education,Not Working,0.16729,41,249,0.12084,0.21374
1984,30-45 y.,Second Stage of Tertiary Education,Full Time,0.69872,259,378,0.65241,0.74504
1984,30-45 y.,Second Stage of Tertiary Education,Part Time,0.21589,86,378,0.17436,0.25742
1984,30-45 y.,Second Stage of Tertiary Education,Not Working,0.08539,33,378,0.05718,0.11360
1984,46-65 y.,Primary Level,Full Time,0.50215,214,379,0.45175,0.55256
1984,46-65 y.,Primary Level,Part Time,0.12863,44,379,0.09488,0.16239
1984,46-65 y.,Primary Level,Not Working,0.36921,121,379,0.32056,0.41786
1984,46-65 y.,Lower Secondary Level,Full Time,0.27665,367,1084,0.25001,0.30330
1984,46-65 y.,Lower Secondary Level,Part Time,0.15395,157,1084,0.13246,0.17545
