year,pgisced97,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,Not Working,0.90930,178,178,0.86699,0.95161
1984,Primary Level,Full Time,0.39887,498,999,0.36849,0.42925
1984,Primary Level,Part Time,0.14465,122,999,0.12283,0.16648
1984,Primary Level,Not Working,0.45607,379,999,0.42516,0.48697
1984,Lower Secondary Level,Full Time,0.24254,1148,3448,0.22823,0.25685
1984,Lower Secondary Level,Part Time,0.15029,548,3448,0.13836,0.16222
1984,Lower Secondary Level,Not Working,0.60604,1752,3448,0.58973,0.62235
1984,Upper Secondary Level,Full Time,0.47261,2945,5705,0.45965,0.48556
1984,Upper Secondary Level,Part Time,0.14822,878,5705,0.13900,0.15744
1984,Upper Secondary Level,Not Working,0.37917,1882,5705,0.36658,0.39176
1984,Post-secondary Non-tertiary Level,Full Time,0.52650,177,309,0.47074,0.58226
1984,Post-secondary Non-tertiary Level,Part Time,0.15842,51,309,0.11764,0.19920
1984,Post-secondary Non-tertiary Level,Not Working,0.31508,81,309,0.26320,0.36696
1984,First Stage of Tertiary Education,Full Time,0.52751,366,660,0.48940,0.56563
1984,First Stage of Tertiary Education,Part Time,0.15498,108,660,0.12735,0.18261
1984,First Stage of Tertiary Education,Not Working,0.31751,186,660,0.28197,0.35305
1984,Second Stage of Tertiary Education,Full Time,0.57146,465,790,0.53693,0.60599
1984,Second Stage of Tertiary Education,Part Time,0.20006,165,790,0.17214,0.22797
1984,Second Stage of Tertiary Education,Not Working,0.22849,160,790,0.19919,0.25778
1985,Pre-primary Level,Not Working,0.95471,180,180,0.92425,0.98517
1985,Primary Level,Full Time,0.37082,393,834,0.33802,0.40362
1985,Primary Level,Part Time,0.12652,100,834,0.10395,0.14910
1985,Primary Level,Not Working,0.50266,341,834,0.46870,0.53661
1985,Lower Secondary Level,Full Time,0.24155,995,3061,0.22638,0.25671
1985,Lower Secondary Level,Part Time,0.15882,533,3061,0.14587,0.17178
1985,Lower Secondary Level,Not Working,0.59957,1533,3061,0.58221,0.61694
1985,Upper Secondary Level,Full Time,0.45320,2563,5180,0.43965,0.46676
1985,Upper Secondary Level,Part Time,0.16552,900,5180,0.15540,0.17565
1985,Upper Secondary Level,Not Working,0.38125,1717,5180,0.36803,0.39448
1985,Post-secondary Non-tertiary Level,Full Time,0.47689,148,275,0.41775,0.53603
1985,Post-secondary Non-tertiary Level,Part Time,0.17884,49,275,0.13346,0.22421
1985,Post-secondary Non-tertiary Level,Not Working,0.34427,78,275,0.28801,0.40053
1985,First Stage of Tertiary Education,Full Time,0.53093,347,620,0.49162,0.57025
1985,First Stage of Tertiary Education,Part Time,0.15876,104,620,0.12997,0.18755
1985,First Stage of Tertiary Education,Not Working,0.31031,169,620,0.27386,0.34675
1985,Second Stage of Tertiary Education,Full Time,0.59250,460,755,0.55743,0.62757
1985,Second Stage of Tertiary Education,Part Time,0.18080,145,755,0.15333,0.20827
1985,Second Stage of Tertiary Education,Not Working,0.22670,150,755,0.19682,0.25659
1986,Pre-primary Level,Not Working,0.95502,183,183,0.92490,0.98513
1986,Primary Level,Full Time,0.37219,349,778,0.33820,0.40618
1986,Primary Level,Part Time,0.15213,105,778,0.12688,0.17738
1986,Primary Level,Not Working,0.47568,324,778,0.44056,0.51079
1986,Lower Secondary Level,Full Time,0.25987,1004,2907,0.24392,0.27581
1986,Lower Secondary Level,Part Time,0.16136,529,2907,0.14799,0.17474
1986,Lower Secondary Level,Not Working,0.57827,1374,2907,0.56032,0.59623
1986,Upper Secondary Level,Full Time,0.45180,2491,4992,0.43799,0.46561
1986,Upper Secondary Level,Part Time,0.16559,875,4992,0.15528,0.17590
1986,Upper Secondary Level,Not Working,0.38261,1626,4992,0.36913,0.39610
1986,Post-secondary Non-tertiary Level,Full Time,0.48273,150,274,0.42345,0.54201
1986,Post-secondary Non-tertiary Level,Part Time,0.21974,52,274,0.17062,0.26886
1986,Post-secondary Non-tertiary Level,Not Working,0.29753,72,274,0.24330,0.35176
1986,First Stage of Tertiary Education,Full Time,0.51843,319,582,0.47780,0.55906
1986,First Stage of Tertiary Education,Part Time,0.14521,99,582,0.11656,0.17386
