year,age_gr,quintil_oecd,pli0165,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,17-29 y.,1st Quintile,Daily,0.61401,765,1092,0.58512,0.64290
2013,17-29 y.,1st Quintile,At least once per week,0.10559,130,1092,0.08735,0.12382
2013,17-29 y.,1st Quintile,Seldom,0.04630,52,1092,0.03383,0.05877
2013,17-29 y.,1st Quintile,Never,0.10403,145,1092,0.08591,0.12215
2013,17-29 y.,2nd Quintile,Daily,0.58118,545,764,0.54618,0.61619
2013,17-29 y.,2nd Quintile,At least once per week,0.10586,96,764,0.08403,0.12769
2013,17-29 y.,2nd Quintile,Seldom,0.02200,31,764,0.01159,0.03241
2013,17-29 y.,2nd Quintile,Never,0.13110,92,764,0.10715,0.15505
2013,17-29 y.,3rd Quintile,Daily,0.59510,445,623,0.55652,0.63368
2013,17-29 y.,3rd Quintile,At least once per week,0.17553,102,623,0.14563,0.20543
2013,17-29 y.,3rd Quintile,Never,0.08879,76,623,0.06643,0.11114
2013,17-29 y.,4th Quintile,Daily,0.64466,401,540,0.60426,0.68507
2013,17-29 y.,4th Quintile,At least once per week,0.12017,71,540,0.09272,0.14763
2013,17-29 y.,4th Quintile,Never,0.11247,68,540,0.08579,0.13914
2013,17-29 y.,5th Quintile,Daily,0.64089,318,410,0.59440,0.68739
2013,17-29 y.,5th Quintile,At least once per week,0.08399,49,410,0.05711,0.11087
2013,17-29 y.,5th Quintile,Never,0.09294,43,410,0.06480,0.12108
2013,30-45 y.,1st Quintile,Daily,0.37908,695,1770,0.35647,0.40169
2013,30-45 y.,1st Quintile,At least once per week,0.14282,278,1770,0.12652,0.15913
2013,30-45 y.,1st Quintile,At least once per month,0.04531,59,1770,0.03562,0.05500
2013,30-45 y.,1st Quintile,Seldom,0.08158,156,1770,0.06882,0.09433
2013,30-45 y.,1st Quintile,Never,0.32850,582,1770,0.30661,0.35039
2013,30-45 y.,2nd Quintile,Daily,0.34379,617,1777,0.32170,0.36588
2013,30-45 y.,2nd Quintile,At least once per week,0.13775,268,1777,0.12172,0.15378
2013,30-45 y.,2nd Quintile,At least once per month,0.03225,67,1777,0.02403,0.04046
2013,30-45 y.,2nd Quintile,Seldom,0.07708,145,1777,0.06467,0.08948
2013,30-45 y.,2nd Quintile,Never,0.39603,680,1777,0.37328,0.41877
2013,30-45 y.,3rd Quintile,Daily,0.32675,474,1558,0.30345,0.35005
2013,30-45 y.,3rd Quintile,At least once per week,0.15328,221,1558,0.13538,0.17117
2013,30-45 y.,3rd Quintile,At least once per month,0.03495,52,1558,0.02583,0.04408
2013,30-45 y.,3rd Quintile,Seldom,0.10864,158,1558,0.09318,0.12410
2013,30-45 y.,3rd Quintile,Never,0.36046,653,1558,0.33661,0.38431
2013,30-45 y.,4th Quintile,Daily,0.30004,441,1509,0.27691,0.32317
2013,30-45 y.,4th Quintile,At least once per week,0.13091,224,1509,0.11389,0.14794
2013,30-45 y.,4th Quintile,At least once per month,0.07601,71,1509,0.06263,0.08938
2013,30-45 y.,4th Quintile,Seldom,0.10014,136,1509,0.08499,0.11529
2013,30-45 y.,4th Quintile,Never,0.38891,637,1509,0.36430,0.41351
2013,30-45 y.,5th Quintile,Daily,0.29434,387,1374,0.27024,0.31845
2013,30-45 y.,5th Quintile,At least once per week,0.18353,235,1374,0.16305,0.20400
2013,30-45 y.,5th Quintile,At least once per month,0.04825,63,1374,0.03692,0.05959
2013,30-45 y.,5th Quintile,Seldom,0.08509,133,1374,0.07033,0.09985
2013,30-45 y.,5th Quintile,Never,0.37620,556,1374,0.35058,0.40183
2013,46-65 y.,1st Quintile,Daily,0.15281,267,1430,0.13415,0.17146
2013,46-65 y.,1st Quintile,At least once per week,0.10449,152,1430,0.08863,0.12035
2013,46-65 y.,1st Quintile,At least once per month,0.02074,42,1430,0.01335,0.02813
2013,46-65 y.,1st Quintile,Seldom,0.07583,111,1430,0.06211,0.08956
2013,46-65 y.,1st Quintile,Never,0.63309,858,1430,0.60810,0.65808
2013,46-65 y.,2nd Quintile,Daily,0.14829,206,1360,0.12940,0.16719
2013,46-65 y.,2nd Quintile,At least once per week,0.10788,158,1360,0.09138,0.12437
2013,46-65 y.,2nd Quintile,At least once per month,0.02200,36,1360,0.01420,0.02979
2013,46-65 y.,2nd Quintile,Seldom,0.09699,126,1360,0.08125,0.11272
2013,46-65 y.,2nd Quintile,Never,0.60776,834,1360,0.58180,0.63372
2013,46-65 y.,3rd Quintile,Daily,0.18298,298,1615,0.16411,0.20184
2013,46-65 y.,3rd Quintile,At least once per week,0.14297,199,1615,0.12589,0.16005
2013,46-65 y.,3rd Quintile,At least once per month,0.02994,46,1615,0.02162,0.03825
2013,46-65 y.,3rd Quintile,Seldom,0.08369,145,1615,0.07018,0.09720
2013,46-65 y.,3rd Quintile,Never,0.54871,927,1615,0.52443,0.57299
2013,46-65 y.,4th Quintile,Daily,0.15835,307,1894,0.14191,0.17480
2013,46-65 y.,4th Quintile,At least once per week,0.11622,224,1894,0.10178,0.13066
2013,46-65 y.,4th Quintile,At least once per month,0.03300,60,1894,0.02495,0.04105
2013,46-65 y.,4th Quintile,Seldom,0.08821,175,1894,0.07544,0.10099
2013,46-65 y.,4th Quintile,Never,0.58486,1128,1894,0.56267,0.60706
2013,46-65 y.,5th Quintile,Daily,0.14456,393,2634,0.13113,0.15799
2013,46-65 y.,5th Quintile,At least once per week,0.11139,296,2634,0.09937,0.12341
2013,46-65 y.,5th Quintile,At least once per month,0.04318,102,2634,0.03541,0.05094
2013,46-65 y.,5th Quintile,Seldom,0.11167,288,2634,0.09964,0.12370
2013,46-65 y.,5th Quintile,Never,0.57950,1555,2634,0.56064,0.59835
2013,66 and older,1st Quintile,Never,0.90119,742,742,0.87970,0.92268
2013,66 and older,2nd Quintile,Daily,0.04243,51,1184,0.03094,0.05392
2013,66 and older,2nd Quintile,At least once per week,0.02700,34,1184,0.01777,0.03624
2013,66 and older,2nd Quintile,Seldom,0.03862,48,1184,0.02764,0.04960
2013,66 and older,2nd Quintile,Never,0.85763,1051,1184,0.83772,0.87755
2013,66 and older,3rd Quintile,Daily,0.03981,52,1013,0.02777,0.05186
2013,66 and older,3rd Quintile,At least once per week,0.03991,53,1013,0.02785,0.05197
2013,66 and older,3rd Quintile,Seldom,0.04388,51,1013,0.03126,0.05650
2013,66 and older,3rd Quintile,Never,0.83482,857,1013,0.81194,0.85770
2013,66 and older,4th Quintile,Daily,0.07024,71,854,0.05309,0.08739
2013,66 and older,4th Quintile,At least once per week,0.06374,51,854,0.04735,0.08014
2013,66 and older,4th Quintile,Seldom,0.06259,66,854,0.04634,0.07885
2013,66 and older,4th Quintile,Never,0.78273,666,854,0.75506,0.81041
2013,66 and older,5th Quintile,Daily,0.09413,100,959,0.07564,0.11262
2013,66 and older,5th Quintile,At least once per week,0.05131,62,959,0.03734,0.06528
2013,66 and older,5th Quintile,Seldom,0.09273,87,959,0.07436,0.11109
2013,66 and older,5th Quintile,Never,0.74370,710,959,0.71605,0.77134
2017,17-29 y.,1st Quintile,Daily,0.02554,324,448,0.01092,0.04017
2017,17-29 y.,1st Quintile,At least once per week,0.00471,68,448,-0.00164,0.01106
2017,17-29 y.,1st Quintile,Never,0.00381,56,448,-0.00190,0.00952
2017,30-45 y.,1st Quintile,Daily,0.01954,497,792,0.00989,0.02918
2017,30-45 y.,1st Quintile,At least once per week,0.00536,145,792,0.00027,0.01045
2017,30-45 y.,1st Quintile,Seldom,0.00149,46,792,-0.00120,0.00417
2017,30-45 y.,1st Quintile,Never,0.00265,104,792,-0.00093,0.00624
2017,30-45 y.,2nd Quintile,Daily,0.00168,48,48,-0.01002,0.01337
2017,46-65 y.,1st Quintile,Daily,0.00406,131,164,-0.00570,0.01382
2017,46-65 y.,1st Quintile,Never,0.00143,33,164,-0.00437,0.00722
2018,17-29 y.,1st Quintile,Daily,0.03917,570,783,0.02557,0.05277
2018,17-29 y.,1st Quintile,At least once per week,0.00706,118,783,0.00119,0.01293
2018,17-29 y.,1st Quintile,Seldom,0.00148,34,783,-0.00121,0.00418
