year,migback,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Further vocational education,0.00817,93,93,-0.01022,0.02656
1985,No migration background,Further vocational education,0.00829,81,81,-0.01158,0.02817
1986,No migration background,Further vocational education,0.00888,90,90,-0.01061,0.02838
1987,No migration background,Further vocational education,0.00822,87,87,-0.01086,0.02730
1988,No migration background,Further vocational education,0.00776,77,77,-0.01197,0.02750
1989,No migration background,Further vocational education,0.00747,61,61,-0.01432,0.02926
1990,No migration background,Vocational Retraining,0.00247,39,220,-0.00411,0.00905
1990,No migration background,Further vocational education,0.00987,148,220,-0.00322,0.02296
1990,No migration background,Further general/political education,0.00148,33,220,-0.00361,0.00658
1991,No migration background,Further vocational education,0.00730,77,77,-0.01184,0.02644
1992,No migration background,Vocational Retraining,0.00614,116,355,-0.00200,0.01427
1992,No migration background,Further vocational education,0.01183,204,355,0.00057,0.02309
1992,No migration background,Others,0.00288,35,355,-0.00270,0.00847
1993,No migration background,Vocational Retraining,0.00585,106,301,-0.00278,0.01447
1993,No migration background,Further vocational education,0.01188,195,301,-0.00038,0.02413
1994,No migration background,Vocational Retraining,0.00483,76,241,-0.00394,0.01360
1994,No migration background,Further vocational education,0.01199,165,241,-0.00178,0.02577
1995,No migration background,Vocational Retraining,0.00445,63,223,-0.00431,0.01320
1995,No migration background,Further vocational education,0.01062,160,223,-0.00287,0.02410
1996,No migration background,Vocational Retraining,0.00435,72,214,-0.00449,0.01319
1996,No migration background,Further vocational education,0.00943,142,214,-0.00355,0.02241
1997,No migration background,Vocational Retraining,0.00436,63,193,-0.00496,0.01368
1997,No migration background,Further vocational education,0.00926,130,193,-0.00429,0.02280
1998,No migration background,Vocational Retraining,0.00297,56,156,-0.00560,0.01153
1998,No migration background,Further vocational education,0.00739,100,156,-0.00609,0.02086
1999,No migration background,Vocational Retraining,0.00273,49,203,-0.00446,0.00992
1999,No migration background,Further vocational education,0.00827,120,203,-0.00422,0.02076
1999,No migration background,Others,0.00214,34,203,-0.00423,0.00852
2000,No migration background,Vocational Retraining,0.00200,52,351,-0.00268,0.00668
2000,No migration background,Further vocational education,0.00711,200,351,-0.00169,0.01591
2000,No migration background,Others,0.00411,99,351,-0.00259,0.01080
2001,No migration background,Vocational Retraining,0.00202,54,322,-0.00289,0.00693
2001,No migration background,Further vocational education,0.00802,183,322,-0.00174,0.01777
2001,No migration background,Others,0.00376,85,322,-0.00294,0.01046
