year,age_gr,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Further vocational education,0.01700,50,50,-0.01920,0.05320
1984,30-45 y.,Further vocational education,0.01596,49,49,-0.01949,0.05142
1985,17-29 y.,Further vocational education,0.01943,47,47,-0.02046,0.05932
1985,30-45 y.,Further vocational education,0.01351,39,39,-0.02319,0.05020
1986,17-29 y.,Further vocational education,0.01821,47,47,-0.02043,0.05684
1986,30-45 y.,Further vocational education,0.01702,45,45,-0.02120,0.05523
1987,17-29 y.,Further vocational education,0.01355,47,47,-0.01986,0.04696
1987,30-45 y.,Further vocational education,0.01939,48,48,-0.02003,0.05881
1988,17-29 y.,Further vocational education,0.01867,55,55,-0.01743,0.05477
1988,30-45 y.,Further vocational education,0.01510,39,39,-0.02367,0.05387
1989,17-29 y.,Further vocational education,0.01576,35,35,-0.02610,0.05761
1990,17-29 y.,Further vocational education,0.01655,54,54,-0.01780,0.05091
1990,30-45 y.,Further vocational education,0.01867,78,78,-0.01156,0.04890
1990,46-65 y.,Further vocational education,0.00659,31,31,-0.02237,0.03555
1991,17-29 y.,Further vocational education,0.01162,39,39,-0.02245,0.04569
1991,30-45 y.,Further vocational education,0.01606,44,44,-0.02151,0.05364
1992,17-29 y.,Vocational Retraining,0.01369,53,121,-0.00710,0.03449
1992,17-29 y.,Further vocational education,0.02328,68,121,-0.00370,0.05026
1992,30-45 y.,Vocational Retraining,0.01065,63,172,-0.00474,0.02604
1992,30-45 y.,Further vocational education,0.02077,109,172,-0.00061,0.04214
1992,46-65 y.,Further vocational education,0.00672,39,39,-0.01926,0.03271
1993,17-29 y.,Vocational Retraining,0.01650,53,124,-0.00601,0.03901
1993,17-29 y.,Further vocational education,0.02276,71,124,-0.00360,0.04912
1993,30-45 y.,Vocational Retraining,0.00757,49,166,-0.00566,0.02079
1993,30-45 y.,Further vocational education,0.02396,117,166,0.00062,0.04729
1994,17-29 y.,Further vocational education,0.01774,53,53,-0.01814,0.05362
1994,30-45 y.,Vocational Retraining,0.00956,44,138,-0.00673,0.02586
1994,30-45 y.,Further vocational education,0.02263,94,138,-0.00227,0.04754
1994,46-65 y.,Further vocational education,0.00938,31,31,-0.02512,0.04388
1995,17-29 y.,Vocational Retraining,0.01113,32,95,-0.01008,0.03235
1995,17-29 y.,Further vocational education,0.02180,63,95,-0.00772,0.05132
1995,30-45 y.,Vocational Retraining,0.00802,38,127,-0.00755,0.02360
1995,30-45 y.,Further vocational education,0.01751,89,127,-0.00539,0.04041
1996,17-29 y.,Further vocational education,0.01975,54,54,-0.01771,0.05721
1996,30-45 y.,Vocational Retraining,0.00982,49,124,-0.00761,0.02725
1996,30-45 y.,Further vocational education,0.01543,75,124,-0.00635,0.03721
1996,46-65 y.,Further vocational education,0.00684,31,31,-0.02266,0.03634
1997,17-29 y.,Vocational Retraining,0.00955,31,75,-0.01261,0.03172
1997,17-29 y.,Further vocational education,0.01641,44,75,-0.01254,0.04536
1997,30-45 y.,Vocational Retraining,0.00790,35,130,-0.00738,0.02317
1997,30-45 y.,Further vocational education,0.02211,95,130,-0.00327,0.04748
1998,17-29 y.,Further vocational education,0.01207,32,32,-0.02637,0.05052
1998,30-45 y.,Vocational Retraining,0.00796,40,105,-0.00912,0.02504
1998,30-45 y.,Further vocational education,0.01585,65,105,-0.00815,0.03985
1999,17-29 y.,Further vocational education,0.01714,44,44,-0.02166,0.05594
1999,30-45 y.,Vocational Retraining,0.00578,31,106,-0.00872,0.02027
1999,30-45 y.,Further vocational education,0.01677,75,106,-0.00779,0.04133
2000,17-29 y.,Further vocational education,0.01338,64,114,-0.00781,0.03456
2000,17-29 y.,Others,0.01078,50,114,-0.00826,0.02982
2000,30-45 y.,Vocational Retraining,0.00523,40,201,-0.00477,0.01522
2000,30-45 y.,Further vocational education,0.01250,113,201,-0.00290,0.02791
2000,30-45 y.,Others,0.00720,48,201,-0.00452,0.01892
2000,46-65 y.,Further vocational education,0.00460,40,40,-0.01664,0.02585
2001,17-29 y.,Further vocational education,0.01408,56,89,-0.01054,0.03870
2001,17-29 y.,Others,0.00827,33,89,-0.01065,0.02719
2001,30-45 y.,Vocational Retraining,0.00618,48,191,-0.00496,0.01733
2001,30-45 y.,Further vocational education,0.01494,105,191,-0.00231,0.03219
2001,30-45 y.,Others,0.00496,38,191,-0.00503,0.01494
2001,46-65 y.,Further vocational education,0.00608,43,43,-0.01743,0.02959
2002,17-29 y.,Further vocational education,0.01340,45,103,-0.00891,0.03571
2002,17-29 y.,Others,0.01410,58,103,-0.00878,0.03698
2002,30-45 y.,Vocational Retraining,0.00753,49,190,-0.00479,0.01986
2002,30-45 y.,Further vocational education,0.01486,100,190,-0.00239,0.03211
2002,30-45 y.,Others,0.00613,41,190,-0.00500,0.01725
2002,46-65 y.,Others,0.00367,37,37,-0.01608,0.02341
2003,17-29 y.,Further vocational education,0.01520,42,84,-0.01112,0.04152
2003,17-29 y.,Others,0.00876,42,84,-0.01129,0.02880
2003,30-45 y.,Vocational Retraining,0.00771,50,143,-0.00668,0.02209
2003,30-45 y.,Further vocational education,0.01355,93,143,-0.00546,0.03257
2004,17-29 y.,Further vocational education,0.01292,51,87,-0.01095,0.03678
2004,17-29 y.,Others,0.00935,36,87,-0.01099,0.02970
2004,30-45 y.,Vocational Retraining,0.00699,41,120,-0.00798,0.02196
2004,30-45 y.,Further vocational education,0.01298,79,120,-0.00736,0.03332
2005,17-29 y.,Further vocational education,0.01394,40,90,-0.01042,0.03829
2005,17-29 y.,Others,0.01378,50,90,-0.01044,0.03800
2005,30-45 y.,Further vocational education,0.00952,54,87,-0.01100,0.03004
2005,30-45 y.,Others,0.00645,33,87,-0.01047,0.02337
2006,17-29 y.,Others,0.00968,35,35,-0.02323,0.04258
2006,30-45 y.,Further vocational education,0.00636,47,47,-0.01661,0.02933
2007,30-45 y.,Further vocational education,0.00838,44,44,-0.01887,0.03562
2008,30-45 y.,Further vocational education,0.00695,37,37,-0.02019,0.03410
2009,30-45 y.,Further vocational education,0.00780,38,38,-0.02055,0.03614
2010,17-29 y.,Further vocational education,0.01444,40,75,-0.01274,0.04162
2010,17-29 y.,Others,0.00988,35,75,-0.01266,0.03242
2010,30-45 y.,Vocational Retraining,0.00244,33,144,-0.00565,0.01054
2010,30-45 y.,Further vocational education,0.00934,79,144,-0.00643,0.02510
2010,30-45 y.,Others,0.00496,32,144,-0.00656,0.01648
2011,17-29 y.,Further vocational education,0.01120,43,43,-0.02063,0.04302
2011,30-45 y.,Vocational Retraining,0.00484,60,195,-0.00493,0.01462
2011,30-45 y.,Further vocational education,0.01419,104,195,-0.00245,0.03084
2011,30-45 y.,Others,0.00248,31,195,-0.00452,0.00948
2011,46-65 y.,Further vocational education,0.00350,33,33,-0.01697,0.02397
2012,17-29 y.,Further vocational education,0.00799,39,39,-0.02032,0.03630
2012,30-45 y.,Vocational Retraining,0.00377,46,156,-0.00588,0.01342
2012,30-45 y.,Further vocational education,0.01127,79,156,-0.00535,0.02788
2012,30-45 y.,Others,0.00437,31,156,-0.00601,0.01474
2012,46-65 y.,Further vocational education,0.00421,45,45,-0.01492,0.02333
2013,17-29 y.,Further vocational education,0.00711,38,38,-0.01997,0.03419
2013,30-45 y.,Vocational Retraining,0.00539,58,201,-0.00476,0.01554
2013,30-45 y.,Further vocational education,0.01319,103,201,-0.00262,0.02901
2013,30-45 y.,Others,0.00348,40,201,-0.00468,0.01165
2013,46-65 y.,Further vocational education,0.00395,56,56,-0.01263,0.02053
2014,17-29 y.,Further vocational education,0.01374,45,45,-0.02066,0.04813
2014,30-45 y.,Vocational Retraining,0.00508,50,158,-0.00604,0.01620
2014,30-45 y.,Further vocational education,0.01024,75,158,-0.00551,0.02599
2014,30-45 y.,Others,0.00454,33,158,-0.00598,0.01507
2014,46-65 y.,Further vocational education,0.00399,51,51,-0.01348,0.02145
2015,17-29 y.,Further vocational education,0.00786,32,32,-0.02323,0.03895
2015,30-45 y.,Vocational Retraining,0.00641,40,109,-0.00864,0.02146
2015,30-45 y.,Further vocational education,0.00979,69,109,-0.00878,0.02835
2016,17-29 y.,Further vocational education,0.01482,43,43,-0.02172,0.05137
2016,30-45 y.,Vocational Retraining,0.00412,38,114,-0.00769,0.01594
2016,30-45 y.,Further vocational education,0.01180,76,114,-0.00811,0.03170
2016,46-65 y.,Further vocational education,0.00225,35,35,-0.01367,0.01817
2017,17-29 y.,Further vocational education,0.00947,46,46,-0.01883,0.03777
2017,30-45 y.,Vocational Retraining,0.00263,37,117,-0.00669,0.01195
2017,30-45 y.,Further vocational education,0.01178,80,117,-0.00785,0.03142
2017,46-65 y.,Further vocational education,0.00401,52,52,-0.01333,0.02135
2018,17-29 y.,Further vocational education,0.00852,36,36,-0.02193,0.03897
2018,30-45 y.,Vocational Retraining,0.00657,46,147,-0.00653,0.01968
2018,30-45 y.,Further vocational education,0.00966,69,147,-0.00621,0.02553
2018,30-45 y.,Others,0.00470,32,147,-0.00639,0.01580
2018,46-65 y.,Further vocational education,0.00253,32,32,-0.01516,0.02022
2019,17-29 y.,Further vocational education,0.00950,40,40,-0.02094,0.03994
2019,30-45 y.,Vocational Retraining,0.00423,42,93,-0.00903,0.01750
2019,30-45 y.,Further vocational education,0.00792,51,93,-0.01019,0.02603
2019,46-65 y.,Further vocational education,0.00250,34,34,-0.01453,0.01952
2020,17-29 y.,Further vocational education,0.01001,38,38,-0.02207,0.04208
2020,30-45 y.,Vocational Retraining,0.00358,33,87,-0.00904,0.01620
2020,30-45 y.,Further vocational education,0.00481,54,87,-0.00981,0.01944
2020,46-65 y.,Further vocational education,0.00180,34,34,-0.01267,0.01627
2021,30-45 y.,Further vocational education,0.01104,51,51,-0.01792,0.04001
2021,46-65 y.,Further vocational education,0.00300,34,34,-0.01565,0.02164
