year,age_gr,migback,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Further vocational education,0.01733,41,41,-0.02311,0.05778
1984,30-45 y.,No migration background,Further vocational education,0.01706,43,43,-0.02210,0.05623
1985,17-29 y.,No migration background,Further vocational education,0.02022,40,40,-0.02396,0.06440
1985,30-45 y.,No migration background,Further vocational education,0.01367,31,31,-0.02788,0.05522
1986,17-29 y.,No migration background,Further vocational education,0.01837,39,39,-0.02433,0.06106
1986,30-45 y.,No migration background,Further vocational education,0.01834,41,41,-0.02324,0.05993
1987,17-29 y.,No migration background,Further vocational education,0.01407,37,37,-0.02440,0.05253
1987,30-45 y.,No migration background,Further vocational education,0.02146,44,44,-0.02185,0.06477
1988,17-29 y.,No migration background,Further vocational education,0.01943,42,42,-0.02282,0.06168
1988,30-45 y.,No migration background,Further vocational education,0.01579,31,31,-0.02882,0.06039
1990,17-29 y.,No migration background,Further vocational education,0.01802,48,48,-0.02001,0.05605
1990,30-45 y.,No migration background,Further vocational education,0.02017,73,73,-0.01230,0.05265
1991,17-29 y.,No migration background,Further vocational education,0.01210,31,31,-0.02702,0.05121
1991,30-45 y.,No migration background,Further vocational education,0.01756,39,39,-0.02420,0.05931
1992,17-29 y.,No migration background,Vocational Retraining,0.01513,46,110,-0.00779,0.03805
1992,17-29 y.,No migration background,Further vocational education,0.02589,64,110,-0.00392,0.05571
1992,30-45 y.,No migration background,Vocational Retraining,0.01138,58,162,-0.00500,0.02776
1992,30-45 y.,No migration background,Further vocational education,0.02208,104,162,-0.00062,0.04478
1992,46-65 y.,No migration background,Further vocational education,0.00708,35,35,-0.02110,0.03525
1993,17-29 y.,No migration background,Vocational Retraining,0.01886,48,108,-0.00691,0.04464
1993,17-29 y.,No migration background,Further vocational education,0.02559,60,108,-0.00433,0.05552
1993,30-45 y.,No migration background,Vocational Retraining,0.00827,47,160,-0.00581,0.02235
1993,30-45 y.,No migration background,Further vocational education,0.02593,113,160,0.00123,0.05063
1994,17-29 y.,No migration background,Further vocational education,0.02097,48,48,-0.01999,0.06194
1994,30-45 y.,No migration background,Vocational Retraining,0.01058,42,130,-0.00708,0.02824
1994,30-45 y.,No migration background,Further vocational education,0.02397,88,130,-0.00243,0.05036
1995,17-29 y.,No migration background,Further vocational education,0.02594,54,54,-0.01685,0.06874
1995,30-45 y.,No migration background,Further vocational education,0.01899,82,82,-0.01073,0.04872
1996,17-29 y.,No migration background,Further vocational education,0.02212,46,46,-0.02085,0.06509
1996,30-45 y.,No migration background,Vocational Retraining,0.00979,39,106,-0.00904,0.02863
1996,30-45 y.,No migration background,Further vocational education,0.01626,67,106,-0.00793,0.04044
1997,17-29 y.,No migration background,Further vocational education,0.01869,35,35,-0.02683,0.06421
1997,30-45 y.,No migration background,Further vocational education,0.02133,80,80,-0.01053,0.05320
1998,30-45 y.,No migration background,Vocational Retraining,0.00738,33,92,-0.01021,0.02497
1998,30-45 y.,No migration background,Further vocational education,0.01658,59,92,-0.00966,0.04282
1999,17-29 y.,No migration background,Further vocational education,0.01879,33,33,-0.02826,0.06583
1999,30-45 y.,No migration background,Further vocational education,0.01870,71,71,-0.01303,0.05044
2000,17-29 y.,No migration background,Further vocational education,0.01581,55,97,-0.00914,0.04077
2000,17-29 y.,No migration background,Others,0.01215,42,97,-0.00977,0.03407
2000,30-45 y.,No migration background,Further vocational education,0.01407,107,147,-0.00503,0.03318
2000,30-45 y.,No migration background,Others,0.00757,40,147,-0.00649,0.02163
2000,46-65 y.,No migration background,Further vocational education,0.00510,38,38,-0.01785,0.02806
