year,regtyp,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Further vocational education,0.00779,71,71,-0.01280,0.02838
1986,Urban regions,Further vocational education,0.00814,76,76,-0.01220,0.02848
1987,Urban regions,Further vocational education,0.00805,83,83,-0.01129,0.02739
1988,Urban regions,Further vocational education,0.00594,65,96,-0.00951,0.02139
1988,Urban regions,Others,0.00375,31,96,-0.00854,0.01603
1988,Rural regions,Further vocational education,0.01186,33,33,-0.02565,0.04937
1989,Urban regions,Further vocational education,0.00692,55,55,-0.01519,0.02902
1990,Urban regions,Vocational Retraining,0.00265,32,132,-0.00615,0.01144
1990,Urban regions,Further vocational education,0.00899,100,132,-0.00717,0.02515
1990,Rural regions,Further vocational education,0.00937,61,61,-0.01501,0.03374
1991,Urban regions,Further vocational education,0.00738,71,71,-0.01267,0.02744
1992,Urban regions,Vocational Retraining,0.00338,54,202,-0.00464,0.01141
1992,Urban regions,Further vocational education,0.00874,110,202,-0.00413,0.02161
1992,Urban regions,Others,0.00343,38,202,-0.00465,0.01151
1992,Rural regions,Vocational Retraining,0.01038,73,174,-0.00472,0.02548
1992,Rural regions,Further vocational education,0.01479,101,174,-0.00320,0.03278
1993,Urban regions,Vocational Retraining,0.00302,43,163,-0.00543,0.01147
1993,Urban regions,Further vocational education,0.00981,120,163,-0.00537,0.02498
1993,Rural regions,Vocational Retraining,0.00990,70,161,-0.00544,0.02524
1993,Rural regions,Further vocational education,0.01271,91,161,-0.00465,0.03006
1994,Urban regions,Vocational Retraining,0.00317,37,141,-0.00614,0.01249
1994,Urban regions,Further vocational education,0.01035,104,141,-0.00642,0.02711
1994,Rural regions,Vocational Retraining,0.00700,44,118,-0.00811,0.02211
1994,Rural regions,Further vocational education,0.01213,74,118,-0.00771,0.03196
1995,Urban regions,Vocational Retraining,0.00381,43,153,-0.00598,0.01361
1995,Urban regions,Further vocational education,0.00935,110,153,-0.00595,0.02464
1995,Rural regions,Vocational Retraining,0.00540,37,105,-0.00869,0.01949
1995,Rural regions,Further vocational education,0.01016,68,105,-0.00911,0.02944
1996,Urban regions,Vocational Retraining,0.00356,43,136,-0.00649,0.01361
1996,Urban regions,Further vocational education,0.00794,93,136,-0.00703,0.02292
1996,Rural regions,Vocational Retraining,0.00562,45,112,-0.00829,0.01953
1996,Rural regions,Further vocational education,0.01039,67,112,-0.00847,0.02925
1997,Urban regions,Vocational Retraining,0.00407,43,130,-0.00692,0.01507
1997,Urban regions,Further vocational education,0.00810,87,130,-0.00737,0.02357
1997,Rural regions,Vocational Retraining,0.00416,34,102,-0.00839,0.01672
1997,Rural regions,Further vocational education,0.01092,68,102,-0.00935,0.03120
