year,sex,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Further vocational education,0.01224,78,78,-0.01232,0.03680
1984,female,Further vocational education,0.00397,31,31,-0.01852,0.02646
1985,male,Further vocational education,0.01049,64,64,-0.01467,0.03564
1985,female,Further vocational education,0.00568,32,32,-0.02078,0.03214
1986,male,Further vocational education,0.01064,59,59,-0.01576,0.03704
1986,female,Further vocational education,0.00643,43,43,-0.01774,0.03061
1987,male,Further vocational education,0.01149,72,72,-0.01330,0.03629
1988,male,Further vocational education,0.00968,64,64,-0.01450,0.03386
1988,female,Further vocational education,0.00523,34,34,-0.01938,0.02984
1989,male,Further vocational education,0.01013,47,47,-0.01881,0.03907
1990,male,Further vocational education,0.01102,90,90,-0.01067,0.03271
1990,female,Further vocational education,0.00735,73,73,-0.01238,0.02709
1991,male,Further vocational education,0.00954,66,66,-0.01409,0.03318
1992,male,Vocational Retraining,0.00420,54,153,-0.00608,0.01447
1992,male,Further vocational education,0.01176,99,153,-0.00538,0.02890
1992,female,Vocational Retraining,0.00708,76,194,-0.00475,0.01891
1992,female,Further vocational education,0.01009,118,194,-0.00401,0.02418
1993,male,Vocational Retraining,0.00390,42,152,-0.00604,0.01384
1993,male,Further vocational education,0.01273,110,152,-0.00515,0.03061
1993,female,Vocational Retraining,0.00644,71,172,-0.00555,0.01844
1993,female,Further vocational education,0.00883,101,172,-0.00519,0.02286
1994,male,Vocational Retraining,0.00460,40,138,-0.00673,0.01593
1994,male,Further vocational education,0.01344,98,138,-0.00584,0.03272
1994,female,Vocational Retraining,0.00417,41,121,-0.00736,0.01570
1994,female,Further vocational education,0.00850,80,121,-0.00793,0.02493
1995,male,Vocational Retraining,0.00516,42,125,-0.00745,0.01778
1995,male,Further vocational education,0.01041,83,125,-0.00745,0.02828
1995,female,Vocational Retraining,0.00352,38,133,-0.00658,0.01362
1995,female,Further vocational education,0.00884,95,133,-0.00713,0.02481
1996,male,Further vocational education,0.00804,75,75,-0.01231,0.02838
1996,female,Vocational Retraining,0.00527,58,143,-0.00664,0.01717
1996,female,Further vocational education,0.00935,85,143,-0.00648,0.02519
1997,male,Vocational Retraining,0.00382,35,103,-0.00815,0.01578
1997,male,Further vocational education,0.00908,68,103,-0.00933,0.02748
1997,female,Vocational Retraining,0.00437,42,129,-0.00706,0.01581
1997,female,Further vocational education,0.00890,87,129,-0.00737,0.02517
1998,male,Further vocational education,0.00766,54,54,-0.01581,0.03113
1998,female,Vocational Retraining,0.00389,43,106,-0.00802,0.01581
1998,female,Further vocational education,0.00637,63,106,-0.00885,0.02158
1999,male,Further vocational education,0.00849,62,62,-0.01454,0.03152
1999,female,Vocational Retraining,0.00325,38,115,-0.00720,0.01369
1999,female,Further vocational education,0.00711,77,115,-0.00831,0.02254
2000,male,Vocational Retraining,0.00254,41,175,-0.00494,0.01001
2000,male,Further vocational education,0.00534,81,175,-0.00549,0.01617
2000,male,Others,0.00370,53,175,-0.00532,0.01271
2000,female,Further vocational education,0.00724,136,202,-0.00448,0.01896
2000,female,Others,0.00429,66,202,-0.00475,0.01333
2001,male,Vocational Retraining,0.00260,38,154,-0.00547,0.01066
2001,male,Further vocational education,0.00693,77,154,-0.00621,0.02008
2001,male,Others,0.00316,39,154,-0.00574,0.01206
2001,female,Vocational Retraining,0.00219,36,221,-0.00399,0.00837
2001,female,Further vocational education,0.00785,128,221,-0.00381,0.01950
2001,female,Others,0.00379,57,221,-0.00433,0.01192
2002,male,Vocational Retraining,0.00339,42,172,-0.00532,0.01209
2002,male,Further vocational education,0.00666,76,172,-0.00553,0.01886
2002,male,Others,0.00386,54,172,-0.00543,0.01315
2002,female,Vocational Retraining,0.00278,41,222,-0.00416,0.00972
2002,female,Further vocational education,0.00580,97,222,-0.00421,0.01582
2002,female,Others,0.00529,84,222,-0.00427,0.01486
2003,male,Vocational Retraining,0.00273,37,148,-0.00570,0.01115
2003,male,Further vocational education,0.00641,67,148,-0.00649,0.01930
2003,male,Others,0.00405,44,148,-0.00622,0.01431
