year,age_gr,regtyp,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,Further vocational education,0.01819,34,34,-0.02741,0.06378
1986,17-29 y.,Urban regions,Further vocational education,0.01736,35,35,-0.02654,0.06126
1986,30-45 y.,Urban regions,Further vocational education,0.01599,34,34,-0.02681,0.05879
1987,17-29 y.,Urban regions,Further vocational education,0.01377,38,38,-0.02378,0.05133
1987,30-45 y.,Urban regions,Further vocational education,0.01977,39,39,-0.02449,0.06403
1988,17-29 y.,Urban regions,Further vocational education,0.01496,37,37,-0.02470,0.05463
1990,17-29 y.,Urban regions,Further vocational education,0.01485,32,32,-0.02773,0.05743
1990,30-45 y.,Urban regions,Further vocational education,0.01924,50,50,-0.01922,0.05769
1991,30-45 y.,Urban regions,Further vocational education,0.01705,35,35,-0.02647,0.06057
1992,17-29 y.,Urban regions,Further vocational education,0.01923,38,38,-0.02502,0.06348
1992,17-29 y.,Rural regions,Vocational Retraining,0.02789,31,31,-0.03103,0.08682
1992,30-45 y.,Urban regions,Further vocational education,0.01624,51,51,-0.01880,0.05129
1992,30-45 y.,Rural regions,Vocational Retraining,0.01965,35,90,-0.00919,0.04848
1992,30-45 y.,Rural regions,Further vocational education,0.02919,55,90,-0.00578,0.06416
1993,17-29 y.,Urban regions,Further vocational education,0.02112,43,43,-0.02237,0.06460
1993,17-29 y.,Rural regions,Vocational Retraining,0.03336,35,35,-0.02700,0.09373
1993,30-45 y.,Urban regions,Further vocational education,0.02207,66,66,-0.01365,0.05778
1993,30-45 y.,Rural regions,Further vocational education,0.02838,51,51,-0.01765,0.07440
1994,17-29 y.,Urban regions,Further vocational education,0.01344,31,31,-0.02776,0.05464
1994,30-45 y.,Urban regions,Further vocational education,0.02153,53,53,-0.01792,0.06098
1994,30-45 y.,Rural regions,Further vocational education,0.02521,41,41,-0.02337,0.07380
1995,17-29 y.,Urban regions,Further vocational education,0.02264,44,44,-0.02182,0.06710
1995,30-45 y.,Urban regions,Further vocational education,0.01600,53,53,-0.01810,0.05010
1995,30-45 y.,Rural regions,Further vocational education,0.02091,36,36,-0.02649,0.06831
1996,30-45 y.,Urban regions,Further vocational education,0.01485,47,47,-0.02010,0.04980
1997,30-45 y.,Urban regions,Further vocational education,0.01973,54,54,-0.01771,0.05717
1997,30-45 y.,Rural regions,Further vocational education,0.02774,41,41,-0.02315,0.07864
1998,30-45 y.,Urban regions,Further vocational education,0.01654,36,36,-0.02571,0.05880
1999,30-45 y.,Urban regions,Further vocational education,0.01664,48,48,-0.01993,0.05320
2000,17-29 y.,Urban regions,Further vocational education,0.01322,38,80,-0.01197,0.03840
2000,17-29 y.,Urban regions,Others,0.01364,42,80,-0.01194,0.03922
2000,30-45 y.,Urban regions,Further vocational education,0.01052,62,98,-0.00978,0.03082
