year,age_gr,pgisced97,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Upper Secondary Level,Further vocational education,0.02346,35,35,-0.02742,0.07434
1986,17-29 y.,Upper Secondary Level,Further vocational education,0.02410,33,33,-0.02904,0.07724
1988,17-29 y.,Upper Secondary Level,Further vocational education,0.02465,35,35,-0.02747,0.07677
1990,17-29 y.,Upper Secondary Level,Further vocational education,0.01880,34,34,-0.02754,0.06514
1990,30-45 y.,Upper Secondary Level,Further vocational education,0.01641,33,33,-0.02761,0.06043
1990,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.03542,31,31,-0.03072,0.10157
1992,17-29 y.,Upper Secondary Level,Vocational Retraining,0.01915,35,76,-0.01187,0.05017
1992,17-29 y.,Upper Secondary Level,Further vocational education,0.02833,41,76,-0.00922,0.06588
1992,30-45 y.,Upper Secondary Level,Vocational Retraining,0.01087,37,78,-0.01229,0.03402
1992,30-45 y.,Upper Secondary Level,Further vocational education,0.01534,41,78,-0.01211,0.04279
1992,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.04095,50,50,-0.01454,0.09644
1993,17-29 y.,Upper Secondary Level,Vocational Retraining,0.02532,40,89,-0.00750,0.05814
1993,17-29 y.,Upper Secondary Level,Further vocational education,0.02948,49,89,-0.00586,0.06482
1993,30-45 y.,Upper Secondary Level,Further vocational education,0.02044,52,52,-0.01840,0.05927
1993,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.04316,47,47,-0.01557,0.10189
1994,17-29 y.,Upper Secondary Level,Further vocational education,0.02204,31,31,-0.03050,0.07458
1994,30-45 y.,Upper Secondary Level,Further vocational education,0.01567,36,36,-0.02548,0.05682
1994,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.03744,40,40,-0.02214,0.09702
1995,17-29 y.,Upper Secondary Level,Further vocational education,0.02809,37,37,-0.02588,0.08207
1995,30-45 y.,Upper Secondary Level,Further vocational education,0.01442,36,36,-0.02508,0.05392
1995,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.03361,38,38,-0.02446,0.09168
1996,30-45 y.,Upper Secondary Level,Further vocational education,0.01604,42,42,-0.02241,0.05449
1997,30-45 y.,Upper Secondary Level,Further vocational education,0.01787,44,44,-0.02173,0.05746
1997,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.03774,34,34,-0.02728,0.10276
1999,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.04069,39,39,-0.02213,0.10351
2000,17-29 y.,Upper Secondary Level,Further vocational education,0.01171,31,31,-0.02679,0.05022
2000,30-45 y.,Upper Secondary Level,Further vocational education,0.01064,50,50,-0.01809,0.03936
2000,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.01702,35,35,-0.02646,0.06049
2001,30-45 y.,Upper Secondary Level,Further vocational education,0.01142,45,45,-0.01998,0.04282
2001,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.02006,34,34,-0.02778,0.06789
2002,30-45 y.,Upper Secondary Level,Further vocational education,0.01419,45,45,-0.02076,0.04913
2002,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.01965,32,32,-0.02921,0.06852
2003,30-45 y.,Upper Secondary Level,Vocational Retraining,0.00862,32,68,-0.01351,0.03075
2003,30-45 y.,Upper Secondary Level,Further vocational education,0.01036,36,68,-0.01389,0.03460
2003,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.02056,35,35,-0.02714,0.06825
2004,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.02268,32,32,-0.02973,0.07508
2010,30-45 y.,Upper Secondary Level,Further vocational education,0.00793,31,31,-0.02381,0.03968
2011,30-45 y.,Upper Secondary Level,Vocational Retraining,0.00517,37,82,-0.01045,0.02079
2011,30-45 y.,Upper Secondary Level,Further vocational education,0.01049,45,82,-0.01170,0.03268
2011,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.01727,31,31,-0.02935,0.06389
2012,30-45 y.,Upper Secondary Level,Vocational Retraining,0.00662,32,32,-0.02193,0.03518
2013,30-45 y.,Upper Secondary Level,Vocational Retraining,0.00822,35,77,-0.01208,0.02853
2013,30-45 y.,Upper Secondary Level,Further vocational education,0.01340,42,77,-0.01245,0.03925
2013,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.01477,35,35,-0.02578,0.05532
2014,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.01578,34,34,-0.02674,0.05831
2016,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.01007,33,33,-0.02452,0.04466
2017,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.02008,37,37,-0.02574,0.06590
