year,sampreg,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Further vocational education,0.00792,109,155,-0.00608,0.02191
1984,West,Others,0.00300,46,155,-0.00564,0.01165
1985,West,Further vocational education,0.00797,96,96,-0.00991,0.02586
1986,West,Further vocational education,0.00844,102,133,-0.00717,0.02405
1986,West,Others,0.00265,31,133,-0.00612,0.01141
1987,West,Further vocational education,0.00760,101,101,-0.00942,0.02462
1988,West,Further vocational education,0.00738,98,132,-0.00728,0.02203
1988,West,Others,0.00318,34,132,-0.00646,0.01282
1989,West,Further vocational education,0.00702,73,73,-0.01226,0.02630
1990,West,Vocational Retraining,0.00243,32,116,-0.00657,0.01143
1990,West,Further vocational education,0.00819,84,116,-0.00828,0.02466
1990,East,Further vocational education,0.01272,79,110,-0.00832,0.03375
1990,East,Further general/political education,0.00494,31,110,-0.00822,0.01810
1991,West,Further vocational education,0.00858,91,124,-0.00772,0.02488
1991,West,Others,0.00304,33,124,-0.00669,0.01277
1992,West,Further vocational education,0.00717,77,111,-0.00860,0.02293
1992,West,Others,0.00274,34,111,-0.00703,0.01251
1992,East,Vocational Retraining,0.01947,100,240,0.00195,0.03699
1992,East,Further vocational education,0.02546,140,240,0.00549,0.04543
1993,West,Further vocational education,0.00773,90,90,-0.01047,0.02593
1993,East,Vocational Retraining,0.01746,85,206,-0.00047,0.03539
1993,East,Further vocational education,0.02255,121,206,0.00223,0.04287
1994,West,Further vocational education,0.00919,92,92,-0.01042,0.02880
1994,East,Vocational Retraining,0.01206,55,141,-0.00602,0.03014
1994,East,Further vocational education,0.01781,86,141,-0.00410,0.03972
1995,West,Vocational Retraining,0.00333,45,137,-0.00635,0.01301
1995,West,Further vocational education,0.00741,92,137,-0.00700,0.02183
1995,East,Vocational Retraining,0.00847,35,121,-0.00793,0.02487
1995,East,Further vocational education,0.01878,86,121,-0.00551,0.04307
1996,West,Vocational Retraining,0.00299,43,133,-0.00632,0.01230
1996,West,Further vocational education,0.00741,90,133,-0.00722,0.02205
1996,East,Vocational Retraining,0.00943,45,115,-0.00831,0.02717
1996,East,Further vocational education,0.01427,70,115,-0.00750,0.03603
1997,West,Vocational Retraining,0.00357,42,127,-0.00684,0.01397
1997,West,Further vocational education,0.00763,85,127,-0.00756,0.02282
1997,East,Vocational Retraining,0.00642,35,105,-0.00893,0.02176
1997,East,Further vocational education,0.01486,70,105,-0.00839,0.03811
1998,West,Vocational Retraining,0.00294,41,118,-0.00687,0.01275
1998,West,Further vocational education,0.00703,77,118,-0.00811,0.02218
1998,East,Further vocational education,0.00685,40,40,-0.01903,0.03273
1999,West,Further vocational education,0.00739,87,124,-0.00775,0.02252
1999,West,Others,0.00229,37,124,-0.00616,0.01074
1999,East,Further vocational education,0.00955,52,52,-0.01714,0.03625
2000,West,Vocational Retraining,0.00165,35,255,-0.00334,0.00664
2000,West,Further vocational education,0.00538,132,255,-0.00362,0.01437
2000,West,Others,0.00392,88,255,-0.00376,0.01160
2000,East,Vocational Retraining,0.00450,33,149,-0.00628,0.01529
2000,East,Further vocational education,0.01039,85,149,-0.00595,0.02672
2000,East,Others,0.00437,31,149,-0.00626,0.01500
2001,West,Vocational Retraining,0.00178,38,250,-0.00346,0.00703
2001,West,Further vocational education,0.00699,137,250,-0.00336,0.01734
2001,West,Others,0.00355,75,250,-0.00384,0.01093
2001,East,Vocational Retraining,0.00508,36,104,-0.00865,0.01882
2001,East,Further vocational education,0.00922,68,104,-0.00924,0.02769
2002,West,Vocational Retraining,0.00238,49,262,-0.00353,0.00828
2002,West,Further vocational education,0.00565,119,262,-0.00344,0.01474
2002,West,Others,0.00406,94,262,-0.00365,0.01178
2002,East,Vocational Retraining,0.00621,34,132,-0.00724,0.01967
2002,East,Further vocational education,0.00882,54,132,-0.00719,0.02483
2002,East,Others,0.00694,44,132,-0.00728,0.02116
2003,West,Vocational Retraining,0.00205,44,212,-0.00405,0.00815
2003,West,Further vocational education,0.00608,111,212,-0.00441,0.01657
2003,West,Others,0.00264,57,212,-0.00428,0.00957
2003,East,Further vocational education,0.00871,53,53,-0.01655,0.03397
2004,West,Vocational Retraining,0.00201,37,214,-0.00400,0.00802
2004,West,Further vocational education,0.00584,117,214,-0.00439,0.01607
2004,West,Others,0.00278,60,214,-0.00429,0.00986
2004,East,Further vocational education,0.00551,36,36,-0.01901,0.03002
2005,West,Further vocational education,0.00535,86,168,-0.00571,0.01642
2005,West,Others,0.00460,82,168,-0.00566,0.01486
2005,East,Further vocational education,0.00670,35,35,-0.02072,0.03413
2006,West,Further vocational education,0.00285,60,110,-0.00716,0.01287
2006,West,Others,0.00329,50,110,-0.00746,0.01403
2006,East,Further vocational education,0.00513,32,32,-0.02002,0.03028
2007,West,Further vocational education,0.00335,64,110,-0.00750,0.01420
2007,West,Others,0.00320,46,110,-0.00740,0.01381
2008,West,Further vocational education,0.00321,58,99,-0.00799,0.01440
2008,West,Others,0.00275,41,99,-0.00761,0.01310
2009,West,Further vocational education,0.00274,50,50,-0.01190,0.01738
2010,West,Vocational Retraining,0.00097,37,202,-0.00333,0.00527
2010,West,Further vocational education,0.00473,103,202,-0.00476,0.01423
2010,West,Others,0.00300,62,202,-0.00456,0.01057
2010,East,Further vocational education,0.00662,47,47,-0.01682,0.03006
2011,West,Vocational Retraining,0.00140,53,234,-0.00340,0.00620
2011,West,Further vocational education,0.00555,139,234,-0.00399,0.01508
2011,West,Others,0.00134,42,234,-0.00336,0.00603
2011,East,Vocational Retraining,0.00313,34,76,-0.00951,0.01578
2011,East,Further vocational education,0.00651,42,76,-0.01169,0.02471
2012,West,Vocational Retraining,0.00124,42,229,-0.00333,0.00580
2012,West,Further vocational education,0.00470,122,229,-0.00418,0.01358
2012,West,Others,0.00249,65,229,-0.00398,0.00895
2012,East,Further vocational education,0.00516,42,42,-0.01677,0.02709
2013,West,Vocational Retraining,0.00197,65,300,-0.00306,0.00699
2013,West,Further vocational education,0.00498,155,300,-0.00300,0.01295
2013,West,Others,0.00231,80,300,-0.00313,0.00775
2013,East,Further vocational education,0.00469,42,42,-0.01622,0.02559
2014,West,Vocational Retraining,0.00182,60,261,-0.00336,0.00701
2014,West,Further vocational education,0.00585,141,261,-0.00342,0.01513
2014,West,Others,0.00217,60,261,-0.00349,0.00783
2014,East,Further vocational education,0.00323,32,32,-0.01675,0.02321
2015,West,Vocational Retraining,0.00189,44,202,-0.00411,0.00789
2015,West,Further vocational education,0.00424,101,202,-0.00474,0.01323
2015,West,Others,0.00346,57,202,-0.00466,0.01157
2016,West,Vocational Retraining,0.00111,48,226,-0.00324,0.00546
2016,West,Further vocational education,0.00577,126,226,-0.00413,0.01566
2016,West,Others,0.00183,52,226,-0.00375,0.00741
2017,West,Vocational Retraining,0.00101,51,289,-0.00265,0.00466
2017,West,Further vocational education,0.00511,148,289,-0.00313,0.01334
2017,West,Others,0.00208,53,289,-0.00318,0.00733
2017,West,Integration/Language course,0.00005,37,289,-0.00074,0.00084
2017,East,Further vocational education,0.00419,31,31,-0.01892,0.02730
2018,West,Vocational Retraining,0.00199,61,232,-0.00376,0.00774
2018,West,Further vocational education,0.00400,114,232,-0.00414,0.01214
2018,West,Others,0.00156,57,232,-0.00353,0.00664
2019,West,Vocational Retraining,0.00147,51,206,-0.00377,0.00670
2019,West,Further vocational education,0.00386,102,206,-0.00463,0.01234
2019,West,Others,0.00187,53,206,-0.00405,0.00779
2020,West,Vocational Retraining,0.00160,49,214,-0.00377,0.00697
2020,West,Further vocational education,0.00309,105,214,-0.00436,0.01054
2020,West,Others,0.00195,60,214,-0.00397,0.00787
2021,West,Vocational Retraining,0.00115,40,126,-0.00480,0.00710
2021,West,Further vocational education,0.00424,86,126,-0.00715,0.01564
