year,ple0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Yes,0.15867,4094,20745,0.15370,0.16364
2011,No,0.60824,16651,20745,0.60160,0.61489
2013,Yes,0.15780,3904,18866,0.15260,0.16300
2013,No,0.55359,14962,18866,0.54649,0.56068
2015,Yes,0.16902,4408,25040,0.16437,0.17366
2015,No,0.65619,20632,25040,0.65031,0.66208
2017,Yes,0.17730,4802,26549,0.17271,0.18190
2017,No,0.65670,21747,26549,0.65099,0.66241
2019,Yes,0.17948,5000,25725,0.17479,0.18417
2019,No,0.65180,20725,25725,0.64598,0.65762
2021,Yes,0.19069,3752,19165,0.18513,0.19625
2021,No,0.63236,15413,19165,0.62553,0.63919
