year,regtyp,ple0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Urban regions,Yes,0.15825,2601,13360,0.15206,0.16444
2011,Urban regions,No,0.60784,10759,13360,0.59956,0.61612
2011,Rural regions,Yes,0.15955,1493,7385,0.15119,0.16790
2011,Rural regions,No,0.60908,5892,7385,0.59795,0.62021
2013,Urban regions,Yes,0.15549,2471,12047,0.14902,0.16196
2013,Urban regions,No,0.54152,9576,12047,0.53263,0.55042
2013,Rural regions,Yes,0.16258,1433,6819,0.15382,0.17134
2013,Rural regions,No,0.57853,5386,6819,0.56681,0.59025
2015,Urban regions,Yes,0.16656,2799,16171,0.16082,0.17230
2015,Urban regions,No,0.65335,13372,16171,0.64602,0.66069
2015,Rural regions,Yes,0.17422,1609,8869,0.16632,0.18211
2015,Rural regions,No,0.66221,7260,8869,0.65237,0.67206
2017,Urban regions,Yes,0.16934,2982,17147,0.16373,0.17496
2017,Urban regions,No,0.66249,14165,17147,0.65541,0.66956
2017,Rural regions,Yes,0.19474,1820,9402,0.18673,0.20274
2017,Rural regions,No,0.64404,7582,9402,0.63436,0.65372
2019,Urban regions,Yes,0.17210,3054,16365,0.16631,0.17788
2019,Urban regions,No,0.65751,13311,16365,0.65024,0.66478
2019,Rural regions,Yes,0.19757,1835,8806,0.18925,0.20588
2019,Rural regions,No,0.63639,6971,8806,0.62635,0.64644
2021,Urban regions,Yes,0.18781,2468,12996,0.18110,0.19453
2021,Urban regions,No,0.63412,10528,12996,0.62584,0.64240
2021,Rural regions,Yes,0.19630,1283,6168,0.18639,0.20622
2021,Rural regions,No,0.62901,4885,6168,0.61695,0.64107
