year,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Germany,0.74887,8798,11605,0.74098,0.75676
1984,Southern Europe,0.01815,1583,11605,0.01572,0.02058
1984,Western Asia,0.01819,1035,11605,0.01576,0.02063
1984,Eastern Europe,0.00967,121,11605,0.00789,0.01145
1984,Western Europe,0.00518,68,11605,0.00387,0.00648
1985,Germany,0.75993,8120,10530,0.75177,0.76809
1985,Southern Europe,0.01874,1357,10530,0.01615,0.02133
1985,Western Asia,0.01638,868,10530,0.01395,0.01880
1985,Eastern Europe,0.01037,120,10530,0.00843,0.01230
1985,Western Europe,0.00555,65,10530,0.00413,0.00697
1986,Germany,0.75444,7758,10097,0.74604,0.76283
1986,Southern Europe,0.01924,1295,10097,0.01656,0.02192
1986,Western Asia,0.01711,862,10097,0.01458,0.01964
1986,Eastern Europe,0.01155,121,10097,0.00947,0.01363
1986,Western Europe,0.00541,61,10097,0.00398,0.00684
1987,Germany,0.74866,7640,9970,0.74014,0.75717
1987,Southern Europe,0.02043,1276,9970,0.01765,0.02321
1987,Western Asia,0.01854,875,9970,0.01589,0.02119
1987,Eastern Europe,0.01219,126,9970,0.01004,0.01434
1987,Western Europe,0.00490,53,9970,0.00353,0.00627
1988,Germany,0.75097,7303,9526,0.74228,0.75965
1988,Southern Europe,0.01883,1194,9526,0.01610,0.02156
1988,Western Asia,0.01766,853,9526,0.01502,0.02031
1988,Eastern Europe,0.01294,125,9526,0.01067,0.01521
1988,Western Europe,0.00479,51,9526,0.00341,0.00618
1989,Germany,0.74655,7076,9249,0.73768,0.75541
1989,Southern Europe,0.02064,1141,9249,0.01775,0.02354
1989,Western Asia,0.01950,855,9249,0.01668,0.02231
1989,Eastern Europe,0.01380,129,9249,0.01142,0.01617
1989,Western Europe,0.00499,48,9249,0.00355,0.00642
1990,Germany,0.74137,11216,13390,0.73395,0.74879
1990,Southern Europe,0.01759,1107,13390,0.01536,0.01981
1990,Western Asia,0.01658,824,13390,0.01441,0.01874
1990,Eastern Europe,0.01349,190,13390,0.01154,0.01544
1990,Western Europe,0.00446,53,13390,0.00333,0.00559
1991,Germany,0.73764,10964,13098,0.73011,0.74518
1991,Southern Europe,0.01849,1064,13098,0.01618,0.02079
1991,Western Asia,0.01813,820,13098,0.01584,0.02041
1991,Eastern Europe,0.01452,198,13098,0.01247,0.01657
1991,Western Europe,0.00462,52,13098,0.00345,0.00578
1992,Germany,0.73340,10765,12853,0.72576,0.74105
1992,Southern Europe,0.02079,1025,12853,0.01832,0.02326
1992,Western Asia,0.01944,808,12853,0.01705,0.02183
1992,Eastern Europe,0.01474,201,12853,0.01266,0.01682
1992,Western Europe,0.00568,54,12853,0.00438,0.00698
1993,Germany,0.72832,10626,12660,0.72057,0.73607
1993,Southern Europe,0.02273,1008,12660,0.02014,0.02533
1993,Western Asia,0.02044,775,12660,0.01797,0.02290
1993,Eastern Europe,0.01491,198,12660,0.01279,0.01702
1993,Western Europe,0.00626,53,12660,0.00488,0.00763
1994,Germany,0.72410,10516,12448,0.71625,0.73195
1994,Southern Europe,0.02418,963,12448,0.02148,0.02688
1994,Western Asia,0.02074,718,12448,0.01823,0.02324
1994,Eastern Europe,0.01516,197,12448,0.01301,0.01731
1994,Western Europe,0.00663,54,12448,0.00521,0.00806
1995,Germany,0.70582,10505,12827,0.69793,0.71371
1995,Southern Europe,0.02287,952,12827,0.02028,0.02545
1995,Central Asia,0.00288,82,12827,0.00195,0.00381
1995,Western Asia,0.01875,709,12827,0.01641,0.02110
1995,Eastern Europe,0.02891,516,12827,0.02601,0.03181
1995,Western Europe,0.00675,63,12827,0.00534,0.00817
1996,Germany,0.70781,10450,12649,0.69988,0.71573
1996,Southern Europe,0.02394,895,12649,0.02127,0.02660
1996,Central Asia,0.00319,88,12649,0.00221,0.00417
1996,Western Asia,0.01869,665,12649,0.01633,0.02105
1996,Eastern Europe,0.02831,489,12649,0.02542,0.03120
1996,Western Europe,0.00694,62,12649,0.00550,0.00839
1997,Germany,0.70960,10358,12486,0.70164,0.71756
1997,Southern Europe,0.02497,854,12486,0.02223,0.02770
1997,Central Asia,0.00366,95,12486,0.00260,0.00472
1997,Western Asia,0.01884,626,12486,0.01645,0.02122
1997,Eastern Europe,0.03048,491,12486,0.02747,0.03350
1997,Western Europe,0.00684,62,12486,0.00540,0.00829
1998,Germany,0.71533,11841,13903,0.70783,0.72283
1998,Southern Europe,0.02510,790,13903,0.02250,0.02770
1998,Central Asia,0.00489,110,13903,0.00373,0.00606
1998,Western Asia,0.01924,583,13903,0.01696,0.02153
1998,Eastern Europe,0.02927,518,13903,0.02647,0.03207
1998,Western Europe,0.00607,61,13903,0.00478,0.00736
1999,Germany,0.71864,11470,13410,0.71103,0.72625
1999,Southern Europe,0.02443,708,13410,0.02181,0.02704
1999,Central Asia,0.00499,103,13410,0.00380,0.00619
1999,Western Asia,0.02007,564,13410,0.01769,0.02244
1999,Eastern Europe,0.03132,507,13410,0.02837,0.03426
1999,Western Europe,0.00701,58,13410,0.00560,0.00842
2000,Germany,0.72125,20807,23867,0.71556,0.72694
2000,Northern America,0.00136,33,23867,0.00089,0.00183
