year,regtyp,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Germany,0.75245,6105,8241,0.74314,0.76177
1985,Urban regions,Southern Europe,0.02161,1193,8241,0.01847,0.02475
1985,Urban regions,Western Asia,0.02024,792,8241,0.01719,0.02328
1985,Urban regions,Eastern Europe,0.01058,94,8241,0.00837,0.01278
1985,Urban regions,Western Europe,0.00663,57,8241,0.00487,0.00838
1985,Rural regions,Germany,0.78236,2015,2255,0.76533,0.79940
1985,Rural regions,Southern Europe,0.01012,164,2255,0.00599,0.01425
1985,Rural regions,Western Asia,0.00480,76,2255,0.00195,0.00766
1986,Urban regions,Germany,0.74858,5866,7927,0.73903,0.75813
1986,Urban regions,Southern Europe,0.02198,1131,7927,0.01875,0.02521
1986,Urban regions,Western Asia,0.02091,785,7927,0.01776,0.02406
1986,Urban regions,Eastern Europe,0.01167,94,7927,0.00930,0.01403
1986,Urban regions,Western Europe,0.00618,51,7927,0.00445,0.00791
1986,Rural regions,Germany,0.77225,1892,2133,0.75444,0.79005
1986,Rural regions,Southern Europe,0.01092,164,2133,0.00651,0.01533
1986,Rural regions,Western Asia,0.00556,77,2133,0.00240,0.00871
1987,Urban regions,Germany,0.74365,5787,7832,0.73398,0.75333
1987,Urban regions,Southern Europe,0.02325,1112,7832,0.01992,0.02659
1987,Urban regions,Western Asia,0.02240,786,7832,0.01912,0.02567
1987,Urban regions,Eastern Europe,0.01245,100,7832,0.00999,0.01491
1987,Urban regions,Western Europe,0.00600,47,7832,0.00429,0.00771
1987,Rural regions,Germany,0.76404,1853,2106,0.74590,0.78218
1987,Rural regions,Southern Europe,0.01176,164,2106,0.00715,0.01636
1987,Rural regions,Western Asia,0.00670,89,2106,0.00321,0.01018
1988,Urban regions,Germany,0.74617,5561,7521,0.73633,0.75600
1988,Urban regions,Southern Europe,0.02145,1036,7521,0.01817,0.02472
1988,Urban regions,Western Asia,0.02147,780,7521,0.01819,0.02475
1988,Urban regions,Eastern Europe,0.01328,99,7521,0.01069,0.01587
1988,Urban regions,Western Europe,0.00581,45,7521,0.00409,0.00752
1988,Rural regions,Germany,0.76597,1742,1973,0.74728,0.78466
1988,Rural regions,Southern Europe,0.01064,158,1973,0.00611,0.01516
1988,Rural regions,Western Asia,0.00575,73,1973,0.00241,0.00909
1989,Urban regions,Germany,0.74212,5421,7349,0.73212,0.75212
1989,Urban regions,Southern Europe,0.02328,994,7349,0.01983,0.02672
1989,Urban regions,Western Asia,0.02355,786,7349,0.02008,0.02702
1989,Urban regions,Eastern Europe,0.01411,105,7349,0.01142,0.01681
1989,Urban regions,Western Europe,0.00600,43,7349,0.00423,0.00776
1989,Rural regions,Germany,0.76083,1655,1871,0.74150,0.78017
1989,Rural regions,Southern Europe,0.01215,147,1871,0.00718,0.01711
1989,Rural regions,Western Asia,0.00641,69,1871,0.00279,0.01003
1990,Urban regions,Germany,0.73215,6701,8582,0.72278,0.74152
1990,Urban regions,Southern Europe,0.02252,964,8582,0.01938,0.02566
1990,Urban regions,Western Asia,0.02241,751,8582,0.01928,0.02555
1990,Urban regions,Eastern Europe,0.01354,122,8582,0.01109,0.01598
1990,Urban regions,Western Europe,0.00574,44,8582,0.00414,0.00734
1990,Rural regions,Germany,0.76167,4429,4713,0.74951,0.77384
1990,Rural regions,Southern Europe,0.00723,143,4713,0.00481,0.00964
1990,Rural regions,Western Asia,0.00425,73,4713,0.00240,0.00611
1990,Rural regions,Eastern Europe,0.01356,68,4713,0.01026,0.01686
1991,Urban regions,Germany,0.72423,6552,8401,0.71468,0.73379
1991,Urban regions,Southern Europe,0.02394,925,8401,0.02067,0.02721
1991,Urban regions,Western Asia,0.02487,749,8401,0.02154,0.02820
1991,Urban regions,Eastern Europe,0.01482,131,8401,0.01223,0.01740
1991,Urban regions,Western Europe,0.00598,44,8401,0.00433,0.00763
1991,Rural regions,Germany,0.76572,4323,4600,0.75348,0.77796
1991,Rural regions,Southern Europe,0.00742,139,4600,0.00494,0.00989
1991,Rural regions,Western Asia,0.00438,71,4600,0.00247,0.00628
1991,Rural regions,Eastern Europe,0.01412,67,4600,0.01071,0.01753
1992,Urban regions,Germany,0.72009,6512,8310,0.71043,0.72974
1992,Urban regions,Southern Europe,0.02642,883,8310,0.02297,0.02986
1992,Urban regions,Western Asia,0.02667,736,8310,0.02320,0.03013
1992,Urban regions,Eastern Europe,0.01505,135,8310,0.01244,0.01767
1992,Urban regions,Western Europe,0.00659,44,8310,0.00485,0.00833
1992,Rural regions,Germany,0.76189,4135,4415,0.74933,0.77446
1992,Rural regions,Southern Europe,0.00916,142,4415,0.00635,0.01197
1992,Rural regions,Western Asia,0.00434,72,4415,0.00240,0.00628
1992,Rural regions,Eastern Europe,0.01437,66,4415,0.01086,0.01788
1993,Urban regions,Germany,0.71333,6522,8260,0.70358,0.72308
1993,Urban regions,Southern Europe,0.02907,862,8260,0.02544,0.03269
1993,Urban regions,Western Asia,0.02769,703,8260,0.02415,0.03123
1993,Urban regions,Eastern Europe,0.01478,132,8260,0.01217,0.01738
1993,Urban regions,Western Europe,0.00700,41,8260,0.00520,0.00880
1993,Rural regions,Germany,0.76049,4104,4388,0.74786,0.77312
1993,Rural regions,Southern Europe,0.00914,146,4388,0.00633,0.01196
1993,Rural regions,Western Asia,0.00488,72,4388,0.00282,0.00694
1993,Rural regions,Eastern Europe,0.01519,66,4388,0.01157,0.01881
1994,Urban regions,Germany,0.70992,6486,8144,0.70006,0.71978
1994,Urban regions,Southern Europe,0.03080,821,8144,0.02705,0.03455
1994,Urban regions,Western Asia,0.02864,664,8144,0.02501,0.03226
1994,Urban regions,Eastern Europe,0.01470,131,8144,0.01208,0.01731
1994,Urban regions,Western Europe,0.00737,42,8144,0.00551,0.00923
1994,Rural regions,Germany,0.75501,4030,4292,0.74214,0.76787
1994,Rural regions,Southern Europe,0.00975,142,4292,0.00681,0.01269
1994,Rural regions,Western Asia,0.00351,54,4292,0.00174,0.00529
1994,Rural regions,Eastern Europe,0.01617,66,4292,0.01240,0.01995
1995,Urban regions,Germany,0.68898,6410,8380,0.67907,0.69889
1995,Urban regions,Southern Europe,0.02973,814,8380,0.02609,0.03337
1995,Urban regions,Central Asia,0.00302,57,8380,0.00184,0.00419
1995,Urban regions,Western Asia,0.02627,659,8380,0.02285,0.02970
1995,Urban regions,Eastern Europe,0.03125,390,8380,0.02753,0.03498
1995,Urban regions,Western Europe,0.00752,50,8380,0.00567,0.00936
1995,Rural regions,Germany,0.74157,4095,4409,0.72864,0.75449
1995,Rural regions,Southern Europe,0.00830,138,4409,0.00563,0.01098
1995,Rural regions,Western Asia,0.00280,50,4409,0.00124,0.00436
1995,Rural regions,Eastern Europe,0.02395,126,4409,0.01944,0.02846
1996,Urban regions,Germany,0.69045,6384,8237,0.68046,0.70043
1996,Urban regions,Southern Europe,0.03074,754,8237,0.02701,0.03446
1996,Urban regions,Central Asia,0.00323,61,8237,0.00201,0.00446
1996,Urban regions,Western Asia,0.02606,619,8237,0.02262,0.02950
1996,Urban regions,Eastern Europe,0.03003,369,8237,0.02634,0.03372
1996,Urban regions,Western Europe,0.00826,50,8237,0.00630,0.01021
1996,Rural regions,Germany,0.74577,4066,4373,0.73286,0.75868
1996,Rural regions,Southern Europe,0.00908,141,4373,0.00627,0.01189
1996,Rural regions,Western Asia,0.00257,46,4373,0.00107,0.00408
1996,Rural regions,Eastern Europe,0.02455,120,4373,0.01996,0.02914
1997,Urban regions,Germany,0.69260,6328,8122,0.68257,0.70264
1997,Urban regions,Southern Europe,0.03215,721,8122,0.02831,0.03598
1997,Urban regions,Central Asia,0.00356,64,8122,0.00227,0.00486
1997,Urban regions,Western Asia,0.02640,587,8122,0.02291,0.02989
1997,Urban regions,Eastern Europe,0.03249,371,8122,0.02863,0.03634
1997,Urban regions,Western Europe,0.00851,51,8122,0.00651,0.01051
1997,Rural regions,Germany,0.74658,4029,4352,0.73365,0.75950
1997,Rural regions,Southern Europe,0.00930,133,4352,0.00645,0.01215
1997,Rural regions,Central Asia,0.00388,31,4352,0.00203,0.00572
1997,Rural regions,Western Asia,0.00234,39,4352,0.00091,0.00378
1997,Rural regions,Eastern Europe,0.02612,120,4352,0.02138,0.03086
1998,Urban regions,Germany,0.69867,7289,9029,0.68921,0.70814
1998,Urban regions,Southern Europe,0.03299,682,9029,0.02930,0.03667
1998,Urban regions,Central Asia,0.00565,81,9029,0.00411,0.00720
1998,Urban regions,Western Asia,0.02673,541,9029,0.02340,0.03005
1998,Urban regions,Eastern Europe,0.03125,385,9029,0.02766,0.03484
1998,Urban regions,Western Europe,0.00763,51,9029,0.00583,0.00942
1998,Rural regions,Germany,0.75116,4552,4835,0.73897,0.76335
1998,Rural regions,Southern Europe,0.00814,108,4835,0.00560,0.01067
1998,Rural regions,Western Asia,0.00315,42,4835,0.00157,0.00472
1998,Rural regions,Eastern Europe,0.02502,133,4835,0.02062,0.02942
1999,Urban regions,Germany,0.70072,7036,8682,0.69108,0.71035
1999,Urban regions,Southern Europe,0.03201,612,8682,0.02831,0.03571
1999,Urban regions,Central Asia,0.00602,81,8682,0.00440,0.00765
1999,Urban regions,Western Asia,0.02774,522,8682,0.02429,0.03120
1999,Urban regions,Eastern Europe,0.03420,384,8682,0.03037,0.03802
1999,Urban regions,Western Europe,0.00818,47,8682,0.00628,0.01007
1999,Rural regions,Germany,0.75772,4434,4695,0.74546,0.76998
1999,Rural regions,Southern Europe,0.00789,96,4695,0.00536,0.01042
1999,Rural regions,Western Asia,0.00333,42,4695,0.00168,0.00497
1999,Rural regions,Eastern Europe,0.02503,123,4695,0.02056,0.02950
2000,Urban regions,Germany,0.70108,12994,15451,0.69386,0.70829
2000,Urban regions,Southern Asia,0.00154,33,15451,0.00092,0.00216
2000,Urban regions,Southern Europe,0.02846,730,15451,0.02584,0.03108
2000,Urban regions,Central Asia,0.00706,149,15451,0.00574,0.00839
2000,Urban regions,Western Asia,0.02582,653,15451,0.02332,0.02832
2000,Urban regions,Eastern Europe,0.03877,744,15451,0.03573,0.04182
2000,Urban regions,Northern Europe,0.00261,32,15451,0.00180,0.00341
2000,Urban regions,Western Europe,0.00899,116,15451,0.00750,0.01047
2000,Rural regions,Germany,0.76413,7813,8283,0.75498,0.77327
2000,Rural regions,Southern Europe,0.00636,101,8283,0.00465,0.00807
2000,Rural regions,Central Asia,0.00845,83,8283,0.00648,0.01043
2000,Rural regions,Western Asia,0.00576,74,8283,0.00413,0.00739
2000,Rural regions,Eastern Europe,0.02352,212,8283,0.02026,0.02678
2001,Urban regions,Germany,0.70414,11907,14069,0.69660,0.71169
2001,Urban regions,Southern Asia,0.00180,31,14069,0.00110,0.00250
2001,Urban regions,Southern Europe,0.02701,649,14069,0.02433,0.02968
