year,age_gr,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Germany,0.90325,2441,3284,0.89314,0.91336
1984,17-29 y.,Southern Europe,0.02279,404,3284,0.01768,0.02789
1984,17-29 y.,Western Asia,0.03334,439,3284,0.02720,0.03948
1984,30-45 y.,Germany,0.86578,2517,3663,0.85474,0.87682
1984,30-45 y.,Southern Europe,0.03620,684,3663,0.03015,0.04225
1984,30-45 y.,Western Asia,0.03546,382,3663,0.02947,0.04145
1984,30-45 y.,Eastern Europe,0.01456,49,3663,0.01068,0.01844
1984,30-45 y.,Western Europe,0.01084,31,3663,0.00749,0.01420
1984,46-65 y.,Germany,0.90207,2608,3358,0.89202,0.91213
1984,46-65 y.,Southern Europe,0.02107,489,3358,0.01621,0.02593
1984,46-65 y.,Western Asia,0.01330,209,3358,0.00943,0.01718
1984,46-65 y.,Eastern Europe,0.01872,52,3358,0.01413,0.02330
1984,66 and older,Germany,0.97875,1232,1232,0.97069,0.98680
1985,17-29 y.,Germany,0.91164,2315,3010,0.90149,0.92178
1985,17-29 y.,Southern Europe,0.02206,329,3010,0.01681,0.02731
1985,17-29 y.,Western Asia,0.02877,366,3010,0.02279,0.03474
1985,30-45 y.,Germany,0.86484,2294,3263,0.85311,0.87657
1985,30-45 y.,Southern Europe,0.03670,567,3263,0.03025,0.04315
1985,30-45 y.,Western Asia,0.03282,325,3263,0.02671,0.03893
1985,30-45 y.,Eastern Europe,0.01453,46,3263,0.01042,0.01863
1985,30-45 y.,Western Europe,0.01237,31,3263,0.00858,0.01616
1985,46-65 y.,Germany,0.89908,2441,3123,0.88851,0.90964
1985,46-65 y.,Southern Europe,0.02289,455,3123,0.01764,0.02813
1985,46-65 y.,Western Asia,0.01168,173,3123,0.00791,0.01545
1985,46-65 y.,Eastern Europe,0.02033,54,3123,0.01538,0.02528
1985,66 and older,Germany,0.97204,1070,1070,0.96216,0.98192
1986,17-29 y.,Germany,0.91128,2255,2929,0.90098,0.92158
1986,17-29 y.,Southern Europe,0.02105,311,2929,0.01585,0.02625
1986,17-29 y.,Western Asia,0.03029,363,2929,0.02408,0.03650
1986,30-45 y.,Germany,0.85969,2168,3039,0.84734,0.87204
1986,30-45 y.,Southern Europe,0.03741,529,3039,0.03066,0.04415
1986,30-45 y.,Western Asia,0.03309,298,3039,0.02673,0.03946
1986,30-45 y.,Eastern Europe,0.01525,44,3039,0.01089,0.01961
1986,46-65 y.,Germany,0.89363,2354,3052,0.88269,0.90457
1986,46-65 y.,Southern Europe,0.02453,446,3052,0.01904,0.03002
