year,age_gr,regtyp,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,Germany,0.89863,1758,2381,0.88651,0.91076
1985,17-29 y.,Urban regions,Southern Europe,0.02561,295,2381,0.01926,0.03196
1985,17-29 y.,Urban regions,Western Asia,0.03519,328,2381,0.02779,0.04260
1985,17-29 y.,Rural regions,Germany,0.95225,557,629,0.93557,0.96893
1985,17-29 y.,Rural regions,Southern Europe,0.01097,34,629,0.00282,0.01911
1985,17-29 y.,Rural regions,Western Asia,0.00869,38,629,0.00143,0.01594
1985,30-45 y.,Urban regions,Germany,0.84928,1730,2545,0.83537,0.86318
1985,30-45 y.,Urban regions,Southern Europe,0.04044,481,2545,0.03278,0.04809
1985,30-45 y.,Urban regions,Western Asia,0.03964,299,2545,0.03206,0.04722
1985,30-45 y.,Urban regions,Eastern Europe,0.01410,35,2545,0.00952,0.01868
1985,30-45 y.,Rural regions,Germany,0.91507,564,650,0.89362,0.93652
1985,30-45 y.,Rural regions,Southern Europe,0.02465,86,650,0.01272,0.03658
1985,46-65 y.,Urban regions,Germany,0.88514,1833,2446,0.87250,0.89778
1985,46-65 y.,Urban regions,Southern Europe,0.02674,411,2446,0.02035,0.03314
1985,46-65 y.,Urban regions,Western Asia,0.01445,161,2446,0.00972,0.01918
1985,46-65 y.,Urban regions,Eastern Europe,0.02036,41,2446,0.01476,0.02596
1985,46-65 y.,Rural regions,Germany,0.94232,608,652,0.92441,0.96023
1985,46-65 y.,Rural regions,Southern Europe,0.01093,44,652,0.00294,0.01892
1985,66 and older,Urban regions,Germany,0.96935,784,784,0.95727,0.98142
1985,66 and older,Rural regions,Germany,0.97921,286,286,0.96265,0.99578
1986,17-29 y.,Urban regions,Germany,0.90020,1715,2317,0.88799,0.91241
1986,17-29 y.,Urban regions,Southern Europe,0.02420,277,2317,0.01794,0.03046
1986,17-29 y.,Urban regions,Western Asia,0.03704,325,2317,0.02935,0.04473
1986,17-29 y.,Rural regions,Germany,0.94492,540,612,0.92683,0.96301
1986,17-29 y.,Rural regions,Southern Europe,0.01150,34,612,0.00305,0.01996
1986,17-29 y.,Rural regions,Western Asia,0.00980,38,612,0.00199,0.01761
1986,30-45 y.,Urban regions,Germany,0.84625,1650,2404,0.83183,0.86067
1986,30-45 y.,Urban regions,Southern Europe,0.04068,447,2404,0.03278,0.04858
1986,30-45 y.,Urban regions,Western Asia,0.03953,274,2404,0.03174,0.04733
1986,30-45 y.,Urban regions,Eastern Europe,0.01405,33,2404,0.00935,0.01876
1986,30-45 y.,Rural regions,Germany,0.90440,518,600,0.88085,0.92795
1986,30-45 y.,Rural regions,Southern Europe,0.02652,82,600,0.01365,0.03938
1986,46-65 y.,Urban regions,Germany,0.88124,1781,2404,0.86831,0.89418
1986,46-65 y.,Urban regions,Southern Europe,0.02843,399,2404,0.02179,0.03508
1986,46-65 y.,Urban regions,Western Asia,0.01602,182,2404,0.01100,0.02104
1986,46-65 y.,Urban regions,Eastern Europe,0.02180,42,2404,0.01596,0.02764
1986,46-65 y.,Rural regions,Germany,0.93309,573,620,0.91340,0.95277
1986,46-65 y.,Rural regions,Southern Europe,0.01211,47,620,0.00349,0.02073
1986,66 and older,Urban regions,Germany,0.95333,720,720,0.93792,0.96875
1986,66 and older,Rural regions,Germany,0.97554,261,261,0.95677,0.99432
1987,17-29 y.,Urban regions,Germany,0.89759,1681,2276,0.88513,0.91005
1987,17-29 y.,Urban regions,Southern Europe,0.02476,266,2276,0.01838,0.03115
1987,17-29 y.,Urban regions,Western Asia,0.03955,329,2276,0.03154,0.04756
1987,17-29 y.,Rural regions,Germany,0.93913,533,615,0.92022,0.95804
1987,17-29 y.,Rural regions,Southern Europe,0.01068,34,615,0.00255,0.01881
1987,17-29 y.,Rural regions,Western Asia,0.01510,48,615,0.00545,0.02475
1987,30-45 y.,Urban regions,Germany,0.84247,1614,2331,0.82768,0.85726
1987,30-45 y.,Urban regions,Southern Europe,0.04291,431,2331,0.03468,0.05114
