year,migback,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Germany,0.84188,8673,8673,0.83421,0.84956
1984,Direct migration background,Southern Europe,0.20690,1583,2807,0.19191,0.22188
1984,Direct migration background,Western Asia,0.20737,1035,2807,0.19237,0.22238
1984,Direct migration background,Eastern Europe,0.11021,121,2807,0.09862,0.12179
1984,Direct migration background,Western Europe,0.05900,68,2807,0.05028,0.06772
1984,Indirect migration background,Germany,0.11846,125,125,0.06158,0.17534
1985,No migration background,Germany,0.85412,7980,7980,0.84637,0.86186
1985,Direct migration background,Southern Europe,0.21687,1357,2410,0.20041,0.23333
1985,Direct migration background,Western Asia,0.18953,868,2410,0.17388,0.20518
1985,Direct migration background,Eastern Europe,0.12000,120,2410,0.10702,0.13297
1985,Direct migration background,Western Europe,0.06424,65,2410,0.05445,0.07403
1985,Indirect migration background,Germany,0.14425,140,140,0.08584,0.20266
1986,No migration background,Germany,0.85377,7605,7605,0.84583,0.86171
1986,Direct migration background,Southern Europe,0.21269,1295,2339,0.19610,0.22928
1986,Direct migration background,Western Asia,0.18910,862,2339,0.17323,0.20497
1986,Direct migration background,Eastern Europe,0.12768,121,2339,0.11415,0.14121
1986,Direct migration background,Western Europe,0.05983,61,2339,0.05022,0.06945
1986,Indirect migration background,Germany,0.14666,153,153,0.09042,0.20291
1987,No migration background,Germany,0.85204,7467,7467,0.84399,0.86010
1987,Direct migration background,Southern Europe,0.22016,1276,2330,0.20333,0.23699
1987,Direct migration background,Western Asia,0.19981,875,2330,0.18357,0.21605
1987,Direct migration background,Eastern Europe,0.13135,126,2330,0.11763,0.14506
1987,Direct migration background,Western Europe,0.05276,53,2330,0.04368,0.06184
1987,Indirect migration background,Germany,0.14513,173,173,0.09249,0.19777
1988,No migration background,Germany,0.85219,7083,7083,0.84393,0.86046
1988,Direct migration background,Southern Europe,0.20872,1194,2223,0.19182,0.22561
1988,Direct migration background,Western Asia,0.19579,853,2223,0.17929,0.21229
1988,Direct migration background,Eastern Europe,0.14342,125,2223,0.12884,0.15799
1988,Direct migration background,Western Europe,0.05314,51,2223,0.04382,0.06247
1988,Indirect migration background,Germany,0.16920,220,220,0.11954,0.21886
1989,No migration background,Germany,0.85368,6819,6819,0.84529,0.86207
1989,Direct migration background,Southern Europe,0.21633,1141,2173,0.19902,0.23365
1989,Direct migration background,Western Asia,0.20431,855,2173,0.18735,0.22126
1989,Direct migration background,Eastern Europe,0.14457,129,2173,0.12978,0.15936
1989,Direct migration background,Western Europe,0.05224,48,2173,0.04289,0.06160
1989,Indirect migration background,Germany,0.18978,257,257,0.14174,0.23781
1990,No migration background,Germany,0.83513,10921,10921,0.82817,0.84209
1990,Direct migration background,Southern Europe,0.20600,1107,2174,0.18899,0.22300
1990,Direct migration background,Western Asia,0.19416,824,2174,0.17753,0.21079
1990,Direct migration background,Eastern Europe,0.15800,190,2174,0.14266,0.17334
1990,Direct migration background,Western Europe,0.05229,53,2174,0.04293,0.06165
1990,Indirect migration background,Germany,0.18957,295,295,0.14476,0.23437
1991,No migration background,Germany,0.83675,10616,10616,0.82972,0.84378
1991,Direct migration background,Southern Europe,0.20694,1064,2134,0.18975,0.22414
1991,Direct migration background,Western Asia,0.20292,820,2134,0.18586,0.21999
1991,Direct migration background,Eastern Europe,0.16259,198,2134,0.14693,0.17825
1991,Direct migration background,Western Europe,0.05167,52,2134,0.04228,0.06107
1991,Indirect migration background,Germany,0.20794,348,348,0.16524,0.25064
1992,No migration background,Germany,0.83437,10359,10359,0.82721,0.84153
1992,Direct migration background,Southern Europe,0.22484,1025,2088,0.20693,0.24275
1992,Direct migration background,Western Asia,0.21023,808,2088,0.19274,0.22771
1992,Direct migration background,Eastern Europe,0.15939,201,2088,0.14368,0.17509
1992,Direct migration background,Western Europe,0.06144,54,2088,0.05113,0.07174
1992,Indirect migration background,Germany,0.25514,406,406,0.21268,0.29760
1993,No migration background,Germany,0.83250,10158,10158,0.82524,0.83976
1993,Direct migration background,Southern Europe,0.23520,1008,2034,0.21676,0.25364
1993,Direct migration background,Western Asia,0.21144,775,2034,0.19369,0.22919
1993,Direct migration background,Eastern Europe,0.15422,198,2034,0.13852,0.16992
1993,Direct migration background,Western Europe,0.06472,53,2034,0.05403,0.07542
1993,Indirect migration background,Germany,0.31053,468,468,0.26856,0.35249
1994,No migration background,Germany,0.83102,10025,10025,0.82369,0.83836
1994,Direct migration background,Southern Europe,0.24313,963,1932,0.22400,0.26226
1994,Direct migration background,Western Asia,0.20851,718,1932,0.19039,0.22663
1994,Direct migration background,Eastern Europe,0.15245,197,1932,0.13642,0.16849
1994,Direct migration background,Western Europe,0.06670,54,1932,0.05557,0.07783
1994,Indirect migration background,Germany,0.32653,491,491,0.28501,0.36805
1995,No migration background,Germany,0.83157,10001,10001,0.82424,0.83891
1995,Direct migration background,Southern Europe,0.18579,952,2322,0.16996,0.20161
1995,Direct migration background,Central Asia,0.02339,82,2322,0.01724,0.02954
1995,Direct migration background,Western Asia,0.15237,709,2322,0.13775,0.16699
1995,Direct migration background,Eastern Europe,0.23492,516,2322,0.21767,0.25217
1995,Direct migration background,Western Europe,0.05487,63,2322,0.04560,0.06413
1995,Indirect migration background,Germany,0.31980,504,504,0.27904,0.36056
1996,No migration background,Germany,0.83428,9907,9907,0.82696,0.84161
1996,Direct migration background,Southern Europe,0.19636,895,2199,0.17976,0.21297
1996,Direct migration background,Central Asia,0.02615,88,2199,0.01948,0.03282
1996,Direct migration background,Western Asia,0.15332,665,2199,0.13826,0.16839
1996,Direct migration background,Eastern Europe,0.23223,489,2199,0.21458,0.24988
1996,Direct migration background,Western Europe,0.05695,62,2199,0.04726,0.06664
