"year","bildungsniveau","migback","mean","median","n","lower_confidence","upper_confidence"
"1984","(Fach-)Abitur","direkter Migrationshintergrund","7.64","7.5","271","7.35","7.93"
"1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1984","(Fach-)Abitur","kein Migrationshintergrund","7.39","7.5","587","7.2","7.58"
"1984","(noch) kein Abschluss","direkter Migrationshintergrund","6.64","6.5","1040","6.47","6.81"
"1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1984","(noch) kein Abschluss","kein Migrationshintergrund","7.77","8.5","227","7.43","8.11"
"1984","AkademikerIn","direkter Migrationshintergrund","7.4","7.5","121","7","7.8"
"1984","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1984","AkademikerIn","kein Migrationshintergrund","7.45","7.5","665","7.28","7.62"
"1984","Hauptschule","direkter Migrationshintergrund","6.98","7.5","1723","6.85","7.11"
"1984","Hauptschule","indirekter Migrationshintergrund","7.26","6.5","73","6.74","7.78"
"1984","Hauptschule","kein Migrationshintergrund","6.43","6.5","5441","6.36","6.5"
"1984","Realschule","direkter Migrationshintergrund","7.36","7.5","138","7.02","7.7"
"1984","Realschule","indirekter Migrationshintergrund","","","","",""
"1984","Realschule","kein Migrationshintergrund","7.43","7.5","1716","7.32","7.54"
"1985","(Fach-)Abitur","direkter Migrationshintergrund","7.39","7.5","229","7.07","7.71"
"1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1985","(Fach-)Abitur","kein Migrationshintergrund","7.29","7.5","546","7.11","7.47"
"1985","(noch) kein Abschluss","direkter Migrationshintergrund","6.65","6.5","838","6.47","6.83"
"1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1985","(noch) kein Abschluss","kein Migrationshintergrund","7.39","7.5","223","7.06","7.72"
"1985","AkademikerIn","direkter Migrationshintergrund","7.35","7.5","110","7","7.7"
"1985","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1985","AkademikerIn","kein Migrationshintergrund","7.38","7.5","640","7.22","7.54"
"1985","Hauptschule","direkter Migrationshintergrund","6.72","6.5","1492","6.59","6.85"
"1985","Hauptschule","indirekter Migrationshintergrund","7.18","7.5","80","6.67","7.69"
"1985","Hauptschule","kein Migrationshintergrund","6.43","6.5","4834","6.36","6.5"
"1985","Realschule","direkter Migrationshintergrund","7.29","7.5","138","6.92","7.66"
"1985","Realschule","indirekter Migrationshintergrund","7.71","9.5","31","6.99","8.43"
"1985","Realschule","kein Migrationshintergrund","7.25","7.5","1644","7.14","7.36"
"1986","(Fach-)Abitur","direkter Migrationshintergrund","7.38","7.5","229","7.07","7.69"
"1986","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1986","(Fach-)Abitur","kein Migrationshintergrund","7.29","7.5","570","7.11","7.47"
"1986","(noch) kein Abschluss","direkter Migrationshintergrund","6.55","6.5","787","6.36","6.74"
"1986","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1986","(noch) kein Abschluss","kein Migrationshintergrund","7.24","7.5","218","6.9","7.58"
"1986","AkademikerIn","direkter Migrationshintergrund","7.38","7.5","110","7.02","7.74"
"1986","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1986","AkademikerIn","kein Migrationshintergrund","7.21","7.5","634","7.04","7.38"
"1986","Hauptschule","direkter Migrationshintergrund","6.69","6.5","1474","6.56","6.82"
"1986","Hauptschule","indirekter Migrationshintergrund","6.74","7.5","85","6.28","7.2"
"1986","Hauptschule","kein Migrationshintergrund","6.4","6.5","4513","6.33","6.47"
"1986","Realschule","direkter Migrationshintergrund","7.06","6.5","145","6.7","7.42"
"1986","Realschule","indirekter Migrationshintergrund","7.2","8.5","30","6.41","7.99"
"1986","Realschule","kein Migrationshintergrund","7.15","7.5","1592","7.04","7.26"
"1987","(Fach-)Abitur","direkter Migrationshintergrund","7.54","7.5","226","7.23","7.85"
"1987","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1987","(Fach-)Abitur","kein Migrationshintergrund","7.15","7.5","538","6.97","7.33"
"1987","(noch) kein Abschluss","direkter Migrationshintergrund","6.53","6.5","767","6.35","6.71"
"1987","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1987","(noch) kein Abschluss","kein Migrationshintergrund","6.95","7.5","211","6.61","7.29"
"1987","AkademikerIn","direkter Migrationshintergrund","7.21","7.5","100","6.8","7.62"
"1987","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1987","AkademikerIn","kein Migrationshintergrund","7.15","7.5","637","6.99","7.31"
"1987","Hauptschule","direkter Migrationshintergrund","6.74","6.5","1490","6.62","6.86"
"1987","Hauptschule","indirekter Migrationshintergrund","6.62","6.5","95","6.14","7.1"
"1987","Hauptschule","kein Migrationshintergrund","6.35","6.5","4422","6.28","6.42"
"1987","Realschule","direkter Migrationshintergrund","7.18","6.5","147","6.87","7.49"
"1987","Realschule","indirekter Migrationshintergrund","7.17","7.5","34","6.55","7.79"
"1987","Realschule","kein Migrationshintergrund","7.06","7.5","1577","6.95","7.17"
"1988","(Fach-)Abitur","direkter Migrationshintergrund","7.3","6.5","210","7","7.6"
"1988","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1988","(Fach-)Abitur","kein Migrationshintergrund","7.11","7.5","508","6.93","7.29"
