year,bula_h,regtyp,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Schleswig-Holstein,Urban regions,"No, never",0.41391,61,99,0.31639,0.51142
2005,Schleswig-Holstein,Urban regions,"Yes, less frequently",0.24935,38,99,0.16369,0.33500
2005,Schleswig-Holstein,Rural regions,"No, never",0.25296,56,158,0.18496,0.32096
2005,Schleswig-Holstein,Rural regions,"Yes, every week",0.21366,40,158,0.14955,0.27778
2005,Schleswig-Holstein,Rural regions,"Yes, less frequently",0.30386,62,158,0.23192,0.37580
2005,Hamburg,Urban regions,"No, never",0.44076,69,121,0.35193,0.52959
2005,Hamburg,Urban regions,"Yes, less frequently",0.33436,52,121,0.24995,0.41877
2005,Lower Saxony,Urban regions,"No, never",0.34582,167,475,0.30300,0.38864
2005,Lower Saxony,Urban regions,"Yes, every week",0.13487,63,475,0.10412,0.16562
2005,Lower Saxony,Urban regions,"Yes, every 2 weeks",0.13898,69,475,0.10784,0.17012
2005,Lower Saxony,Urban regions,"Yes, every 3-4 weeks",0.09594,46,475,0.06943,0.12246
2005,Lower Saxony,Urban regions,"Yes, less frequently",0.28439,130,475,0.24378,0.32500
2005,Lower Saxony,Rural regions,"No, never",0.31493,164,504,0.27434,0.35552
2005,Lower Saxony,Rural regions,"Yes, every week",0.19731,94,504,0.16253,0.23208
2005,Lower Saxony,Rural regions,"Yes, every 2 weeks",0.13856,73,504,0.10837,0.16875
2005,Lower Saxony,Rural regions,"Yes, every 3-4 weeks",0.09728,51,504,0.07138,0.12318
2005,Lower Saxony,Rural regions,"Yes, less frequently",0.25192,122,504,0.21398,0.28986
2005,North Rhine-Westphalia,Urban regions,"No, never",0.39200,959,2355,0.37227,0.41172
2005,North Rhine-Westphalia,Urban regions,"Yes, every week",0.13278,302,2355,0.11907,0.14649
2005,North Rhine-Westphalia,Urban regions,"Yes, every 2 weeks",0.14808,328,2355,0.13373,0.16242
2005,North Rhine-Westphalia,Urban regions,"Yes, every 3-4 weeks",0.09325,191,2355,0.08150,0.10500
2005,North Rhine-Westphalia,Urban regions,"Yes, less frequently",0.23390,575,2355,0.21680,0.25100
2005,Hesse,Urban regions,"No, never",0.36001,238,687,0.32409,0.39593
2005,Hesse,Urban regions,"Yes, every week",0.16326,107,687,0.13560,0.19092
2005,Hesse,Urban regions,"Yes, every 2 weeks",0.10373,78,687,0.08091,0.12655
2005,Hesse,Urban regions,"Yes, every 3-4 weeks",0.08347,64,687,0.06277,0.10417
2005,Hesse,Urban regions,"Yes, less frequently",0.28953,200,687,0.25559,0.32347
2005,Hesse,Rural regions,"No, never",0.35641,51,84,0.25337,0.45945
2005,Hesse,Rural regions,"Yes, less frequently",0.21199,33,84,0.12406,0.29992
2005,"Rhineland-Palatinate, Saarland",Urban regions,"No, never",0.39858,201,506,0.35588,0.44129
2005,"Rhineland-Palatinate, Saarland",Urban regions,"Yes, every week",0.19599,80,506,0.16137,0.23061
2005,"Rhineland-Palatinate, Saarland",Urban regions,"Yes, every 2 weeks",0.13676,64,506,0.10679,0.16672
2005,"Rhineland-Palatinate, Saarland",Urban regions,"Yes, every 3-4 weeks",0.06560,42,506,0.04401,0.08720
2005,"Rhineland-Palatinate, Saarland",Urban regions,"Yes, less frequently",0.20307,119,506,0.16798,0.23815
2005,"Rhineland-Palatinate, Saarland",Rural regions,"No, never",0.38055,67,130,0.29676,0.46433
2005,"Rhineland-Palatinate, Saarland",Rural regions,"Yes, every week",0.20419,31,130,0.13463,0.27376
2005,"Rhineland-Palatinate, Saarland",Rural regions,"Yes, less frequently",0.19131,32,130,0.12343,0.25918
2005,Baden-Wuerttemberg,Urban regions,"No, never",0.39023,558,1312,0.36382,0.41663
2005,Baden-Wuerttemberg,Urban regions,"Yes, every week",0.11916,158,1312,0.10163,0.13670
2005,Baden-Wuerttemberg,Urban regions,"Yes, every 2 weeks",0.14834,154,1312,0.12910,0.16758
2005,Baden-Wuerttemberg,Urban regions,"Yes, every 3-4 weeks",0.08925,118,1312,0.07382,0.10468
2005,Baden-Wuerttemberg,Urban regions,"Yes, less frequently",0.25302,324,1312,0.22948,0.27655
2005,Baden-Wuerttemberg,Rural regions,"No, never",0.33001,42,79,0.22566,0.43437
2005,Baden-Wuerttemberg,Rural regions,"Yes, less frequently",0.31014,37,79,0.20749,0.41280
2005,Bavaria,Urban regions,"No, never",0.40438,370,874,0.37183,0.43694
2005,Bavaria,Urban regions,"Yes, every week",0.15595,122,874,0.13189,0.18002
2005,Bavaria,Urban regions,"Yes, every 2 weeks",0.12759,104,874,0.10546,0.14973
2005,Bavaria,Urban regions,"Yes, every 3-4 weeks",0.08177,72,874,0.06359,0.09995
2005,Bavaria,Urban regions,"Yes, less frequently",0.23030,206,874,0.20237,0.25823
2005,Bavaria,Rural regions,"No, never",0.40508,341,851,0.37207,0.43808
2005,Bavaria,Rural regions,"Yes, every week",0.13978,124,851,0.11646,0.16309
2005,Bavaria,Rural regions,"Yes, every 2 weeks",0.12365,104,851,0.10152,0.14578
2005,Bavaria,Rural regions,"Yes, every 3-4 weeks",0.08167,62,851,0.06326,0.10008
2005,Bavaria,Rural regions,"Yes, less frequently",0.24983,220,851,0.22072,0.27893
2005,Berlin,Urban regions,"No, never",0.37553,148,377,0.32658,0.42447
2005,Berlin,Urban regions,"Yes, every week",0.12823,51,377,0.09443,0.16202
2005,Berlin,Urban regions,"Yes, every 2 weeks",0.18929,65,377,0.14969,0.22889
2005,Berlin,Urban regions,"Yes, less frequently",0.25268,113,377,0.20875,0.29660
2005,Brandenburg,Rural regions,"No, never",0.30115,134,397,0.25597,0.34634
2005,Brandenburg,Rural regions,"Yes, every week",0.18532,64,397,0.14705,0.22359
2005,Brandenburg,Rural regions,"Yes, every 2 weeks",0.20177,69,397,0.16225,0.24130
2005,Brandenburg,Rural regions,"Yes, every 3-4 weeks",0.12286,44,397,0.09052,0.15519
2005,Brandenburg,Rural regions,"Yes, less frequently",0.18890,86,397,0.15034,0.22745
2005,Mecklenburg-Western Pomerania,Rural regions,"No, never",0.38265,78,173,0.31001,0.45528
2005,Mecklenburg-Western Pomerania,Rural regions,"Yes, every 2 weeks",0.18161,38,173,0.12399,0.23923
2005,Mecklenburg-Western Pomerania,Rural regions,"Yes, less frequently",0.23628,57,173,0.17279,0.29976
2005,Saxony,Urban regions,"No, never",0.28891,129,391,0.24392,0.33389
2005,Saxony,Urban regions,"Yes, every week",0.12576,46,391,0.09285,0.15867
2005,Saxony,Urban regions,"Yes, every 2 weeks",0.15641,57,391,0.12036,0.19246
2005,Saxony,Urban regions,"Yes, every 3-4 weeks",0.15377,48,391,0.11797,0.18957
2005,Saxony,Urban regions,"Yes, less frequently",0.27515,111,391,0.23083,0.31948
2005,Saxony,Rural regions,"No, never",0.28804,127,411,0.24420,0.33187
2005,Saxony,Rural regions,"Yes, every week",0.14852,56,411,0.11410,0.18294
2005,Saxony,Rural regions,"Yes, every 2 weeks",0.20288,69,411,0.16395,0.24180
2005,Saxony,Rural regions,"Yes, every 3-4 weeks",0.08442,40,411,0.05751,0.11133
2005,Saxony,Rural regions,"Yes, less frequently",0.27615,119,411,0.23287,0.31943
2005,Saxony-Anhalt,Rural regions,"No, never",0.24678,92,352,0.20168,0.29188
2005,Saxony-Anhalt,Rural regions,"Yes, every week",0.16072,48,352,0.12230,0.19915
2005,Saxony-Anhalt,Rural regions,"Yes, every 2 weeks",0.23972,86,352,0.19505,0.28438
