,Unnamed: 0,year,age_gr,migback,plb0218_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2005,17-29 y.,No migration background,"No, never",0.39967,667,11162,0.37041,0.43
1,1,2005,17-29 y.,No migration background,"Yes, every week",0.15484,225,11162,0.13624,0.17511
2,2,2005,17-29 y.,No migration background,"Yes, every 2 weeks",0.17004,266,11162,0.15149,0.18664
3,3,2005,17-29 y.,No migration background,"Yes, every 3-4 weeks",0.07138,131,11162,0.06146,0.08395
4,4,2005,17-29 y.,No migration background,"Yes, less frequently",0.20408,328,11162,0.185,0.22578
5,5,2005,17-29 y.,Direct migration background,"No, never",1.0,58,11162,0.76439,1.22161
6,6,2005,17-29 y.,Indirect migration background,"No, never",0.48471,112,11162,0.40572,0.56831
7,7,2005,17-29 y.,Indirect migration background,"Yes, every week",0.17029,43,11162,0.1307,0.22657
8,8,2005,17-29 y.,Indirect migration background,"Yes, every 2 weeks",0.19733,40,11162,0.15511,0.23719
9,9,2005,17-29 y.,Indirect migration background,"Yes, less frequently",0.14767,35,11162,0.11007,0.19336
10,10,2005,30-45 y.,No migration background,"No, never",0.32803,1402,11162,0.3142,0.3429
11,11,2005,30-45 y.,No migration background,"Yes, every week",0.14655,541,11162,0.13439,0.15681
12,12,2005,30-45 y.,No migration background,"Yes, every 2 weeks",0.15651,619,11162,0.14632,0.16574
13,13,2005,30-45 y.,No migration background,"Yes, every 3-4 weeks",0.10543,416,11162,0.09735,0.11263
14,14,2005,30-45 y.,No migration background,"Yes, less frequently",0.26348,1120,11162,0.24923,0.27602
15,15,2005,30-45 y.,Direct migration background,"No, never",0.38078,217,11162,0.3467,0.42193
16,16,2005,30-45 y.,Direct migration background,"Yes, every week",0.12433,71,11162,0.10406,0.14665
17,17,2005,30-45 y.,Direct migration background,"Yes, every 2 weeks",0.12371,73,11162,0.09914,0.15499
18,18,2005,30-45 y.,Direct migration background,"Yes, every 3-4 weeks",0.0977,64,11162,0.07774,0.11957
19,19,2005,30-45 y.,Direct migration background,"Yes, less frequently",0.27348,141,11162,0.22903,0.31466
20,20,2005,30-45 y.,Indirect migration background,"No, never",0.61007,76,11162,0.50629,0.72389
21,21,2005,30-45 y.,Indirect migration background,"Yes, less frequently",0.38993,38,11162,0.30441,0.48054
22,22,2005,46-65 y.,No migration background,"No, never",0.38072,1449,11162,0.36145,0.40044
23,23,2005,46-65 y.,No migration background,"Yes, every week",0.14606,583,11162,0.13509,0.15943
24,24,2005,46-65 y.,No migration background,"Yes, every 2 weeks",0.12255,462,11162,0.11318,0.13177
25,25,2005,46-65 y.,No migration background,"Yes, every 3-4 weeks",0.08084,328,11162,0.07256,0.0898
26,26,2005,46-65 y.,No migration background,"Yes, less frequently",0.26983,1097,11162,0.25436,0.28311
27,27,2005,46-65 y.,Direct migration background,"No, never",0.43304,229,11162,0.38949,0.4728
28,28,2005,46-65 y.,Direct migration background,"Yes, every week",0.12265,49,11162,0.09467,0.16045
29,29,2005,46-65 y.,Direct migration background,"Yes, every 2 weeks",0.16057,69,11162,0.12714,0.19948
30,30,2005,46-65 y.,Direct migration background,"Yes, every 3-4 weeks",0.0957,41,11162,0.07661,0.1249
31,31,2005,46-65 y.,Direct migration background,"Yes, less frequently",0.18803,92,11162,0.1566,0.22127
32,32,2005,66 and older,No migration background,"No, never",0.56346,49,11162,0.45568,0.67093
33,33,2005,66 and older,No migration background,"Yes, every week",0.43654,31,11162,0.33168,0.5728
34,34,2007,17-29 y.,No migration background,"No, never",0.38164,606,11260,0.35618,0.41282
35,35,2007,17-29 y.,No migration background,"Yes, every week",0.15942,238,11260,0.14085,0.17651
36,36,2007,17-29 y.,No migration background,"Yes, every 2 weeks",0.17284,277,11260,0.15523,0.19423
37,37,2007,17-29 y.,No migration background,"Yes, every 3-4 weeks",0.08415,137,11260,0.07131,0.09942
38,38,2007,17-29 y.,No migration background,"Yes, less frequently",0.20195,308,11260,0.18223,0.22394
39,39,2007,17-29 y.,Direct migration background,"No, never",0.70348,50,11260,0.57369,0.86567
40,40,2007,17-29 y.,Direct migration background,"Yes, every 2 weeks",0.29652,32,11260,0.2175,0.40878
41,41,2007,17-29 y.,Indirect migration background,"No, never",0.6239,120,11260,0.52873,0.73288
42,42,2007,17-29 y.,Indirect migration background,"Yes, every week",0.25114,40,11260,0.20067,0.30704
43,43,2007,17-29 y.,Indirect migration background,"Yes, less frequently",0.12496,37,11260,0.0895,0.16037
44,44,2007,30-45 y.,No migration background,"No, never",0.31397,1331,11260,0.29855,0.32844
45,45,2007,30-45 y.,No migration background,"Yes, every week",0.13287,542,11260,0.12494,0.14196
46,46,2007,30-45 y.,No migration background,"Yes, every 2 weeks",0.16669,629,11260,0.15654,0.17807
47,47,2007,30-45 y.,No migration background,"Yes, every 3-4 weeks",0.11712,424,11260,0.10738,0.12685
48,48,2007,30-45 y.,No migration background,"Yes, less frequently",0.26936,1076,11260,0.2515,0.28378
49,49,2007,30-45 y.,Direct migration background,"No, never",0.37113,186,11260,0.33,0.41001
50,50,2007,30-45 y.,Direct migration background,"Yes, every week",0.12625,64,11260,0.10443,0.14635
51,51,2007,30-45 y.,Direct migration background,"Yes, every 2 weeks",0.1966,96,11260,0.16251,0.23643
52,52,2007,30-45 y.,Direct migration background,"Yes, every 3-4 weeks",0.08152,50,11260,0.06219,0.09592
53,53,2007,30-45 y.,Direct migration background,"Yes, less frequently",0.2245,103,11260,0.1854,0.26527
54,54,2007,30-45 y.,Indirect migration background,"No, never",0.49238,83,11260,0.40577,0.60013
55,55,2007,30-45 y.,Indirect migration background,"Yes, every week",0.27781,35,11260,0.21254,0.34818
56,56,2007,30-45 y.,Indirect migration background,"Yes, less frequently",0.22981,41,11260,0.17067,0.30576
57,57,2007,46-65 y.,No migration background,"No, never",0.3635,1508,11260,0.34751,0.37947
58,58,2007,46-65 y.,No migration background,"Yes, every week",0.15505,649,11260,0.14361,0.16573
59,59,2007,46-65 y.,No migration background,"Yes, every 2 weeks",0.13375,527,11260,0.12274,0.14595
