year,migback,pgisced97,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,No migration background,No answer / don't know,"No, never",0.42743,50,50,0.28891,0.56595
2005,No migration background,Lower Secondary Level,"No, never",0.41421,258,574,0.37388,0.45454
2005,No migration background,Lower Secondary Level,"Yes, every week",0.18629,90,574,0.15441,0.21817
2005,No migration background,Lower Secondary Level,"Yes, every 2 weeks",0.17567,97,574,0.14451,0.20683
2005,No migration background,Lower Secondary Level,"Yes, every 3-4 weeks",0.06494,39,574,0.04477,0.08512
2005,No migration background,Lower Secondary Level,"Yes, less frequently",0.15888,90,574,0.12895,0.18882
2005,No migration background,Upper Secondary Level,"No, never",0.36522,1783,4821,0.35162,0.37881
2005,No migration background,Upper Secondary Level,"Yes, every week",0.15220,686,4821,0.14206,0.16234
2005,No migration background,Upper Secondary Level,"Yes, every 2 weeks",0.15336,736,4821,0.14319,0.16353
2005,No migration background,Upper Secondary Level,"Yes, every 3-4 weeks",0.09716,454,4821,0.08880,0.10552
2005,No migration background,Upper Secondary Level,"Yes, less frequently",0.23206,1162,4821,0.22014,0.24398
2005,No migration background,Post-secondary Non-tertiary Level,"No, never",0.45620,264,605,0.41647,0.49592
2005,No migration background,Post-secondary Non-tertiary Level,"Yes, every week",0.09509,49,605,0.07170,0.11848
2005,No migration background,Post-secondary Non-tertiary Level,"Yes, every 2 weeks",0.12604,86,605,0.09957,0.15251
2005,No migration background,Post-secondary Non-tertiary Level,"Yes, every 3-4 weeks",0.06604,48,605,0.04624,0.08585
2005,No migration background,Post-secondary Non-tertiary Level,"Yes, less frequently",0.25663,158,605,0.22180,0.29146
2005,No migration background,First Stage of Tertiary Education,"No, never",0.28511,272,906,0.25570,0.31453
2005,No migration background,First Stage of Tertiary Education,"Yes, every week",0.15785,140,906,0.13409,0.18160
2005,No migration background,First Stage of Tertiary Education,"Yes, every 2 weeks",0.16078,134,906,0.13685,0.18471
2005,No migration background,First Stage of Tertiary Education,"Yes, every 3-4 weeks",0.09910,96,906,0.07963,0.11856
2005,No migration background,First Stage of Tertiary Education,"Yes, less frequently",0.29716,264,906,0.26739,0.32694
2005,No migration background,Second Stage of Tertiary Education,"No, never",0.33008,909,2664,0.31222,0.34794
2005,No migration background,Second Stage of Tertiary Education,"Yes, every week",0.14545,385,2664,0.13206,0.15884
2005,No migration background,Second Stage of Tertiary Education,"Yes, every 2 weeks",0.11084,275,2664,0.09892,0.12277
2005,No migration background,Second Stage of Tertiary Education,"Yes, every 3-4 weeks",0.08589,239,2664,0.07525,0.09653
2005,No migration background,Second Stage of Tertiary Education,"Yes, less frequently",0.32774,856,2664,0.30991,0.34557
2005,Direct migration background,Lower Secondary Level,"No, never",0.48820,121,154,0.40899,0.56741
2005,Direct migration background,Lower Secondary Level,"Yes, less frequently",0.14800,33,154,0.09173,0.20427
2005,Direct migration background,Upper Secondary Level,"No, never",0.35768,193,488,0.31511,0.40025
2005,Direct migration background,Upper Secondary Level,"Yes, every week",0.13865,66,488,0.10796,0.16934
2005,Direct migration background,Upper Secondary Level,"Yes, every 2 weeks",0.14338,70,488,0.11226,0.17451
2005,Direct migration background,Upper Secondary Level,"Yes, every 3-4 weeks",0.10613,49,488,0.07877,0.13348
2005,Direct migration background,Upper Secondary Level,"Yes, less frequently",0.25416,110,488,0.21549,0.29283
2005,Direct migration background,Post-secondary Non-tertiary Level,"No, never",0.36432,55,55,0.23596,0.49268
2005,Direct migration background,Second Stage of Tertiary Education,"No, never",0.41171,88,145,0.33133,0.49210
2005,Direct migration background,Second Stage of Tertiary Education,"Yes, less frequently",0.28515,57,145,0.21141,0.35889
2005,Indirect migration background,Lower Secondary Level,"No, never",0.50963,47,47,0.36516,0.65409
2005,Indirect migration background,Upper Secondary Level,"No, never",0.37607,91,193,0.30756,0.44459
2005,Indirect migration background,Upper Secondary Level,"Yes, every week",0.15090,34,193,0.10027,0.20154
2005,Indirect migration background,Upper Secondary Level,"Yes, every 2 weeks",0.16127,34,193,0.10925,0.21329
2005,Indirect migration background,Upper Secondary Level,"Yes, less frequently",0.18359,34,193,0.12883,0.23835
2007,No migration background,No answer / don't know,"No, never",0.54399,64,64,0.42100,0.66698
2007,No migration background,Lower Secondary Level,"No, never",0.38497,205,504,0.34245,0.42749
2007,No migration background,Lower Secondary Level,"Yes, every week",0.19744,90,504,0.16265,0.23223
2007,No migration background,Lower Secondary Level,"Yes, every 2 weeks",0.16093,77,504,0.12881,0.19304
2007,No migration background,Lower Secondary Level,"Yes, every 3-4 weeks",0.08934,43,504,0.06442,0.11427
2007,No migration background,Lower Secondary Level,"Yes, less frequently",0.16732,89,504,0.13470,0.19994
2007,No migration background,Upper Secondary Level,"No, never",0.35742,1810,4982,0.34411,0.37073
2007,No migration background,Upper Secondary Level,"Yes, every week",0.14408,715,4982,0.13432,0.15383
2007,No migration background,Upper Secondary Level,"Yes, every 2 weeks",0.16526,839,4982,0.15495,0.17558
2007,No migration background,Upper Secondary Level,"Yes, every 3-4 weeks",0.10547,487,4982,0.09694,0.11400
2007,No migration background,Upper Secondary Level,"Yes, less frequently",0.22777,1131,4982,0.21613,0.23942
