,Unnamed: 0,year,age_gr,pgisced97,plb0218_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2005,17-29 y.,Lower Secondary Level,"No, never",0.44915,187,10750,0.39167,0.511
1,1,2005,17-29 y.,Lower Secondary Level,"Yes, every week",0.1645,63,10750,0.13607,0.19893
2,2,2005,17-29 y.,Lower Secondary Level,"Yes, every 2 weeks",0.18688,71,10750,0.15543,0.21948
3,3,2005,17-29 y.,Lower Secondary Level,"Yes, every 3-4 weeks",0.06441,33,10750,0.04886,0.08402
4,4,2005,17-29 y.,Lower Secondary Level,"Yes, less frequently",0.13506,54,10750,0.10061,0.17813
5,5,2005,17-29 y.,Upper Secondary Level,"No, never",0.34896,367,10750,0.31774,0.38572
6,6,2005,17-29 y.,Upper Secondary Level,"Yes, every week",0.16634,154,10750,0.14106,0.18909
7,7,2005,17-29 y.,Upper Secondary Level,"Yes, every 2 weeks",0.17628,168,10750,0.15107,0.20008
8,8,2005,17-29 y.,Upper Secondary Level,"Yes, every 3-4 weeks",0.09634,91,10750,0.07466,0.11842
9,9,2005,17-29 y.,Upper Secondary Level,"Yes, less frequently",0.21208,204,10750,0.18687,0.2407
10,10,2005,17-29 y.,Post-secondary Non-tertiary Level,"No, never",0.53617,91,10750,0.42036,0.682
11,11,2005,17-29 y.,Post-secondary Non-tertiary Level,"Yes, every 2 weeks",0.23072,33,10750,0.16449,0.34035
12,12,2005,17-29 y.,Post-secondary Non-tertiary Level,"Yes, less frequently",0.23311,42,10750,0.16936,0.31757
13,13,2005,17-29 y.,Second Stage of Tertiary Education,"No, never",0.63264,78,10750,0.48861,0.78693
14,14,2005,17-29 y.,Second Stage of Tertiary Education,"Yes, less frequently",0.36736,36,10750,0.25029,0.50384
15,15,2005,30-45 y.,Lower Secondary Level,"No, never",0.42549,107,10750,0.37518,0.48782
16,16,2005,30-45 y.,Lower Secondary Level,"Yes, every week",0.19234,37,10750,0.14704,0.23723
17,17,2005,30-45 y.,Lower Secondary Level,"Yes, every 2 weeks",0.17092,36,10750,0.13508,0.21268
18,18,2005,30-45 y.,Lower Secondary Level,"Yes, less frequently",0.21125,46,10750,0.16601,0.2639
19,19,2005,30-45 y.,Upper Secondary Level,"No, never",0.33867,843,10750,0.32156,0.35895
20,20,2005,30-45 y.,Upper Secondary Level,"Yes, every week",0.15268,339,10750,0.14004,0.16591
21,21,2005,30-45 y.,Upper Secondary Level,"Yes, every 2 weeks",0.16519,394,10750,0.15207,0.17783
22,22,2005,30-45 y.,Upper Secondary Level,"Yes, every 3-4 weeks",0.10885,256,10750,0.09762,0.12002
23,23,2005,30-45 y.,Upper Secondary Level,"Yes, less frequently",0.2346,575,10750,0.2176,0.25073
24,24,2005,30-45 y.,Post-secondary Non-tertiary Level,"No, never",0.42943,172,10750,0.37924,0.47843
25,25,2005,30-45 y.,Post-secondary Non-tertiary Level,"Yes, every week",0.09908,35,10750,0.07367,0.11634
26,26,2005,30-45 y.,Post-secondary Non-tertiary Level,"Yes, every 2 weeks",0.11179,50,10750,0.08169,0.14609
27,27,2005,30-45 y.,Post-secondary Non-tertiary Level,"Yes, every 3-4 weeks",0.09426,37,10750,0.06908,0.12044
28,28,2005,30-45 y.,Post-secondary Non-tertiary Level,"Yes, less frequently",0.26543,105,10750,0.22984,0.3058
29,29,2005,30-45 y.,First Stage of Tertiary Education,"No, never",0.25057,140,10750,0.22085,0.29004
30,30,2005,30-45 y.,First Stage of Tertiary Education,"Yes, every week",0.14797,81,10750,0.11961,0.17516
31,31,2005,30-45 y.,First Stage of Tertiary Education,"Yes, every 2 weeks",0.16177,91,10750,0.13136,0.19022
32,32,2005,30-45 y.,First Stage of Tertiary Education,"Yes, every 3-4 weeks",0.11556,64,10750,0.09031,0.1386
33,33,2005,30-45 y.,First Stage of Tertiary Education,"Yes, less frequently",0.32414,163,10750,0.28012,0.36024
34,34,2005,30-45 y.,Second Stage of Tertiary Education,"No, never",0.32473,416,10750,0.29812,0.35873
35,35,2005,30-45 y.,Second Stage of Tertiary Education,"Yes, every week",0.133,141,10750,0.11389,0.15517
36,36,2005,30-45 y.,Second Stage of Tertiary Education,"Yes, every 2 weeks",0.11985,139,10750,0.1002,0.14066
37,37,2005,30-45 y.,Second Stage of Tertiary Education,"Yes, every 3-4 weeks",0.09294,113,10750,0.07667,0.11113
38,38,2005,30-45 y.,Second Stage of Tertiary Education,"Yes, less frequently",0.32949,400,10750,0.29602,0.36059
39,39,2005,46-65 y.,Lower Secondary Level,"No, never",0.64081,124,10750,0.55834,0.72515
40,40,2005,46-65 y.,Lower Secondary Level,"Yes, every 2 weeks",0.17461,31,10750,0.12087,0.23357
41,41,2005,46-65 y.,Lower Secondary Level,"Yes, less frequently",0.18458,37,10750,0.14161,0.24086
42,42,2005,46-65 y.,Upper Secondary Level,"No, never",0.4029,837,10750,0.38246,0.42634
43,43,2005,46-65 y.,Upper Secondary Level,"Yes, every week",0.13287,274,10750,0.12058,0.14486
44,44,2005,46-65 y.,Upper Secondary Level,"Yes, every 2 weeks",0.12999,276,10750,0.11904,0.14163
45,45,2005,46-65 y.,Upper Secondary Level,"Yes, every 3-4 weeks",0.09193,179,10750,0.08107,0.10227
46,46,2005,46-65 y.,Upper Secondary Level,"Yes, less frequently",0.24232,518,10750,0.22661,0.26145
47,47,2005,46-65 y.,Post-secondary Non-tertiary Level,"No, never",0.60822,70,10750,0.47985,0.72114
48,48,2005,46-65 y.,Post-secondary Non-tertiary Level,"Yes, less frequently",0.39178,43,10750,0.28509,0.51417
49,49,2005,46-65 y.,First Stage of Tertiary Education,"No, never",0.3467,146,10750,0.29391,0.39399
50,50,2005,46-65 y.,First Stage of Tertiary Education,"Yes, every week",0.14327,62,10750,0.10821,0.17541
51,51,2005,46-65 y.,First Stage of Tertiary Education,"Yes, every 2 weeks",0.18039,58,10750,0.14299,0.23339
52,52,2005,46-65 y.,First Stage of Tertiary Education,"Yes, every 3-4 weeks",0.06897,33,10750,0.05069,0.09552
53,53,2005,46-65 y.,First Stage of Tertiary Education,"Yes, less frequently",0.26067,114,10750,0.22097,0.31059
54,54,2005,46-65 y.,Second Stage of Tertiary Education,"No, never",0.32299,495,10750,0.29497,0.35783
55,55,2005,46-65 y.,Second Stage of Tertiary Education,"Yes, every week",0.16669,251,10750,0.14651,0.19416
56,56,2005,46-65 y.,Second Stage of Tertiary Education,"Yes, every 2 weeks",0.10139,139,10750,0.08362,0.11887
57,57,2005,46-65 y.,Second Stage of Tertiary Education,"Yes, every 3-4 weeks",0.07478,126,10750,0.06261,0.09143
58,58,2005,46-65 y.,Second Stage of Tertiary Education,"Yes, less frequently",0.33415,485,10750,0.30846,0.36399
59,59,2007,17-29 y.,Lower Secondary Level,"No, never",0.3888,142,10769,0.33161,0.44383
60,60,2007,17-29 y.,Lower Secondary Level,"Yes, every week",0.2068,63,10769,0.1706,0.24679
61,61,2007,17-29 y.,Lower Secondary Level,"Yes, every 2 weeks",0.17291,58,10769,0.13499,0.21309
62,62,2007,17-29 y.,Lower Secondary Level,"Yes, every 3-4 weeks",0.12152,35,10769,0.08505,0.15406
63,63,2007,17-29 y.,Lower Secondary Level,"Yes, less frequently",0.10997,46,10769,0.08836,0.13417
64,64,2007,17-29 y.,Upper Secondary Level,"No, never",0.37881,371,10769,0.3463,0.40954
65,65,2007,17-29 y.,Upper Secondary Level,"Yes, every week",0.15269,149,10769,0.12908,0.17684
66,66,2007,17-29 y.,Upper Secondary Level,"Yes, every 2 weeks",0.17419,180,10769,0.15348,0.19614
67,67,2007,17-29 y.,Upper Secondary Level,"Yes, every 3-4 weeks",0.09424,88,10769,0.07553,0.11436
68,68,2007,17-29 y.,Upper Secondary Level,"Yes, less frequently",0.20007,194,10769,0.17711,0.22592
69,69,2007,17-29 y.,Post-secondary Non-tertiary Level,"No, never",0.50513,75,10769,0.40718,0.61098
70,70,2007,17-29 y.,Post-secondary Non-tertiary Level,"Yes, every 2 weeks",0.14086,31,10769,0.09409,0.18785
71,71,2007,17-29 y.,Post-secondary Non-tertiary Level,"Yes, less frequently",0.35401,43,10769,0.27336,0.45016
72,72,2007,17-29 y.,Second Stage of Tertiary Education,"No, never",0.48113,77,10769,0.35515,0.59733
73,73,2007,17-29 y.,Second Stage of Tertiary Education,"Yes, every 2 weeks",0.2346,31,10769,0.13635,0.34358
74,74,2007,17-29 y.,Second Stage of Tertiary Education,"Yes, less frequently",0.28427,40,10769,0.21217,0.37865
75,75,2007,30-45 y.,Lower Secondary Level,"No, never",0.40311,77,10769,0.33132,0.50261
76,76,2007,30-45 y.,Lower Secondary Level,"Yes, every week",0.18281,36,10769,0.14223,0.2173
77,77,2007,30-45 y.,Lower Secondary Level,"Yes, every 2 weeks",0.19087,33,10769,0.14007,0.24914
78,78,2007,30-45 y.,Lower Secondary Level,"Yes, less frequently",0.2232,43,10769,0.16681,0.28375
79,79,2007,30-45 y.,Upper Secondary Level,"No, never",0.31705,774,10769,0.29942,0.33594
80,80,2007,30-45 y.,Upper Secondary Level,"Yes, every week",0.14889,339,10769,0.13371,0.16202
81,81,2007,30-45 y.,Upper Secondary Level,"Yes, every 2 weeks",0.18546,426,10769,0.16864,0.2014
82,82,2007,30-45 y.,Upper Secondary Level,"Yes, every 3-4 weeks",0.12086,255,10769,0.10703,0.13582
83,83,2007,30-45 y.,Upper Secondary Level,"Yes, less frequently",0.22774,522,10769,0.2114,0.24373
84,84,2007,30-45 y.,Post-secondary Non-tertiary Level,"No, never",0.39771,174,10769,0.35189,0.44808
85,85,2007,30-45 y.,Post-secondary Non-tertiary Level,"Yes, every week",0.08856,38,10769,0.06552,0.11167
86,86,2007,30-45 y.,Post-secondary Non-tertiary Level,"Yes, every 2 weeks",0.14299,58,10769,0.11491,0.18458
87,87,2007,30-45 y.,Post-secondary Non-tertiary Level,"Yes, every 3-4 weeks",0.10425,45,10769,0.07852,0.12736
88,88,2007,30-45 y.,Post-secondary Non-tertiary Level,"Yes, less frequently",0.26648,114,10769,0.22396,0.31065
89,89,2007,30-45 y.,First Stage of Tertiary Education,"No, never",0.28421,149,10769,0.24238,0.32796
90,90,2007,30-45 y.,First Stage of Tertiary Education,"Yes, every week",0.13022,76,10769,0.11183,0.1573
91,91,2007,30-45 y.,First Stage of Tertiary Education,"Yes, every 2 weeks",0.20691,95,10769,0.1691,0.25354
92,92,2007,30-45 y.,First Stage of Tertiary Education,"Yes, every 3-4 weeks",0.08496,49,10769,0.06571,0.10861
93,93,2007,30-45 y.,First Stage of Tertiary Education,"Yes, less frequently",0.2937,129,10769,0.24282,0.33932
94,94,2007,30-45 y.,Second Stage of Tertiary Education,"No, never",0.3151,415,10769,0.28954,0.34301
95,95,2007,30-45 y.,Second Stage of Tertiary Education,"Yes, every week",0.1185,146,10769,0.1033,0.13445
96,96,2007,30-45 y.,Second Stage of Tertiary Education,"Yes, every 2 weeks",0.12829,136,10769,0.10605,0.14794
97,97,2007,30-45 y.,Second Stage of Tertiary Education,"Yes, every 3-4 weeks",0.11803,125,10769,0.10295,0.1356
98,98,2007,30-45 y.,Second Stage of Tertiary Education,"Yes, less frequently",0.32008,406,10769,0.289,0.34728
99,99,2007,46-65 y.,Lower Secondary Level,"No, never",0.80161,112,10769,0.69561,0.9244
100,100,2007,46-65 y.,Lower Secondary Level,"Yes, less frequently",0.19839,33,10769,0.15591,0.25363
101,101,2007,46-65 y.,Upper Secondary Level,"No, never",0.40582,899,10769,0.38338,0.42656
102,102,2007,46-65 y.,Upper Secondary Level,"Yes, every week",0.13558,301,10769,0.12124,0.14843
103,103,2007,46-65 y.,Upper Secondary Level,"Yes, every 2 weeks",0.13934,330,10769,0.12609,0.15393
104,104,2007,46-65 y.,Upper Secondary Level,"Yes, every 3-4 weeks",0.09118,203,10769,0.08086,0.10096
105,105,2007,46-65 y.,Upper Secondary Level,"Yes, less frequently",0.22807,535,10769,0.21144,0.24484
106,106,2007,46-65 y.,Post-secondary Non-tertiary Level,"No, never",0.6545,75,10769,0.55257,0.79687
107,107,2007,46-65 y.,Post-secondary Non-tertiary Level,"Yes, less frequently",0.3455,42,10769,0.25954,0.47783
108,108,2007,46-65 y.,First Stage of Tertiary Education,"No, never",0.26576,138,10769,0.22892,0.30576
109,109,2007,46-65 y.,First Stage of Tertiary Education,"Yes, every week",0.16924,63,10769,0.13914,0.20906
110,110,2007,46-65 y.,First Stage of Tertiary Education,"Yes, every 2 weeks",0.17856,58,10769,0.13516,0.22779
111,111,2007,46-65 y.,First Stage of Tertiary Education,"Yes, every 3-4 weeks",0.08241,44,10769,0.05665,0.1102
112,112,2007,46-65 y.,First Stage of Tertiary Education,"Yes, less frequently",0.30403,117,10769,0.25631,0.35284
113,113,2007,46-65 y.,Second Stage of Tertiary Education,"No, never",0.29702,472,10769,0.26832,0.32182
114,114,2007,46-65 y.,Second Stage of Tertiary Education,"Yes, every week",0.18621,285,10769,0.16194,0.20741
115,115,2007,46-65 y.,Second Stage of Tertiary Education,"Yes, every 2 weeks",0.10393,147,10769,0.08756,0.12432
116,116,2007,46-65 y.,Second Stage of Tertiary Education,"Yes, every 3-4 weeks",0.08956,153,10769,0.0772,0.10366
117,117,2007,46-65 y.,Second Stage of Tertiary Education,"Yes, less frequently",0.32329,479,10769,0.29008,0.35899
118,118,2009,17-29 y.,Lower Secondary Level,"No, never",0.4141,125,9475,0.35015,0.47865
119,119,2009,17-29 y.,Lower Secondary Level,"Yes, every week",0.2092,39,9475,0.15562,0.28207
120,120,2009,17-29 y.,Lower Secondary Level,"Yes, every 2 weeks",0.21277,46,9475,0.16148,0.27945
121,121,2009,17-29 y.,Lower Secondary Level,"Yes, less frequently",0.16392,51,9475,0.13176,0.20728
122,122,2009,17-29 y.,Upper Secondary Level,"No, never",0.39808,314,9475,0.35542,0.45016
123,123,2009,17-29 y.,Upper Secondary Level,"Yes, every week",0.14617,119,9475,0.1165,0.17075
124,124,2009,17-29 y.,Upper Secondary Level,"Yes, every 2 weeks",0.1851,156,9475,0.15617,0.21715
125,125,2009,17-29 y.,Upper Secondary Level,"Yes, every 3-4 weeks",0.09226,71,9475,0.06993,0.11501
126,126,2009,17-29 y.,Upper Secondary Level,"Yes, less frequently",0.17839,157,9475,0.14473,0.20668
127,127,2009,17-29 y.,Post-secondary Non-tertiary Level,"No, never",0.5706,52,9475,0.40431,0.80426
128,128,2009,17-29 y.,Post-secondary Non-tertiary Level,"Yes, less frequently",0.4294,41,9475,0.27224,0.60487
129,129,2009,17-29 y.,Second Stage of Tertiary Education,"No, never",0.52309,81,9475,0.39212,0.67289
130,130,2009,17-29 y.,Second Stage of Tertiary Education,"Yes, every week",0.19018,31,9475,0.11405,0.30992
131,131,2009,17-29 y.,Second Stage of Tertiary Education,"Yes, less frequently",0.28673,50,9475,0.18526,0.39925
132,132,2009,30-45 y.,Lower Secondary Level,"No, never",0.48249,78,9475,0.40332,0.57687
133,133,2009,30-45 y.,Lower Secondary Level,"Yes, every week",0.20655,31,9475,0.15276,0.27136
134,134,2009,30-45 y.,Lower Secondary Level,"Yes, less frequently",0.31097,39,9475,0.21517,0.41552
135,135,2009,30-45 y.,Upper Secondary Level,"No, never",0.33141,654,9475,0.30765,0.35565
136,136,2009,30-45 y.,Upper Secondary Level,"Yes, every week",0.15257,272,9475,0.13444,0.16954
137,137,2009,30-45 y.,Upper Secondary Level,"Yes, every 2 weeks",0.17089,331,9475,0.15535,0.19265
138,138,2009,30-45 y.,Upper Secondary Level,"Yes, every 3-4 weeks",0.10284,187,9475,0.08956,0.12003
139,139,2009,30-45 y.,Upper Secondary Level,"Yes, less frequently",0.24229,461,9475,0.22258,0.26869
140,140,2009,30-45 y.,Post-secondary Non-tertiary Level,"No, never",0.41516,157,9475,0.35983,0.48491
141,141,2009,30-45 y.,Post-secondary Non-tertiary Level,"Yes, every week",0.09341,34,9475,0.0654,0.12096
142,142,2009,30-45 y.,Post-secondary Non-tertiary Level,"Yes, every 2 weeks",0.16011,45,9475,0.11458,0.21701
143,143,2009,30-45 y.,Post-secondary Non-tertiary Level,"Yes, every 3-4 weeks",0.06706,31,9475,0.04848,0.09211
144,144,2009,30-45 y.,Post-secondary Non-tertiary Level,"Yes, less frequently",0.26425,93,9475,0.22295,0.30612
145,145,2009,30-45 y.,First Stage of Tertiary Education,"No, never",0.28059,117,9475,0.21968,0.32622
146,146,2009,30-45 y.,First Stage of Tertiary Education,"Yes, every week",0.17485,65,9475,0.13755,0.21968
147,147,2009,30-45 y.,First Stage of Tertiary Education,"Yes, every 2 weeks",0.14761,61,9475,0.11537,0.1817
148,148,2009,30-45 y.,First Stage of Tertiary Education,"Yes, every 3-4 weeks",0.09167,38,9475,0.062,0.13256
149,149,2009,30-45 y.,First Stage of Tertiary Education,"Yes, less frequently",0.30528,106,9475,0.25824,0.35688
150,150,2009,30-45 y.,Second Stage of Tertiary Education,"No, never",0.33551,348,9475,0.30229,0.37106
151,151,2009,30-45 y.,Second Stage of Tertiary Education,"Yes, every week",0.10988,143,9475,0.09433,0.12935
152,152,2009,30-45 y.,Second Stage of Tertiary Education,"Yes, every 2 weeks",0.12133,107,9475,0.09801,0.14866
153,153,2009,30-45 y.,Second Stage of Tertiary Education,"Yes, every 3-4 weeks",0.11162,104,9475,0.0933,0.13115
154,154,2009,30-45 y.,Second Stage of Tertiary Education,"Yes, less frequently",0.32166,333,9475,0.28495,0.359
155,155,2009,46-65 y.,Lower Secondary Level,"No, never",1.0,88,9475,0.85014,1.16604
156,156,2009,46-65 y.,Upper Secondary Level,"No, never",0.3774,832,9475,0.35544,0.40127
157,157,2009,46-65 y.,Upper Secondary Level,"Yes, every week",0.13484,293,9475,0.12153,0.14839
158,158,2009,46-65 y.,Upper Secondary Level,"Yes, every 2 weeks",0.16529,332,9475,0.15028,0.17952
159,159,2009,46-65 y.,Upper Secondary Level,"Yes, every 3-4 weeks",0.08227,182,9475,0.07165,0.09221
160,160,2009,46-65 y.,Upper Secondary Level,"Yes, less frequently",0.24021,529,9475,0.22341,0.26013
161,161,2009,46-65 y.,Post-secondary Non-tertiary Level,"No, never",0.57362,83,9475,0.45568,0.69017
162,162,2009,46-65 y.,Post-secondary Non-tertiary Level,"Yes, every 2 weeks",0.18008,31,9475,0.12316,0.24157
163,163,2009,46-65 y.,Post-secondary Non-tertiary Level,"Yes, less frequently",0.2463,48,9475,0.17773,0.34854
164,164,2009,46-65 y.,First Stage of Tertiary Education,"No, never",0.32713,134,9475,0.26752,0.3816
165,165,2009,46-65 y.,First Stage of Tertiary Education,"Yes, every week",0.18025,67,9475,0.13616,0.22221
166,166,2009,46-65 y.,First Stage of Tertiary Education,"Yes, every 2 weeks",0.15524,64,9475,0.12544,0.18917
167,167,2009,46-65 y.,First Stage of Tertiary Education,"Yes, every 3-4 weeks",0.05617,31,9475,0.03665,0.08335
168,168,2009,46-65 y.,First Stage of Tertiary Education,"Yes, less frequently",0.28121,115,9475,0.22551,0.33336
169,169,2009,46-65 y.,Second Stage of Tertiary Education,"No, never",0.28283,425,9475,0.25602,0.31524
170,170,2009,46-65 y.,Second Stage of Tertiary Education,"Yes, every week",0.22496,282,9475,0.19552,0.2561
171,171,2009,46-65 y.,Second Stage of Tertiary Education,"Yes, every 2 weeks",0.09398,141,9475,0.07971,0.11014
172,172,2009,46-65 y.,Second Stage of Tertiary Education,"Yes, every 3-4 weeks",0.08286,141,9475,0.06913,0.09877
173,173,2009,46-65 y.,Second Stage of Tertiary Education,"Yes, less frequently",0.31537,424,9475,0.27725,0.35576
174,174,2009,66 and older,Upper Secondary Level,"No, never",1.0,33,9475,0.7318,1.28571
175,175,2009,66 and older,Second Stage of Tertiary Education,"No, never",1.0,32,9475,0.63379,1.38146
176,176,2011,17-29 y.,Lower Secondary Level,"No, never",0.36774,157,15856,0.31541,0.41422
177,177,2011,17-29 y.,Lower Secondary Level,"Yes, every week",0.16788,75,15856,0.13403,0.22227
178,178,2011,17-29 y.,Lower Secondary Level,"Yes, every 2 weeks",0.19525,78,15856,0.15298,0.26223
179,179,2011,17-29 y.,Lower Secondary Level,"Yes, every 3-4 weeks",0.0738,38,15856,0.04771,0.11379
180,180,2011,17-29 y.,Lower Secondary Level,"Yes, less frequently",0.19532,66,15856,0.14922,0.24378
181,181,2011,17-29 y.,Upper Secondary Level,"No, never",0.36555,381,15856,0.32375,0.41505
182,182,2011,17-29 y.,Upper Secondary Level,"Yes, every week",0.14489,144,15856,0.11587,0.17565
183,183,2011,17-29 y.,Upper Secondary Level,"Yes, every 2 weeks",0.20836,236,15856,0.18185,0.24205
184,184,2011,17-29 y.,Upper Secondary Level,"Yes, every 3-4 weeks",0.09504,98,15856,0.07581,0.12019
185,185,2011,17-29 y.,Upper Secondary Level,"Yes, less frequently",0.18616,200,15856,0.16278,0.22084
186,186,2011,17-29 y.,Post-secondary Non-tertiary Level,"No, never",0.51154,87,15856,0.38663,0.63626
187,187,2011,17-29 y.,Post-secondary Non-tertiary Level,"Yes, every 2 weeks",0.17775,34,15856,0.13153,0.23343
188,188,2011,17-29 y.,Post-secondary Non-tertiary Level,"Yes, less frequently",0.31072,32,15856,0.19109,0.46176
189,189,2011,17-29 y.,Second Stage of Tertiary Education,"No, never",0.55319,111,15856,0.4446,0.65979
190,190,2011,17-29 y.,Second Stage of Tertiary Education,"Yes, every week",0.14251,37,15856,0.10199,0.18802
191,191,2011,17-29 y.,Second Stage of Tertiary Education,"Yes, less frequently",0.30429,58,15856,0.23313,0.38557
192,192,2011,30-45 y.,Lower Secondary Level,"No, never",0.36812,168,15856,0.31295,0.43775
193,193,2011,30-45 y.,Lower Secondary Level,"Yes, every week",0.15466,67,15856,0.11158,0.20794
194,194,2011,30-45 y.,Lower Secondary Level,"Yes, every 2 weeks",0.20067,79,15856,0.16247,0.24212
195,195,2011,30-45 y.,Lower Secondary Level,"Yes, every 3-4 weeks",0.12389,46,15856,0.07648,0.18342
196,196,2011,30-45 y.,Lower Secondary Level,"Yes, less frequently",0.15266,68,15856,0.10741,0.21051
197,197,2011,30-45 y.,Upper Secondary Level,"No, never",0.36033,1322,15856,0.33217,0.38725
198,198,2011,30-45 y.,Upper Secondary Level,"Yes, every week",0.14016,509,15856,0.12287,0.15682
199,199,2011,30-45 y.,Upper Secondary Level,"Yes, every 2 weeks",0.17232,677,15856,0.15715,0.18961
200,200,2011,30-45 y.,Upper Secondary Level,"Yes, every 3-4 weeks",0.10734,363,15856,0.09447,0.12564
201,201,2011,30-45 y.,Upper Secondary Level,"Yes, less frequently",0.21984,779,15856,0.19795,0.24077
202,202,2011,30-45 y.,Post-secondary Non-tertiary Level,"No, never",0.40871,362,15856,0.34733,0.46338
203,203,2011,30-45 y.,Post-secondary Non-tertiary Level,"Yes, every week",0.11516,81,15856,0.08942,0.15524
204,204,2011,30-45 y.,Post-secondary Non-tertiary Level,"Yes, every 2 weeks",0.11948,107,15856,0.08898,0.1538
205,205,2011,30-45 y.,Post-secondary Non-tertiary Level,"Yes, every 3-4 weeks",0.08715,74,15856,0.05508,0.12575
206,206,2011,30-45 y.,Post-secondary Non-tertiary Level,"Yes, less frequently",0.26949,170,15856,0.22008,0.31982
207,207,2011,30-45 y.,First Stage of Tertiary Education,"No, never",0.26147,179,15856,0.21178,0.31622
208,208,2011,30-45 y.,First Stage of Tertiary Education,"Yes, every week",0.14816,76,15856,0.09918,0.19798
209,209,2011,30-45 y.,First Stage of Tertiary Education,"Yes, every 2 weeks",0.17195,99,15856,0.12733,0.21477
210,210,2011,30-45 y.,First Stage of Tertiary Education,"Yes, every 3-4 weeks",0.0818,55,15856,0.04821,0.12055
211,211,2011,30-45 y.,First Stage of Tertiary Education,"Yes, less frequently",0.33662,166,15856,0.26957,0.41982
212,212,2011,30-45 y.,Second Stage of Tertiary Education,"No, never",0.36437,776,15856,0.33203,0.39702
213,213,2011,30-45 y.,Second Stage of Tertiary Education,"Yes, every week",0.1111,257,15856,0.08877,0.13314
214,214,2011,30-45 y.,Second Stage of Tertiary Education,"Yes, every 2 weeks",0.1042,227,15856,0.08854,0.12296
215,215,2011,30-45 y.,Second Stage of Tertiary Education,"Yes, every 3-4 weeks",0.10183,212,15856,0.0825,0.12465
216,216,2011,30-45 y.,Second Stage of Tertiary Education,"Yes, less frequently",0.3185,620,15856,0.28285,0.354
217,217,2011,46-65 y.,Lower Secondary Level,"No, never",0.48995,147,15856,0.42708,0.56678
218,218,2011,46-65 y.,Lower Secondary Level,"Yes, every week",0.15276,48,15856,0.12637,0.18528
219,219,2011,46-65 y.,Lower Secondary Level,"Yes, every 2 weeks",0.20544,52,15856,0.1596,0.27627
220,220,2011,46-65 y.,Lower Secondary Level,"Yes, less frequently",0.15185,47,15856,0.11536,0.18903
221,221,2011,46-65 y.,Upper Secondary Level,"No, never",0.40173,1280,15856,0.37935,0.42113
222,222,2011,46-65 y.,Upper Secondary Level,"Yes, every week",0.13708,439,15856,0.12663,0.1516
223,223,2011,46-65 y.,Upper Secondary Level,"Yes, every 2 weeks",0.16901,527,15856,0.15589,0.1843
224,224,2011,46-65 y.,Upper Secondary Level,"Yes, every 3-4 weeks",0.08719,280,15856,0.0785,0.0982
225,225,2011,46-65 y.,Upper Secondary Level,"Yes, less frequently",0.20499,652,15856,0.1887,0.22063
226,226,2011,46-65 y.,Post-secondary Non-tertiary Level,"No, never",0.44751,188,15856,0.3719,0.52163
227,227,2011,46-65 y.,Post-secondary Non-tertiary Level,"Yes, every week",0.12039,45,15856,0.0919,0.15797
228,228,2011,46-65 y.,Post-secondary Non-tertiary Level,"Yes, every 2 weeks",0.14876,61,15856,0.11143,0.1892
229,229,2011,46-65 y.,Post-secondary Non-tertiary Level,"Yes, every 3-4 weeks",0.10222,37,15856,0.06272,0.14725
230,230,2011,46-65 y.,Post-secondary Non-tertiary Level,"Yes, less frequently",0.18112,98,15856,0.14621,0.2254
231,231,2011,46-65 y.,First Stage of Tertiary Education,"No, never",0.32595,203,15856,0.2811,0.37885
232,232,2011,46-65 y.,First Stage of Tertiary Education,"Yes, every week",0.15363,92,15856,0.1205,0.18909
233,233,2011,46-65 y.,First Stage of Tertiary Education,"Yes, every 2 weeks",0.12175,80,15856,0.09193,0.16111
234,234,2011,46-65 y.,First Stage of Tertiary Education,"Yes, every 3-4 weeks",0.10964,60,15856,0.08346,0.15232
235,235,2011,46-65 y.,First Stage of Tertiary Education,"Yes, less frequently",0.28904,167,15856,0.24768,0.33833
236,236,2011,46-65 y.,Second Stage of Tertiary Education,"No, never",0.30932,649,15856,0.28336,0.34064
237,237,2011,46-65 y.,Second Stage of Tertiary Education,"Yes, every week",0.21209,379,15856,0.18898,0.23419
238,238,2011,46-65 y.,Second Stage of Tertiary Education,"Yes, every 2 weeks",0.10628,213,15856,0.08865,0.12052
239,239,2011,46-65 y.,Second Stage of Tertiary Education,"Yes, every 3-4 weeks",0.08832,169,15856,0.07487,0.104
240,240,2011,46-65 y.,Second Stage of Tertiary Education,"Yes, less frequently",0.28399,538,15856,0.25749,0.31478
241,241,2011,66 and older,Upper Secondary Level,"No, never",1.0,34,15856,0.7744,1.24761
