year,quintil_oecd,plb0218_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2005,1st Quintile,"No, never",0.045515509701384085,398,11422,0.045447333779805255,0.045583685622962916
2005,1st Quintile,"Yes, every week",0.021785102624508338,182,11422,0.021737353675655994,0.021832851573360682
2005,1st Quintile,"Yes, every 2 weeks",0.021055169633980842,180,11422,0.021008209929506826,0.02110212933845486
2005,1st Quintile,"Yes, every 3-4 weeks",0.009144338425629252,79,11422,0.0091132034724435,0.009175473378815005
2005,1st Quintile,"Yes, less frequently",0.021429078133246113,200,11422,0.021381712344724656,0.02147644392176757
2005,2nd Quintile,"No, never",0.05684289102300491,581,11422,0.05676715596290052,0.0569186260831093
2005,2nd Quintile,"Yes, every week",0.022862483491272796,239,11422,0.022813595024122262,0.02291137195842333
2005,2nd Quintile,"Yes, every 2 weeks",0.025195614365229393,261,11422,0.025144353245605072,0.025246875484853715
2005,2nd Quintile,"Yes, every 3-4 weeks",0.016899344589010226,156,11422,0.016857184570026065,0.016941504607994387
2005,2nd Quintile,"Yes, less frequently",0.03517713914282387,366,11422,0.03511688028090809,0.03523739800473964
2005,3rd Quintile,"No, never",0.07513701027622548,781,11422,0.07505078540992362,0.07522323514252734
2005,3rd Quintile,"Yes, every week",0.029953150390813296,270,11422,0.02989739530578786,0.030008905475838732
2005,3rd Quintile,"Yes, every 2 weeks",0.03384410741766729,333,11422,0.03378496051458196,0.03390325432075261
2005,3rd Quintile,"Yes, every 3-4 weeks",0.018408130361235377,202,11422,0.018364162312641742,0.01845209840982901
2005,3rd Quintile,"Yes, less frequently",0.04983759035102649,489,11422,0.049766412591328586,0.04990876811072439
2005,4th Quintile,"No, never",0.09270625572805184,1045,11422,0.09261139305615061,0.09280111839995307
2005,4th Quintile,"Yes, every week",0.03236517631988337,329,11422,0.03230729191033946,0.032423060729427286
2005,4th Quintile,"Yes, every 2 weeks",0.03481303069895942,365,11422,0.03475307319902133,0.03487298819889751
2005,4th Quintile,"Yes, every 3-4 weeks",0.018981012652917004,230,11422,0.01893637870831735,0.019025646597516658
2005,4th Quintile,"Yes, less frequently",0.05993484373192285,672,11422,0.05985720372942545,0.06001248373442025
2005,5th Quintile,"No, never",0.09717853352675583,1471,11422,0.09708164932105776,0.0972754177324539
2005,5th Quintile,"Yes, every week",0.0407135596988427,582,11422,0.04064891832697562,0.040778201070709785
2005,5th Quintile,"Yes, every 2 weeks",0.031067320803130308,451,11422,0.031010570840884127,0.031124070765376488
2005,5th Quintile,"Yes, every 3-4 weeks",0.02713958509213389,377,11422,0.027086436257993455,0.027192733926274328
2005,5th Quintile,"Yes, less frequently",0.08201402182034512,1183,11422,0.08192427295789947,0.08210377068279076
2007,1st Quintile,"No, never",0.04835386326281007,446,11476,0.048284474796062925,0.048423251729557214
2007,1st Quintile,"Yes, every week",0.020358803871002605,177,11476,0.020313122029051733,0.020404485712953477
2007,1st Quintile,"Yes, every 2 weeks",0.020253812890944595,198,11476,0.02020824655104259,0.0202993792308466
2007,1st Quintile,"Yes, every 3-4 weeks",0.008955938007032586,90,11476,0.008925463549829937,0.008986412464235236
2007,1st Quintile,"Yes, less frequently",0.0223301094465306,200,11476,0.022282315212734275,0.022377903680326928
2007,2nd Quintile,"No, never",0.05930248608394299,599,11476,0.059226085723773914,0.05937888644411207
