year,bula_h,quintil_oecd,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Schleswig-Holstein,5th Quintile,"No, never",0.32909,55,105,0.23878,0.41940
2005,Schleswig-Holstein,5th Quintile,"Yes, less frequently",0.34705,50,105,0.25556,0.43854
2005,Lower Saxony,1st Quintile,"No, never",0.30809,35,35,0.15290,0.46329
2005,Lower Saxony,2nd Quintile,"No, never",0.31234,34,34,0.15422,0.47046
2005,Lower Saxony,3rd Quintile,"No, never",0.30315,49,92,0.20872,0.39759
2005,Lower Saxony,3rd Quintile,"Yes, less frequently",0.27106,43,92,0.17973,0.36239
2005,Lower Saxony,4th Quintile,"No, never",0.33912,88,244,0.27960,0.39865
2005,Lower Saxony,4th Quintile,"Yes, every week",0.15696,46,244,0.11122,0.20270
2005,Lower Saxony,4th Quintile,"Yes, every 2 weeks",0.19955,42,244,0.14930,0.24980
2005,Lower Saxony,4th Quintile,"Yes, less frequently",0.25951,68,244,0.20440,0.31463
2005,Lower Saxony,5th Quintile,"No, never",0.36420,125,344,0.31328,0.41513
2005,Lower Saxony,5th Quintile,"Yes, every week",0.16109,53,344,0.12218,0.19999
2005,Lower Saxony,5th Quintile,"Yes, every 2 weeks",0.08708,37,344,0.05724,0.11692
2005,Lower Saxony,5th Quintile,"Yes, every 3-4 weeks",0.09030,33,344,0.05997,0.12063
2005,Lower Saxony,5th Quintile,"Yes, less frequently",0.29733,96,344,0.24896,0.34570
2005,North Rhine-Westphalia,1st Quintile,"No, never",0.47075,98,207,0.40258,0.53891
2005,North Rhine-Westphalia,1st Quintile,"Yes, every week",0.15271,37,207,0.10359,0.20184
2005,North Rhine-Westphalia,1st Quintile,"Yes, every 2 weeks",0.13679,33,207,0.08987,0.18372
2005,North Rhine-Westphalia,1st Quintile,"Yes, less frequently",0.15837,39,207,0.10852,0.20823
2005,North Rhine-Westphalia,2nd Quintile,"No, never",0.36368,126,294,0.30860,0.41877
2005,North Rhine-Westphalia,2nd Quintile,"Yes, every week",0.12673,43,294,0.08863,0.16482
2005,North Rhine-Westphalia,2nd Quintile,"Yes, every 2 weeks",0.20102,61,294,0.15513,0.24691
2005,North Rhine-Westphalia,2nd Quintile,"Yes, less frequently",0.19908,64,294,0.15336,0.24480
2005,North Rhine-Westphalia,3rd Quintile,"No, never",0.42326,174,388,0.37404,0.47249
2005,North Rhine-Westphalia,3rd Quintile,"Yes, every week",0.11666,44,388,0.08468,0.14864
2005,North Rhine-Westphalia,3rd Quintile,"Yes, every 2 weeks",0.18017,60,388,0.14188,0.21846
2005,North Rhine-Westphalia,3rd Quintile,"Yes, every 3-4 weeks",0.09331,31,388,0.06433,0.12229
2005,North Rhine-Westphalia,3rd Quintile,"Yes, less frequently",0.18660,79,388,0.14778,0.22541
2005,North Rhine-Westphalia,4th Quintile,"No, never",0.38013,223,541,0.33918,0.42107
2005,North Rhine-Westphalia,4th Quintile,"Yes, every week",0.15821,68,541,0.12743,0.18899
2005,North Rhine-Westphalia,4th Quintile,"Yes, every 2 weeks",0.12235,70,541,0.09471,0.14999
2005,North Rhine-Westphalia,4th Quintile,"Yes, every 3-4 weeks",0.07444,42,541,0.05230,0.09658
2005,North Rhine-Westphalia,4th Quintile,"Yes, less frequently",0.26487,138,541,0.22765,0.30209
2005,North Rhine-Westphalia,5th Quintile,"No, never",0.35025,351,929,0.31956,0.38095
2005,North Rhine-Westphalia,5th Quintile,"Yes, every week",0.12583,120,929,0.10449,0.14717
2005,North Rhine-Westphalia,5th Quintile,"Yes, every 2 weeks",0.13442,114,929,0.11248,0.15637
2005,North Rhine-Westphalia,5th Quintile,"Yes, every 3-4 weeks",0.10506,79,929,0.08533,0.12479
2005,North Rhine-Westphalia,5th Quintile,"Yes, less frequently",0.28443,265,929,0.25540,0.31346
2005,Hesse,2nd Quintile,"No, never",0.40605,32,32,0.23317,0.57892
2005,Hesse,3rd Quintile,"No, never",0.43124,57,57,0.30152,0.56095
2005,Hesse,4th Quintile,"No, never",0.41769,74,130,0.33258,0.50280
2005,Hesse,4th Quintile,"Yes, less frequently",0.28371,56,130,0.20592,0.36150
2005,Hesse,5th Quintile,"No, never",0.26111,102,348,0.21490,0.30733
2005,Hesse,5th Quintile,"Yes, every week",0.18478,58,348,0.14394,0.22561
2005,Hesse,5th Quintile,"Yes, every 2 weeks",0.10089,34,348,0.06920,0.13259
2005,Hesse,5th Quintile,"Yes, every 3-4 weeks",0.10453,38,348,0.07234,0.13672
2005,Hesse,5th Quintile,"Yes, less frequently",0.34869,116,348,0.29854,0.39883
2005,"Rhineland-Palatinate, Saarland",1st Quintile,"No, never",0.47498,33,33,0.30196,0.64801
2005,"Rhineland-Palatinate, Saarland",2nd Quintile,"No, never",0.28935,33,33,0.13224,0.44647
2005,"Rhineland-Palatinate, Saarland",3rd Quintile,"No, never",0.42161,57,57,0.29227,0.55095
2005,"Rhineland-Palatinate, Saarland",4th Quintile,"No, never",0.37633,64,102,0.28184,0.47081
2005,"Rhineland-Palatinate, Saarland",4th Quintile,"Yes, less frequently",0.25400,38,102,0.16910,0.33889
2005,"Rhineland-Palatinate, Saarland",5th Quintile,"No, never",0.40746,81,171,0.33360,0.48132
2005,"Rhineland-Palatinate, Saarland",5th Quintile,"Yes, every week",0.24765,36,171,0.18276,0.31253
2005,"Rhineland-Palatinate, Saarland",5th Quintile,"Yes, less frequently",0.20795,54,171,0.14694,0.26896
2005,Baden-Wuerttemberg,1st Quintile,"No, never",0.37542,43,43,0.22897,0.52187
2005,Baden-Wuerttemberg,2nd Quintile,"No, never",0.34252,79,118,0.25653,0.42851
2005,Baden-Wuerttemberg,2nd Quintile,"Yes, less frequently",0.27158,39,118,0.19099,0.35218
2005,Baden-Wuerttemberg,3rd Quintile,"No, never",0.33376,93,185,0.26563,0.40190
2005,Baden-Wuerttemberg,3rd Quintile,"Yes, every 2 weeks",0.14909,33,185,0.09763,0.20056
2005,Baden-Wuerttemberg,3rd Quintile,"Yes, less frequently",0.29110,59,185,0.22546,0.35674
2005,Baden-Wuerttemberg,4th Quintile,"No, never",0.42420,153,354,0.37264,0.47575
2005,Baden-Wuerttemberg,4th Quintile,"Yes, every week",0.10460,37,354,0.07267,0.13652
2005,Baden-Wuerttemberg,4th Quintile,"Yes, every 2 weeks",0.16735,47,354,0.12841,0.20629
2005,Baden-Wuerttemberg,4th Quintile,"Yes, every 3-4 weeks",0.07950,33,354,0.05128,0.10771
2005,Baden-Wuerttemberg,4th Quintile,"Yes, less frequently",0.22436,84,354,0.18084,0.26788
2005,Baden-Wuerttemberg,5th Quintile,"No, never",0.40211,232,553,0.36121,0.44302
2005,Baden-Wuerttemberg,5th Quintile,"Yes, every week",0.09961,56,553,0.07463,0.12460
2005,Baden-Wuerttemberg,5th Quintile,"Yes, every 2 weeks",0.11003,52,553,0.08393,0.13614
2005,Baden-Wuerttemberg,5th Quintile,"Yes, every 3-4 weeks",0.10939,54,553,0.08335,0.13543
2005,Baden-Wuerttemberg,5th Quintile,"Yes, less frequently",0.27885,159,553,0.24144,0.31626
2005,Bavaria,1st Quintile,"No, never",0.30457,33,33,0.14511,0.46402
2005,Bavaria,2nd Quintile,"No, never",0.42784,96,143,0.34646,0.50922
2005,Bavaria,2nd Quintile,"Yes, less frequently",0.19656,47,143,0.13120,0.26193
2005,Bavaria,3rd Quintile,"No, never",0.47654,130,258,0.41548,0.53761
2005,Bavaria,3rd Quintile,"Yes, every week",0.12985,34,258,0.08876,0.17095
2005,Bavaria,3rd Quintile,"Yes, every 2 weeks",0.15461,39,258,0.11041,0.19881
2005,Bavaria,3rd Quintile,"Yes, less frequently",0.19913,55,258,0.15031,0.24796
2005,Bavaria,4th Quintile,"No, never",0.37590,161,414,0.32919,0.42261
2005,Bavaria,4th Quintile,"Yes, every week",0.14208,53,414,0.10841,0.17575
2005,Bavaria,4th Quintile,"Yes, every 2 weeks",0.13016,56,414,0.09771,0.16262
2005,Bavaria,4th Quintile,"Yes, every 3-4 weeks",0.08512,32,414,0.05820,0.11203
2005,Bavaria,4th Quintile,"Yes, less frequently",0.26674,112,414,0.22409,0.30939
2005,Bavaria,5th Quintile,"No, never",0.39636,291,729,0.36083,0.43190
2005,Bavaria,5th Quintile,"Yes, every week",0.13233,112,729,0.10772,0.15694
