year,pgisced97,regtyp,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Primary Level,Urban regions,"No, never",0.20353,33,33,0.06403,0.34303
2005,Lower Secondary Level,Urban regions,"No, never",0.17371,313,633,0.14417,0.20325
2005,Lower Secondary Level,Urban regions,"Yes, every week",0.06249,92,633,0.04362,0.08136
2005,Lower Secondary Level,Urban regions,"Yes, every 2 weeks",0.05463,89,633,0.03691,0.07235
2005,Lower Secondary Level,Urban regions,"Yes, every 3-4 weeks",0.02374,47,633,0.01187,0.03560
2005,Lower Secondary Level,Urban regions,"Yes, less frequently",0.05446,92,633,0.03677,0.07216
2005,Lower Secondary Level,Rural regions,"No, never",0.12520,113,250,0.08409,0.16630
2005,Lower Secondary Level,Rural regions,"Yes, every week",0.05893,41,250,0.02968,0.08818
2005,Lower Secondary Level,Rural regions,"Yes, every 2 weeks",0.06233,49,250,0.03230,0.09236
2005,Lower Secondary Level,Rural regions,"Yes, less frequently",0.05593,47,250,0.02739,0.08447
2005,Upper Secondary Level,Urban regions,"No, never",0.20148,1399,3524,0.18824,0.21473
2005,Upper Secondary Level,Urban regions,"Yes, every week",0.07443,470,3524,0.06576,0.08310
2005,Upper Secondary Level,Urban regions,"Yes, every 2 weeks",0.07576,502,3524,0.06703,0.08450
2005,Upper Secondary Level,Urban regions,"Yes, every 3-4 weeks",0.04961,306,3524,0.04244,0.05678
2005,Upper Secondary Level,Urban regions,"Yes, less frequently",0.12534,847,3524,0.11440,0.13627
2005,Upper Secondary Level,Rural regions,"No, never",0.17049,668,2002,0.15402,0.18697
2005,Upper Secondary Level,Rural regions,"Yes, every week",0.08729,316,2002,0.07492,0.09966
2005,Upper Secondary Level,Rural regions,"Yes, every 2 weeks",0.08757,338,2002,0.07519,0.09996
2005,Upper Secondary Level,Rural regions,"Yes, every 3-4 weeks",0.05620,221,2002,0.04611,0.06629
2005,Upper Secondary Level,Rural regions,"Yes, less frequently",0.11430,459,2002,0.10036,0.12824
2005,Post-secondary Non-tertiary Level,Urban regions,"No, never",0.30972,275,603,0.27278,0.34665
2005,Post-secondary Non-tertiary Level,Urban regions,"Yes, every week",0.07081,56,603,0.05032,0.09130
2005,Post-secondary Non-tertiary Level,Urban regions,"Yes, every 2 weeks",0.10453,88,603,0.08009,0.12897
2005,Post-secondary Non-tertiary Level,Urban regions,"Yes, every 3-4 weeks",0.05630,51,603,0.03789,0.07472
2005,Post-secondary Non-tertiary Level,Urban regions,"Yes, less frequently",0.14011,133,603,0.11238,0.16784
2005,Post-secondary Non-tertiary Level,Rural regions,"No, never",0.21693,60,116,0.14160,0.29226
2005,Post-secondary Non-tertiary Level,Rural regions,"Yes, less frequently",0.24256,56,116,0.16422,0.32090
2005,First Stage of Tertiary Education,Urban regions,"No, never",0.19239,217,658,0.16225,0.22253
2005,First Stage of Tertiary Education,Urban regions,"Yes, every week",0.07579,83,658,0.05555,0.09603
2005,First Stage of Tertiary Education,Urban regions,"Yes, every 2 weeks",0.11954,102,658,0.09473,0.14435
2005,First Stage of Tertiary Education,Urban regions,"Yes, every 3-4 weeks",0.05486,63,658,0.03745,0.07227
2005,First Stage of Tertiary Education,Urban regions,"Yes, less frequently",0.18749,193,658,0.15764,0.21733
2005,First Stage of Tertiary Education,Rural regions,"No, never",0.14922,91,360,0.11236,0.18607
2005,First Stage of Tertiary Education,Rural regions,"Yes, every week",0.12271,68,360,0.08877,0.15665
2005,First Stage of Tertiary Education,Rural regions,"Yes, every 2 weeks",0.08106,57,360,0.05283,0.10929
2005,First Stage of Tertiary Education,Rural regions,"Yes, every 3-4 weeks",0.06563,41,360,0.04002,0.09125
2005,First Stage of Tertiary Education,Rural regions,"Yes, less frequently",0.17455,103,360,0.13529,0.21382
2005,Second Stage of Tertiary Education,Urban regions,"No, never",0.22465,728,2094,0.20677,0.24253
2005,Second Stage of Tertiary Education,Urban regions,"Yes, every week",0.09250,292,2094,0.08008,0.10491
2005,Second Stage of Tertiary Education,Urban regions,"Yes, every 2 weeks",0.06953,202,2094,0.05863,0.08043
2005,Second Stage of Tertiary Education,Urban regions,"Yes, every 3-4 weeks",0.05651,195,2094,0.04662,0.06640
2005,Second Stage of Tertiary Education,Urban regions,"Yes, less frequently",0.22541,677,2094,0.20751,0.24331
2005,Second Stage of Tertiary Education,Rural regions,"No, never",0.21451,284,835,0.18665,0.24237
2005,Second Stage of Tertiary Education,Rural regions,"Yes, every week",0.10034,126,835,0.07995,0.12074
2005,Second Stage of Tertiary Education,Rural regions,"Yes, every 2 weeks",0.08660,104,835,0.06751,0.10569
2005,Second Stage of Tertiary Education,Rural regions,"Yes, every 3-4 weeks",0.05303,65,835,0.03782,0.06824
2005,Second Stage of Tertiary Education,Rural regions,"Yes, less frequently",0.18330,256,835,0.15704,0.20956
2007,Lower Secondary Level,Urban regions,"No, never",0.15202,228,516,0.12101,0.18303
2007,Lower Secondary Level,Urban regions,"Yes, every week",0.05974,85,516,0.03927,0.08021
2007,Lower Secondary Level,Urban regions,"Yes, every 2 weeks",0.05316,73,516,0.03379,0.07254
2007,Lower Secondary Level,Urban regions,"Yes, every 3-4 weeks",0.03068,45,516,0.01578,0.04557
2007,Lower Secondary Level,Urban regions,"Yes, less frequently",0.04452,85,516,0.02670,0.06233
2007,Lower Secondary Level,Rural regions,"No, never",0.13035,110,235,0.08721,0.17349
2007,Lower Secondary Level,Rural regions,"Yes, every week",0.05883,43,235,0.02868,0.08898
2007,Lower Secondary Level,Rural regions,"Yes, every 2 weeks",0.05302,43,235,0.02431,0.08173
2007,Lower Secondary Level,Rural regions,"Yes, less frequently",0.05634,39,235,0.02679,0.08588
2007,Upper Secondary Level,Urban regions,"No, never",0.20643,1399,3534,0.19309,0.21978
2007,Upper Secondary Level,Urban regions,"Yes, every week",0.07712,492,3534,0.06832,0.08592
2007,Upper Secondary Level,Urban regions,"Yes, every 2 weeks",0.07896,538,3534,0.07006,0.08785
2007,Upper Secondary Level,Urban regions,"Yes, every 3-4 weeks",0.05130,318,3534,0.04403,0.05858
2007,Upper Secondary Level,Urban regions,"Yes, less frequently",0.11829,787,3534,0.10764,0.12894
2007,Upper Secondary Level,Rural regions,"No, never",0.17637,671,2104,0.16008,0.19266
2007,Upper Secondary Level,Rural regions,"Yes, every week",0.08262,323,2104,0.07086,0.09439
2007,Upper Secondary Level,Rural regions,"Yes, every 2 weeks",0.10393,403,2104,0.09089,0.11698
2007,Upper Secondary Level,Rural regions,"Yes, every 3-4 weeks",0.06268,232,2104,0.05232,0.07304
2007,Upper Secondary Level,Rural regions,"Yes, less frequently",0.12163,475,2104,0.10766,0.13560
2007,Post-secondary Non-tertiary Level,Urban regions,"No, never",0.27697,258,605,0.24128,0.31266
2007,Post-secondary Non-tertiary Level,Urban regions,"Yes, every week",0.07416,65,605,0.05326,0.09506
2007,Post-secondary Non-tertiary Level,Urban regions,"Yes, every 2 weeks",0.09760,91,605,0.07393,0.12126
2007,Post-secondary Non-tertiary Level,Urban regions,"Yes, every 3-4 weeks",0.06377,61,605,0.04429,0.08326
2007,Post-secondary Non-tertiary Level,Urban regions,"Yes, less frequently",0.14864,130,605,0.12027,0.17701
2007,Post-secondary Non-tertiary Level,Rural regions,"No, never",0.23660,66,135,0.16464,0.30856
2007,Post-secondary Non-tertiary Level,Rural regions,"Yes, less frequently",0.24907,69,135,0.17585,0.32230
2007,First Stage of Tertiary Education,Urban regions,"No, never",0.20172,219,607,0.16977,0.23367
2007,First Stage of Tertiary Education,Urban regions,"Yes, every week",0.07723,80,607,0.05597,0.09848
2007,First Stage of Tertiary Education,Urban regions,"Yes, every 2 weeks",0.11740,94,607,0.09177,0.14303
2007,First Stage of Tertiary Education,Urban regions,"Yes, every 3-4 weeks",0.04910,59,607,0.03189,0.06630
2007,First Stage of Tertiary Education,Urban regions,"Yes, less frequently",0.17188,155,607,0.14184,0.20192
2007,First Stage of Tertiary Education,Rural regions,"No, never",0.11853,87,369,0.08550,0.15155
2007,First Stage of Tertiary Education,Rural regions,"Yes, every week",0.12643,74,369,0.09247,0.16038
2007,First Stage of Tertiary Education,Rural regions,"Yes, every 2 weeks",0.11018,66,369,0.07819,0.14217
2007,First Stage of Tertiary Education,Rural regions,"Yes, every 3-4 weeks",0.04851,38,369,0.02656,0.07046
2007,First Stage of Tertiary Education,Rural regions,"Yes, less frequently",0.17989,104,369,0.14065,0.21913
2007,Second Stage of Tertiary Education,Urban regions,"No, never",0.21436,713,2170,0.19709,0.23164
2007,Second Stage of Tertiary Education,Urban regions,"Yes, every week",0.10123,335,2170,0.08853,0.11392
2007,Second Stage of Tertiary Education,Urban regions,"Yes, every 2 weeks",0.08076,220,2170,0.06930,0.09223
2007,Second Stage of Tertiary Education,Urban regions,"Yes, every 3-4 weeks",0.06966,215,2170,0.05895,0.08037
2007,Second Stage of Tertiary Education,Urban regions,"Yes, less frequently",0.21527,687,2170,0.19797,0.23257
2007,Second Stage of Tertiary Education,Rural regions,"No, never",0.19963,276,855,0.17282,0.22644
2007,Second Stage of Tertiary Education,Rural regions,"Yes, every week",0.09829,131,855,0.07832,0.11826
2007,Second Stage of Tertiary Education,Rural regions,"Yes, every 2 weeks",0.08546,102,855,0.06671,0.10421
2007,Second Stage of Tertiary Education,Rural regions,"Yes, every 3-4 weeks",0.06402,84,855,0.04760,0.08044
2007,Second Stage of Tertiary Education,Rural regions,"Yes, less frequently",0.19917,262,855,0.17239,0.22596
2009,Lower Secondary Level,Urban regions,"No, never",0.15453,214,453,0.12121,0.18786
2009,Lower Secondary Level,Urban regions,"Yes, every week",0.05930,67,453,0.03752,0.08107
2009,Lower Secondary Level,Urban regions,"Yes, every 2 weeks",0.05730,66,453,0.03587,0.07872
2009,Lower Secondary Level,Urban regions,"Yes, every 3-4 weeks",0.03240,36,453,0.01608,0.04872
2009,Lower Secondary Level,Urban regions,"Yes, less frequently",0.05292,70,453,0.03228,0.07356
2009,Lower Secondary Level,Rural regions,"No, never",0.11912,83,162,0.06908,0.16915
2009,Lower Secondary Level,Rural regions,"Yes, every week",0.07438,36,162,0.03385,0.11491
2009,Lower Secondary Level,Rural regions,"Yes, less frequently",0.06273,43,162,0.02528,0.10019
2009,Upper Secondary Level,Urban regions,"No, never",0.20859,1218,3081,0.19424,0.22294
2009,Upper Secondary Level,Urban regions,"Yes, every week",0.08110,433,3081,0.07146,0.09074
2009,Upper Secondary Level,Urban regions,"Yes, every 2 weeks",0.09162,481,3081,0.08143,0.10181
2009,Upper Secondary Level,Urban regions,"Yes, every 3-4 weeks",0.04585,235,3081,0.03846,0.05324
2009,Upper Secondary Level,Urban regions,"Yes, less frequently",0.11959,714,3081,0.10813,0.13105
2009,Upper Secondary Level,Rural regions,"No, never",0.18619,616,1911,0.16873,0.20364
2009,Upper Secondary Level,Rural regions,"Yes, every week",0.07955,279,1911,0.06741,0.09168
2009,Upper Secondary Level,Rural regions,"Yes, every 2 weeks",0.09677,345,1911,0.08352,0.11003
2009,Upper Secondary Level,Rural regions,"Yes, every 3-4 weeks",0.05936,211,1911,0.04876,0.06995
2009,Upper Secondary Level,Rural regions,"Yes, less frequently",0.13774,460,1911,0.12229,0.15320
2009,Post-secondary Non-tertiary Level,Urban regions,"No, never",0.28479,214,525,0.24615,0.32344
2009,Post-secondary Non-tertiary Level,Urban regions,"Yes, every week",0.08408,62,525,0.06032,0.10785
2009,Post-secondary Non-tertiary Level,Urban regions,"Yes, every 2 weeks",0.09095,65,525,0.06633,0.11557
2009,Post-secondary Non-tertiary Level,Urban regions,"Yes, every 3-4 weeks",0.05867,48,525,0.03855,0.07879
2009,Post-secondary Non-tertiary Level,Urban regions,"Yes, less frequently",0.18002,136,525,0.14713,0.21292
2009,Post-secondary Non-tertiary Level,Rural regions,"No, never",0.31685,77,123,0.23429,0.39941
2009,Post-secondary Non-tertiary Level,Rural regions,"Yes, less frequently",0.17272,46,123,0.10565,0.23980
2009,First Stage of Tertiary Education,Urban regions,"No, never",0.20129,174,514,0.16659,0.23599
2009,First Stage of Tertiary Education,Urban regions,"Yes, every week",0.09632,70,514,0.07079,0.12185
2009,First Stage of Tertiary Education,Urban regions,"Yes, every 2 weeks",0.09417,78,514,0.06890,0.11945
