year,age_gr,bula_h,plb0218_v1,proportion,n,lower_confidence,upper_confidence
2005,30-45 J.,Nordrhein-Westfalen,1.0,0.035457888285764315,20698,0.03293841991544315,0.03797735665608548
2005,46-65 J.,Nordrhein-Westfalen,1.0,0.03414463316406934,20698,0.03167057927923356,0.03661868704890513
2005,30-45 J.,Bayern,1.0,0.025302048677989845,20698,0.023162585825952334,0.027441511530027357
2005,30-45 J.,Nordrhein-Westfalen,5.0,0.024776746629311855,20698,0.02265903879159963,0.02689445446702408
2005,46-65 J.,Bayern,1.0,0.023288390824724215,20698,0.021233707977780517,0.025343073671667913
2005,30-45 J.,Baden-Wuerttemberg,1.0,0.02232533706881457,20698,0.020312595238570666,0.024338078899058473
2005,46-65 J.,Nordrhein-Westfalen,5.0,0.021012081947119593,20698,0.01905812455610778,0.022966039338131405
2005,46-65 J.,Baden-Wuerttemberg,1.0,0.018910873752407634,20698,0.017055198786703925,0.020766548718111344
2005,30-45 J.,Bayern,5.0,0.01751006828926633,20698,0.01572316991282025,0.01929696666571241
2005,30-45 J.,Baden-Wuerttemberg,5.0,0.01497110838732271,20698,0.013316697643464355,0.016625519131181064
2005,46-65 J.,Bayern,5.0,0.014883558045876379,20698,0.013233918547488097,0.01653319754426466
2005,17-29 J.,Nordrhein-Westfalen,1.0,0.014358255997198388,20698,0.01273755734703373,0.01597895464736305
2005,30-45 J.,Nordrhein-Westfalen,3.0,0.013570302924181404,20698,0.011994072447287441,0.015146533401075368
2005,17-29 J.,Bayern,1.0,0.01278234985116442,20698,0.011251954331077951,0.01431274537125089
2005,46-65 J.,Baden-Wuerttemberg,5.0,0.012081947119593766,20698,0.010593543196114233,0.0135703510430733
2005,30-45 J.,Niedersachsen,1.0,0.011381544388023114,20698,0.009936414659874439,0.012826674116171789
2005,17-29 J.,Baden-Wuerttemberg,1.0,0.010768691997898792,20698,0.009362572325632099,0.012174811670165485
2005,30-45 J.,Nordrhein-Westfalen,2.0,0.010768691997898792,20698,0.009362572325632099,0.012174811670165485
2005,30-45 J.,Hessen,1.0,0.01068114165645246,20698,0.009280687614668109,0.012081595698236811
2005,46-65 J.,Niedersachsen,1.0,0.01068114165645246,20698,0.009280687614668109,0.012081595698236811
2005,30-45 J.,Niedersachsen,5.0,0.01015583960777447,20698,0.008789894618344578,0.01152178459720436
