,Unnamed: 0,year,migback,sex,plb0218_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2005,No migration background,male,"No, never",0.29153,1494,11302,0.2787,0.30489
1,1,2005,No migration background,male,"Yes, every week",0.15185,779,11302,0.14378,0.16084
2,2,2005,No migration background,male,"Yes, every 2 weeks",0.13703,678,11302,0.12842,0.14606
3,3,2005,No migration background,male,"Yes, every 3-4 weeks",0.10169,545,11302,0.09567,0.10962
4,4,2005,No migration background,male,"Yes, less frequently",0.3179,1676,11302,0.30506,0.33197
5,5,2005,No migration background,female,"No, never",0.44828,2073,11302,0.43198,0.46315
6,6,2005,No migration background,female,"Yes, every week",0.14806,601,11302,0.13814,0.15986
7,7,2005,No migration background,female,"Yes, every 2 weeks",0.15522,678,11302,0.14551,0.16429
8,8,2005,No migration background,female,"Yes, every 3-4 weeks",0.0748,340,11302,0.06681,0.08196
9,9,2005,No migration background,female,"Yes, less frequently",0.17365,892,11302,0.16345,0.18333
10,10,2005,Direct migration background,male,"No, never",0.33698,243,11302,0.2968,0.37469
11,11,2005,Direct migration background,male,"Yes, every week",0.15144,92,11302,0.12585,0.17775
12,12,2005,Direct migration background,male,"Yes, every 2 weeks",0.10987,71,11302,0.08552,0.1338
13,13,2005,Direct migration background,male,"Yes, every 3-4 weeks",0.11581,76,11302,0.09047,0.13805
14,14,2005,Direct migration background,male,"Yes, less frequently",0.2859,161,11302,0.25515,0.32311
15,15,2005,Direct migration background,female,"No, never",0.45931,268,11302,0.4228,0.50518
16,16,2005,Direct migration background,female,"Yes, every week",0.11072,59,11302,0.09453,0.13116
17,17,2005,Direct migration background,female,"Yes, every 2 weeks",0.19342,96,11302,0.15816,0.23789
18,18,2005,Direct migration background,female,"Yes, every 3-4 weeks",0.06897,41,11302,0.05264,0.09011
19,19,2005,Direct migration background,female,"Yes, less frequently",0.16759,94,11302,0.13792,0.1981
20,20,2005,Indirect migration background,male,"No, never",0.46381,90,11302,0.37627,0.56443
21,21,2005,Indirect migration background,male,"Yes, every week",0.22849,45,11302,0.1704,0.28251
22,22,2005,Indirect migration background,male,"Yes, less frequently",0.30771,62,11302,0.24929,0.37034
23,23,2005,Indirect migration background,female,"No, never",0.68283,108,11302,0.58484,0.82123
24,24,2005,Indirect migration background,female,"Yes, every 2 weeks",0.31717,40,11302,0.23232,0.40641
25,25,2007,No migration background,male,"No, never",0.28737,1479,11366,0.27598,0.29911
26,26,2007,No migration background,male,"Yes, every week",0.14773,818,11366,0.13892,0.15658
27,27,2007,No migration background,male,"Yes, every 2 weeks",0.15181,733,11366,0.14077,0.16229
28,28,2007,No migration background,male,"Yes, every 3-4 weeks",0.11603,591,11366,0.10691,0.12361
29,29,2007,No migration background,male,"Yes, less frequently",0.29706,1588,11366,0.28581,0.31352
30,30,2007,No migration background,female,"No, never",0.41985,2025,11366,0.40467,0.4381
31,31,2007,No migration background,female,"Yes, every week",0.14951,655,11366,0.13927,0.15963
32,32,2007,No migration background,female,"Yes, every 2 weeks",0.1549,712,11366,0.1438,0.16583
33,33,2007,No migration background,female,"Yes, every 3-4 weeks",0.07836,367,11366,0.07103,0.08593
34,34,2007,No migration background,female,"Yes, less frequently",0.19739,936,11366,0.18603,0.20837
35,35,2007,Direct migration background,male,"No, never",0.37898,206,11366,0.33378,0.42163
36,36,2007,Direct migration background,male,"Yes, every week",0.14921,80,11366,0.12515,0.17835
37,37,2007,Direct migration background,male,"Yes, every 2 weeks",0.15659,97,11366,0.13192,0.18484
38,38,2007,Direct migration background,male,"Yes, every 3-4 weeks",0.08766,64,11366,0.07113,0.10698
39,39,2007,Direct migration background,male,"Yes, less frequently",0.22757,131,11366,0.19802,0.26197
40,40,2007,Direct migration background,female,"No, never",0.4604,225,11366,0.40993,0.49803
41,41,2007,Direct migration background,female,"Yes, every week",0.10642,58,11366,0.08896,0.12653
