year,bula_h,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Schleswig-Holstein,"No, never",0.31750,117,356,0.26908,0.36593
2005,Schleswig-Holstein,"Yes, every week",0.19335,59,356,0.15227,0.23444
2005,Schleswig-Holstein,"Yes, every 2 weeks",0.08436,36,356,0.05545,0.11327
2005,Schleswig-Holstein,"Yes, every 3-4 weeks",0.12278,44,356,0.08864,0.15692
2005,Schleswig-Holstein,"Yes, less frequently",0.28200,100,356,0.23519,0.32881
2005,Hamburg,"No, never",0.44076,69,121,0.35193,0.52959
2005,Hamburg,"Yes, less frequently",0.33436,52,121,0.24995,0.41877
2005,Lower Saxony,"No, never",0.33001,331,979,0.30054,0.35948
2005,Lower Saxony,"Yes, every week",0.16682,157,979,0.14346,0.19019
2005,Lower Saxony,"Yes, every 2 weeks",0.13876,142,979,0.11710,0.16043
2005,Lower Saxony,"Yes, every 3-4 weeks",0.09663,97,979,0.07811,0.11515
2005,Lower Saxony,"Yes, less frequently",0.26777,252,979,0.24002,0.29553
2005,North Rhine-Westphalia,"No, never",0.38719,972,2405,0.36772,0.40667
2005,North Rhine-Westphalia,"Yes, every week",0.13493,312,2405,0.12127,0.14859
2005,North Rhine-Westphalia,"Yes, every 2 weeks",0.15103,338,2405,0.13671,0.16534
2005,North Rhine-Westphalia,"Yes, every 3-4 weeks",0.09365,198,2405,0.08200,0.10530
2005,North Rhine-Westphalia,"Yes, less frequently",0.23320,585,2405,0.21630,0.25010
2005,Hesse,"No, never",0.35933,289,831,0.32669,0.39197
2005,Hesse,"Yes, every week",0.16495,130,831,0.13970,0.19020
2005,Hesse,"Yes, every 2 weeks",0.11307,101,831,0.09153,0.13462
2005,Hesse,"Yes, every 3-4 weeks",0.08776,78,831,0.06851,0.10701
2005,Hesse,"Yes, less frequently",0.27488,233,831,0.24450,0.30525
2005,"Rhineland-Palatinate, Saarland","No, never",0.39436,268,673,0.35741,0.43131
2005,"Rhineland-Palatinate, Saarland","Yes, every week",0.19791,111,673,0.16779,0.22804
2005,"Rhineland-Palatinate, Saarland","Yes, every 2 weeks",0.14119,85,673,0.11487,0.16752
2005,"Rhineland-Palatinate, Saarland","Yes, every 3-4 weeks",0.06622,58,673,0.04742,0.08502
2005,"Rhineland-Palatinate, Saarland","Yes, less frequently",0.20031,151,673,0.17005,0.23057
2005,Baden-Wuerttemberg,"No, never",0.38430,600,1434,0.35911,0.40948
2005,Baden-Wuerttemberg,"Yes, every week",0.12138,172,1434,0.10448,0.13829
2005,Baden-Wuerttemberg,"Yes, every 2 weeks",0.14349,168,1434,0.12534,0.16164
2005,Baden-Wuerttemberg,"Yes, every 3-4 weeks",0.09218,133,1434,0.07721,0.10716
2005,Baden-Wuerttemberg,"Yes, less frequently",0.25864,361,1434,0.23597,0.28132
2005,Bavaria,"No, never",0.40473,711,1725,0.38156,0.42790
2005,Bavaria,"Yes, every week",0.14792,246,1725,0.13116,0.16468
2005,Bavaria,"Yes, every 2 weeks",0.12564,208,1725,0.10999,0.14128
2005,Bavaria,"Yes, every 3-4 weeks",0.08172,134,1725,0.06879,0.09465
2005,Bavaria,"Yes, less frequently",0.23999,426,1725,0.21983,0.26015
2005,Berlin,"No, never",0.37553,148,377,0.32658,0.42447
2005,Berlin,"Yes, every week",0.12823,51,377,0.09443,0.16202
2005,Berlin,"Yes, every 2 weeks",0.18929,65,377,0.14969,0.22889
2005,Berlin,"Yes, less frequently",0.25268,113,377,0.20875,0.29660
2005,Brandenburg,"No, never",0.31362,151,444,0.27041,0.35682
2005,Brandenburg,"Yes, every week",0.17585,71,444,0.14040,0.21131
2005,Brandenburg,"Yes, every 2 weeks",0.19759,76,444,0.16051,0.23467
