year,bula_h,migback,plb0218_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2005,Schleswig-Holstein,No migration background,"No, never",0.30728,101,10577,0.30648,0.30808
2005,Schleswig-Holstein,No migration background,"Yes, every week",0.19788,55,10577,0.19719,0.19857
2005,Schleswig-Holstein,No migration background,"Yes, every 2 weeks",0.08415,31,10577,0.08367,0.08463
2005,Schleswig-Holstein,No migration background,"Yes, every 3-4 weeks",0.11004,38,10577,0.10950,0.11058
2005,Schleswig-Holstein,No migration background,"Yes, less frequently",0.30065,96,10577,0.29986,0.30145
2005,Hamburg,No migration background,"No, never",0.56049,64,10577,0.55906,0.56192
2005,Hamburg,No migration background,"Yes, less frequently",0.43951,48,10577,0.43808,0.44094
2005,Lower Saxony,No migration background,"No, never",0.33198,285,10577,0.33144,0.33253
2005,Lower Saxony,No migration background,"Yes, every week",0.17731,140,10577,0.17687,0.17775
2005,Lower Saxony,No migration background,"Yes, every 2 weeks",0.13904,117,10577,0.13864,0.13944
2005,Lower Saxony,No migration background,"Yes, every 3-4 weeks",0.09302,78,10577,0.09268,0.09336
2005,Lower Saxony,No migration background,"Yes, less frequently",0.25864,217,10577,0.25814,0.25915
2005,Lower Saxony,Direct migration background,"No, never",0.48463,35,10577,0.48280,0.48646
2005,Lower Saxony,Direct migration background,"Yes, less frequently",0.51537,31,10577,0.51354,0.51720
2005,North Rhine-Westphalia,No migration background,"No, never",0.38249,771,10577,0.38211,0.38287
2005,North Rhine-Westphalia,No migration background,"Yes, every week",0.12844,235,10577,0.12818,0.12871
2005,North Rhine-Westphalia,No migration background,"Yes, every 2 weeks",0.15792,280,10577,0.15763,0.15820
2005,North Rhine-Westphalia,No migration background,"Yes, every 3-4 weeks",0.08788,153,10577,0.08766,0.08811
2005,North Rhine-Westphalia,No migration background,"Yes, less frequently",0.24326,497,10577,0.24293,0.24360
2005,North Rhine-Westphalia,Direct migration background,"No, never",0.42121,147,10577,0.42031,0.42211
2005,North Rhine-Westphalia,Direct migration background,"Yes, every week",0.16732,54,10577,0.16664,0.16800
2005,North Rhine-Westphalia,Direct migration background,"Yes, every 2 weeks",0.11257,43,10577,0.11199,0.11314
2005,North Rhine-Westphalia,Direct migration background,"Yes, every 3-4 weeks",0.10288,31,10577,0.10232,0.10343
2005,North Rhine-Westphalia,Direct migration background,"Yes, less frequently",0.19603,63,10577,0.19531,0.19675
2005,North Rhine-Westphalia,Indirect migration background,"No, never",1.00000,54,10577,1.00000,1.00000
2005,Hesse,No migration background,"No, never",0.34640,220,10577,0.34578,0.34703
2005,Hesse,No migration background,"Yes, every week",0.18189,112,10577,0.18139,0.18240
2005,Hesse,No migration background,"Yes, every 2 weeks",0.11247,75,10577,0.11206,0.11289
2005,Hesse,No migration background,"Yes, every 3-4 weeks",0.08328,62,10577,0.08292,0.08364
2005,Hesse,No migration background,"Yes, less frequently",0.27595,188,10577,0.27537,0.27654
2005,Hesse,Direct migration background,"No, never",0.59962,50,10577,0.59801,0.60123
2005,Hesse,Direct migration background,"Yes, less frequently",0.40038,31,10577,0.39877,0.40199
2005,"Rhineland-Palatinate, Saarland",No migration background,"No, never",0.37695,215,10577,0.37623,0.37766
2005,"Rhineland-Palatinate, Saarland",No migration background,"Yes, every week",0.21636,96,10577,0.21575,0.21697
2005,"Rhineland-Palatinate, Saarland",No migration background,"Yes, every 2 weeks",0.12458,66,10577,0.12409,0.12507
2005,"Rhineland-Palatinate, Saarland",No migration background,"Yes, every 3-4 weeks",0.05825,40,10577,0.05790,0.05859
2005,"Rhineland-Palatinate, Saarland",No migration background,"Yes, less frequently",0.22387,135,10577,0.22325,0.22448
2005,"Rhineland-Palatinate, Saarland",Direct migration background,"No, never",1.00000,42,10577,1.00000,1.00000
2005,Baden-Wuerttemberg,No migration background,"No, never",0.37545,429,10577,0.37495,0.37595
