year,migback,regtyp,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,No migration background,Urban regions,"No, never",0.37795,2412,6279,0.36596,0.38995
2005,No migration background,Urban regions,"Yes, every week",0.13866,829,6279,0.13011,0.14721
2005,No migration background,Urban regions,"Yes, every 2 weeks",0.13956,820,6279,0.13099,0.14814
2005,No migration background,Urban regions,"Yes, every 3-4 weeks",0.08429,536,6279,0.07742,0.09116
2005,No migration background,Urban regions,"Yes, less frequently",0.25953,1682,6279,0.24869,0.27038
2005,No migration background,Rural regions,"No, never",0.32711,1155,3476,0.31151,0.34271
2005,No migration background,Rural regions,"Yes, every week",0.17310,551,3476,0.16052,0.18568
2005,No migration background,Rural regions,"Yes, every 2 weeks",0.15615,536,3476,0.14408,0.16822
2005,No migration background,Rural regions,"Yes, every 3-4 weeks",0.10070,349,3476,0.09070,0.11071
2005,No migration background,Rural regions,"Yes, less frequently",0.24293,885,3476,0.22867,0.25719
2005,Direct migration background,Urban regions,"No, never",0.39852,437,1021,0.36848,0.42857
2005,Direct migration background,Urban regions,"Yes, every week",0.14151,135,1021,0.12012,0.16290
2005,Direct migration background,Urban regions,"Yes, every 2 weeks",0.14943,138,1021,0.12756,0.17131
2005,Direct migration background,Urban regions,"Yes, every 3-4 weeks",0.09281,100,1021,0.07500,0.11061
2005,Direct migration background,Urban regions,"Yes, less frequently",0.21773,211,1021,0.19240,0.24306
2005,Direct migration background,Rural regions,"No, never",0.37831,74,118,0.29043,0.46619
2005,Direct migration background,Rural regions,"Yes, less frequently",0.29190,44,118,0.20951,0.37428
2005,Indirect migration background,Urban regions,"No, never",0.40749,171,406,0.35964,0.45535
2005,Indirect migration background,Urban regions,"Yes, every week",0.15824,66,406,0.12270,0.19379
2005,Indirect migration background,Urban regions,"Yes, every 2 weeks",0.12885,53,406,0.09622,0.16148
2005,Indirect migration background,Urban regions,"Yes, every 3-4 weeks",0.11056,39,406,0.08002,0.14111
2005,Indirect migration background,Urban regions,"Yes, less frequently",0.19485,77,406,0.15628,0.23343
2007,No migration background,Urban regions,"No, never",0.36452,2356,6296,0.35263,0.37641
2007,No migration background,Urban regions,"Yes, every week",0.14365,902,6296,0.13499,0.15231
2007,No migration background,Urban regions,"Yes, every 2 weeks",0.14179,840,6296,0.13317,0.15041
2007,No migration background,Urban regions,"Yes, every 3-4 weeks",0.09638,585,6296,0.08909,0.10367
2007,No migration background,Urban regions,"Yes, less frequently",0.25365,1613,6296,0.24290,0.26440
2007,No migration background,Rural regions,"No, never",0.31136,1147,3607,0.29625,0.32647
2007,No migration background,Rural regions,"Yes, every week",0.15782,571,3607,0.14592,0.16972
2007,No migration background,Rural regions,"Yes, every 2 weeks",0.17478,605,3607,0.16239,0.18718
2007,No migration background,Rural regions,"Yes, every 3-4 weeks",0.10480,373,3607,0.09480,0.11480
2007,No migration background,Rural regions,"Yes, less frequently",0.25124,911,3607,0.23708,0.26540
2007,Direct migration background,Urban regions,"No, never",0.41329,356,887,0.38087,0.44572
2007,Direct migration background,Urban regions,"Yes, every week",0.13482,116,887,0.11233,0.15731
2007,Direct migration background,Urban regions,"Yes, every 2 weeks",0.16948,149,887,0.14477,0.19418
2007,Direct migration background,Urban regions,"Yes, every 3-4 weeks",0.07812,85,887,0.06045,0.09579
2007,Direct migration background,Urban regions,"Yes, less frequently",0.20429,181,887,0.17774,0.23084
2007,Direct migration background,Rural regions,"No, never",0.42809,75,156,0.35019,0.50599
2007,Direct migration background,Rural regions,"Yes, every 2 weeks",0.16925,37,156,0.11022,0.22828
2007,Direct migration background,Rural regions,"Yes, less frequently",0.21359,44,156,0.14907,0.27812
2007,Indirect migration background,Urban regions,"No, never",0.44255,187,419,0.39494,0.49017
2007,Indirect migration background,Urban regions,"Yes, every week",0.18392,65,419,0.14678,0.22106
2007,Indirect migration background,Urban regions,"Yes, every 2 weeks",0.13134,54,419,0.09896,0.16372
2007,Indirect migration background,Urban regions,"Yes, every 3-4 weeks",0.12579,43,419,0.09400,0.15758
2007,Indirect migration background,Urban regions,"Yes, less frequently",0.11640,70,419,0.08566,0.14714
2007,Indirect migration background,Rural regions,"No, never",0.32672,31,31,0.15888,0.49455
2009,No migration background,Urban regions,"No, never",0.35598,2043,5581,0.34342,0.36855
2009,No migration background,Urban regions,"Yes, every week",0.14706,808,5581,0.13777,0.15635
2009,No migration background,Urban regions,"Yes, every 2 weeks",0.14361,744,5581,0.13441,0.15282
2009,No migration background,Urban regions,"Yes, every 3-4 weeks",0.08889,496,5581,0.08142,0.09636
2009,No migration background,Urban regions,"Yes, less frequently",0.26445,1490,5581,0.25288,0.27602
2009,No migration background,Rural regions,"No, never",0.32697,1077,3273,0.31090,0.34305
2009,No migration background,Rural regions,"Yes, every week",0.15754,525,3273,0.14506,0.17002
2009,No migration background,Rural regions,"Yes, every 2 weeks",0.16277,513,3273,0.15012,0.17541
2009,No migration background,Rural regions,"Yes, every 3-4 weeks",0.09428,326,3273,0.08427,0.10429
2009,No migration background,Rural regions,"Yes, less frequently",0.25844,832,3273,0.24344,0.27344
2009,Direct migration background,Urban regions,"No, never",0.43731,302,724,0.40115,0.47347
2009,Direct migration background,Urban regions,"Yes, every week",0.17074,123,724,0.14331,0.19816
2009,Direct migration background,Urban regions,"Yes, every 2 weeks",0.14300,105,724,0.11748,0.16851
2009,Direct migration background,Urban regions,"Yes, every 3-4 weeks",0.07503,47,724,0.05582,0.09423
2009,Direct migration background,Urban regions,"Yes, less frequently",0.17393,147,724,0.14630,0.20156
