year,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,"No, never",0.16156,4276,11422,0.15481,0.16831
2005,"Yes, every week",0.06495,1602,11422,0.06043,0.06947
2005,"Yes, every 2 weeks",0.06420,1590,11422,0.05971,0.06870
2005,"Yes, every 3-4 weeks",0.03985,1044,11422,0.03626,0.04344
2005,"Yes, less frequently",0.10924,2910,11422,0.10351,0.11496
2007,"No, never",0.16153,4152,11476,0.15479,0.16826
2007,"Yes, every week",0.06686,1689,11476,0.06229,0.07143
2007,"Yes, every 2 weeks",0.06919,1690,11476,0.06454,0.07383
2007,"Yes, every 3-4 weeks",0.04443,1111,11476,0.04066,0.04820
2007,"Yes, less frequently",0.10875,2834,11476,0.10305,0.11444
2009,"No, never",0.16849,3677,10186,0.16122,0.17576
2009,"Yes, every week",0.07332,1560,10186,0.06826,0.07839
2009,"Yes, every 2 weeks",0.07002,1456,10186,0.06507,0.07498
2009,"Yes, every 3-4 weeks",0.04077,911,10186,0.03693,0.04461
2009,"Yes, less frequently",0.11622,2582,10186,0.10999,0.12244
2011,"No, never",0.17651,6313,16733,0.17073,0.18228
2011,"Yes, every week",0.07002,2431,16733,0.06615,0.07389
2011,"Yes, every 2 weeks",0.07300,2616,16733,0.06906,0.07695
2011,"Yes, every 3-4 weeks",0.04337,1552,16733,0.04028,0.04645
2011,"Yes, less frequently",0.10956,3821,16733,0.10483,0.11430
2013,"No, never",0.15932,5996,15517,0.15356,0.16508
2013,"Yes, every week",0.05839,2092,15517,0.05470,0.06208
2013,"Yes, every 2 weeks",0.06718,2411,15517,0.06324,0.07112
2013,"Yes, every 3-4 weeks",0.03897,1358,15517,0.03593,0.04202
2013,"Yes, less frequently",0.10719,3660,15517,0.10233,0.11206
2015,"No, never",0.18332,6049,15291,0.17719,0.18946
2015,"Yes, every week",0.06478,2068,15291,0.06088,0.06868
2015,"Yes, every 2 weeks",0.07664,2358,15291,0.07242,0.08085
2015,"Yes, every 3-4 weeks",0.04172,1304,15291,0.03855,0.04489
2015,"Yes, less frequently",0.11392,3512,15291,0.10888,0.11895
2017,"No, never",0.20861,7138,16756,0.20246,0.21477
2017,"Yes, every week",0.06572,2253,16756,0.06197,0.06947
2017,"Yes, every 2 weeks",0.07331,2499,16756,0.06936,0.07726
2017,"Yes, every 3-4 weeks",0.04498,1611,16756,0.04185,0.04812
2017,"Yes, less frequently",0.10400,3255,16756,0.09937,0.10862
2019,"No, never",0.21599,6967,16865,0.20978,0.22220
2019,"Yes, every week",0.06413,2427,16865,0.06044,0.06783
2019,"Yes, every 2 weeks",0.07342,2482,16865,0.06949,0.07736
2019,"Yes, every 3-4 weeks",0.04370,1511,16865,0.04061,0.04678
2019,"Yes, less frequently",0.10948,3478,16865,0.10476,0.11419
2021,"No, never",0.18751,4621,10560,0.18006,0.19495
2021,"Yes, every week",0.04862,1424,10560,0.04451,0.05272
2021,"Yes, every 2 weeks",0.05811,1533,10560,0.05365,0.06258
2021,"Yes, every 3-4 weeks",0.03554,874,10560,0.03201,0.03907
2021,"Yes, less frequently",0.08318,2108,10560,0.07791,0.08845
