,Unnamed: 0,year,pgisced97,quintil_oecd,plb0218_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2005,Lower Secondary Level,1st Quintile,"No, never",0.56677,87,10223,0.47448,0.6498
1,1,2005,Lower Secondary Level,1st Quintile,"Yes, every 2 weeks",0.22196,32,10223,0.16616,0.27361
2,2,2005,Lower Secondary Level,1st Quintile,"Yes, less frequently",0.21127,33,10223,0.14511,0.28368
3,3,2005,Lower Secondary Level,2nd Quintile,"No, never",0.67956,105,10223,0.56144,0.79903
4,4,2005,Lower Secondary Level,2nd Quintile,"Yes, every 2 weeks",0.32044,39,10223,0.24207,0.41662
5,5,2005,Lower Secondary Level,3rd Quintile,"No, never",0.60084,102,10223,0.52138,0.70067
6,6,2005,Lower Secondary Level,3rd Quintile,"Yes, every week",0.19943,31,10223,0.14951,0.26415
7,7,2005,Lower Secondary Level,3rd Quintile,"Yes, less frequently",0.19973,31,10223,0.14897,0.24896
8,8,2005,Lower Secondary Level,4th Quintile,"No, never",0.58485,82,10223,0.49233,0.71271
9,9,2005,Lower Secondary Level,4th Quintile,"Yes, every week",0.41515,32,10223,0.31976,0.52518
10,10,2005,Lower Secondary Level,5th Quintile,"No, never",1.0,50,10223,0.81851,1.21628
11,11,2005,Upper Secondary Level,1st Quintile,"No, never",0.33951,192,10223,0.29993,0.38446
12,12,2005,Upper Secondary Level,1st Quintile,"Yes, every week",0.20136,98,10223,0.16982,0.22874
13,13,2005,Upper Secondary Level,1st Quintile,"Yes, every 2 weeks",0.15216,99,10223,0.13167,0.17767
14,14,2005,Upper Secondary Level,1st Quintile,"Yes, every 3-4 weeks",0.09785,51,10223,0.07262,0.1241
15,15,2005,Upper Secondary Level,1st Quintile,"Yes, less frequently",0.20911,127,10223,0.17326,0.24163
16,16,2005,Upper Secondary Level,2nd Quintile,"No, never",0.35391,319,10223,0.32172,0.38535
17,17,2005,Upper Secondary Level,2nd Quintile,"Yes, every week",0.15552,143,10223,0.13726,0.17699
18,18,2005,Upper Secondary Level,2nd Quintile,"Yes, every 2 weeks",0.15917,159,10223,0.14093,0.17525
19,19,2005,Upper Secondary Level,2nd Quintile,"Yes, every 3-4 weeks",0.1205,107,10223,0.10363,0.13774
20,20,2005,Upper Secondary Level,2nd Quintile,"Yes, less frequently",0.2109,216,10223,0.18915,0.23849
21,21,2005,Upper Secondary Level,3rd Quintile,"No, never",0.35028,436,10223,0.32845,0.37424
