year,quintil_oecd,sex,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,1st Quintile,male,"No, never",0.09920,167,498,0.07292,0.12548
2005,1st Quintile,male,"Yes, every week",0.04854,81,498,0.02965,0.06744
2005,1st Quintile,male,"Yes, every 2 weeks",0.04186,75,498,0.02425,0.05947
2005,1st Quintile,male,"Yes, every 3-4 weeks",0.02928,51,498,0.01446,0.04410
2005,1st Quintile,male,"Yes, less frequently",0.06695,124,498,0.04497,0.08892
2005,1st Quintile,female,"No, never",0.10300,243,549,0.07755,0.12845
2005,1st Quintile,female,"Yes, every week",0.04755,100,549,0.02973,0.06536
2005,1st Quintile,female,"Yes, every 2 weeks",0.04807,106,549,0.03016,0.06598
2005,1st Quintile,female,"Yes, every 3-4 weeks",0.01365,32,549,0.00393,0.02336
2005,1st Quintile,female,"Yes, less frequently",0.02783,68,549,0.01406,0.04160
2005,2nd Quintile,male,"No, never",0.11769,251,840,0.09589,0.13950
2005,2nd Quintile,male,"Yes, every week",0.05313,117,840,0.03795,0.06830
2005,2nd Quintile,male,"Yes, every 2 weeks",0.05426,111,840,0.03893,0.06959
2005,2nd Quintile,male,"Yes, every 3-4 weeks",0.04903,100,840,0.03442,0.06364
2005,2nd Quintile,male,"Yes, less frequently",0.12956,261,840,0.10683,0.15228
2005,2nd Quintile,female,"No, never",0.12399,319,762,0.10058,0.14741
2005,2nd Quintile,female,"Yes, every week",0.04414,110,762,0.02955,0.05874
2005,2nd Quintile,female,"Yes, every 2 weeks",0.06281,152,762,0.04557,0.08005
2005,2nd Quintile,female,"Yes, every 3-4 weeks",0.03265,64,762,0.02002,0.04527
2005,2nd Quintile,female,"Yes, less frequently",0.04058,117,762,0.02656,0.05460
2005,3rd Quintile,male,"No, never",0.15245,343,1065,0.13085,0.17405
2005,3rd Quintile,male,"Yes, every week",0.07430,145,1065,0.05854,0.09006
2005,3rd Quintile,male,"Yes, every 2 weeks",0.08107,161,1065,0.06467,0.09748
2005,3rd Quintile,male,"Yes, every 3-4 weeks",0.04469,111,1065,0.03227,0.05710
2005,3rd Quintile,male,"Yes, less frequently",0.13876,305,1065,0.11798,0.15953
2005,3rd Quintile,female,"No, never",0.18304,437,980,0.15882,0.20727
2005,3rd Quintile,female,"Yes, every week",0.05710,127,980,0.04257,0.07164
2005,3rd Quintile,female,"Yes, every 2 weeks",0.06552,169,980,0.05002,0.08102
2005,3rd Quintile,female,"Yes, every 3-4 weeks",0.03080,86,980,0.01998,0.04162
