year,regtyp,sex,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Urban regions,male,"No, never",0.31244,1308,4113,0.29827,0.32660
2005,Urban regions,male,"Yes, every week",0.14772,597,4113,0.13688,0.15857
2005,Urban regions,male,"Yes, every 2 weeks",0.12939,500,4113,0.11913,0.13965
2005,Urban regions,male,"Yes, every 3-4 weeks",0.09886,418,4113,0.08973,0.10798
2005,Urban regions,male,"Yes, less frequently",0.31160,1290,4113,0.29744,0.32575
2005,Urban regions,female,"No, never",0.47014,1712,3593,0.45382,0.48646
2005,Urban regions,female,"Yes, every week",0.13058,433,3593,0.11956,0.14160
2005,Urban regions,female,"Yes, every 2 weeks",0.15442,511,3593,0.14260,0.16623
2005,Urban regions,female,"Yes, every 3-4 weeks",0.07206,257,3593,0.06360,0.08051
2005,Urban regions,female,"Yes, less frequently",0.17280,680,3593,0.16044,0.18517
2005,Rural regions,male,"No, never",0.27058,519,1954,0.25088,0.29028
2005,Rural regions,male,"Yes, every week",0.16493,319,1954,0.14847,0.18139
2005,Rural regions,male,"Yes, every 2 weeks",0.13871,276,1954,0.12338,0.15404
2005,Rural regions,male,"Yes, every 3-4 weeks",0.11695,231,1954,0.10269,0.13120
2005,Rural regions,male,"Yes, less frequently",0.30883,609,1954,0.28834,0.32932
2005,Rural regions,female,"No, never",0.40765,737,1762,0.38470,0.43060
2005,Rural regions,female,"Yes, every week",0.16519,253,1762,0.14784,0.18253
2005,Rural regions,female,"Yes, every 2 weeks",0.18255,303,1762,0.16451,0.20060
2005,Rural regions,female,"Yes, every 3-4 weeks",0.07722,138,1762,0.06475,0.08969
2005,Rural regions,female,"Yes, less frequently",0.16739,331,1762,0.14995,0.18482
2007,Urban regions,male,"No, never",0.31107,1245,4002,0.29672,0.32541
2007,Urban regions,male,"Yes, every week",0.15233,614,4002,0.14119,0.16346
2007,Urban regions,male,"Yes, every 2 weeks",0.14284,539,4002,0.13200,0.15368
2007,Urban regions,male,"Yes, every 3-4 weeks",0.11191,436,4002,0.10214,0.12168
2007,Urban regions,male,"Yes, less frequently",0.28185,1168,4002,0.26791,0.29579
2007,Urban regions,female,"No, never",0.45665,1654,3600,0.44038,0.47293
2007,Urban regions,female,"Yes, every week",0.13586,469,3600,0.12466,0.14705
2007,Urban regions,female,"Yes, every 2 weeks",0.14756,504,3600,0.13598,0.15915
2007,Urban regions,female,"Yes, every 3-4 weeks",0.07568,277,3600,0.06704,0.08432
2007,Urban regions,female,"Yes, less frequently",0.18425,696,3600,0.17159,0.19692
2007,Rural regions,male,"No, never",0.28049,539,2040,0.26099,0.29999
2007,Rural regions,male,"Yes, every week",0.15023,330,2040,0.13472,0.16574
2007,Rural regions,male,"Yes, every 2 weeks",0.16947,322,2040,0.15318,0.18575
2007,Rural regions,male,"Yes, every 3-4 weeks",0.11647,243,2040,0.10254,0.13039
2007,Rural regions,male,"Yes, less frequently",0.28334,606,2040,0.26378,0.30290
2007,Rural regions,female,"No, never",0.36961,714,1834,0.34751,0.39170
