year,pgisced97,sex,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,No answer / don't know,male,"No, never",0.37151,34,34,0.20664,0.53637
2005,No answer / don't know,female,"No, never",0.56262,36,36,0.39827,0.72697
2005,Lower Secondary Level,male,"No, never",0.41154,184,410,0.36385,0.45924
2005,Lower Secondary Level,male,"Yes, every week",0.18071,59,410,0.14342,0.21800
2005,Lower Secondary Level,male,"Yes, every 2 weeks",0.13388,54,410,0.10088,0.16688
2005,Lower Secondary Level,male,"Yes, every 3-4 weeks",0.08602,36,410,0.05884,0.11319
2005,Lower Secondary Level,male,"Yes, less frequently",0.18785,77,410,0.14999,0.22570
2005,Lower Secondary Level,female,"No, never",0.47079,242,496,0.42682,0.51476
2005,Lower Secondary Level,female,"Yes, every week",0.16348,74,496,0.13090,0.19606
2005,Lower Secondary Level,female,"Yes, every 2 weeks",0.18182,84,496,0.14784,0.21580
2005,Lower Secondary Level,female,"Yes, every 3-4 weeks",0.06056,34,496,0.03955,0.08158
2005,Lower Secondary Level,female,"Yes, less frequently",0.12334,62,496,0.09437,0.15231
2005,Upper Secondary Level,male,"No, never",0.29789,859,2905,0.28126,0.31453
2005,Upper Secondary Level,male,"Yes, every week",0.14597,422,2905,0.13313,0.15882
2005,Upper Secondary Level,male,"Yes, every 2 weeks",0.13640,398,2905,0.12391,0.14888
2005,Upper Secondary Level,male,"Yes, every 3-4 weeks",0.11431,328,2905,0.10274,0.12589
2005,Upper Secondary Level,male,"Yes, less frequently",0.30542,898,2905,0.28867,0.32218
2005,Upper Secondary Level,female,"No, never",0.44723,1208,2621,0.42819,0.46627
2005,Upper Secondary Level,female,"Yes, every week",0.15677,364,2621,0.14284,0.17069
2005,Upper Secondary Level,female,"Yes, every 2 weeks",0.17269,442,2621,0.15821,0.18716
2005,Upper Secondary Level,female,"Yes, every 3-4 weeks",0.08065,199,2621,0.07022,0.09108
2005,Upper Secondary Level,female,"Yes, less frequently",0.14267,408,2621,0.12927,0.15606
2005,Post-secondary Non-tertiary Level,male,"No, never",0.32038,107,344,0.27100,0.36976
2005,Post-secondary Non-tertiary Level,male,"Yes, every week",0.11374,40,344,0.08014,0.14735
2005,Post-secondary Non-tertiary Level,male,"Yes, every 2 weeks",0.16913,59,344,0.12946,0.20881
2005,Post-secondary Non-tertiary Level,male,"Yes, every 3-4 weeks",0.07626,36,344,0.04817,0.10434
2005,Post-secondary Non-tertiary Level,male,"Yes, less frequently",0.32048,102,344,0.27110,0.36987
2005,Post-secondary Non-tertiary Level,female,"No, never",0.53894,228,398,0.48990,0.58797
2005,Post-secondary Non-tertiary Level,female,"Yes, every 2 weeks",0.11191,50,398,0.08090,0.14292
2005,Post-secondary Non-tertiary Level,female,"Yes, every 3-4 weeks",0.08277,33,398,0.05567,0.10987
2005,Post-secondary Non-tertiary Level,female,"Yes, less frequently",0.18066,87,398,0.14282,0.21851
2005,First Stage of Tertiary Education,male,"No, never",0.24858,150,609,0.21422,0.28293
2005,First Stage of Tertiary Education,male,"Yes, every week",0.16273,106,609,0.13339,0.19207
2005,First Stage of Tertiary Education,male,"Yes, every 2 weeks",0.14476,80,609,0.11679,0.17273
2005,First Stage of Tertiary Education,male,"Yes, every 3-4 weeks",0.08836,61,609,0.06580,0.11092
2005,First Stage of Tertiary Education,male,"Yes, less frequently",0.35557,212,609,0.31752,0.39362
2005,First Stage of Tertiary Education,female,"No, never",0.35456,158,409,0.30814,0.40098
2005,First Stage of Tertiary Education,female,"Yes, every week",0.12356,45,409,0.09163,0.15550
2005,First Stage of Tertiary Education,female,"Yes, every 2 weeks",0.21965,79,409,0.17948,0.25982
2005,First Stage of Tertiary Education,female,"Yes, every 3-4 weeks",0.10527,43,409,0.07549,0.13505
2005,First Stage of Tertiary Education,female,"Yes, less frequently",0.19695,84,409,0.15836,0.23554
2005,Second Stage of Tertiary Education,male,"No, never",0.26649,462,1653,0.24517,0.28781
2005,Second Stage of Tertiary Education,male,"Yes, every week",0.16172,267,1653,0.14396,0.17948
2005,Second Stage of Tertiary Education,male,"Yes, every 2 weeks",0.10591,170,1653,0.09107,0.12075
2005,Second Stage of Tertiary Education,male,"Yes, every 3-4 weeks",0.10984,179,1653,0.09476,0.12492
2005,Second Stage of Tertiary Education,male,"Yes, less frequently",0.35604,575,1653,0.33295,0.37913
2005,Second Stage of Tertiary Education,female,"No, never",0.43629,550,1276,0.40907,0.46352
2005,Second Stage of Tertiary Education,female,"Yes, every week",0.11646,151,1276,0.09885,0.13407
2005,Second Stage of Tertiary Education,female,"Yes, every 2 weeks",0.12094,136,1276,0.10305,0.13884
2005,Second Stage of Tertiary Education,female,"Yes, every 3-4 weeks",0.04721,81,1276,0.03557,0.05885
2005,Second Stage of Tertiary Education,female,"Yes, less frequently",0.27909,358,1276,0.25447,0.30371
2007,No answer / don't know,male,"No, never",0.44080,43,43,0.29064,0.59095
2007,No answer / don't know,female,"No, never",0.64292,42,42,0.49625,0.78958
2007,Lower Secondary Level,male,"No, never",0.42212,160,379,0.37233,0.47191
2007,Lower Secondary Level,male,"Yes, every week",0.16762,60,379,0.12996,0.20528
2007,Lower Secondary Level,male,"Yes, every 2 weeks",0.16075,58,379,0.12372,0.19778
2007,Lower Secondary Level,male,"Yes, every 3-4 weeks",0.10650,37,379,0.07541,0.13760
2007,Lower Secondary Level,male,"Yes, less frequently",0.14301,64,379,0.10772,0.17830
2007,Lower Secondary Level,female,"No, never",0.43884,178,364,0.38779,0.48989
2007,Lower Secondary Level,female,"Yes, every week",0.18543,68,364,0.14545,0.22541
2007,Lower Secondary Level,female,"Yes, every 2 weeks",0.15419,58,364,0.11704,0.19135
2007,Lower Secondary Level,female,"Yes, less frequently",0.14353,60,364,0.10746,0.17960
2007,Upper Secondary Level,male,"No, never",0.31110,885,2943,0.29437,0.32783
2007,Upper Secondary Level,male,"Yes, every week",0.13981,416,2943,0.12728,0.15234
2007,Upper Secondary Level,male,"Yes, every 2 weeks",0.15583,467,2943,0.14272,0.16893
2007,Upper Secondary Level,male,"Yes, every 3-4 weeks",0.12251,351,2943,0.11066,0.13436
2007,Upper Secondary Level,male,"Yes, less frequently",0.27075,824,2943,0.25469,0.28681
2007,Upper Secondary Level,female,"No, never",0.43068,1185,2695,0.41198,0.44937
2007,Upper Secondary Level,female,"Yes, every week",0.15611,399,2695,0.14240,0.16981
2007,Upper Secondary Level,female,"Yes, every 2 weeks",0.17236,474,2695,0.15810,0.18662
2007,Upper Secondary Level,female,"Yes, every 3-4 weeks",0.07858,199,2695,0.06842,0.08874
2007,Upper Secondary Level,female,"Yes, less frequently",0.16228,438,2695,0.14836,0.17620
2007,Post-secondary Non-tertiary Level,male,"No, never",0.29958,108,347,0.25131,0.34784
2007,Post-secondary Non-tertiary Level,male,"Yes, every week",0.14699,52,347,0.10968,0.18430
2007,Post-secondary Non-tertiary Level,male,"Yes, every 2 weeks",0.14391,47,347,0.10692,0.18089
2007,Post-secondary Non-tertiary Level,male,"Yes, every 3-4 weeks",0.10753,38,347,0.07489,0.14018
2007,Post-secondary Non-tertiary Level,male,"Yes, less frequently",0.30200,102,347,0.25362,0.35038
2007,Post-secondary Non-tertiary Level,female,"No, never",0.47173,216,464,0.42626,0.51720
2007,Post-secondary Non-tertiary Level,female,"Yes, every week",0.08922,40,464,0.06325,0.11518
2007,Post-secondary Non-tertiary Level,female,"Yes, every 2 weeks",0.13898,69,464,0.10747,0.17049
2007,Post-secondary Non-tertiary Level,female,"Yes, every 3-4 weeks",0.08489,42,464,0.05950,0.11027
2007,Post-secondary Non-tertiary Level,female,"Yes, less frequently",0.21518,97,464,0.17775,0.25262
2007,First Stage of Tertiary Education,male,"No, never",0.21153,131,575,0.17812,0.24495
