,Unnamed: 0,year,age_gr,sampreg,plb0218_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2005,17-29 y.,West,"No, never",0.3991,646,11361,0.37457,0.42382
1,1,2005,17-29 y.,West,"Yes, every week",0.1678,245,11361,0.15067,0.18667
2,2,2005,17-29 y.,West,"Yes, every 2 weeks",0.16354,225,11361,0.14453,0.1834
3,3,2005,17-29 y.,West,"Yes, every 3-4 weeks",0.07664,116,11361,0.0644,0.09261
4,4,2005,17-29 y.,West,"Yes, less frequently",0.19292,284,11361,0.17027,0.21858
5,5,2005,17-29 y.,East,"No, never",0.38562,191,11361,0.33627,0.44137
6,6,2005,17-29 y.,East,"Yes, every week",0.09621,50,11361,0.06867,0.11881
7,7,2005,17-29 y.,East,"Yes, every 2 weeks",0.22988,106,11361,0.19125,0.26776
8,8,2005,17-29 y.,East,"Yes, every 3-4 weeks",0.08364,51,11361,0.06324,0.11752
9,9,2005,17-29 y.,East,"Yes, less frequently",0.20464,100,11361,0.1645,0.25436
10,10,2005,30-45 y.,West,"No, never",0.35068,1421,11361,0.33427,0.36826
11,11,2005,30-45 y.,West,"Yes, every week",0.14296,501,11361,0.13163,0.15516
12,12,2005,30-45 y.,West,"Yes, every 2 weeks",0.13767,518,11361,0.12785,0.14807
13,13,2005,30-45 y.,West,"Yes, every 3-4 weeks",0.09966,381,11361,0.09225,0.10787
14,14,2005,30-45 y.,West,"Yes, less frequently",0.26903,1029,11361,0.25575,0.28292
15,15,2005,30-45 y.,East,"No, never",0.26226,274,11361,0.23629,0.29029
16,16,2005,30-45 y.,East,"Yes, every week",0.14897,137,11361,0.12759,0.17626
17,17,2005,30-45 y.,East,"Yes, every 2 weeks",0.22341,199,11361,0.19801,0.25156
18,18,2005,30-45 y.,East,"Yes, every 3-4 weeks",0.12603,116,11361,0.10528,0.14492
19,19,2005,30-45 y.,East,"Yes, less frequently",0.23934,270,11361,0.2166,0.26839
20,20,2005,46-65 y.,West,"No, never",0.40404,1355,11361,0.38508,0.42184
21,21,2005,46-65 y.,West,"Yes, every week",0.13835,471,11361,0.12692,0.14926
22,22,2005,46-65 y.,West,"Yes, every 2 weeks",0.11854,377,11361,0.1078,0.12927
23,23,2005,46-65 y.,West,"Yes, every 3-4 weeks",0.08087,270,11361,0.06971,0.09101
24,24,2005,46-65 y.,West,"Yes, less frequently",0.2582,904,11361,0.24437,0.27565
25,25,2005,46-65 y.,East,"No, never",0.30749,333,11361,0.283,0.33505
26,26,2005,46-65 y.,East,"Yes, every week",0.16015,163,11361,0.13783,0.18711
27,27,2005,46-65 y.,East,"Yes, every 2 weeks",0.17172,156,11361,0.14814,0.19422
28,28,2005,46-65 y.,East,"Yes, every 3-4 weeks",0.09002,100,11361,0.0763,0.10444
29,29,2005,46-65 y.,East,"Yes, less frequently",0.27062,299,11361,0.24113,0.29769
30,30,2005,66 and older,West,"No, never",0.53578,42,11361,0.39576,0.67712
31,31,2005,66 and older,West,"Yes, every week",0.46422,31,11361,0.36508,0.59262
32,32,2007,17-29 y.,West,"No, never",0.40504,583,11428,0.37489,0.43744
33,33,2007,17-29 y.,West,"Yes, every week",0.1634,225,11428,0.14752,0.18116
34,34,2007,17-29 y.,West,"Yes, every 2 weeks",0.16574,243,11428,0.14638,0.18677
35,35,2007,17-29 y.,West,"Yes, every 3-4 weeks",0.09031,127,11428,0.07714,0.10388
36,36,2007,17-29 y.,West,"Yes, less frequently",0.17551,270,11428,0.15588,0.19459
37,37,2007,17-29 y.,East,"No, never",0.38194,193,11428,0.33542,0.44009
38,38,2007,17-29 y.,East,"Yes, every week",0.14781,70,11428,0.10928,0.18794
39,39,2007,17-29 y.,East,"Yes, every 2 weeks",0.17127,92,11428,0.13991,0.20953
40,40,2007,17-29 y.,East,"Yes, every 3-4 weeks",0.08631,42,11428,0.06384,0.11695
41,41,2007,17-29 y.,East,"Yes, less frequently",0.21267,95,11428,0.17732,0.24961
42,42,2007,30-45 y.,West,"No, never",0.33574,1329,11428,0.32186,0.35103
43,43,2007,30-45 y.,West,"Yes, every week",0.13357,501,11428,0.12321,0.14239
44,44,2007,30-45 y.,West,"Yes, every 2 weeks",0.15696,539,11428,0.14302,0.16819
45,45,2007,30-45 y.,West,"Yes, every 3-4 weeks",0.11426,386,11428,0.10357,0.12731
46,46,2007,30-45 y.,West,"Yes, less frequently",0.25949,946,11428,0.24457,0.27277
47,47,2007,30-45 y.,East,"No, never",0.25965,271,11428,0.23104,0.2881
48,48,2007,30-45 y.,East,"Yes, every week",0.1471,140,11428,0.12543,0.17697
49,49,2007,30-45 y.,East,"Yes, every 2 weeks",0.22894,214,11428,0.20322,0.25936
50,50,2007,30-45 y.,East,"Yes, every 3-4 weeks",0.10836,112,11428,0.09201,0.12437
51,51,2007,30-45 y.,East,"Yes, less frequently",0.25594,274,11428,0.22636,0.2925
52,52,2007,46-65 y.,West,"No, never",0.3924,1385,11428,0.37587,0.41156
53,53,2007,46-65 y.,West,"Yes, every week",0.15212,540,11428,0.14036,0.1635
54,54,2007,46-65 y.,West,"Yes, every 2 weeks",0.12186,401,11428,0.10851,0.13033
55,55,2007,46-65 y.,West,"Yes, every 3-4 weeks",0.08539,324,11428,0.07806,0.09414
56,56,2007,46-65 y.,West,"Yes, less frequently",0.24823,899,11428,0.23403,0.26126
57,57,2007,46-65 y.,East,"No, never",0.29732,328,11428,0.27057,0.32925
58,58,2007,46-65 y.,East,"Yes, every week",0.14813,166,11428,0.12978,0.17117
59,59,2007,46-65 y.,East,"Yes, every 2 weeks",0.18713,188,11428,0.16098,0.21211
60,60,2007,46-65 y.,East,"Yes, every 3-4 weeks",0.10041,108,11428,0.0852,0.12302
61,61,2007,46-65 y.,East,"Yes, less frequently",0.26701,310,11428,0.23529,0.29455
62,62,2007,66 and older,West,"No, never",0.44102,50,11428,0.34518,0.52692
63,63,2007,66 and older,West,"Yes, every week",0.3236,43,11428,0.25592,0.40394
64,64,2007,66 and older,West,"Yes, less frequently",0.23537,34,11428,0.17215,0.29685
65,65,2009,17-29 y.,West,"No, never",0.40803,518,10138,0.37224,0.44299
66,66,2009,17-29 y.,West,"Yes, every week",0.1651,200,10138,0.14287,0.19208
67,67,2009,17-29 y.,West,"Yes, every 2 weeks",0.16113,208,10138,0.13956,0.17927
68,68,2009,17-29 y.,West,"Yes, every 3-4 weeks",0.07139,97,10138,0.05552,0.08583
69,69,2009,17-29 y.,West,"Yes, less frequently",0.19435,261,10138,0.17347,0.22302
70,70,2009,17-29 y.,East,"No, never",0.39011,153,10138,0.32728,0.45718
71,71,2009,17-29 y.,East,"Yes, every week",0.16476,50,10138,0.11414,0.23331
72,72,2009,17-29 y.,East,"Yes, every 2 weeks",0.17616,65,10138,0.13517,0.21215
73,73,2009,17-29 y.,East,"Yes, every 3-4 weeks",0.09752,38,10138,0.0684,0.12999
74,74,2009,17-29 y.,East,"Yes, less frequently",0.17145,83,10138,0.13492,0.20516
75,75,2009,30-45 y.,West,"No, never",0.35265,1111,10138,0.33258,0.37332
76,76,2009,30-45 y.,West,"Yes, every week",0.14302,428,10138,0.13013,0.15599
77,77,2009,30-45 y.,West,"Yes, every 2 weeks",0.1419,402,10138,0.12764,0.15515
78,78,2009,30-45 y.,West,"Yes, every 3-4 weeks",0.09876,285,10138,0.08692,0.10978
79,79,2009,30-45 y.,West,"Yes, less frequently",0.26367,775,10138,0.24801,0.27886
80,80,2009,30-45 y.,East,"No, never",0.26555,251,10138,0.22923,0.30763
81,81,2009,30-45 y.,East,"Yes, every week",0.13485,124,10138,0.11285,0.15579
82,82,2009,30-45 y.,East,"Yes, every 2 weeks",0.1921,166,10138,0.16306,0.22166
83,83,2009,30-45 y.,East,"Yes, every 3-4 weeks",0.1,93,10138,0.07483,0.125
84,84,2009,30-45 y.,East,"Yes, less frequently",0.30749,262,10138,0.26366,0.34818
85,85,2009,46-65 y.,West,"No, never",0.37411,1231,10138,0.35467,0.39666
86,86,2009,46-65 y.,West,"Yes, every week",0.16775,538,10138,0.15367,0.18122
87,87,2009,46-65 y.,West,"Yes, every 2 weeks",0.13865,430,10138,0.12596,0.14957
88,88,2009,46-65 y.,West,"Yes, every 3-4 weeks",0.07427,261,10138,0.06637,0.08509
89,89,2009,46-65 y.,West,"Yes, less frequently",0.24523,841,10138,0.22848,0.26264
90,90,2009,46-65 y.,East,"No, never",0.29352,338,10138,0.26417,0.32793
91,91,2009,46-65 y.,East,"Yes, every week",0.14873,165,10138,0.12787,0.17484
92,92,2009,46-65 y.,East,"Yes, every 2 weeks",0.16921,168,10138,0.14513,0.19447
93,93,2009,46-65 y.,East,"Yes, every 3-4 weeks",0.11261,126,10138,0.09518,0.13382
