,Unnamed: 0,year,migback,sampreg,plb0218_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2005,No migration background,West,"No, never",0.37371,2769,11382,0.36029,0.38664
1,1,2005,No migration background,West,"Yes, every week",0.15209,1033,11382,0.14564,0.16221
2,2,2005,No migration background,West,"Yes, every 2 weeks",0.13124,900,11382,0.1241,0.13832
3,3,2005,No migration background,West,"Yes, every 3-4 weeks",0.08583,617,11382,0.08103,0.09139
4,4,2005,No migration background,West,"Yes, less frequently",0.25713,1910,11382,0.24796,0.26776
5,5,2005,No migration background,East,"No, never",0.30751,798,11382,0.28861,0.32722
6,6,2005,No migration background,East,"Yes, every week",0.14214,347,11382,0.12633,0.15551
7,7,2005,No migration background,East,"Yes, every 2 weeks",0.20303,456,11382,0.18791,0.21965
8,8,2005,No migration background,East,"Yes, every 3-4 weeks",0.10629,268,11382,0.09538,0.1173
9,9,2005,No migration background,East,"Yes, less frequently",0.24102,658,11382,0.22345,0.25811
10,10,2005,Direct migration background,West,"No, never",0.39748,506,11382,0.37113,0.42473
11,11,2005,Direct migration background,West,"Yes, every week",0.13156,147,11382,0.11664,0.15045
12,12,2005,Direct migration background,West,"Yes, every 2 weeks",0.14822,163,11382,0.12777,0.16937
13,13,2005,Direct migration background,West,"Yes, every 3-4 weeks",0.09417,116,11382,0.08019,0.10967
14,14,2005,Direct migration background,West,"Yes, less frequently",0.22857,247,11382,0.20187,0.25496
15,15,2005,Indirect migration background,West,"No, never",0.41381,189,11382,0.36794,0.48139
16,16,2005,Indirect migration background,West,"Yes, every week",0.14392,68,11382,0.11963,0.17721
17,17,2005,Indirect migration background,West,"Yes, every 2 weeks",0.15226,65,11382,0.11996,0.1846
18,18,2005,Indirect migration background,West,"Yes, every 3-4 weeks",0.10032,41,11382,0.06835,0.15135
19,19,2005,Indirect migration background,West,"Yes, less frequently",0.1897,84,11382,0.16261,0.22516
20,20,2007,No migration background,West,"No, never",0.35903,2723,11425,0.3479,0.36921
21,21,2007,No migration background,West,"Yes, every week",0.14838,1101,11425,0.14135,0.15625
22,22,2007,No migration background,West,"Yes, every 2 weeks",0.14097,956,11425,0.13387,0.14846
23,23,2007,No migration background,West,"Yes, every 3-4 weeks",0.09897,698,11425,0.09212,0.10515
24,24,2007,No migration background,West,"Yes, less frequently",0.25266,1849,11425,0.24258,0.26411
25,25,2007,No migration background,East,"No, never",0.296,781,11425,0.27685,0.31406
26,26,2007,No migration background,East,"Yes, every week",0.14907,372,11425,0.13337,0.16588
27,27,2007,No migration background,East,"Yes, every 2 weeks",0.20119,489,11425,0.18234,0.21632
28,28,2007,No migration background,East,"Yes, every 3-4 weeks",0.10057,260,11425,0.09009,0.1116
29,29,2007,No migration background,East,"Yes, less frequently",0.25316,675,11425,0.23816,0.27377
30,30,2007,Direct migration background,West,"No, never",0.41084,421,11425,0.37959,0.43861
31,31,2007,Direct migration background,West,"Yes, every week",0.13042,134,11425,0.11358,0.14896
32,32,2007,Direct migration background,West,"Yes, every 2 weeks",0.17024,182,11425,0.14632,0.18964
33,33,2007,Direct migration background,West,"Yes, every 3-4 weeks",0.0802,101,11425,0.06779,0.09331
34,34,2007,Direct migration background,West,"Yes, less frequently",0.20831,220,11425,0.18333,0.22891
35,35,2007,Indirect migration background,West,"No, never",0.42855,203,11425,0.38047,0.48146
36,36,2007,Indirect migration background,West,"Yes, every week",0.19398,74,11425,0.15655,0.22832
37,37,2007,Indirect migration background,West,"Yes, every 2 weeks",0.12328,58,11425,0.09513,0.15735
38,38,2007,Indirect migration background,West,"Yes, every 3-4 weeks",0.12672,48,11425,0.09275,0.15605
39,39,2007,Indirect migration background,West,"Yes, less frequently",0.12747,80,11425,0.10072,0.15644
40,40,2009,No migration background,West,"No, never",0.35821,2390,10116,0.34548,0.37129
41,41,2009,No migration background,West,"Yes, every week",0.15215,1000,10116,0.14315,0.16259
42,42,2009,No migration background,West,"Yes, every 2 weeks",0.14253,861,10116,0.1333,0.15263
43,43,2009,No migration background,West,"Yes, every 3-4 weeks",0.08634,564,10116,0.07993,0.09461
44,44,2009,No migration background,West,"Yes, less frequently",0.26078,1679,10116,0.2487,0.27348
45,45,2009,No migration background,East,"No, never",0.29828,731,10116,0.2754,0.31892
