year,pgisced97,sampreg,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Primary Level,West,"No, never",0.18295,38,38,0.05837,0.30753
2005,Lower Secondary Level,West,"No, never",0.16445,381,791,0.13860,0.19030
2005,Lower Secondary Level,West,"Yes, every week",0.06461,121,791,0.04747,0.08176
2005,Lower Secondary Level,West,"Yes, every 2 weeks",0.05669,114,791,0.04056,0.07281
2005,Lower Secondary Level,West,"Yes, every 3-4 weeks",0.02693,60,791,0.01564,0.03822
2005,Lower Secondary Level,West,"Yes, less frequently",0.05448,115,791,0.03865,0.07031
2005,Lower Secondary Level,East,"No, never",0.10979,45,45,0.01741,0.20216
2005,Upper Secondary Level,West,"No, never",0.20830,1715,4282,0.19613,0.22046
2005,Upper Secondary Level,West,"Yes, every week",0.08112,604,4282,0.07294,0.08930
2005,Upper Secondary Level,West,"Yes, every 2 weeks",0.07473,588,4282,0.06685,0.08261
2005,Upper Secondary Level,West,"Yes, every 3-4 weeks",0.05111,374,4282,0.04451,0.05771
2005,Upper Secondary Level,West,"Yes, less frequently",0.12610,1001,4282,0.11616,0.13605
2005,Upper Secondary Level,East,"No, never",0.12016,352,1244,0.10208,0.13823
2005,Upper Secondary Level,East,"Yes, every week",0.06976,182,1244,0.05560,0.08392
2005,Upper Secondary Level,East,"Yes, every 2 weeks",0.10044,252,1244,0.08373,0.11715
2005,Upper Secondary Level,East,"Yes, every 3-4 weeks",0.05498,153,1244,0.04231,0.06765
2005,Upper Secondary Level,East,"Yes, less frequently",0.10307,305,1244,0.08617,0.11997
2005,Post-secondary Non-tertiary Level,West,"No, never",0.29566,298,664,0.26092,0.33039
2005,Post-secondary Non-tertiary Level,West,"Yes, every week",0.06438,59,664,0.04570,0.08307
2005,Post-secondary Non-tertiary Level,West,"Yes, every 2 weeks",0.09495,90,664,0.07264,0.11727
2005,Post-secondary Non-tertiary Level,West,"Yes, every 3-4 weeks",0.05434,59,664,0.03709,0.07160
2005,Post-secondary Non-tertiary Level,West,"Yes, less frequently",0.15882,158,664,0.13100,0.18664
2005,Post-secondary Non-tertiary Level,East,"No, never",0.23937,37,68,0.13720,0.34154
2005,Post-secondary Non-tertiary Level,East,"Yes, less frequently",0.19012,31,68,0.09616,0.28407
2005,First Stage of Tertiary Education,West,"No, never",0.18892,239,782,0.16146,0.21637
2005,First Stage of Tertiary Education,West,"Yes, every week",0.09621,110,782,0.07553,0.11689
2005,First Stage of Tertiary Education,West,"Yes, every 2 weeks",0.10373,118,782,0.08235,0.12511
2005,First Stage of Tertiary Education,West,"Yes, every 3-4 weeks",0.05740,80,782,0.04108,0.07371
2005,First Stage of Tertiary Education,West,"Yes, less frequently",0.20044,235,782,0.17236,0.22852
2005,First Stage of Tertiary Education,East,"No, never",0.13718,69,212,0.09076,0.18360
2005,First Stage of Tertiary Education,East,"Yes, every week",0.07410,41,212,0.03875,0.10944
2005,First Stage of Tertiary Education,East,"Yes, every 2 weeks",0.11744,41,212,0.07400,0.16088
2005,First Stage of Tertiary Education,East,"Yes, less frequently",0.11909,61,212,0.07538,0.16279
2005,Second Stage of Tertiary Education,West,"No, never",0.22971,728,2115,0.21178,0.24764
2005,Second Stage of Tertiary Education,West,"Yes, every week",0.10221,312,2115,0.08930,0.11512
2005,Second Stage of Tertiary Education,West,"Yes, every 2 weeks",0.06781,188,2115,0.05710,0.07853
2005,Second Stage of Tertiary Education,West,"Yes, every 3-4 weeks",0.05915,190,2115,0.04909,0.06920
2005,Second Stage of Tertiary Education,West,"Yes, less frequently",0.23666,697,2115,0.21854,0.25478
2005,Second Stage of Tertiary Education,East,"No, never",0.19857,284,814,0.17115,0.22599
2005,Second Stage of Tertiary Education,East,"Yes, every week",0.07140,106,814,0.05370,0.08910
2005,Second Stage of Tertiary Education,East,"Yes, every 2 weeks",0.09281,118,814,0.07287,0.11276
2005,Second Stage of Tertiary Education,East,"Yes, every 3-4 weeks",0.04483,70,814,0.03061,0.05906
2005,Second Stage of Tertiary Education,East,"Yes, less frequently",0.14671,236,814,0.12239,0.17103
2007,Lower Secondary Level,West,"No, never",0.14850,295,667,0.12150,0.17551
2007,Lower Secondary Level,West,"Yes, every week",0.06077,113,667,0.04263,0.07891
2007,Lower Secondary Level,West,"Yes, every 2 weeks",0.05218,94,667,0.03529,0.06907
2007,Lower Secondary Level,West,"Yes, every 3-4 weeks",0.03178,57,667,0.01846,0.04510
2007,Lower Secondary Level,West,"Yes, less frequently",0.05024,108,667,0.03365,0.06683
2007,Lower Secondary Level,East,"No, never",0.11957,43,43,0.02144,0.21770
2007,Upper Secondary Level,West,"No, never",0.21221,1708,4329,0.20003,0.22440
2007,Upper Secondary Level,West,"Yes, every week",0.07954,622,4329,0.07148,0.08760
2007,Upper Secondary Level,West,"Yes, every 2 weeks",0.08096,637,4329,0.07283,0.08909
2007,Upper Secondary Level,West,"Yes, every 3-4 weeks",0.05592,419,4329,0.04908,0.06277
2007,Upper Secondary Level,West,"Yes, less frequently",0.12120,943,4329,0.11148,0.13092
2007,Upper Secondary Level,East,"No, never",0.13101,362,1309,0.11272,0.14929
2007,Upper Secondary Level,East,"Yes, every week",0.07710,193,1309,0.06264,0.09155
2007,Upper Secondary Level,East,"Yes, every 2 weeks",0.11456,304,1309,0.09730,0.13182
2007,Upper Secondary Level,East,"Yes, every 3-4 weeks",0.05278,131,1309,0.04067,0.06490
2007,Upper Secondary Level,East,"Yes, less frequently",0.11255,319,1309,0.09542,0.12968
2007,Post-secondary Non-tertiary Level,West,"No, never",0.26869,283,686,0.23550,0.30189
2007,Post-secondary Non-tertiary Level,West,"Yes, every week",0.08028,80,686,0.05993,0.10063
2007,Post-secondary Non-tertiary Level,West,"Yes, every 2 weeks",0.09662,96,686,0.07450,0.11875
2007,Post-secondary Non-tertiary Level,West,"Yes, every 3-4 weeks",0.06359,66,686,0.04532,0.08187
2007,Post-secondary Non-tertiary Level,West,"Yes, less frequently",0.16306,161,686,0.13540,0.19073
2007,Post-secondary Non-tertiary Level,East,"No, never",0.25714,41,79,0.16014,0.35413
2007,Post-secondary Non-tertiary Level,East,"Yes, less frequently",0.25351,38,79,0.15697,0.35006
2007,First Stage of Tertiary Education,West,"No, never",0.18868,248,756,0.16077,0.21658
2007,First Stage of Tertiary Education,West,"Yes, every week",0.09686,109,756,0.07576,0.11795
2007,First Stage of Tertiary Education,West,"Yes, every 2 weeks",0.11634,122,756,0.09347,0.13921
2007,First Stage of Tertiary Education,West,"Yes, every 3-4 weeks",0.05232,80,756,0.03644,0.06821
2007,First Stage of Tertiary Education,West,"Yes, less frequently",0.17806,197,756,0.15077,0.20535
2007,First Stage of Tertiary Education,East,"No, never",0.11274,58,203,0.06913,0.15636
2007,First Stage of Tertiary Education,East,"Yes, every week",0.08641,45,203,0.04766,0.12516
2007,First Stage of Tertiary Education,East,"Yes, every 2 weeks",0.10943,38,203,0.06638,0.15248
2007,First Stage of Tertiary Education,East,"Yes, less frequently",0.16250,62,203,0.11163,0.21338
2007,Second Stage of Tertiary Education,West,"No, never",0.21912,724,2211,0.20187,0.23636
2007,Second Stage of Tertiary Education,West,"Yes, every week",0.10801,354,2211,0.09507,0.12095
2007,Second Stage of Tertiary Education,West,"Yes, every 2 weeks",0.08379,218,2211,0.07224,0.09534
2007,Second Stage of Tertiary Education,West,"Yes, every 3-4 weeks",0.07127,209,2211,0.06054,0.08199
2007,Second Stage of Tertiary Education,West,"Yes, less frequently",0.22676,706,2211,0.20930,0.24422
2007,Second Stage of Tertiary Education,East,"No, never",0.18300,265,814,0.15642,0.20958
2007,Second Stage of Tertiary Education,East,"Yes, every week",0.07618,112,814,0.05795,0.09442
2007,Second Stage of Tertiary Education,East,"Yes, every 2 weeks",0.07614,104,814,0.05791,0.09437
2007,Second Stage of Tertiary Education,East,"Yes, every 3-4 weeks",0.05833,90,814,0.04222,0.07444
2007,Second Stage of Tertiary Education,East,"Yes, less frequently",0.16072,243,814,0.13547,0.18596
2009,Lower Secondary Level,West,"No, never",0.15129,260,566,0.12174,0.18084
2009,Lower Secondary Level,West,"Yes, every week",0.06718,94,566,0.04654,0.08782
2009,Lower Secondary Level,West,"Yes, every 2 weeks",0.05564,80,566,0.03674,0.07455
2009,Lower Secondary Level,West,"Yes, every 3-4 weeks",0.02610,40,566,0.01295,0.03925
2009,Lower Secondary Level,West,"Yes, less frequently",0.05421,92,566,0.03554,0.07288
2009,Lower Secondary Level,East,"No, never",0.07723,37,37,-0.00998,0.16443
2009,Upper Secondary Level,West,"No, never",0.21462,1484,3771,0.20152,0.22773
2009,Upper Secondary Level,West,"Yes, every week",0.08212,537,3771,0.07336,0.09089
2009,Upper Secondary Level,West,"Yes, every 2 weeks",0.08948,578,3771,0.08036,0.09859
2009,Upper Secondary Level,West,"Yes, every 3-4 weeks",0.04842,306,3771,0.04156,0.05527
2009,Upper Secondary Level,West,"Yes, less frequently",0.12656,866,3771,0.11594,0.13717
2009,Upper Secondary Level,East,"No, never",0.14423,350,1221,0.12452,0.16395
2009,Upper Secondary Level,East,"Yes, every week",0.07421,175,1221,0.05950,0.08892
2009,Upper Secondary Level,East,"Yes, every 2 weeks",0.10946,248,1221,0.09194,0.12698
2009,Upper Secondary Level,East,"Yes, every 3-4 weeks",0.05966,140,1221,0.04637,0.07295
2009,Upper Secondary Level,East,"Yes, less frequently",0.12400,308,1221,0.10551,0.14250
2009,Post-secondary Non-tertiary Level,West,"No, never",0.29751,252,604,0.26102,0.33400
2009,Post-secondary Non-tertiary Level,West,"Yes, every week",0.08211,69,604,0.06020,0.10402
2009,Post-secondary Non-tertiary Level,West,"Yes, every 2 weeks",0.10091,76,604,0.07687,0.12496
2009,Post-secondary Non-tertiary Level,West,"Yes, every 3-4 weeks",0.05738,52,604,0.03882,0.07595
2009,Post-secondary Non-tertiary Level,West,"Yes, less frequently",0.17747,155,604,0.14697,0.20796
2009,Post-secondary Non-tertiary Level,East,"No, never",0.25406,39,39,0.11564,0.39247
2009,First Stage of Tertiary Education,West,"No, never",0.20056,206,638,0.16947,0.23166
2009,First Stage of Tertiary Education,West,"Yes, every week",0.11285,104,638,0.08828,0.13742
2009,First Stage of Tertiary Education,West,"Yes, every 2 weeks",0.09167,98,638,0.06926,0.11408
2009,First Stage of Tertiary Education,West,"Yes, every 3-4 weeks",0.04633,55,638,0.03000,0.06265
2009,First Stage of Tertiary Education,West,"Yes, less frequently",0.17465,175,638,0.14516,0.20413
2009,First Stage of Tertiary Education,East,"No, never",0.13969,58,190,0.09027,0.18911
2009,First Stage of Tertiary Education,East,"Yes, every week",0.09362,38,190,0.05209,0.13515
2009,First Stage of Tertiary Education,East,"Yes, every 2 weeks",0.09543,34,190,0.05354,0.13732
2009,First Stage of Tertiary Education,East,"Yes, less frequently",0.20747,60,190,0.14966,0.26528
2009,Second Stage of Tertiary Education,West,"No, never",0.23382,647,2002,0.21528,0.25237
2009,Second Stage of Tertiary Education,West,"Yes, every week",0.12019,370,2002,0.10594,0.13443
2009,Second Stage of Tertiary Education,West,"Yes, every 2 weeks",0.07207,191,2002,0.06074,0.08340
2009,Second Stage of Tertiary Education,West,"Yes, every 3-4 weeks",0.06407,186,2002,0.05334,0.07480
2009,Second Stage of Tertiary Education,West,"Yes, less frequently",0.22696,608,2002,0.20861,0.24532
2009,Second Stage of Tertiary Education,East,"No, never",0.18288,239,736,0.15493,0.21083
2009,Second Stage of Tertiary Education,East,"Yes, every week",0.08726,107,736,0.06686,0.10766
2009,Second Stage of Tertiary Education,East,"Yes, every 2 weeks",0.07054,82,736,0.05203,0.08905
2009,Second Stage of Tertiary Education,East,"Yes, every 3-4 weeks",0.06280,80,736,0.04526,0.08034
2009,Second Stage of Tertiary Education,East,"Yes, less frequently",0.17673,228,736,0.14915,0.20430
2011,Primary Level,West,"No, never",0.11403,44,76,0.04209,0.18596
2011,Primary Level,West,"Yes, every week",0.09837,32,76,0.03097,0.16577
2011,Lower Secondary Level,West,"No, never",0.15332,429,1042,0.13143,0.17521
2011,Lower Secondary Level,West,"Yes, every week",0.06184,184,1042,0.04721,0.07647
2011,Lower Secondary Level,West,"Yes, every 2 weeks",0.06700,173,1042,0.05181,0.08219
2011,Lower Secondary Level,West,"Yes, every 3-4 weeks",0.03021,94,1042,0.01981,0.04061
2011,Lower Secondary Level,West,"Yes, less frequently",0.06050,162,1042,0.04602,0.07498
2011,Lower Secondary Level,East,"No, never",0.09917,53,91,0.03742,0.16092
2011,Lower Secondary Level,East,"Yes, every 2 weeks",0.09424,38,91,0.03388,0.15461
2011,Upper Secondary Level,West,"No, never",0.21770,2430,6131,0.20737,0.22803
2011,Upper Secondary Level,West,"Yes, every week",0.07838,855,6131,0.07165,0.08511
2011,Upper Secondary Level,West,"Yes, every 2 weeks",0.09081,1041,6131,0.08362,0.09800
2011,Upper Secondary Level,West,"Yes, every 3-4 weeks",0.04973,547,6131,0.04429,0.05517
2011,Upper Secondary Level,West,"Yes, less frequently",0.11281,1258,6131,0.10489,0.12073
2011,Upper Secondary Level,East,"No, never",0.17219,589,1845,0.15496,0.18942
2011,Upper Secondary Level,East,"Yes, every week",0.07576,260,1845,0.06368,0.08784
2011,Upper Secondary Level,East,"Yes, every 2 weeks",0.11615,405,1845,0.10152,0.13077
2011,Upper Secondary Level,East,"Yes, every 3-4 weeks",0.06481,203,1845,0.05357,0.07604
2011,Upper Secondary Level,East,"Yes, less frequently",0.11125,388,1845,0.09690,0.12560
2011,Post-secondary Non-tertiary Level,West,"No, never",0.31137,563,1221,0.28538,0.33735
2011,Post-secondary Non-tertiary Level,West,"Yes, every week",0.08905,134,1221,0.07307,0.10504
2011,Post-secondary Non-tertiary Level,West,"Yes, every 2 weeks",0.09046,166,1221,0.07437,0.10656
2011,Post-secondary Non-tertiary Level,West,"Yes, every 3-4 weeks",0.06194,107,1221,0.04841,0.07546
2011,Post-secondary Non-tertiary Level,West,"Yes, less frequently",0.16456,251,1221,0.14376,0.18537
2011,Post-secondary Non-tertiary Level,East,"No, never",0.22799,75,164,0.16358,0.29240
2011,Post-secondary Non-tertiary Level,East,"Yes, every 2 weeks",0.14005,36,164,0.08678,0.19333
2011,Post-secondary Non-tertiary Level,East,"Yes, less frequently",0.23544,53,164,0.17031,0.30058
2011,First Stage of Tertiary Education,West,"No, never",0.22388,327,965,0.19757,0.25019
2011,First Stage of Tertiary Education,West,"Yes, every week",0.09800,128,965,0.07923,0.11677
2011,First Stage of Tertiary Education,West,"Yes, every 2 weeks",0.09691,147,965,0.07823,0.11558
2011,First Stage of Tertiary Education,West,"Yes, every 3-4 weeks",0.04902,84,965,0.03539,0.06265
2011,First Stage of Tertiary Education,West,"Yes, less frequently",0.18573,279,965,0.16118,0.21028
2011,First Stage of Tertiary Education,East,"No, never",0.12116,86,282,0.08300,0.15931
2011,First Stage of Tertiary Education,East,"Yes, every week",0.08741,48,282,0.05438,0.12043
2011,First Stage of Tertiary Education,East,"Yes, every 2 weeks",0.08038,45,282,0.04859,0.11217
2011,First Stage of Tertiary Education,East,"Yes, every 3-4 weeks",0.09008,33,282,0.05660,0.12355
2011,First Stage of Tertiary Education,East,"Yes, less frequently",0.21660,70,282,0.16843,0.26476
2011,Second Stage of Tertiary Education,West,"No, never",0.24795,1211,3376,0.23338,0.26251
2011,Second Stage of Tertiary Education,West,"Yes, every week",0.11658,561,3376,0.10576,0.12741
2011,Second Stage of Tertiary Education,West,"Yes, every 2 weeks",0.06867,346,3376,0.06014,0.07720
2011,Second Stage of Tertiary Education,West,"Yes, every 3-4 weeks",0.06622,314,3376,0.05783,0.07461
2011,Second Stage of Tertiary Education,West,"Yes, less frequently",0.21324,944,3376,0.19942,0.22706
2011,Second Stage of Tertiary Education,East,"No, never",0.21023,352,1007,0.18505,0.23541
2011,Second Stage of Tertiary Education,East,"Yes, every week",0.07755,130,1007,0.06102,0.09407
2011,Second Stage of Tertiary Education,East,"Yes, every 2 weeks",0.07702,126,1007,0.06054,0.09349
2011,Second Stage of Tertiary Education,East,"Yes, every 3-4 weeks",0.05127,101,1007,0.03764,0.06490
2011,Second Stage of Tertiary Education,East,"Yes, less frequently",0.17046,298,1007,0.14722,0.19370
2013,Primary Level,West,"No, never",0.05476,31,31,-0.02665,0.13617
2013,Lower Secondary Level,West,"No, never",0.12653,430,990,0.10581,0.14725
2013,Lower Secondary Level,West,"Yes, every week",0.05434,164,990,0.04021,0.06847
2013,Lower Secondary Level,West,"Yes, every 2 weeks",0.04624,163,990,0.03315,0.05933
2013,Lower Secondary Level,West,"Yes, every 3-4 weeks",0.02236,75,990,0.01314,0.03157
2013,Lower Secondary Level,West,"Yes, less frequently",0.05044,158,990,0.03680,0.06408
2013,Lower Secondary Level,East,"No, never",0.12048,46,46,0.02537,0.21559
2013,Upper Secondary Level,West,"No, never",0.19589,2224,5631,0.18552,0.20626
2013,Upper Secondary Level,West,"Yes, every week",0.06420,745,5631,0.05780,0.07060
2013,Upper Secondary Level,West,"Yes, every 2 weeks",0.08799,991,5631,0.08059,0.09539
2013,Upper Secondary Level,West,"Yes, every 3-4 weeks",0.04211,463,5631,0.03686,0.04736
2013,Upper Secondary Level,West,"Yes, less frequently",0.11075,1208,5631,0.10255,0.11895
2013,Upper Secondary Level,East,"No, never",0.16792,563,1725,0.15027,0.18556
2013,Upper Secondary Level,East,"Yes, every week",0.06835,214,1725,0.05644,0.08027
2013,Upper Secondary Level,East,"Yes, every 2 weeks",0.12174,370,1725,0.10630,0.13717
2013,Upper Secondary Level,East,"Yes, every 3-4 weeks",0.05658,186,1725,0.04567,0.06748
2013,Upper Secondary Level,East,"Yes, less frequently",0.11875,392,1725,0.10348,0.13402
2013,Post-secondary Non-tertiary Level,West,"No, never",0.24761,525,1133,0.22246,0.27275
2013,Post-secondary Non-tertiary Level,West,"Yes, every week",0.06487,109,1133,0.05053,0.07922
2013,Post-secondary Non-tertiary Level,West,"Yes, every 2 weeks",0.08735,159,1133,0.07090,0.10379
2013,Post-secondary Non-tertiary Level,West,"Yes, every 3-4 weeks",0.05977,90,1133,0.04596,0.07358
2013,Post-secondary Non-tertiary Level,West,"Yes, less frequently",0.15239,250,1133,0.13145,0.17333
2013,Post-secondary Non-tertiary Level,East,"No, never",0.26344,86,173,0.19761,0.32927
2013,Post-secondary Non-tertiary Level,East,"Yes, every 2 weeks",0.21022,43,173,0.14933,0.27112
2013,Post-secondary Non-tertiary Level,East,"Yes, less frequently",0.13708,44,173,0.08568,0.18848
2013,First Stage of Tertiary Education,West,"No, never",0.20257,316,875,0.17593,0.22922
2013,First Stage of Tertiary Education,West,"Yes, every week",0.07615,104,875,0.05856,0.09373
2013,First Stage of Tertiary Education,West,"Yes, every 2 weeks",0.06839,109,875,0.05166,0.08513
2013,First Stage of Tertiary Education,West,"Yes, every 3-4 weeks",0.06009,83,875,0.04434,0.07585
2013,First Stage of Tertiary Education,West,"Yes, less frequently",0.21464,263,875,0.18742,0.24186
2013,First Stage of Tertiary Education,East,"No, never",0.15828,85,236,0.11161,0.20495
2013,First Stage of Tertiary Education,East,"Yes, every week",0.07237,34,236,0.03925,0.10550
2013,First Stage of Tertiary Education,East,"Yes, every 2 weeks",0.08595,42,236,0.05011,0.12179
2013,First Stage of Tertiary Education,East,"Yes, less frequently",0.21768,75,236,0.16492,0.27044
2013,Second Stage of Tertiary Education,West,"No, never",0.22448,1196,3189,0.20999,0.23896
2013,Second Stage of Tertiary Education,West,"Yes, every week",0.09098,467,3189,0.08100,0.10096
2013,Second Stage of Tertiary Education,West,"Yes, every 2 weeks",0.06429,335,3189,0.05577,0.07280
2013,Second Stage of Tertiary Education,West,"Yes, every 3-4 weeks",0.06074,282,3189,0.05245,0.06903
