year,migback,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,No migration background,"No, never",0.36094,3567,9755,0.35141,0.37047
2005,No migration background,"Yes, every week",0.15018,1380,9755,0.14309,0.15727
2005,No migration background,"Yes, every 2 weeks",0.14511,1356,9755,0.13812,0.15210
2005,No migration background,"Yes, every 3-4 weeks",0.08978,885,9755,0.08411,0.09545
2005,No migration background,"Yes, less frequently",0.25398,2567,9755,0.24534,0.26262
2005,Direct migration background,"No, never",0.39535,511,1201,0.36769,0.42301
2005,Direct migration background,"Yes, every week",0.13208,151,1201,0.11292,0.15123
2005,Direct migration background,"Yes, every 2 weeks",0.14975,167,1201,0.12956,0.16994
2005,Direct migration background,"Yes, every 3-4 weeks",0.09345,117,1201,0.07698,0.10992
2005,Direct migration background,"Yes, less frequently",0.22937,255,1201,0.20558,0.25316
2005,Indirect migration background,"No, never",0.41078,198,466,0.36607,0.45550
2005,Indirect migration background,"Yes, every week",0.14492,71,466,0.11292,0.17692
2005,Indirect migration background,"Yes, every 2 weeks",0.15211,67,466,0.11946,0.18475
2005,Indirect migration background,"Yes, every 3-4 weeks",0.09867,42,466,0.07156,0.12577
2005,Indirect migration background,"Yes, less frequently",0.19353,88,466,0.15762,0.22943
2007,No migration background,"No, never",0.34612,3503,9903,0.33675,0.35549
2007,No migration background,"Yes, every week",0.14855,1473,9903,0.14155,0.15556
2007,No migration background,"Yes, every 2 weeks",0.15321,1445,9903,0.14612,0.16031
2007,No migration background,"Yes, every 3-4 weeks",0.09930,958,9903,0.09341,0.10519
2007,No migration background,"Yes, less frequently",0.25282,2524,9903,0.24426,0.26138
2007,Direct migration background,"No, never",0.41625,431,1081,0.38685,0.44565
2007,Direct migration background,"Yes, every week",0.12938,138,1081,0.10936,0.14940
2007,Direct migration background,"Yes, every 2 weeks",0.16943,186,1081,0.14706,0.19180
2007,Direct migration background,"Yes, every 3-4 weeks",0.07878,101,1081,0.06272,0.09485
2007,Direct migration background,"Yes, less frequently",0.20615,225,1081,0.18203,0.23028
2007,Indirect migration background,"No, never",0.42605,218,492,0.38231,0.46979
2007,Indirect migration background,"Yes, every week",0.18925,78,492,0.15460,0.22390
2007,Indirect migration background,"Yes, every 2 weeks",0.12068,59,492,0.09186,0.14949
2007,Indirect migration background,"Yes, every 3-4 weeks",0.13309,52,492,0.10304,0.16313
2007,Indirect migration background,"Yes, less frequently",0.13094,85,492,0.10110,0.16078
2009,No migration background,"No, never",0.34596,3120,8854,0.33605,0.35587
2009,No migration background,"Yes, every week",0.15068,1333,8854,0.14323,0.15813
2009,No migration background,"Yes, every 2 weeks",0.15023,1257,8854,0.14279,0.15768
2009,No migration background,"Yes, every 3-4 weeks",0.09075,822,8854,0.08477,0.09674
2009,No migration background,"Yes, less frequently",0.26237,2322,8854,0.25321,0.27154
