,Unnamed: 0,year,regtyp,plb0218_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2005,Urban regions,"No, never",0.3827,3014,11422,0.37149,0.39628
1,1,2005,Urban regions,"Yes, every week",0.13987,1028,11422,0.13274,0.14893
2,2,2005,Urban regions,"Yes, every 2 weeks",0.14075,1010,11422,0.13301,0.14873
3,3,2005,Urban regions,"Yes, every 3-4 weeks",0.08678,674,11422,0.08043,0.09278
4,4,2005,Urban regions,"Yes, less frequently",0.24989,1965,11422,0.23939,0.25985
5,5,2005,Rural regions,"No, never",0.33256,1262,11422,0.31735,0.34862
6,6,2005,Rural regions,"Yes, every week",0.16542,574,11422,0.15492,0.17888
7,7,2005,Rural regions,"Yes, every 2 weeks",0.15785,580,11422,0.1473,0.16997
8,8,2005,Rural regions,"Yes, every 3-4 weeks",0.09919,370,11422,0.09048,0.10768
9,9,2005,Rural regions,"Yes, less frequently",0.24499,945,11422,0.22807,0.26108
10,10,2007,Urban regions,"No, never",0.3746,2880,11476,0.36279,0.38802
11,11,2007,Urban regions,"Yes, every week",0.14513,1080,11476,0.13755,0.15384
12,12,2007,Urban regions,"Yes, every 2 weeks",0.14544,1041,11476,0.13772,0.15419
13,13,2007,Urban regions,"Yes, every 3-4 weeks",0.09586,711,11476,0.08909,0.10415
14,14,2007,Urban regions,"Yes, less frequently",0.23897,1859,11476,0.2292,0.24983
15,15,2007,Rural regions,"No, never",0.32412,1272,11476,0.30886,0.34067
16,16,2007,Rural regions,"Yes, every week",0.15515,609,11476,0.14546,0.16584
17,17,2007,Rural regions,"Yes, every 2 weeks",0.17037,649,11476,0.15882,0.1813
18,18,2007,Rural regions,"Yes, every 3-4 weeks",0.10433,400,11476,0.09628,0.11604
19,19,2007,Rural regions,"Yes, less frequently",0.24603,975,11476,0.23188,0.26169
20,20,2009,Urban regions,"No, never",0.37064,2494,10186,0.35548,0.38539
21,21,2009,Urban regions,"Yes, every week",0.15295,996,10186,0.14336,0.16043
22,22,2009,Urban regions,"Yes, every 2 weeks",0.14607,908,10186,0.13736,0.15571
23,23,2009,Urban regions,"Yes, every 3-4 weeks",0.08492,566,10186,0.07888,0.09284
24,24,2009,Urban regions,"Yes, less frequently",0.24542,1702,10186,0.23555,0.25652
25,25,2009,Rural regions,"No, never",0.33559,1183,10186,0.3167,0.35258
26,26,2009,Rural regions,"Yes, every week",0.16377,564,10186,0.14922,0.1782
27,27,2009,Rural regions,"Yes, every 2 weeks",0.15635,548,10186,0.14195,0.1701
28,28,2009,Rural regions,"Yes, every 3-4 weeks",0.09119,345,10186,0.08012,0.10107
29,29,2009,Rural regions,"Yes, less frequently",0.25309,880,10186,0.23503,0.27133
30,30,2011,Urban regions,"No, never",0.38379,4161,16733,0.37178,0.39663
31,31,2011,Urban regions,"Yes, every week",0.15324,1553,16733,0.14304,0.16224
