syear,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,male,,,,,,,,,,,,
1984,female,,,,,,,,,,,,
1985,male,,,,,,,,,,,,
1985,female,,,,,,,,,,,,
1986,male,,,,,,,,,,,,
1986,female,,,,,,,,,,,,
1987,male,,,,,,,,,,,,
1987,female,,,,,,,,,,,,
1988,male,,,,,,,,,,,,
1988,female,,,,,,,,,,,,
1989,male,,,,,,,,,,,,
1989,female,,,,,,,,,,,,
1990,male,,,,,,,,,,,,
1990,female,,,,,,,,,,,,
1991,male,,,,,,,,,,,,
1991,female,,,,,,,,,,,,
1992,male,,,,,,,,,,,,
1992,female,,,,,,,,,,,,
1993,male,,,,,,,,,,,,
1993,female,,,,,,,,,,,,
1994,male,,,,,,,,,,,,
1994,female,,,,,,,,,,,,
1995,male,,,,,,,,,,,,
1995,female,,,,,,,,,,,,
1996,male,,,,,,,,,,,,
1996,female,,,,,,,,,,,,
1997,male,,,,,,,,,,,,
1997,female,,,,,,,,,,,,
1998,male,,,,,,,,,,,,
1998,female,,,,,,,,,,,,
1999,male,,,,,,,,,,,,
1999,female,,,,,,,,,,,,
2000,male,,,,,,,,,,,,
2000,female,,,,,,,,,,,,
2001,male,,,,,,,,,,,,
2001,female,,,,,,,,,,,,
2002,male,,,,,,,,,,,,
2002,female,,,,,,,,,,,,
2003,male,,,,,,,,,,,,
2003,female,,,,,,,,,,,,
2004,male,,,,,,,,,,,,
2004,female,,,,,,,,,,,,
2005,male,3.1197825878256693,3.103606711858968,3.1359584637923708,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,9823.0
2005,female,2.6451265468228877,2.6306240205379106,2.659629073107865,1.0,2.0,4.0,1.0,7.0,2.0,2.0,2.0,10695.0
2006,male,,,,,,,,,,,,
2006,female,,,,,,,,,,,,
2007,male,,,,,,,,,,,,
2007,female,,,,,,,,,,,,
2008,male,,,,,,,,,,,,
2008,female,,,,,,,,,,,,
2009,male,,,,,,,,,,,,
2009,female,,,,,,,,,,,,
2010,male,3.1283404034979703,3.1107122405857317,3.145968566410209,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,7875.0
2010,female,2.6699457576767656,2.6540514780151896,2.6858400373383415,1.0,2.0,4.0,1.0,7.0,2.0,2.0,2.0,8657.0
2011,male,,,,,,,,,,,,
2011,female,,,,,,,,,,,,
2012,male,,,,,,,,,,,,
2012,female,,,,,,,,,,,,
2013,male,,,,,,,,,,,,
2013,female,,,,,,,,,,,,
2014,male,,,,,,,,,,,,
2014,female,,,,,,,,,,,,
2015,male,2.7543280488138735,2.7409180208338917,2.7677380767938553,2.0,2.0,4.0,1.0,7.0,2.0,2.0,2.0,12206.0
2015,female,2.3077318313342268,2.2961220428977054,2.319341619770748,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0,14345.0
2016,male,2.1252586249464933,2.087143287914997,2.1633739619779897,1.0,1.0,3.0,1.0,6.0,1.0,0.9749999999999943,1.0,1715.0
2016,female,2.1034191772518747,2.0571533239691755,2.149685030534574,1.0,1.0,3.0,1.0,6.0,1.0,0.0,1.0,1227.0
2017,male,1.6699368030889115,1.6261243352787254,1.7137492708990976,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,951.0
2017,female,1.5419350329247226,1.4979712453742555,1.5858988204751896,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,858.0
2018,male,1.8294204134172993,1.707635053888882,1.9512057729457166,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,174.0
2018,female,1.4915424679905032,1.3969782430553568,1.5861066929256495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,193.0
2019,male,1.7639666040674173,1.6399724408545309,1.8879607672803038,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,124.0
2019,female,2.022291690620571,1.8949257999020879,2.149657581339054,1.0,1.0,3.0,1.0,6.0,1.0,0.0,1.0,131.0
2020,male,2.665540848363448,2.6538135664263542,2.6772681303005417,2.0,2.0,4.0,1.0,7.0,2.0,2.0,2.0,14513.0
2020,female,2.2149036311377825,2.2040285344970347,2.2257787277785304,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0,14721.0
2021,male,1.4440243830667163,1.342671868234273,1.5453768978991596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,107.0
2021,female,1.9936431353300523,1.8703513133118095,2.116934957348295,1.0,1.0,3.0,1.0,6.0,1.0,0.0,1.0,133.0
