"year","sampreg","sex","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2005","Ostdeutschland","maennlich","3.11","2.5","2408","3.05","3.17"
"2005","Ostdeutschland","weiblich","2.62","1.5","2605","2.56","2.68"
"2005","Westdeutschland","maennlich","3.12","2.5","7415","3.08","3.16"
"2005","Westdeutschland","weiblich","2.65","1.5","8090","2.62","2.68"
"2006","Ostdeutschland","maennlich","","","","",""
"2006","Ostdeutschland","weiblich","","","","",""
"2006","Westdeutschland","maennlich","","","","",""
"2006","Westdeutschland","weiblich","","","","",""
"2007","Ostdeutschland","maennlich","","","","",""
"2007","Ostdeutschland","weiblich","","","","",""
"2007","Westdeutschland","maennlich","","","","",""
"2007","Westdeutschland","weiblich","","","","",""
"2008","Ostdeutschland","maennlich","","","","",""
"2008","Ostdeutschland","weiblich","","","","",""
"2008","Westdeutschland","maennlich","","","","",""
"2008","Westdeutschland","weiblich","","","","",""
"2009","Ostdeutschland","maennlich","","","","",""
"2009","Ostdeutschland","weiblich","","","","",""
"2009","Westdeutschland","maennlich","","","","",""
"2009","Westdeutschland","weiblich","","","","",""
"2010","Ostdeutschland","maennlich","3.12","2.5","1975","3.05","3.19"
"2010","Ostdeutschland","weiblich","2.73","1.5","2133","2.66","2.8"
"2010","Westdeutschland","maennlich","3.13","2.5","5900","3.09","3.17"
"2010","Westdeutschland","weiblich","2.66","1.5","6524","2.62","2.7"
"2011","Ostdeutschland","maennlich","","","","",""
"2011","Ostdeutschland","weiblich","","","","",""
"2011","Westdeutschland","maennlich","","","","",""
"2011","Westdeutschland","weiblich","","","","",""
"2012","Ostdeutschland","maennlich","","","","",""
"2012","Ostdeutschland","weiblich","","","","",""
"2012","Westdeutschland","maennlich","","","","",""
"2012","Westdeutschland","weiblich","","","","",""
"2013","Ostdeutschland","maennlich","","","","",""
"2013","Ostdeutschland","weiblich","","","","",""
"2013","Westdeutschland","maennlich","","","","",""
"2013","Westdeutschland","weiblich","","","","",""
"2014","Ostdeutschland","maennlich","","","","",""
"2014","Ostdeutschland","weiblich","","","","",""
"2014","Westdeutschland","maennlich","","","","",""
"2014","Westdeutschland","weiblich","","","","",""
"2015","Ostdeutschland","maennlich","2.87","2.5","2461","2.81","2.93"
"2015","Ostdeutschland","weiblich","2.41","1.5","2925","2.36","2.46"
"2015","Westdeutschland","maennlich","2.73","1.5","9745","2.7","2.76"
"2015","Westdeutschland","weiblich","2.28","1.5","11420","2.25","2.31"
"2016","Ostdeutschland","maennlich","1.5","1","279","1.33","1.67"
"2016","Ostdeutschland","weiblich","1.58","1","191","1.37","1.79"
"2016","Westdeutschland","maennlich","2.23","1","1436","2.16","2.3"
"2016","Westdeutschland","weiblich","2.16","1","1036","2.08","2.24"
"2017","Ostdeutschland","maennlich","1.64","1","96","1.35","1.93"
"2017","Ostdeutschland","weiblich","1.57","1","105","1.28","1.86"
"2017","Westdeutschland","maennlich","1.68","1","858","1.59","1.77"
"2017","Westdeutschland","weiblich","1.54","1","756","1.44","1.64"
"2018","Ostdeutschland","maennlich","","","","",""
"2018","Ostdeutschland","weiblich","","","","",""
"2018","Westdeutschland","maennlich","1.86","1","158","1.62","2.1"
"2018","Westdeutschland","weiblich","1.59","1","166","1.35","1.83"
"2019","Ostdeutschland","maennlich","","","","",""
"2019","Ostdeutschland","weiblich","","","","",""
"2019","Westdeutschland","maennlich","1.63","1","112","1.32","1.94"
"2019","Westdeutschland","weiblich","2.1","1","120","1.84","2.36"
"2020","Ostdeutschland","maennlich","2.77","1.5","2841","2.71","2.83"
"2020","Ostdeutschland","weiblich","2.33","1.5","2988","2.28","2.38"
"2020","Westdeutschland","maennlich","2.64","1.5","11725","2.61","2.67"
"2020","Westdeutschland","weiblich","2.19","1.5","11795","2.17","2.21"
