syear,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,West,,,,,,,,,,,,
1985,West,,,,,,,,,,,,
1986,West,,,,,,,,,,,,
1987,West,,,,,,,,,,,,
1988,West,,,,,,,,,,,,
1989,West,,,,,,,,,,,,
1990,West,,,,,,,,,,,,
1990,East,,,,,,,,,,,,
1991,West,,,,,,,,,,,,
1991,East,,,,,,,,,,,,
1992,West,,,,,,,,,,,,
1992,East,,,,,,,,,,,,
1993,West,,,,,,,,,,,,
1993,East,,,,,,,,,,,,
1994,West,,,,,,,,,,,,
1994,East,,,,,,,,,,,,
1995,West,,,,,,,,,,,,
1995,East,,,,,,,,,,,,
1996,West,,,,,,,,,,,,
1996,East,,,,,,,,,,,,
1997,West,,,,,,,,,,,,
1997,East,,,,,,,,,,,,
1998,West,,,,,,,,,,,,
1998,East,,,,,,,,,,,,
1999,West,,,,,,,,,,,,
1999,East,,,,,,,,,,,,
2000,West,,,,,,,,,,,,
2000,East,,,,,,,,,,,,
2001,West,,,,,,,,,,,,
2001,East,,,,,,,,,,,,
2002,West,,,,,,,,,,,,
2002,East,,,,,,,,,,,,
2003,West,,,,,,,,,,,,
2003,East,,,,,,,,,,,,
2004,West,,,,,,,,,,,,
2004,East,,,,,,,,,,,,
2005,West,2.878935338612777,2.866279786096192,2.891590891129362,1.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,15505.0
2005,East,2.8626619193990734,2.8410645598818607,2.884259278916286,1.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,5013.0
2006,West,,,,,,,,,,,,
2006,East,,,,,,,,,,,,
2007,West,,,,,,,,,,,,
2007,East,,,,,,,,,,,,
2008,West,,,,,,,,,,,,
2008,East,,,,,,,,,,,,
2009,West,,,,,,,,,,,,
2009,East,,,,,,,,,,,,
2010,West,2.8888901060600003,2.875172078550956,2.9026081335690446,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,12424.0
2010,East,2.9278019975962146,2.9032828934348247,2.9523211017576045,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,4108.0
2011,West,,,,,,,,,,,,
2011,East,,,,,,,,,,,,
2012,West,,,,,,,,,,,,
2012,East,,,,,,,,,,,,
2013,West,,,,,,,,,,,,
2013,East,,,,,,,,,,,,
2014,West,,,,,,,,,,,,
2014,East,,,,,,,,,,,,
2015,West,2.501777473392818,2.491869171643418,2.511685775142218,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0,21165.0
2015,East,2.6397468378953035,2.6194233094134196,2.6600703663771874,1.0,2.0,4.0,1.0,7.0,2.0,2.0,2.0,5386.0
2016,West,2.198912236184546,2.1660661861264856,2.2317582862426066,1.0,1.0,3.0,1.0,6.0,1.0,0.0,1.0,2472.0
2016,East,1.5328606056168894,1.4788399484051822,1.5868812628285967,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,470.0
2017,West,1.61448532400316,1.5812837227667602,1.6476869252395598,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1608.0
2017,East,1.6012852506699813,1.511296802213624,1.6912736991263386,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,201.0
2018,West,1.7013638686581334,1.6183862570324956,1.7843414802837712,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,324.0
2018,East,1.2788449975621332,1.1052110101876371,1.4524789849366293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43.0
2019,West,1.9041250274222772,1.8104757715515851,1.9977742832929692,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,232.0
2019,East,,,,,,,,,,,,
2020,West,2.4130874331205634,2.4041471137539343,2.4220277524871925,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0,23440.0
2020,East,2.5439290491677133,2.524998738755865,2.5628593595795617,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0,5802.0
2021,West,1.690060535842689,1.6047180027792656,1.7754030689061124,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,221.0
2021,East,,,,,,,,,,,,
