"year","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2005","Laendlicher Raum","2.9","2.5","6917","1","1","4","5","7","2.86","2.94","1","7","3","3"
"2005","Staedtischer Raum","2.86","2.5","13601","1","1","4","5","7","2.83","2.89","1","7","2","3"
"2006","Laendlicher Raum","","","","","","","","","","","","","",""
"2006","Staedtischer Raum","","","","","","","","","","","","","",""
"2007","Laendlicher Raum","","","","","","","","","","","","","",""
"2007","Staedtischer Raum","","","","","","","","","","","","","",""
"2008","Laendlicher Raum","","","","","","","","","","","","","",""
"2008","Staedtischer Raum","","","","","","","","","","","","","",""
"2009","Laendlicher Raum","","","","","","","","","","","","","",""
"2009","Staedtischer Raum","","","","","","","","","","","","","",""
"2010","Laendlicher Raum","3.01","2.5","5739","1","2","4","5","7","2.97","3.05","1","7","3","3"
"2010","Staedtischer Raum","2.84","2.5","10793","1","2","4","5","7","2.81","2.87","1","7","2","3"
"2011","Laendlicher Raum","","","","","","","","","","","","","",""
"2011","Staedtischer Raum","","","","","","","","","","","","","",""
"2012","Laendlicher Raum","","","","","","","","","","","","","",""
"2012","Staedtischer Raum","","","","","","","","","","","","","",""
"2013","Laendlicher Raum","","","","","","","","","","","","","",""
"2013","Staedtischer Raum","","","","","","","","","","","","","",""
"2014","Laendlicher Raum","","","","","","","","","","","","","",""
"2014","Staedtischer Raum","","","","","","","","","","","","","",""
"2015","Laendlicher Raum","2.61","1.5","9274","1","1","4","5","7","2.58","2.64","1","7","2","2"
"2015","Staedtischer Raum","2.49","1.5","17277","1","1","3","5","7","2.47","2.51","1","7","2","2"
"2016","Laendlicher Raum","1.83","1","843","1","1","2","4","7","1.74","1.92","1","7","1","1"
"2016","Staedtischer Raum","2.21","1","2099","1","1","3","5","7","2.15","2.27","1","7","1","1"
"2017","Laendlicher Raum","1.47","1","598","1","1","1","2","7","1.37","1.57","1","7","1","1"
"2017","Staedtischer Raum","1.69","1","1217","1","1","2","4","7","1.61","1.77","1","7","1","1"
"2018","Laendlicher Raum","1.8","1","145","1","1","1","6","7","1.5","2.1","1","7","1","1"
"2018","Staedtischer Raum","1.53","1","222","1","1","1","4","7","1.35","1.71","1","7","1","1"
"2019","Laendlicher Raum","2.08","1","96","1","1","3","4","7","1.8","2.36","1","7","1","2"
"2019","Staedtischer Raum","1.84","1","159","1","1","2","4","7","1.58","2.1","1","7","1","1"
"2020","Laendlicher Raum","2.53","1.5","9518","1","1","3","5","7","2.5","2.56","1","7","2","2"
"2020","Staedtischer Raum","2.4","1.5","19838","1","1","3","4","7","2.38","2.42","1","7","2","2"
