year,hhtyp,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,No,0.97033,1243,1243,0.96090,0.97977
1984,Couple without children,Yes,0.04692,52,1346,0.03562,0.05822
1984,Couple without children,No,0.95308,1294,1346,0.94178,0.96438
1984,Single parent,No,0.95785,313,313,0.93555,0.98014
1984,Couple with children,Yes,0.02143,56,2624,0.01589,0.02697
1984,Couple with children,No,0.97857,2568,2624,0.97303,0.98411
1984,Multi-generational household,No,0.80792,104,104,0.73184,0.88400
1984,Other Combinations,No,0.75451,107,107,0.67258,0.83644
1985,Single-person household,No,0.97634,1113,1113,0.96740,0.98527
1985,Couple without children,Yes,0.05419,51,1221,0.04148,0.06689
1985,Couple without children,No,0.94581,1170,1221,0.93311,0.95852
1985,Single parent,No,0.96175,284,284,0.93941,0.98410
1985,Couple with children,Yes,0.01973,48,2371,0.01413,0.02533
1985,Couple with children,No,0.98027,2323,2371,0.97467,0.98587
1985,Multi-generational household,No,0.75339,90,90,0.66383,0.84294
1985,Other Combinations,No,0.75576,98,98,0.67026,0.84126
1986,Single-person household,No,0.97267,1053,1053,0.96282,0.98252
1986,Couple without children,Yes,0.05218,47,1199,0.03959,0.06478
1986,Couple without children,No,0.94782,1152,1199,0.93522,0.96041
1986,Single parent,No,0.97053,274,274,0.95047,0.99059
1986,Couple with children,Yes,0.02234,50,2236,0.01621,0.02846
1986,Couple with children,No,0.97766,2186,2236,0.97154,0.98379
1986,Multi-generational household,No,0.79678,95,95,0.71543,0.87813
1986,Other Combinations,No,0.73955,95,95,0.65082,0.82827
1987,Single-person household,No,0.96311,1039,1039,0.95165,0.97458
1987,Couple without children,Yes,0.04587,41,1190,0.03398,0.05776
1987,Couple without children,No,0.95413,1149,1190,0.94224,0.96602
1987,Single parent,No,0.96767,271,271,0.94657,0.98877
1987,Couple with children,Yes,0.02119,45,2188,0.01515,0.02722
1987,Couple with children,No,0.97881,2143,2188,0.97278,0.98485
1987,Multi-generational household,No,0.83475,104,104,0.76302,0.90648
1987,Other Combinations,No,0.76436,92,92,0.67717,0.85156
1988,Single-person household,No,0.97119,1002,1002,0.96083,0.98156
1988,Couple without children,Yes,0.05554,51,1164,0.04238,0.06870
1988,Couple without children,No,0.94446,1113,1164,0.93130,0.95762
1988,Single parent,No,0.98382,270,270,0.96875,0.99890
1988,Couple with children,Yes,0.02246,44,2082,0.01609,0.02883
1988,Couple with children,No,0.97754,2038,2082,0.97117,0.98391
