year,quintil_oecd_hh,regtyp,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,1st Quintile,Urban regions,Yes,0.28810,375,1266,0.26314,0.31306
2006,1st Quintile,Urban regions,No,0.71190,891,1266,0.68694,0.73686
2006,1st Quintile,Rural regions,Yes,0.32259,262,725,0.28854,0.35664
2006,1st Quintile,Rural regions,No,0.67741,463,725,0.64336,0.71146
2006,2nd Quintile,Urban regions,Yes,0.07181,89,1272,0.05762,0.08600
2006,2nd Quintile,Urban regions,No,0.92819,1183,1272,0.91400,0.94238
2006,2nd Quintile,Rural regions,Yes,0.08260,86,853,0.06411,0.10108
2006,2nd Quintile,Rural regions,No,0.91740,767,853,0.89892,0.93589
2006,3rd Quintile,Urban regions,Yes,0.03203,50,1441,0.02293,0.04112
2006,3rd Quintile,Urban regions,No,0.96797,1391,1441,0.95888,0.97707
2006,3rd Quintile,Rural regions,Yes,0.04352,40,839,0.02971,0.05734
2006,3rd Quintile,Rural regions,No,0.95648,799,839,0.94266,0.97029
2006,4th Quintile,Urban regions,Yes,0.02324,32,1603,0.01586,0.03061
2006,4th Quintile,Urban regions,No,0.97676,1571,1603,0.96939,0.98414
2006,4th Quintile,Rural regions,No,0.97621,745,745,0.96526,0.98716
2006,5th Quintile,Urban regions,No,0.99071,2221,2221,0.98672,0.99470
2006,5th Quintile,Rural regions,No,0.98794,710,710,0.97990,0.99597
2007,1st Quintile,Urban regions,Yes,0.29999,357,1176,0.27379,0.32620
2007,1st Quintile,Urban regions,No,0.70001,819,1176,0.67380,0.72621
2007,1st Quintile,Rural regions,Yes,0.36215,282,695,0.32639,0.39791
2007,1st Quintile,Rural regions,No,0.63785,413,695,0.60209,0.67361
2007,2nd Quintile,Urban regions,Yes,0.09722,119,1232,0.08067,0.11377
2007,2nd Quintile,Urban regions,No,0.90278,1113,1232,0.88623,0.91933
2007,2nd Quintile,Rural regions,Yes,0.10006,94,772,0.07888,0.12125
2007,2nd Quintile,Rural regions,No,0.89994,678,772,0.87875,0.92112
2007,3rd Quintile,Urban regions,Yes,0.05103,67,1318,0.03915,0.06292
2007,3rd Quintile,Urban regions,No,0.94897,1251,1318,0.93708,0.96085
2007,3rd Quintile,Rural regions,Yes,0.04680,45,799,0.03215,0.06146
2007,3rd Quintile,Rural regions,No,0.95320,754,799,0.93854,0.96785
2007,4th Quintile,Urban regions,Yes,0.02373,41,1495,0.01602,0.03145
2007,4th Quintile,Urban regions,No,0.97627,1454,1495,0.96855,0.98398
2007,4th Quintile,Rural regions,No,0.96104,721,721,0.94690,0.97517
2007,5th Quintile,Urban regions,Yes,0.01604,33,2075,0.01064,0.02145
2007,5th Quintile,Urban regions,No,0.98396,2042,2075,0.97855,0.98936
