year,regtyp,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Urban regions,Yes,0.08060,568,7828,0.07457,0.08663
2006,Urban regions,No,0.91940,7260,7828,0.91337,0.92543
2006,Rural regions,Yes,0.10483,417,3902,0.09522,0.11445
2006,Rural regions,No,0.89517,3485,3902,0.88555,0.90478
2007,Urban regions,Yes,0.09291,617,7299,0.08625,0.09957
2007,Urban regions,No,0.90709,6682,7299,0.90043,0.91375
2007,Rural regions,Yes,0.12395,461,3671,0.11329,0.13461
2007,Rural regions,No,0.87605,3210,3671,0.86539,0.88671
2008,Urban regions,Yes,0.08505,516,6864,0.07845,0.09165
2008,Urban regions,No,0.91495,6348,6864,0.90835,0.92155
2008,Rural regions,Yes,0.11922,404,3447,0.10840,0.13004
2008,Rural regions,No,0.88078,3043,3447,0.86996,0.89160
2009,Urban regions,Yes,0.07787,465,6696,0.07145,0.08429
2009,Urban regions,No,0.92213,6231,6696,0.91571,0.92855
2009,Rural regions,Yes,0.09750,345,3476,0.08763,0.10736
2009,Rural regions,No,0.90250,3131,3476,0.89264,0.91237
2010,Urban regions,Yes,0.07698,1028,9085,0.07150,0.08246
2010,Urban regions,No,0.92302,8057,9085,0.91754,0.92850
2010,Rural regions,Yes,0.09374,677,4711,0.08542,0.10207
2010,Rural regions,No,0.90626,4034,4711,0.89793,0.91458
2011,Urban regions,Yes,0.07826,1189,10587,0.07314,0.08337
2011,Urban regions,No,0.92174,9398,10587,0.91663,0.92686
2011,Rural regions,Yes,0.09742,812,5747,0.08975,0.10509
2011,Rural regions,No,0.90258,4935,5747,0.89491,0.91025
2012,Urban regions,Yes,0.07606,1101,10267,0.07093,0.08119
2012,Urban regions,No,0.92394,9166,10267,0.91881,0.92907
2012,Rural regions,Yes,0.09530,765,5752,0.08771,0.10289
2012,Rural regions,No,0.90470,4987,5752,0.89711,0.91229
2013,Urban regions,Yes,0.08074,1408,11657,0.07579,0.08568
2013,Urban regions,No,0.91926,10249,11657,0.91432,0.92421
2013,Rural regions,Yes,0.09708,785,5894,0.08952,0.10464
2013,Rural regions,No,0.90292,5109,5894,0.89536,0.91048
2014,Urban regions,Yes,0.08074,1193,10311,0.07548,0.08600
2014,Urban regions,No,0.91926,9118,10311,0.91400,0.92452
2014,Rural regions,Yes,0.09809,669,5368,0.09013,0.10604
2014,Rural regions,No,0.90191,4699,5368,0.89396,0.90987
2015,Urban regions,Yes,0.08507,1202,10181,0.07965,0.09049
2015,Urban regions,No,0.91493,8979,10181,0.90951,0.92035
2015,Rural regions,Yes,0.09322,651,5239,0.08534,0.10109
2015,Rural regions,No,0.90678,4588,5239,0.89891,0.91466
2016,Urban regions,Yes,0.08223,1036,9273,0.07664,0.08782
2016,Urban regions,No,0.91777,8237,9273,0.91218,0.92336
2016,Rural regions,Yes,0.08788,564,4835,0.07990,0.09586
2016,Rural regions,No,0.91212,4271,4835,0.90414,0.92010
2017,Urban regions,Yes,0.07781,1470,11251,0.07286,0.08276
2017,Urban regions,No,0.92219,9781,11251,0.91724,0.92714
2017,Rural regions,Yes,0.08098,718,5829,0.07398,0.08799
2017,Rural regions,No,0.91902,5111,5829,0.91201,0.92602
2018,Urban regions,Yes,0.07361,2009,11832,0.06891,0.07832
2018,Urban regions,No,0.92639,9823,11832,0.92168,0.93109
2018,Rural regions,Yes,0.08311,940,5880,0.07606,0.09017
2018,Rural regions,No,0.91689,4940,5880,0.90983,0.92394
2019,No answer / don't know,Yes,0.06736,33,467,0.04460,0.09012
2019,No answer / don't know,No,0.93264,434,467,0.90988,0.95540
2019,Urban regions,Yes,0.06845,1915,11902,0.06392,0.07299
2019,Urban regions,No,0.93155,9987,11902,0.92701,0.93608
2019,Rural regions,Yes,0.07754,878,5921,0.07073,0.08436
2019,Rural regions,No,0.92246,5043,5921,0.91564,0.92927
2020,Urban regions,Yes,0.06631,2323,13198,0.06207,0.07056
2020,Urban regions,No,0.93369,10875,13198,0.92944,0.93793
2020,Rural regions,Yes,0.07442,808,5864,0.06770,0.08113
2020,Rural regions,No,0.92558,5056,5864,0.91887,0.93230
2021,Urban regions,Yes,0.06177,1136,8572,0.05667,0.06686
2021,Urban regions,No,0.93823,7436,8572,0.93314,0.94333
2021,Rural regions,Yes,0.06137,390,3912,0.05385,0.06889
2021,Rural regions,No,0.93863,3522,3912,0.93111,0.94615
2022,Urban regions,Yes,0.05338,1040,13949,0.04965,0.05711
2022,Urban regions,No,0.94662,12909,13949,0.94289,0.95035
2022,Rural regions,Yes,0.04170,383,6237,0.03674,0.04666
2022,Rural regions,No,0.95830,5854,6237,0.95334,0.96326
