year,ple0012,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Yes,0.06047,1298,18018,0.05699,0.06395
2009,No,0.78315,16720,18018,0.77713,0.78916
2011,Yes,0.06308,1656,20745,0.05977,0.06639
2011,No,0.70384,19089,20745,0.69762,0.71005
2013,Yes,0.06454,1687,18866,0.06104,0.06805
2013,No,0.64685,17179,18866,0.64003,0.65367
2015,Yes,0.06896,1829,25040,0.06582,0.07210
2015,No,0.75625,23211,25040,0.75094,0.76157
2017,Yes,0.07022,1940,26549,0.06714,0.07329
2017,No,0.76379,24609,26549,0.75868,0.76890
2019,Yes,0.07084,1933,25725,0.06771,0.07398
2019,No,0.76043,23792,25725,0.75521,0.76565
2021,Yes,0.06780,1468,19163,0.06424,0.07136
2021,No,0.75524,17695,19163,0.74915,0.76132
